# starting wavelength: 2797.878
# ending wavelength: 9233.540
# wav flux eflux
2.799624617671705892e+03 3.583235095637209433e-01 1.491768104055503363e-01
2.802424242289378526e+03 3.603787180386331390e-01 1.423843380593073915e-01
2.805226666531668798e+03 4.085889549169167134e-01 1.414210297857360077e-01
2.808031893198201487e+03 4.007624915515769493e-01 1.384574892734203866e-01
2.810839925091400346e+03 4.079581920325854871e-01 1.318856457535177440e-01
2.813650765016492642e+03 3.561304493740233279e-01 1.273990471951850778e-01
2.816464415781510070e+03 3.323362542323358149e-01 1.135343772007173374e-01
2.819280880197292845e+03 3.276198585244334827e-01 1.027778973329694090e-01
2.822100161077491066e+03 2.919414759845173624e-01 9.895395382586875954e-02
2.824922261238569263e+03 2.703583515810528692e-01 9.223723056194972625e-02
2.827747183499808671e+03 2.696099051244683076e-01 9.079746961315700304e-02
2.830574930683309503e+03 2.122824510707699563e-01 8.546017274500543326e-02
2.833405505613993682e+03 2.046971615976362346e-01 8.058659998163060501e-02
2.836238911119608929e+03 1.545806442109915468e-01 8.101765251800277512e-02
2.839075150030729219e+03 1.886660323704849873e-01 8.249626180551614119e-02
2.841914225180761150e+03 1.869208974654401056e-01 7.722221648621503676e-02
2.844756139405942577e+03 1.613330983880167935e-01 7.468416398095524544e-02
2.847600895545349431e+03 1.991612994019607841e-01 7.667912081274581848e-02
2.850448496440895724e+03 1.891990665754549883e-01 7.495948402482111028e-02
2.853298944937337637e+03 1.949073292302423988e-01 7.308112938610895892e-02
2.856152243882275798e+03 2.502814499876012122e-01 7.240129277232064398e-02
2.859008396126159369e+03 2.255250620952163887e-01 7.318038335645060677e-02
2.861867404522286051e+03 2.295483630612354942e-01 7.103473058961636000e-02
2.864729271926809361e+03 2.888261633070496881e-01 7.616516903693713869e-02
2.867594001198737260e+03 3.379776389852732210e-01 7.249881369050810431e-02
2.870461595199936710e+03 3.465542929254709636e-01 7.033402525555489115e-02
2.873332056795137760e+03 3.437138646584315671e-01 7.060214926230649890e-02
2.876205388851934003e+03 3.530934483828421788e-01 6.732960918246877480e-02
2.879081594240786671e+03 3.621855714458733222e-01 6.552919670341282588e-02
2.881960675835028724e+03 3.302732178330261004e-01 6.385892460777249646e-02
2.884842636510864395e+03 3.103889465725144237e-01 6.327182580532784983e-02
2.887727479147376471e+03 2.658139363358411056e-01 6.192337735696146206e-02
2.890615206626524468e+03 2.903209371328819843e-01 6.486730017843697627e-02
2.893505821833151913e+03 2.732991965929111866e-01 6.277000546258224012e-02
2.896399327654986337e+03 2.800466911972114836e-01 6.097048770366367970e-02
