# starting wavelength: 3657.871
# ending wavelength: 7274.249
# wav flux eflux
3.659591145680281443e+03 5.796425133446913014e-01 6.166545312724084127e+00
3.663250736825963031e+03 1.124276848511531535e+00 4.167694748473924626e+00
3.666913987562790226e+03 1.499951206075960775e+00 3.153836618673844239e+00
3.670580901550354156e+03 1.796613179412312800e+00 2.367898714078850997e+00
3.674251482451905758e+03 1.879779375235303363e+00 1.840022180350036507e+00
3.677925733934358959e+03 1.870497278425814702e+00 1.435754974423132824e+00
3.681603659668294313e+03 1.817211196263402551e+00 1.195839152044625431e+00
3.685285263327964003e+03 1.753173499983466943e+00 9.684392142746177656e-01
3.688970548591293209e+03 1.796359914794358525e+00 8.974447304639353584e-01
3.692659519139885560e+03 1.772527771000316221e+00 7.602396255000366532e-01
3.696352178659026777e+03 1.749365802210133047e+00 6.662838042419246820e-01
3.700048530837686940e+03 1.741599642544690463e+00 6.130548723724691396e-01
3.703748579368525952e+03 1.739688889122565696e+00 5.638656746919734619e-01
3.707452327947895355e+03 1.871130715465780803e+00 5.455550987433426258e-01
3.711159780275844696e+03 1.885348320376825759e+00 5.202937439733693603e-01
3.714870940056121526e+03 1.907296798331743704e+00 5.091962624140375926e-01
3.718585810996179134e+03 1.985447061678953684e+00 4.909563924172673510e-01
3.722304396807176545e+03 1.995913533161822517e+00 4.903936929964846647e-01
3.726026701203984885e+03 2.082795538383178879e+00 5.169975016651352506e-01
3.729752727905190113e+03 2.092264083442839873e+00 5.138100680923569641e-01
3.733482480633096657e+03 2.356200554489346288e+00 4.808843846054796090e-01
3.737215963113731050e+03 2.407758298032514954e+00 4.756727903461158702e-01
3.740953179076846027e+03 2.392899468306123101e+00 5.316673938523860388e-01
3.744694132255923705e+03 2.405191096903773307e+00 5.059511883890259742e-01
3.748438826388181042e+03 2.384464103181934025e+00 5.080042798102207824e-01
3.752187265214570289e+03 2.000368393050693694e+00 4.512070980349348059e-01
3.755939452479786269e+03 1.942528881037475008e+00 4.510389449486886804e-01
3.759695391932267285e+03 1.948171403462424012e+00 5.036645141177734653e-01
3.763455087324201031e+03 1.922990832735233635e+00 4.778187863726248708e-01
3.767218542411526414e+03 2.148069340555871065e+00 4.730134525511063837e-01
3.770985760953939007e+03 2.056917154222067445e+00 4.643997435981516153e-01
3.774756746714894234e+03 1.633707915370734565e+00 3.483124276137700703e-01
3.778531503461610555e+03 1.602477660285876793e+00 3.512136093307657303e-01
3.782310034965073100e+03 1.777367808525086357e+00 3.360028235108525885e-01
3.786092345000039586e+03 1.785276037793993131e+00 3.373322765287603553e-01
3.789878437345040766e+03 1.971891904347707447e+00 3.171091294863194188e-01
3.793668315782387253e+03 1.992928048051469281e+00 3.170472374717726027e-01
3.797461984098170888e+03 1.875696508666431228e+00 3.299734420858123074e-01
3.801259446082270188e+03 1.877473811076526111e+00 3.050505797224091764e-01
3.805060705528353537e+03 1.851642589419384199e+00 3.369310839978252869e-01
3.808865766233883278e+03 1.880366696910126034e+00 3.170852306310836810e-01
3.812674632000118436e+03 1.998965053130624447e+00 3.251488816045580155e-01
3.816487306632119726e+03 1.938576084952027268e+00 3.159765911683561357e-01
3.820303793938753188e+03 1.763818960466117414e+00 2.942855744833371423e-01
3.824124097732693372e+03 1.750928188128403784e+00 2.962447602604273977e-01
3.827948221830427428e+03 1.884170515386247802e+00 2.955790651881470832e-01
3.831776170052258749e+03 1.875042477588880541e+00 2.962487215149193220e-01
3.835607946222312421e+03 1.932479550595044282e+00 2.868895310437403201e-01
3.839443554168536139e+03 1.933186430640879694e+00 2.863242934495217606e-01
3.843282997722705659e+03 1.910662906341984435e+00 3.172688775219622559e-01
3.847126280720429804e+03 1.861209245281381319e+00 2.924309072906199902e-01
3.850973407001151372e+03 1.615053901000102821e+00 2.139380014243461581e-01
3.854824380408153957e+03 1.621356761091602650e+00 2.098333734577498277e-01
3.858679204788563311e+03 1.694443008324091116e+00 1.948073033479451877e-01
3.862537883993353262e+03 1.661256847356871402e+00 1.790753815591437093e-01
3.866400421877347981e+03 1.648644839571605569e+00 1.994398257370197380e-01
3.870266822299226533e+03 1.645603679829811261e+00 2.010733822763278167e-01
3.874137089121526969e+03 1.808869522709464661e+00 1.861751630398480184e-01
3.878011226210649966e+03 1.790413003284407667e+00 1.868616967944710938e-01
3.881889237436861549e+03 1.583166033129741468e+00 2.107713215116243932e-01
3.885771126674299921e+03 1.561241166453717577e+00 2.106820020438781582e-01
3.889656897800975457e+03 1.510537856640756349e+00 2.096946158956446149e-01
3.893546554698777527e+03 1.512224663081149334e+00 2.087376529378407453e-01
3.897440101253477678e+03 1.513353517378645208e+00 2.298485939716853332e-01
3.901337541354732366e+03 1.586651799761099602e+00 2.124283361940561277e-01
3.905238878896088409e+03 1.583965748097033943e+00 2.315358390070339223e-01
3.909144117774985716e+03 1.639932285641094278e+00 2.153673153168516041e-01
3.913053261892762293e+03 1.712375729514732381e+00 2.192552453976875093e-01
3.916966315154656058e+03 1.713743170527175730e+00 2.237810619770111142e-01
3.920883281469812118e+03 1.630106728971909114e+00 2.222147215214680394e-01
3.924804164751283224e+03 1.618657745263885506e+00 2.252123760340615510e-01
3.928728968916035683e+03 1.691807502241376104e+00 2.252933375855661335e-01
3.932657697884953450e+03 1.706139924054141277e+00 2.268303155550496220e-01
3.936590355582839493e+03 1.667179686159016017e+00 2.391521023262484780e-01
3.940526945938423523e+03 1.633882439109650253e+00 2.681478936483921438e-01
3.944467472884363360e+03 1.652490807475464729e+00 2.681588914309586680e-01
3.948411940357249023e+03 1.686468331290571943e+00 2.805476719622086446e-01
3.952360352297607733e+03 1.707686298815648263e+00 2.791551950935646231e-01
3.956312712649906643e+03 1.649633552344499821e+00 2.739394410048885953e-01
3.960269025362557841e+03 1.678649698871130802e+00 2.714075246078851422e-01
3.964229294387921527e+03 1.945365612522254484e+00 1.392659985597635430e-01
3.968193523682310570e+03 2.059729398766606323e+00 1.374412083861203948e-01
3.972161717205994591e+03 2.079458528161058695e+00 1.372324381707443197e-01
3.976133878923201792e+03 2.154817490426134352e+00 1.208691582465479808e-01
3.980110012802126221e+03 2.123387847808360540e+00 1.168336211685232634e-01
3.984090122814929600e+03 2.157140556625221084e+00 1.143109859273392648e-01
3.988074212937745870e+03 2.137386388881135080e+00 1.298356888083905536e-01
3.992062287150684824e+03 2.071222355714133379e+00 1.168808920109047356e-01
3.996054349437837118e+03 2.076088724232410865e+00 1.164721289444792252e-01
4.000050403787276082e+03 2.018872003373362922e+00 1.184028658876860318e-01
4.004050454191064546e+03 1.899553190121635371e+00 1.378967778939574618e-01
4.008054504645257111e+03 1.838115037557059850e+00 1.393214046240629500e-01
4.012062559149903791e+03 1.752048519977178698e+00 1.458292580177820430e-01
4.016074621709055009e+03 1.663427363725469510e+00 1.466071639218999301e-01
4.020090696330765240e+03 1.540853600679166657e+00 1.425783294715285143e-01
4.024110787027097558e+03 1.473017128873426174e+00 1.427210728473387591e-01
4.028134897814125907e+03 1.490572472756045208e+00 1.236128490195215479e-01
4.032163032711941469e+03 1.486617426157192057e+00 1.232417455620266333e-01
4.036195195744654484e+03 1.545921473599966012e+00 1.316675960821837854e-01
4.040231390940400615e+03 1.543381880923200056e+00 1.307588063327894401e-01
4.044271622331342314e+03 1.497509621980638084e+00 1.488120795532922036e-01
4.048315893953675186e+03 1.448895818803509927e+00 1.662871709873253723e-01
4.052364209847629809e+03 1.462790806928886855e+00 1.802160985536306881e-01
4.056416574057479011e+03 1.613574253024391059e+00 1.814080346295067481e-01
4.060472990631537868e+03 1.766145191127292513e+00 2.032578203496377967e-01
4.064533463622170530e+03 1.890469784084553906e+00 1.808733843804390673e-01
4.068597997085794304e+03 2.010801044206128818e+00 2.080860839960202158e-01
4.072666595082881486e+03 2.028773842906678837e+00 1.861117311421810749e-01
4.076739261677965715e+03 2.012596765386711617e+00 2.173799384173156490e-01
