# starting wavelength: 2852.956
# ending wavelength: 9377.083
# wav flux eflux
2.853298944937337637e+03 7.610301274004513949e-01 6.603708579385573207e-01
2.856152243882275798e+03 7.294733511571986906e-01 6.705872402023035361e-01
2.859008396126159369e+03 8.118939939814677764e-01 6.395712897662938490e-01
2.861867404522286051e+03 8.336896235028279367e-01 6.181190467645476527e-01
2.864729271926809361e+03 8.327057534523081284e-01 6.092654923779895482e-01
2.867594001198737260e+03 8.690126393139002703e-01 5.972263901096933614e-01
2.870461595199936710e+03 9.280240881306913714e-01 5.837680063700052546e-01
2.873332056795137760e+03 8.163957025991885885e-01 5.670777609353475635e-01
2.876205388851934003e+03 8.265425818371751054e-01 5.610649916728180919e-01
2.879081594240786671e+03 7.757059141228331844e-01 5.432503596937293677e-01
2.881960675835028724e+03 7.084999176634700913e-01 5.385706932509334299e-01
2.884842636510864395e+03 4.995710640239600653e-01 5.304223163876926606e-01
2.887727479147376471e+03 4.373206306716246328e-01 4.958991380103375257e-01
2.890615206626524468e+03 4.527228176052061626e-01 4.800327788113701311e-01
2.893505821833151913e+03 6.189395791900802468e-01 4.637581738797020292e-01
2.896399327654986337e+03 8.063795941376735721e-01 4.662509104677828864e-01
2.899295726982642009e+03 1.042166976659756994e+00 4.687623667815778439e-01
2.902195022709625846e+03 1.167049730215792280e+00 4.602830398441565274e-01
2.905097217732336503e+03 1.182238376070653185e+00 4.337001133152228460e-01
2.908002314950069831e+03 1.250513512534559446e+00 4.156697605322057232e-01
2.910910317265020694e+03 1.187287071792135329e+00 3.949758472202580251e-01
2.913821227582286610e+03 1.191789093803804045e+00 3.884233316167859940e-01
2.916735048809870023e+03 1.329141257044527125e+00 3.800640998108710811e-01
2.919651783858680574e+03 1.256031667280488984e+00 3.700313350214762265e-01
2.922571435642540564e+03 1.220902890733932100e+00 3.719737622638801811e-01
2.925494007078184040e+03 1.371845843380393726e+00 3.956435502868302923e-01
2.928419501085263164e+03 1.333199822241549537e+00 3.865744166404062598e-01
2.931347920586349119e+03 1.302069713245811888e+00 3.756809074570662266e-01
2.934279268506936660e+03 1.404140714562249981e+00 3.777569673919432547e-01
2.937213547775444567e+03 1.381888147746592077e+00 3.684718306201542060e-01
2.940150761323221104e+03 1.306485280846225949e+00 3.557486762503623834e-01
2.943090912084544925e+03 1.376263710423398123e+00 3.497280260073237779e-01
2.946034002996630534e+03 1.088795579056987872e+00 3.614523974242700999e-01
2.948980036999628283e+03 1.039385352869800716e+00 3.570981778728737899e-01
2.951929017036628920e+03 9.698218710310051449e-01 3.519457362705850634e-01
2.954880946053666321e+03 7.298794455506929513e-01 3.596218390032037138e-01
2.957835826999721121e+03 5.516957448222932214e-01 3.493597339632921184e-01
2.960793662826721629e+03 5.791895989203486028e-01 3.396578739786346168e-01
2.963754456489549284e+03 4.874775694195255804e-01 3.382482437104553652e-01
2.966718210946040017e+03 4.568237363752556401e-01 3.275740574407178252e-01
2.969684929156986982e+03 4.384246654965926471e-01 3.263676049925146594e-01
2.972654614086145102e+03 3.951178761915504767e-01 3.152586430868195566e-01
2.975627268700231980e+03 4.234909420205245079e-01 3.097363329386250141e-01
2.978602895968933353e+03 5.186430428761061862e-01 3.011112231236038883e-01
2.981581498864903097e+03 6.135384673092125762e-01 2.943931486846139700e-01
