# starting wavelength: 3581.172
# ending wavelength: 8191.208
# wav flux eflux
3.583578654732924406e+03 2.566779141540393994e+00 3.649338574956623350e-18
3.587162233387658489e+03 2.487731264212500015e+00 9.083575142919467693e-18
3.590749395621047370e+03 2.408604339007276440e+00 1.452324594745037184e-17
3.594340145016669794e+03 2.329398286876844359e+00 1.996835642278604158e-17
3.597934485161687462e+03 2.250113028694290307e+00 2.541891200859646988e-17
3.601532419646850485e+03 2.170748485253545912e+00 3.087491814999321996e-17
3.605133952066498296e+03 2.096570405585673313e+00 3.430003376975466496e-17
3.608739086018566013e+03 2.032527599528516582e+00 3.378048120405919082e-17
3.612347825104585809e+03 1.968420750665302421e+00 3.326040908579801819e-17
3.615960172929691907e+03 1.904249794953219999e+00 3.273981689541854184e-17
3.619576133102622407e+03 1.840014668285437915e+00 3.221870411284878406e-17
3.623195709235726554e+03 1.775715306490975420e+00 3.169707021749635932e-17
3.626818904944963379e+03 1.715640292926841504e+00 3.189942391610405315e-17
3.630445723849909427e+03 1.739627831266857605e+00 4.631336436506008054e-17
3.634076169573760581e+03 1.763639357145214692e+00 6.074171875446569288e-17
3.637710245743335690e+03 1.787674894549450721e+00 7.518450149826113262e-17
3.641347955989080219e+03 1.811734467491090017e+00 8.964172702479972876e-17
3.644989303945070333e+03 1.835818100005669917e+00 1.041134097768642411e-16
3.648634293249016537e+03 1.859925816152765199e+00 1.185995642116812383e-16
3.652282927542266862e+03 2.048790333521188778e+00 1.204535139001567134e-16
3.655935210469810499e+03 2.273938129204182701e+00 1.195383138909872905e-16
3.659591145680281443e+03 2.499311072682845136e+00 1.186221986818087593e-16
3.663250736825963031e+03 2.724909389104996915e+00 1.177051673574210099e-16
3.666913987562790226e+03 2.950733303843565913e+00 1.167872190017088781e-16
3.670580901550354156e+03 3.176783042496868159e+00 1.158683526976410615e-16
3.674251482451905758e+03 3.171757589699976787e+00 1.159059922572184922e-16
3.677925733934358959e+03 3.016577740385578021e+00 1.165651824249189244e-16
3.681603659668294313e+03 2.861242711221877677e+00 1.172250317827870076e-16
3.685285263327964003e+03 2.705752347028997029e+00 1.178855409900130336e-16
3.688970548591293209e+03 2.550106492471929442e+00 1.185467107064462638e-16
3.692659519139885560e+03 2.394304992060312554e+00 1.192085415925958913e-16
3.696352178659026777e+03 2.386902327484680786e+00 1.135151777848047691e-16
3.700048530837686940e+03 2.575715043200099696e+00 9.942079968799022806e-17
3.703748579368525952e+03 2.764716571631243625e+00 8.531232721307812450e-17
3.707452327947895355e+03 2.953907101590795392e+00 7.118974626569283509e-17
3.711159780275844696e+03 3.143286822080336051e+00 5.705304273735798340e-17
