# starting wavelength: 2769.173
# ending wavelength: 9148.903
# wav flux eflux
2.771781736927676320e+03 4.203189915450454839e-01 3.255123740262735321e-01
2.774553518664604780e+03 2.900578643191253914e-01 3.162808014157971748e-01
2.777328072183270706e+03 3.192220616597964966e-01 2.994537727721955922e-01
2.780105400255454697e+03 3.649851373043005442e-01 2.948968974820134759e-01
2.782885505655710858e+03 3.369782409251862454e-01 2.816115220366111616e-01
2.785668391161367708e+03 3.317443380209450510e-01 2.720249986610688286e-01
2.788454059552529998e+03 2.249763211130420548e-01 2.651332361190060216e-01
2.791242513612083258e+03 1.911338967392108013e-01 2.488201663128213337e-01
2.794033756125696527e+03 1.329756378015280183e-01 2.392379689672703147e-01
2.796827789881823264e+03 1.620228272326648122e-01 2.388016495685092999e-01
2.799624617671705892e+03 1.111789116000646005e-01 2.229952599530319046e-01
2.802424242289378526e+03 1.097783156782189407e-01 2.216288101325551985e-01
2.805226666531668798e+03 5.567395566689065101e-02 2.187381729044089729e-01
2.808031893198201487e+03 1.528015452077323977e-01 2.152820964283746752e-01
2.810839925091400346e+03 1.014899041195734264e-01 2.129002631540380941e-01
2.813650765016492642e+03 1.912595130434352475e-02 2.086636481606978510e-01
2.816464415781510070e+03 8.126131431224120627e-02 2.086005671005366768e-01
2.819280880197292845e+03 1.379584108499061768e-01 2.129488335596840809e-01
2.822100161077491066e+03 1.820151960831431492e-01 2.101319679990517886e-01
2.824922261238569263e+03 2.085367382941637204e-01 2.032187873857095040e-01
2.827747183499808671e+03 2.712151517882416263e-01 1.958438738081567099e-01
2.830574930683309503e+03 3.046430257607192771e-01 1.881887811876728211e-01
2.833405505613993682e+03 3.717660691172222642e-01 1.807707827216172292e-01
2.836238911119608929e+03 3.841267377973262009e-01 1.776568471907951086e-01
2.839075150030729219e+03 3.652938690077357498e-01 1.720106578936707320e-01
2.841914225180761150e+03 3.952446837651715783e-01 1.696577920828591657e-01
2.844756139405942577e+03 3.835597813375498655e-01 1.615171583847195003e-01
2.847600895545349431e+03 4.152024590443776919e-01 1.545057209115407726e-01
2.850448496440895724e+03 3.496486318988709652e-01 1.548763360798968425e-01
2.853298944937337637e+03 3.182642193429377486e-01 1.512843098017614962e-01
2.856152243882275798e+03 3.382215104438797693e-01 1.437922941930140641e-01
2.859008396126159369e+03 2.657987759302251063e-01 1.450137215992651774e-01
2.861867404522286051e+03 2.936595329007704036e-01 1.429623722728952384e-01
2.864729271926809361e+03 3.423896109016767442e-01 1.388995108194607531e-01
2.867594001198737260e+03 3.407545407289790940e-01 1.341617183215718656e-01
