# starting wavelength: 2740.864
# ending wavelength: 8220.942
# wav flux eflux
2.741474285452774438e+03 1.640639223327611695e+00 3.914529541874384178e-01
2.744215759738227916e+03 1.845972643079792030e+00 3.132631020937505228e-01
2.746959975497967207e+03 1.927356544593532117e+00 2.563723582633484210e-01
2.749706935473466274e+03 1.984314848866532754e+00 1.952533305690225818e-01
2.752456642408940297e+03 1.971387455402166644e+00 1.698794911309021161e-01
2.755209099051350222e+03 1.989362330245567412e+00 1.343220718556882576e-01
2.757964308150402758e+03 2.007619695391754888e+00 1.107456569466902657e-01
2.760722272458554016e+03 2.000812104382805767e+00 9.305778891307271705e-02
2.763482994731013605e+03 1.978382059746557342e+00 8.290168041340256755e-02
2.766246477725745535e+03 1.943003278693542279e+00 7.139045197070585658e-02
2.769012724203471862e+03 1.906268700671429173e+00 6.258497467588433616e-02
2.771781736927676320e+03 1.870714572679488930e+00 5.633975502513274836e-02
2.774553518664604780e+03 1.826262725548944088e+00 5.144034836559943646e-02
2.777328072183270706e+03 1.780422460448707556e+00 4.777179891801733302e-02
2.780105400255454697e+03 1.750927147341822421e+00 4.481951374216358586e-02
2.782885505655710858e+03 1.729398154645946928e+00 4.241165617977012831e-02
2.785668391161367708e+03 1.733379170146345905e+00 4.088965618250590267e-02
2.788454059552529998e+03 1.757036083832693274e+00 4.101936154005123708e-02
2.791242513612083258e+03 1.777575833329571475e+00 4.038482888939341764e-02
2.794033756125696527e+03 1.807614278925447016e+00 4.075912899094473463e-02
2.796827789881823264e+03 1.852322995177930975e+00 4.232470083010010653e-02
2.799624617671705892e+03 1.870516454143952512e+00 4.217531109653121363e-02
2.802424242289378526e+03 1.920506110369439634e+00 4.147376703188578040e-02
2.805226666531668798e+03 1.958738541296240809e+00 4.141740651017777886e-02
2.808031893198201487e+03 1.989183416261054216e+00 4.160104130858208876e-02
2.810839925091400346e+03 2.014116299435201984e+00 4.125483278248183450e-02
2.813650765016492642e+03 2.046911696198997710e+00 4.130002964934433723e-02
2.816464415781510070e+03 2.083929570483333382e+00 4.120329707283765935e-02
2.819280880197292845e+03 2.105827125230382624e+00 4.119705718169280190e-02
2.822100161077491066e+03 2.122383090441127607e+00 4.053749315333488729e-02
2.824922261238569263e+03 2.124702008597718628e+00 4.070166495428986786e-02
2.827747183499808671e+03 2.135988944218289554e+00 4.016479624368405471e-02
2.830574930683309503e+03 2.134738637185353394e+00 4.024146076131777244e-02
2.833405505613993682e+03 2.133512361048191419e+00 4.000100203244089103e-02
2.836238911119608929e+03 2.113841714894234780e+00 3.887800258031295225e-02
2.839075150030729219e+03 2.082573127231396093e+00 3.849135071229174698e-02
2.841914225180761150e+03 2.056564183422794567e+00 3.674029609360802279e-02
2.844756139405942577e+03 2.028358236416303306e+00 3.554602123967500610e-02
2.847600895545349431e+03 2.013990478848506349e+00 3.457152685259079483e-02
2.850448496440895724e+03 2.002684457730793621e+00 3.429650750925012509e-02
2.853298944937337637e+03 1.981930909838685029e+00 3.295342313930623573e-02
2.856152243882275798e+03 2.005703478735150203e+00 3.102034835888951847e-02
2.859008396126159369e+03 2.008643874590953615e+00 3.100640381732628487e-02
2.861867404522286051e+03 2.026895876234851901e+00 3.216072022568447486e-02
2.864729271926809361e+03 2.042193118382517270e+00 3.181625372681599201e-02
2.867594001198737260e+03 2.065584547390894254e+00 2.929630875263717488e-02
2.870461595199936710e+03 2.077201207736655508e+00 2.956018274977654722e-02
2.873332056795137760e+03 2.089680745669157513e+00 2.887547517024283139e-02
2.876205388851934003e+03 2.087622335217404146e+00 2.841927152863201952e-02
2.879081594240786671e+03 2.090403263426903191e+00 2.771805860229425642e-02
2.881960675835028724e+03 2.086672434821282174e+00 2.767661219415083751e-02
2.884842636510864395e+03 2.101417520099820635e+00 2.801778039481879479e-02
2.887727479147376471e+03 2.123538634125203384e+00 2.755824314159432617e-02
2.890615206626524468e+03 2.141111023751343101e+00 2.716445730677003248e-02
2.893505821833151913e+03 2.159140996025148862e+00 2.672712552063494229e-02
2.896399327654986337e+03 2.167718697591352495e+00 2.680077207672217771e-02
2.899295726982642009e+03 2.163750210167634247e+00 2.545823096985629086e-02
2.902195022709625846e+03 2.180008377537771658e+00 2.503617916112509806e-02
2.905097217732336503e+03 2.191802197003892783e+00 2.569284285141672231e-02
2.908002314950069831e+03 2.179924557600227963e+00 2.473656310639559333e-02
2.910910317265020694e+03 2.201450488329337318e+00 2.547271372797963590e-02
2.913821227582286610e+03 2.213897069928432160e+00 2.510608906904781418e-02
2.916735048809870023e+03 2.203531715158971949e+00 2.506202526943402537e-02
2.919651783858680574e+03 2.181295055708457387e+00 2.576164022845471926e-02
2.922571435642540564e+03 2.146103211732018234e+00 2.773863120182892827e-02
2.925494007078184040e+03 2.127182420219065673e+00 2.846108819086521843e-02
2.928419501085263164e+03 2.115087825641283725e+00 2.818916691959233792e-02
2.931347920586349119e+03 2.119500764287648220e+00 2.874563764855608827e-02
2.934279268506936660e+03 2.111501268457732117e+00 2.860366114756631578e-02
2.937213547775444567e+03 2.098473602138239080e+00 2.846616500653092671e-02
2.940150761323221104e+03 2.087849290768177823e+00 2.844289458501449500e-02
2.943090912084544925e+03 2.068788379536363298e+00 2.822518482083765864e-02
2.946034002996630534e+03 2.043315189443901225e+00 2.863669325129901758e-02
2.948980036999628283e+03 2.022708341966715562e+00 2.791808357920754630e-02
2.951929017036628920e+03 2.024862792940427703e+00 2.796406610857955430e-02
2.954880946053666321e+03 2.039110434390345450e+00 2.732454783817827443e-02
2.957835826999721121e+03 2.069359951445940204e+00 2.818870704315811285e-02
