# starting wavelength: 2592.624
# ending wavelength: 8559.797
# wav flux eflux
2.594836004151308316e+03 3.874288637408066727e+00 8.833863829925617250e-02
2.597430840155460373e+03 3.842902397732790298e+00 8.760768938564815478e-02
2.600028270995616822e+03 3.766570064377658067e+00 8.708323312855358045e-02
2.602628299266613340e+03 3.726891632427215217e+00 8.533256426077019674e-02
2.605230927565880847e+03 3.654198073841663952e+00 8.385829908675197786e-02
2.607836158493447329e+03 3.632501702603442961e+00 8.002496634336334069e-02
2.610443994651941921e+03 3.621342193226531947e+00 8.155071324350231243e-02
2.613054438646594463e+03 3.647884682587258620e+00 7.158213968581912667e-02
2.615667493085241858e+03 3.656651431061966218e+00 7.180000123946538026e-02
2.618283160578328079e+03 3.673022750037790107e+00 7.310931317223129389e-02
2.620901443738907346e+03 3.631132136146179246e+00 7.172858134820792042e-02
2.623522345182646859e+03 3.591447887818578710e+00 7.148139809628488439e-02
2.626145867527830433e+03 3.524709550869160157e+00 6.889814395089879917e-02
2.628772013395359409e+03 3.471839789355181782e+00 6.933393869701232060e-02
2.631400785408755382e+03 3.420824392344106180e+00 6.718056223879757816e-02
2.634032186194165206e+03 3.366417196080051077e+00 6.617641168120315387e-02
2.636666218380360078e+03 3.319720010377064767e+00 6.435229910207955484e-02
2.639302884598741457e+03 3.266681712058583820e+00 6.341877984405290547e-02
2.641942187483341058e+03 3.213971921039036950e+00 6.163271529066653015e-02
2.644584129670825405e+03 3.154100472742670469e+00 5.681838575969455629e-02
2.647228713800496735e+03 3.083566094326710250e+00 5.441141538669517358e-02
2.649875942514298458e+03 3.006436465988016060e+00 5.430153698372539028e-02
2.652525818456813340e+03 2.965546408630901798e+00 5.286150689791579982e-02
2.655178344275271229e+03 2.913430618233626035e+00 5.150018789924694362e-02
2.657833522619547239e+03 2.880695390967499492e+00 5.126436548052974024e-02
2.660491356142167660e+03 2.864349663658189993e+00 5.436637336480971971e-02
2.663151847498310872e+03 2.862302638442284941e+00 5.598145896029355084e-02
2.665814999345810065e+03 2.856372154840891575e+00 5.472567756122317245e-02
2.668480814345156887e+03 2.814692994807212578e+00 5.637021672480795054e-02
2.671149295159502799e+03 2.804470839270154947e+00 5.646234059620174051e-02
2.673820444454663175e+03 2.843311694270816314e+00 5.619530537938841747e-02
2.676494264899118662e+03 2.850297341658154515e+00 5.667396417829796001e-02
2.679170759164018818e+03 2.862977713917500111e+00 5.491293623760864356e-02
2.681849929923183481e+03 2.887426150085876664e+00 5.491392049019259286e-02
2.684531779853107764e+03 2.923755089110128935e+00 5.338458194760074133e-02
