# starting wavelength: 2875.350
# ending wavelength: 6373.836
# wav flux eflux
2.876205388851934003e+03 1.501855904329666203e+00 1.596951792789894409e+00
2.879081594240786671e+03 1.568639127437037484e+00 1.231352677823444042e+00
2.881960675835028724e+03 1.725221832498571972e+00 9.327425887512793556e-01
2.884842636510864395e+03 1.991443916311680162e+00 7.571379404848773698e-01
2.887727479147376471e+03 2.181520454450624591e+00 5.921272946895926870e-01
2.890615206626524468e+03 2.306698851783403281e+00 4.678934996154471837e-01
2.893505821833151913e+03 2.385033926722612385e+00 3.725536856628910432e-01
2.896399327654986337e+03 2.436214498938043871e+00 3.055168709502825153e-01
2.899295726982642009e+03 2.459570088302260871e+00 2.566375631085991427e-01
2.902195022709625846e+03 2.465079354750520757e+00 2.166739151767232696e-01
2.905097217732336503e+03 2.460047620115681344e+00 1.898351633550607598e-01
2.908002314950069831e+03 2.462169991218767784e+00 1.706695265002001749e-01
2.910910317265020694e+03 2.437173835783573494e+00 1.546892898016909712e-01
2.913821227582286610e+03 2.410977670664661066e+00 1.440997917968621089e-01
2.916735048809870023e+03 2.353877223575721711e+00 1.365274778863006244e-01
2.919651783858680574e+03 2.365519011858212561e+00 1.325397621934368830e-01
2.922571435642540564e+03 2.338520671742307488e+00 1.298265733152406121e-01
2.925494007078184040e+03 2.330480069153323619e+00 1.247971133287065632e-01
2.928419501085263164e+03 2.282264578031099500e+00 1.218648124051489173e-01
2.931347920586349119e+03 2.258388690039809799e+00 1.189777958450754652e-01
2.934279268506936660e+03 2.270078411940482876e+00 1.188361799525631257e-01
2.937213547775444567e+03 2.265833178418267480e+00 1.176420049368907400e-01
2.940150761323221104e+03 2.236749279586911943e+00 1.174038638904609244e-01
2.943090912084544925e+03 2.225079757687507431e+00 1.123742045670009793e-01
2.946034002996630534e+03 2.286938509700176869e+00 9.646859120881487448e-02
2.948980036999628283e+03 2.337313188071656445e+00 9.507563335062095555e-02
2.951929017036628920e+03 2.357886889441688005e+00 9.422897891671183634e-02
2.954880946053666321e+03 2.397993759818941584e+00 9.581385790884948406e-02
2.957835826999721121e+03 2.378700688787177331e+00 9.422476695845252714e-02
2.960793662826721629e+03 2.395806424333315476e+00 9.041937201043560857e-02
2.963754456489549284e+03 2.409155014110121673e+00 8.358918726782063602e-02
2.966718210946040017e+03 2.433270527364532754e+00 8.616818616536835174e-02
2.969684929156986982e+03 2.460174526196823308e+00 8.816758514431691229e-02
2.972654614086145102e+03 2.487181719606141428e+00 8.764718698406392949e-02
2.975627268700231980e+03 2.526986135254538635e+00 7.905153108765891612e-02
