# starting wavelength: 2547.222
# ending wavelength: 6994.094
# wav flux eflux
2.548569730382256694e+03 2.656427103094891606e+00 6.218291905786552803e-02
2.551118300112640100e+03 2.676146786658199161e+00 6.165685207040236954e-02
2.553669418412753203e+03 2.721183589113113310e+00 5.915786039702355253e-02
2.556223087831167049e+03 2.766255294224941430e+00 5.938374315948002913e-02
2.558779310918998817e+03 2.833071573429227108e+00 6.168131371557128428e-02
2.561338090229918635e+03 2.875939550889934360e+00 6.240572265076690245e-02
2.563899428320149582e+03 2.896770544012119419e+00 6.178567184253636740e-02
2.566463327748470419e+03 2.891396068170417610e+00 6.109930753255577579e-02
2.569029791076220135e+03 2.885610898803011803e+00 6.056196369141076535e-02
2.571598820867297036e+03 2.864655261954871968e+00 6.076613307791223217e-02
2.574170419688165111e+03 2.817156040747901713e+00 6.428956451510305092e-02
2.576744590107854037e+03 2.772006123713278480e+00 6.860755349259131664e-02
2.579321334697962811e+03 2.764928454819709724e+00 6.799641461147662436e-02
2.581900656032661573e+03 2.749306159336685429e+00 6.692923488921671826e-02
2.584482556688695240e+03 2.701878119780495968e+00 6.460784103882520613e-02
2.587067039245384876e+03 2.684916636650782618e+00 6.269763484515877838e-02
2.589654106284630871e+03 2.673745428724908280e+00 6.134034778058335136e-02
2.592243760390916577e+03 2.660718248843200850e+00 6.142259059193379278e-02
2.594836004151308316e+03 2.683759926924499606e+00 6.348632154238088854e-02
2.597430840155460373e+03 2.700979477484831914e+00 6.218735962854406857e-02
2.600028270995616822e+03 2.726870464647480397e+00 6.145113903729131771e-02
2.602628299266613340e+03 2.754972198158746277e+00 5.975001802089003472e-02
2.605230927565880847e+03 2.781271950786282865e+00 5.911183313964868402e-02
2.607836158493447329e+03 2.815086101847883437e+00 5.897360650691165634e-02
2.610443994651941921e+03 2.841826281023104528e+00 5.965385554839225390e-02
2.613054438646594463e+03 2.889101856320686057e+00 6.024611410032486292e-02
2.615667493085241858e+03 2.912869569578619533e+00 6.047275484282665231e-02
2.618283160578328079e+03 2.953470580918164057e+00 5.796003064070699706e-02
2.620901443738907346e+03 2.958002671204760681e+00 5.738370359679317162e-02
2.623522345182646859e+03 2.969416475681470047e+00 5.743227317541756832e-02
2.626145867527830433e+03 2.969023044991188520e+00 5.630421865141102544e-02
2.628772013395359409e+03 2.942083813238367096e+00 5.612734233446207976e-02
2.631400785408755382e+03 2.948350918283906719e+00 5.535897977368214179e-02
2.634032186194165206e+03 2.914121014026550327e+00 5.465154146610642916e-02
2.636666218380360078e+03 2.882073820924295315e+00 5.322396091310485633e-02
2.639302884598741457e+03 2.831150613732791310e+00 5.106162551841818276e-02
2.641942187483341058e+03 2.784941868686870770e+00 4.901105004436357576e-02
2.644584129670825405e+03 2.756481632632914902e+00 4.878937053466963353e-02
2.647228713800496735e+03 2.735763677692220952e+00 4.779801025921005808e-02
2.649875942514298458e+03 2.722853684756541437e+00 4.689544480719481240e-02
2.652525818456813340e+03 2.721598484121966255e+00 4.711558549679063096e-02
2.655178344275271229e+03 2.693655328032179774e+00 4.863107577997767550e-02
2.657833522619547239e+03 2.698408182343484896e+00 4.836108406403408916e-02
2.660491356142167660e+03 2.718759493606305977e+00 4.881864477172857819e-02
2.663151847498310872e+03 2.714395159612545960e+00 4.851054687509071678e-02
2.665814999345810065e+03 2.753678678589990714e+00 4.658461907181191825e-02
2.668480814345156887e+03 2.779541794505544061e+00 4.757772484172820282e-02
2.671149295159502799e+03 2.799010815423567333e+00 4.843921865672800448e-02
2.673820444454663175e+03 2.831954799429656777e+00 4.871280549316374386e-02
2.676494264899118662e+03 2.830140961879371364e+00 4.853515942065603217e-02
2.679170759164018818e+03 2.865763238573430183e+00 4.475030734050985948e-02
2.681849929923183481e+03 2.851039747040070349e+00 4.458002930754458720e-02
2.684531779853107764e+03 2.835314039388759255e+00 4.488524592290361187e-02
2.687216311632961606e+03 2.817188625071799013e+00 4.494346083621304083e-02
2.689903527944595680e+03 2.807093875367002944e+00 4.531395109508099678e-02
2.692593431472540942e+03 2.785860701611410750e+00 4.591096207964636550e-02
2.695286024904014539e+03 2.776066680597377268e+00 4.504037838249736608e-02
2.697981310928919356e+03 2.767183123724151095e+00 4.463666530925830545e-02
2.700679292239849019e+03 2.723910786722137267e+00 4.338123487610292400e-02
2.703379971532089712e+03 2.699694412588987458e+00 4.344617956859039842e-02
2.706083351503622907e+03 2.665211086204223978e+00 4.274568864913062122e-02
2.708789434855127183e+03 2.658597587675933127e+00 4.283822659879425732e-02
2.711498224289983227e+03 2.636374856962841129e+00 4.233530208742857653e-02
2.714209722514274290e+03 2.633915939777391024e+00 4.104980534997997033e-02
2.716923932236789369e+03 2.630409507037642314e+00 4.143314075156684373e-02
2.719640856169027302e+03 2.657954234856783504e+00 4.241356682858937049e-02
2.722360497025197219e+03 2.676572493024571564e+00 4.309067718007419945e-02
2.725082857522223094e+03 2.707858383988220652e+00 4.448223197722087768e-02
2.727807940379746015e+03 2.697726427317121978e+00 4.464867291569743490e-02
2.730535748320126913e+03 2.710056910146807940e+00 4.458365946206184482e-02
2.733266284068447931e+03 2.693699051082138585e+00 4.429151793289952399e-02
2.735999550352517417e+03 2.651966253372576521e+00 4.444383158309599124e-02
2.738735549902870844e+03 2.651682170297819496e+00 4.345388085785437116e-02
2.741474285452774438e+03 2.623918642041739080e+00 4.378808633677820639e-02
2.744215759738227916e+03 2.597512699610582398e+00 4.312266820700356995e-02
2.746959975497967207e+03 2.591260473594310998e+00 4.260313624902321156e-02
2.749706935473466274e+03 2.590267900165296400e+00 4.277368044187634250e-02
2.752456642408940297e+03 2.581579824603099205e+00 4.131457776280594851e-02
2.755209099051350222e+03 2.522857936629903985e+00 4.257947439572540294e-02
2.757964308150402758e+03 2.496441910964456667e+00 4.481132831438353753e-02
2.760722272458554016e+03 2.522557540792774056e+00 4.847106917360333861e-02
2.763482994731013605e+03 2.516989731899195171e+00 4.933391875089179757e-02
2.766246477725745535e+03 2.549178529235927027e+00 4.981006536488969544e-02
2.769012724203471862e+03 2.584869288750729410e+00 5.427541497741582982e-02
2.771781736927676320e+03 2.637246343784507729e+00 5.548083039967142277e-02
2.774553518664604780e+03 2.636332369332079040e+00 5.478370740057862676e-02
2.777328072183270706e+03 2.632325544548407503e+00 5.411712742279579935e-02
2.780105400255454697e+03 2.597409688729460431e+00 5.433869860960395537e-02
2.782885505655710858e+03 2.539770971190306703e+00 5.814638116897973691e-02
2.785668391161367708e+03 2.498112613816063643e+00 5.979551892776840266e-02
2.788454059552529998e+03 2.430160058036450632e+00 5.794334692298081652e-02
2.791242513612083258e+03 2.391826043095929499e+00 5.715380799072244944e-02
2.794033756125696527e+03 2.364187311921991164e+00 5.572868442636869091e-02
2.796827789881823264e+03 2.366869280020091892e+00 5.508863309322598045e-02
2.799624617671705892e+03 2.363154341812980341e+00 5.565332413883675167e-02
2.802424242289378526e+03 2.368146500572860358e+00 5.513425992800703723e-02
2.805226666531668798e+03 2.373726586176401643e+00 5.510672127285060062e-02
2.808031893198201487e+03 2.394600033883566681e+00 5.568333581850674896e-02
2.810839925091400346e+03 2.451647625528992958e+00 5.544821054953046752e-02
2.813650765016492642e+03 2.492537757335061332e+00 5.541929769882145140e-02
2.816464415781510070e+03 2.530409835404327179e+00 5.571516037810513716e-02
2.819280880197292845e+03 2.587623525395635227e+00 5.400244544328794416e-02
2.822100161077491066e+03 2.646263505507918445e+00 5.306270956854601539e-02
2.824922261238569263e+03 2.666244565853743254e+00 5.308251352429853992e-02
2.827747183499808671e+03 2.641181220085405457e+00 4.675565419494642078e-02
2.830574930683309503e+03 2.628520671016745691e+00 4.632199545852562494e-02
2.833405505613993682e+03 2.608879748180168878e+00 4.560892317929712142e-02
2.836238911119608929e+03 2.597141376127477308e+00 4.191570037676496663e-02
2.839075150030729219e+03 2.624630724297136286e+00 4.012107461817361609e-02
2.841914225180761150e+03 2.640692091861188917e+00 3.898564779391789498e-02
2.844756139405942577e+03 2.623175675287673592e+00 3.955683167497722058e-02
2.847600895545349431e+03 2.628743853978168232e+00 3.903365393058371574e-02
2.850448496440895724e+03 2.606842271404533840e+00 3.792778615479925480e-02
2.853298944937337637e+03 2.570931201276350553e+00 3.641879191432034757e-02
2.856152243882275798e+03 2.564184056684475799e+00 3.769024399310372947e-02
2.859008396126159369e+03 2.574932021567120533e+00 3.861362411916947901e-02
2.861867404522286051e+03 2.575418231283687742e+00 3.816987071423062761e-02
2.864729271926809361e+03 2.593775671277885220e+00 3.781221267068296532e-02
2.867594001198737260e+03 2.608933134953551392e+00 3.810363973213007349e-02
2.870461595199936710e+03 2.604131125793547774e+00 3.801963688923952478e-02
2.873332056795137760e+03 2.591881041773667960e+00 3.712358202464500351e-02
2.876205388851934003e+03 2.610159411986962219e+00 3.729441769467619489e-02
2.879081594240786671e+03 2.610222414630018584e+00 3.527971524721861679e-02
2.881960675835028724e+03 2.575026138992677627e+00 3.232349900606139304e-02
2.884842636510864395e+03 2.547963733192206259e+00 3.366891151911214491e-02
2.887727479147376471e+03 2.539565651549384295e+00 3.383822257805402939e-02
2.890615206626524468e+03 2.526556392997777234e+00 3.351899530448369802e-02
2.893505821833151913e+03 2.516201059439352683e+00 3.275493263672999561e-02
2.896399327654986337e+03 2.485670953090532542e+00 3.293169470890310729e-02
2.899295726982642009e+03 2.488415714026906311e+00 3.302907018263393640e-02
2.902195022709625846e+03 2.518144173593809931e+00 3.188704509484415611e-02
2.905097217732336503e+03 2.530228601677728673e+00 3.287492275268892594e-02
2.908002314950069831e+03 2.533162488857973571e+00 3.315925341833653173e-02
2.910910317265020694e+03 2.544759298299590355e+00 3.207077975360397154e-02
2.913821227582286610e+03 2.535200279954990421e+00 3.268943824507342805e-02
2.916735048809870023e+03 2.517643849243301979e+00 3.184373785426514170e-02
2.919651783858680574e+03 2.528930039820245668e+00 3.032910059157457178e-02
