# starting wavelength: 2842.664
# ending wavelength: 7197.035
# wav flux eflux
2.844756139405942577e+03 2.042764676433590776e-02 3.081995837415116846e-01
2.847600895545349431e+03 1.306446566381755381e-02 2.273880151379788217e-01
2.850448496440895724e+03 1.198976363561359698e-02 1.727958543747105391e-01
2.853298944937337637e+03 1.141043304883639434e-02 1.302173957943255078e-01
2.856152243882275798e+03 2.360989952816275328e-02 1.037684179882508301e-01
2.859008396126159369e+03 2.738900082446671380e-02 8.194490784383137716e-02
2.861867404522286051e+03 3.116623559889942358e-02 7.072384265043664409e-02
2.864729271926809361e+03 3.679739769692723372e-02 6.356294104463125483e-02
2.867594001198737260e+03 3.882772359842477650e-02 5.301115685096136065e-02
2.870461595199936710e+03 3.335678594048842316e-02 4.726458762642499895e-02
2.873332056795137760e+03 2.832279489448935941e-02 4.191431293104880967e-02
2.876205388851934003e+03 2.529721035255005565e-02 3.761401907615102153e-02
2.879081594240786671e+03 1.919819034653826376e-02 3.448642724022599887e-02
2.881960675835028724e+03 1.673255426870098872e-02 3.248937269977681536e-02
2.884842636510864395e+03 1.750310615075777176e-02 3.040405398904894377e-02
2.887727479147376471e+03 2.504036937830205270e-02 2.952188688984894865e-02
2.890615206626524468e+03 2.385491089679462468e-02 2.900970008252370946e-02
2.893505821833151913e+03 2.022520140548584450e-02 2.766262789741956787e-02
2.896399327654986337e+03 2.850896812311919104e-02 2.794861136959868320e-02
2.899295726982642009e+03 2.887189893042058433e-02 2.896767603907894617e-02
2.902195022709625846e+03 2.696024442230978910e-02 2.869585834940627592e-02
2.905097217732336503e+03 2.759298332110179941e-02 2.739007195512533840e-02
2.908002314950069831e+03 1.696135868644818925e-02 2.690101344795630539e-02
2.910910317265020694e+03 9.419932020394415975e-03 2.775617002571742140e-02
2.913821227582286610e+03 6.293541373012908474e-03 2.679248817976555633e-02
2.916735048809870023e+03 3.912524439933430520e-03 2.673528132431144885e-02
2.919651783858680574e+03 8.498529305334255601e-03 2.514428211523634174e-02
2.922571435642540564e+03 1.659259806792875297e-02 2.515244874714678280e-02
2.925494007078184040e+03 2.056475783733933971e-02 2.398564997838022878e-02
2.928419501085263164e+03 1.380486577239816055e-02 2.497477948191091299e-02
2.931347920586349119e+03 1.556940193326003703e-02 2.597316026940543060e-02
2.934279268506936660e+03 2.740875820430970639e-02 2.828877434258209381e-02
2.937213547775444567e+03 1.901686734185159197e-02 2.868638152313808878e-02
2.940150761323221104e+03 1.493276075627676842e-02 2.891839957264182720e-02
2.943090912084544925e+03 2.884898017167664142e-02 3.028081047930848702e-02
2.946034002996630534e+03 2.758031811321754942e-02 2.893273858294607634e-02
2.948980036999628283e+03 2.374450960469078747e-02 2.956982910473112194e-02
2.951929017036628920e+03 3.241037295576121302e-02 2.915534163493832195e-02
2.954880946053666321e+03 2.756748982573893614e-02 3.021760669138729566e-02
2.957835826999721121e+03 3.168885166854269742e-02 3.019867287710864892e-02
2.960793662826721629e+03 4.614195103663509129e-02 3.190681264496738473e-02
2.963754456489549284e+03 5.248691600195715123e-02 2.993432868066996100e-02
2.966718210946040017e+03 5.179137897105472177e-02 3.053632595010237483e-02
2.969684929156986982e+03 6.361858132652821463e-02 3.081037174377798671e-02
2.972654614086145102e+03 4.879689821976047198e-02 3.373655596943542223e-02
2.975627268700231980e+03 4.634322946192045989e-02 3.507168768515187690e-02
2.978602895968933353e+03 5.194340707502307503e-02 3.398442033634314213e-02
2.981581498864903097e+03 3.762606829805734826e-02 3.459566107443350774e-02
2.984563080363769132e+03 3.496368322400409540e-02 3.612221341549038539e-02
2.987547643444133882e+03 4.008476816125087355e-02 3.626548690156585625e-02
2.990535191087578823e+03 3.927325387654278382e-02 3.635586565213907301e-02
2.993525726278667662e+03 3.390909973246535730e-02 3.576896910123365803e-02
