# starting wavelength: 3252.640
# ending wavelength: 9993.720
# wav flux eflux
3.255708422730835991e+03 2.476117155061234032e-01 8.731188601175235431e-03
3.258964131153567905e+03 2.460728412832723644e-01 6.241349858895717771e-03
3.262223095284722604e+03 2.451885178805109367e-01 4.603213776501308661e-03
3.265485318380008266e+03 2.450486659089570474e-01 3.489888711146291612e-03
3.268750803698389518e+03 2.460157234788290237e-01 2.667239410565024321e-03
3.272019554502088795e+03 2.480788434882292559e-01 2.280350550925418565e-03
3.275291574056592253e+03 2.501855884613607417e-01 1.889761362985286144e-03
3.278566865630649772e+03 2.522887004520811827e-01 1.541545756640614814e-03
3.281845432496281319e+03 2.545449369939184470e-01 1.280407647165037605e-03
3.285127277928778767e+03 2.569020963520703971e-01 1.112384330426306224e-03
3.288412405206708627e+03 2.593817038922818785e-01 9.651435692878034336e-04
3.291700817611916591e+03 2.619981259733816237e-01 8.488119481405940201e-04
3.294992518429529355e+03 2.647380910352244987e-01 7.634697234789398611e-04
3.298287510947960072e+03 2.678021906237976757e-01 7.718256562237295077e-04
3.301585798458909267e+03 2.707118407971325080e-01 7.205458693621063452e-04
3.304887384257369376e+03 2.734488036185828141e-01 6.893874437699421985e-04
3.308192271641627485e+03 2.761533694822969065e-01 6.569202615638093136e-04
3.311500463913270323e+03 2.784287587868842784e-01 6.563309874884372657e-04
3.314811964377184722e+03 2.805475213487811370e-01 6.738493009813144351e-04
3.318126776341563072e+03 2.826307201989645135e-01 6.997102707660647148e-04
3.321444903117905596e+03 2.845002306062096031e-01 7.714253900868747564e-04
3.324766348021024896e+03 2.864847082433951142e-01 7.728598954711664911e-04
3.328091114369046863e+03 2.885747450501282563e-01 7.489273573690293688e-04
3.331419205483417045e+03 2.906470984429034288e-01 7.162867285731451799e-04
3.334750624688901553e+03 2.924762939223533587e-01 6.971457510741132027e-04
3.338085375313591612e+03 2.943080232485720815e-01 6.613768584907223904e-04
3.341423460688906289e+03 2.965394784069836365e-01 6.542556518110382658e-04
3.344764884149596128e+03 2.988757656969585064e-01 6.499340073864739347e-04
3.348109649033746791e+03 3.015855418644136088e-01 6.665460417021297707e-04
3.351457758682781787e+03 3.039729562073109070e-01 6.581827121151491780e-04
3.354809216441465651e+03 3.066006426921908945e-01 6.644871046400266336e-04
3.358164025657908041e+03 3.090335739824165984e-01 6.594911922575169864e-04
3.361522189683567376e+03 3.113763642489288941e-01 6.532971727091577965e-04
3.364883711873251741e+03 3.138072563004803972e-01 6.286732501939892815e-04
3.368248595585126168e+03 3.167882616125392570e-01 6.970792989525127813e-04
3.371616844180712633e+03 3.195951946052977832e-01 6.976420682872689055e-04
3.374988461024894150e+03 3.223799431147436056e-01 6.878459743251238078e-04
3.378363449485920228e+03 3.250576542573277994e-01 6.790365318558966128e-04
3.381741812935407324e+03 3.277135508492365346e-01 6.668810892975181922e-04
3.385123554748343849e+03 3.305335333749093718e-01 6.318032306354660291e-04
3.388508678303093347e+03 3.331933350255605886e-01 6.201519826159663422e-04
3.391897186981397681e+03 3.356508649829522128e-01 6.440454750913879875e-04
3.395289084168380214e+03 3.381264398965645457e-01 6.211572642346673521e-04
3.398684373252549449e+03 3.406580578051591202e-01 6.205189579922198648e-04
3.402083057625803121e+03 3.430087866635074256e-01 6.114770283185397065e-04
3.405485140683430018e+03 3.450733740878499378e-01 5.848401322000327043e-04
3.408890625824114522e+03 3.474297368343600700e-01 6.402828112397597688e-04
3.412299516449939802e+03 3.497468165290391617e-01 7.318258577256457923e-04
3.415711815966390986e+03 3.518754637070583557e-01 7.375532292246148253e-04
3.419127527782358356e+03 3.537312223316075310e-01 6.426276642493102854e-04
3.422546655310141887e+03 3.550571397655045702e-01 6.571740874071588289e-04
3.425969201965453522e+03 3.562653061894855977e-01 6.721240378924177913e-04
3.429395171167419903e+03 3.572094227487050411e-01 7.069454778846061835e-04
3.432824566338588284e+03 3.580604959562397327e-01 7.329383969019480837e-04
3.436257390904928343e+03 3.587776307745931814e-01 7.561597511216654709e-04
3.439693648295834464e+03 3.593653102173799962e-01 7.728599720721926860e-04
3.443133341944131189e+03 3.602980502973293087e-01 7.929214223196421815e-04
3.446576475286076402e+03 3.610154390166100957e-01 8.111080575839205425e-04
3.450023051761363604e+03 3.618217818482053483e-01 7.809326703032061934e-04
3.453473074813126004e+03 3.625063600234947336e-01 7.143832180328301470e-04
3.456926547887940615e+03 3.636592514864352976e-01 6.618393035827221157e-04
3.460383474435829612e+03 3.652493136623289893e-01 6.700693581250673865e-04
3.463843857910266706e+03 3.672186125897036746e-01 7.593109779099802264e-04
3.467307701768178049e+03 3.694383916248301092e-01 8.525117295768852577e-04
3.470775009469947236e+03 3.715940465938881165e-01 8.851912459864689489e-04
3.474245784479418489e+03 3.737786986912928211e-01 8.974538813450536751e-04
3.477720030263898934e+03 3.760379910281562155e-01 8.816988420131105899e-04
3.481197750294164052e+03 3.784723836010561726e-01 8.149736962378388442e-04
3.484678948044459503e+03 3.811072715172587611e-01 6.547138897827622451e-04
3.488163626992504760e+03 3.835789511993892842e-01 6.267542737039057685e-04
3.491651790619498570e+03 3.860048908786289368e-01 6.140280881666426846e-04
3.495143442410119405e+03 3.883030704224039176e-01 6.187084296213216312e-04
3.498638585852530468e+03 3.906680937453996250e-01 6.123354883583951571e-04
3.502137224438384237e+03 3.926633846256472049e-01 6.001285829520157725e-04
3.505639361662823831e+03 3.946518341761923732e-01 5.679084858855640945e-04
3.509145001024487556e+03 3.964978195267944705e-01 5.688497005596224263e-04
3.512654146025513455e+03 3.983506752535479478e-01 5.593000268151546855e-04
3.516166800171540217e+03 3.998777063345159144e-01 5.437122331055664398e-04
3.519682966971712631e+03 4.016594865601549325e-01 5.222187457997165463e-04
3.523202649938685681e+03 4.038768295473348369e-01 5.250505053918859974e-04
3.526725852588625457e+03 4.062891873912806151e-01 5.332645981355849888e-04
3.530252578441215064e+03 4.087277477271303860e-01 5.546507181788088055e-04
3.533782831019657806e+03 4.111380561979103843e-01 5.712142346720956764e-04
3.537316613850678550e+03 4.137165425755749415e-01 5.910586763712443771e-04
3.540853930464530094e+03 4.164054817063040925e-01 5.967957544900441254e-04
3.544394784394995895e+03 4.188837834465256038e-01 5.576347914735664763e-04
3.547939179179392340e+03 4.211677390321243997e-01 5.675467390457108498e-04
3.551487118358572843e+03 4.232472688704174146e-01 6.469486525945713183e-04
3.555038605476932389e+03 4.253452938952343998e-01 6.937230946719610651e-04
3.558593644082410719e+03 4.276460343252302954e-01 6.757444601660798694e-04
3.562152237726494150e+03 4.298989392240096796e-01 6.088970515536737188e-04
3.565714389964221937e+03 4.325019807947980688e-01 6.402559429349955486e-04
3.569280104354187188e+03 4.352913366564313269e-01 6.870040525112835810e-04
3.572849384458542772e+03 4.380451047206577742e-01 6.706440018980773694e-04
3.576422233843002232e+03 4.405499885008619665e-01 6.715489220347932442e-04
3.579998656076846601e+03 4.430967517517336862e-01 6.957724788910305555e-04
3.583578654732924406e+03 4.456637849200625889e-01 6.974854015005485953e-04
3.587162233387658489e+03 4.482274025352219193e-01 6.912288416327029865e-04
3.590749395621047370e+03 4.508382295838679887e-01 6.879771931077520008e-04
3.594340145016669794e+03 4.535612989906971926e-01 6.891226247305086644e-04
3.597934485161687462e+03 4.564809674585879051e-01 6.895558473994108485e-04
3.601532419646850485e+03 4.596721142522819381e-01 6.897293553380087284e-04
3.605133952066498296e+03 4.630393665903722034e-01 7.097988874483864615e-04
3.608739086018566013e+03 4.665959321666903747e-01 7.085321723417344151e-04
3.612347825104585809e+03 4.701610717589237987e-01 7.372935029439539297e-04
3.615960172929691907e+03 4.736289131568136579e-01 7.410307353857321791e-04
3.619576133102622407e+03 4.771865395298295343e-01 6.659192414224506668e-04
3.623195709235726554e+03 4.814350640751711152e-01 6.182443219066261365e-04
