# starting wavelength: 3249.390
# ending wavelength: 9993.720
# wav flux eflux
3.252455966764071036e+03 9.202690552392599199e-02 4.316352548383420133e-03
3.255708422730835991e+03 9.788928142345265648e-02 3.091458396321815263e-03
3.258964131153567905e+03 1.015779232303267998e-01 2.539193898523420950e-03
3.262223095284722604e+03 1.039385597592695221e-01 1.978167376807336928e-03
3.265485318380008266e+03 1.049890610087086534e-01 1.975083470874390134e-03
3.268750803698389518e+03 1.056949182353860706e-01 1.839419568148645875e-03
3.272019554502088795e+03 1.063946744413380163e-01 1.635944150262270795e-03
3.275291574056592253e+03 1.072887571432275949e-01 1.333622266225426923e-03
3.278566865630649772e+03 1.080394999576488879e-01 1.104855625664876318e-03
3.281845432496281319e+03 1.085846712270096270e-01 9.353019365089673080e-04
3.285127277928778767e+03 1.089893271475705777e-01 8.127036127178553088e-04
3.288412405206708627e+03 1.093024945449258822e-01 7.323586049010245716e-04
3.291700817611916591e+03 1.094853251305600156e-01 6.682697527011351255e-04
3.294992518429529355e+03 1.094630969746476223e-01 6.118290220124208978e-04
3.298287510947960072e+03 1.091106651742745209e-01 5.733582050727307642e-04
3.301585798458909267e+03 1.086684635771449359e-01 5.487489381319996537e-04
3.304887384257369376e+03 1.079440450516700317e-01 5.319845527237111954e-04
3.308192271641627485e+03 1.069109330483328096e-01 5.674577460820188091e-04
3.311500463913270323e+03 1.059336873090112874e-01 5.679583344046039688e-04
3.314811964377184722e+03 1.050881714978227077e-01 5.529672484162825733e-04
3.318126776341563072e+03 1.042424306899464442e-01 5.447041073301574785e-04
3.321444903117905596e+03 1.034606084491340172e-01 5.377581274375310650e-04
3.324766348021024896e+03 1.025150470837419003e-01 5.495225020449319821e-04
3.328091114369046863e+03 1.015667917010929650e-01 5.559253164428629894e-04
3.331419205483417045e+03 1.006084685733469597e-01 5.495658014474731796e-04
3.334750624688901553e+03 9.940092274595435651e-02 4.539946025342356576e-04
3.338085375313591612e+03 9.877965434691982072e-02 4.245743438851553144e-04
3.341423460688906289e+03 9.829022046213381492e-02 4.037687999435113752e-04
3.344764884149596128e+03 9.807020413684672255e-02 4.150520720920896863e-04
3.348109649033746791e+03 9.814246559029558836e-02 4.485742414865777827e-04
3.351457758682781787e+03 9.831170245003142960e-02 4.487786767618591639e-04
3.354809216441465651e+03 9.862190430172654287e-02 4.372380562883861196e-04
3.358164025657908041e+03 9.913829258921541543e-02 4.264554980590826464e-04
3.361522189683567376e+03 9.975146191768831383e-02 4.195645939362257050e-04
3.364883711873251741e+03 1.005417366444644189e-01 4.079709123794672369e-04
3.368248595585126168e+03 1.015155497648170257e-01 3.842257414971542336e-04
3.371616844180712633e+03 1.024913717537241642e-01 3.851236317891703156e-04
3.374988461024894150e+03 1.035995434280934102e-01 3.938444134039539380e-04
3.378363449485920228e+03 1.046247192919045749e-01 4.029776086817949093e-04
3.381741812935407324e+03 1.056901458703725510e-01 4.076738634631187118e-04
3.385123554748343849e+03 1.067011620028208430e-01 4.137161276628917674e-04
3.388508678303093347e+03 1.077572494210499304e-01 3.816349141198966386e-04
3.391897186981397681e+03 1.086896038827427635e-01 3.659419171955997961e-04
3.395289084168380214e+03 1.095182898213450384e-01 3.620839203349910198e-04
3.398684373252549449e+03 1.100802166980156122e-01 3.629445064964800381e-04
3.402083057625803121e+03 1.106310615524089408e-01 3.687342754972461746e-04
3.405485140683430018e+03 1.112253338373453554e-01 3.693066216685931950e-04
3.408890625824114522e+03 1.118179225573596031e-01 3.643219638399561137e-04
3.412299516449939802e+03 1.122797431393131457e-01 3.815816677566755068e-04
3.415711815966390986e+03 1.127077905613767667e-01 3.854946190805953331e-04
3.419127527782358356e+03 1.130921514630360142e-01 3.630342366790549158e-04
3.422546655310141887e+03 1.134947333138332098e-01 3.459763040565300716e-04
3.425969201965453522e+03 1.137252555862634240e-01 2.945481903310748478e-04
3.429395171167419903e+03 1.141419075724236093e-01 2.977772899506273560e-04
3.432824566338588284e+03 1.145991979134705074e-01 2.963275158858983283e-04
3.436257390904928343e+03 1.150712847425827134e-01 2.910721406816367714e-04
3.439693648295834464e+03 1.155479157028328485e-01 2.924886744439023469e-04
3.443133341944131189e+03 1.158931666203664446e-01 2.826593677987851265e-04
3.446576475286076402e+03 1.162302233324619821e-01 2.996164137886169767e-04
3.450023051761363604e+03 1.165928858573532373e-01 3.050199706872267391e-04
