# starting wavelength: 2836.258
# ending wavelength: 8103.695
# wav flux eflux
2.839075150030729219e+03 9.505742631577072110e-01 7.833420348308017811e-01
2.841914225180761150e+03 9.270078385811473254e-01 6.030642145853821745e-01
2.844756139405942577e+03 9.200200604298667262e-01 4.599839312186572715e-01
2.847600895545349431e+03 8.739973494771617890e-01 3.529529577717670508e-01
2.850448496440895724e+03 8.578637145890684046e-01 2.770995443388291624e-01
2.853298944937337637e+03 8.398442405902015739e-01 2.212312368097867632e-01
2.856152243882275798e+03 8.500886323354632790e-01 1.860067091914561765e-01
2.859008396126159369e+03 8.671547240460517614e-01 1.554037389657073331e-01
2.861867404522286051e+03 8.772083399684532656e-01 1.318565942789852730e-01
2.864729271926809361e+03 8.749021830595927751e-01 1.136634156129924106e-01
2.867594001198737260e+03 8.604958635326318550e-01 1.018430860214275674e-01
2.870461595199936710e+03 8.386927821321980003e-01 9.164920669228278360e-02
2.873332056795137760e+03 8.734414056690313899e-01 8.806415982054893732e-02
2.876205388851934003e+03 8.473285892880570991e-01 8.249184202315502923e-02
2.879081594240786671e+03 8.172138215599948907e-01 7.840863909560173706e-02
2.881960675835028724e+03 7.980510032663090669e-01 7.488136054568170219e-02
2.884842636510864395e+03 7.718140641431777693e-01 7.175607490055445348e-02
2.887727479147376471e+03 7.129978525339607520e-01 7.012245538028191727e-02
2.890615206626524468e+03 6.922884192989656738e-01 6.853609367717332368e-02
2.893505821833151913e+03 6.460216117967844118e-01 6.780693850347856155e-02
2.896399327654986337e+03 6.389751417052628168e-01 6.762599671110702815e-02
2.899295726982642009e+03 6.235520950926654038e-01 6.715947185958026644e-02
2.902195022709625846e+03 6.371172170183377892e-01 6.703423906237329644e-02
2.905097217732336503e+03 6.239304515014879593e-01 6.758263454059394715e-02
2.908002314950069831e+03 6.024391558497638188e-01 6.723570494989408730e-02
2.910910317265020694e+03 5.920111383579272912e-01 6.665964413460756521e-02
2.913821227582286610e+03 5.646475322825670329e-01 6.620418217023250895e-02
2.916735048809870023e+03 5.768068338986545029e-01 6.651414417926683476e-02
2.919651783858680574e+03 6.067202907794202460e-01 6.672599177970822693e-02
2.922571435642540564e+03 6.230995741070615157e-01 6.695598581623166123e-02
2.925494007078184040e+03 6.602113125864754739e-01 6.676631803115257169e-02
2.928419501085263164e+03 7.108616119413059264e-01 6.450812322564541956e-02
2.931347920586349119e+03 7.300655682451433481e-01 6.433125921843065032e-02
2.934279268506936660e+03 7.510489948039752450e-01 6.331302111908944374e-02
2.937213547775444567e+03 7.647027195555595735e-01 6.264645466051814438e-02
2.940150761323221104e+03 8.078305716235020251e-01 5.965699895886288073e-02
2.943090912084544925e+03 8.057709702857138723e-01 5.932466551068225902e-02
2.946034002996630534e+03 8.258991941767775957e-01 5.837075451967405765e-02
