# starting wavelength: 2454.752
# ending wavelength: 7555.599
# wav flux eflux
2.456041234516958411e+03 1.533119207962295061e+00 3.074736426931086730e-01
2.458497275751476081e+03 1.504816899127891849e+00 2.447052467322066716e-01
2.460955773027228133e+03 1.449882359442752122e+00 1.994775776338706397e-01
2.463416728800256351e+03 1.412167581821164308e+00 1.640627605007608514e-01
2.465880145529057245e+03 1.364775562150694732e+00 1.414990982987700818e-01
2.468346025674587509e+03 1.347401399523323606e+00 1.262630872114437475e-01
2.470814371700262654e+03 1.340278096619792914e+00 1.107183529479221218e-01
2.473285186071963835e+03 1.322728994788753942e+00 9.852638148812702112e-02
2.475758471258036479e+03 1.323218524979246080e+00 9.164771228242464540e-02
2.478234229729295294e+03 1.311992942419889063e+00 8.488342101120922856e-02
2.480712463959025627e+03 1.357528916195703372e+00 8.057598672873762802e-02
2.483193176422985289e+03 1.387991197692452605e+00 7.655312758157586939e-02
2.485676369599409099e+03 1.411821634019635674e+00 7.347232589587104901e-02
2.488162045969009341e+03 1.424005040874643857e+00 7.037350197150556153e-02
2.490650208014979398e+03 1.450234004695986956e+00 6.828288947472489767e-02
2.493140858222995121e+03 1.465513810907125070e+00 6.634383519822290021e-02
2.495633999081218917e+03 1.452763901604604113e+00 6.420223625313328797e-02
2.498129633080301119e+03 1.476702295132057197e+00 6.259830861609338992e-02
2.500627762713382253e+03 1.483272004847696168e+00 6.187419205969235669e-02
2.503128390476096229e+03 1.471845843432415313e+00 6.143145827578131574e-02
2.505631518866573060e+03 1.456098526489822964e+00 6.000928308847014447e-02
2.508137150385440691e+03 1.434055092576403068e+00 5.832768960290338200e-02
2.510645287535826810e+03 1.420125035803773139e+00 5.627137665651614495e-02
2.513155932823363401e+03 1.361450245819093352e+00 5.592029429026901949e-02
2.515669088756187648e+03 1.325126284496480400e+00 5.590069476559205580e-02
2.518184757844944670e+03 1.311051438993133367e+00 5.485316421391650543e-02
2.520702942602790699e+03 1.307777077082801886e+00 5.425325908519450235e-02
2.523223645545393993e+03 1.265936165774562694e+00 5.261756204438507861e-02
2.525746869190940288e+03 1.243861333742560138e+00 5.152188371846277981e-02
2.528272616060131895e+03 1.230961775954230397e+00 5.053398167462842816e-02
2.530800888676193154e+03 1.255222929505860119e+00 5.164307658932490441e-02
2.533331689564869976e+03 1.272416921238539889e+00 5.088842132746580760e-02
2.535865021254435760e+03 1.278163598958589109e+00 5.017534374581905654e-02
2.538400886275690937e+03 1.273333742190164264e+00 5.084387041475944141e-02
2.540939287161967513e+03 1.312496117676672736e+00 4.957100499942819483e-02
2.543480226449130441e+03 1.333957955838141363e+00 4.903820193201895161e-02
2.546023706675580343e+03 1.347795168196097348e+00 4.855509644645528838e-02
2.548569730382256694e+03 1.368805105879074224e+00 4.687340723112754654e-02
2.551118300112640100e+03 1.333471672861818780e+00 4.784636607080935966e-02
2.553669418412753203e+03 1.323365042531936764e+00 4.897405917050353524e-02
2.556223087831167049e+03 1.341239409678468553e+00 4.958308285766688944e-02
2.558779310918998817e+03 1.341853742147498307e+00 4.757373044327981720e-02
2.561338090229918635e+03 1.325594794397274567e+00 4.677604935491391780e-02
2.563899428320149582e+03 1.286371409320627990e+00 4.640422859381208853e-02
2.566463327748470419e+03 1.255482664645383162e+00 4.605754814903133959e-02
2.569029791076220135e+03 1.200808428754174706e+00 4.501346272126318521e-02
2.571598820867297036e+03 1.172882006393056287e+00 4.417370067531566774e-02
2.574170419688165111e+03 1.149449847364835575e+00 4.357316603404562394e-02
2.576744590107854037e+03 1.106318263288225578e+00 4.314472015249525699e-02
2.579321334697962811e+03 1.063170943458358053e+00 4.290427188456667068e-02
2.581900656032661573e+03 1.056203427409120987e+00 4.275806138219126473e-02
2.584482556688695240e+03 1.041867223971412404e+00 4.227847007089307468e-02
2.587067039245384876e+03 1.033139409993034219e+00 4.194729925642845525e-02
2.589654106284630871e+03 1.031132023324326630e+00 4.133314970980139086e-02
2.592243760390916577e+03 1.026964209179276111e+00 4.100278585146565485e-02
2.594836004151308316e+03 1.047841258326897007e+00 4.011921188119173948e-02
2.597430840155460373e+03 1.080413867650611204e+00 4.051858157934137838e-02
2.600028270995616822e+03 1.073675194991413173e+00 4.057768568385720226e-02
2.602628299266613340e+03 1.096727803284037739e+00 4.025983642341599694e-02
