# starting wavelength: 2571.638
# ending wavelength: 7965.293
# wav flux eflux
2.574170419688165111e+03 6.582677961083487350e-01 3.411919762688250257e-01
2.576744590107854037e+03 6.429869123156362054e-01 2.587313269358502144e-01
2.579321334697962811e+03 6.086490887615205736e-01 2.042680865789588962e-01
2.581900656032661573e+03 6.093892221229882944e-01 1.573519876062890455e-01
2.584482556688695240e+03 6.222292975308144625e-01 1.231599244531108722e-01
2.587067039245384876e+03 6.457941089105446730e-01 1.000994599343246333e-01
2.589654106284630871e+03 6.611676287201783131e-01 8.191030799440138233e-02
2.592243760390916577e+03 6.809745450344252271e-01 6.807320367723054821e-02
2.594836004151308316e+03 6.967765881584616627e-01 5.740903526618144209e-02
2.597430840155460373e+03 6.992537015494199037e-01 5.110692911461681143e-02
2.600028270995616822e+03 7.024849688158438799e-01 4.487479801482831959e-02
2.602628299266613340e+03 6.984178956351155820e-01 4.085790297285465250e-02
2.605230927565880847e+03 6.992504982183891382e-01 3.767769653947206088e-02
2.607836158493447329e+03 7.046444000584277667e-01 3.511238025186089878e-02
2.610443994651941921e+03 7.058184092332792092e-01 3.318158647881297441e-02
2.613054438646594463e+03 7.146529037043181098e-01 3.158822058313835723e-02
2.615667493085241858e+03 7.083337670660340146e-01 3.038858712370027387e-02
2.618283160578328079e+03 7.117210331216712316e-01 2.910677822382240487e-02
2.620901443738907346e+03 7.080299654678280374e-01 2.825526825198053371e-02
2.623522345182646859e+03 7.139682193162009138e-01 2.790246586608337992e-02
2.626145867527830433e+03 7.044795659097978779e-01 2.725698355905651141e-02
2.628772013395359409e+03 7.097726027884553313e-01 2.699100393362860797e-02
2.631400785408755382e+03 7.179400184705267973e-01 2.670604768673773971e-02
2.634032186194165206e+03 7.325026650535472195e-01 2.647923225552573437e-02
2.636666218380360078e+03 7.297117772875552077e-01 2.510274551858096212e-02
2.639302884598741457e+03 7.351039003690655882e-01 2.502368793481008283e-02
2.641942187483341058e+03 7.443662963201297389e-01 2.489248826312773569e-02
2.644584129670825405e+03 7.411122812282456840e-01 2.440716550989499578e-02
2.647228713800496735e+03 7.516186728135357820e-01 2.298821278454111702e-02
2.649875942514298458e+03 7.456921610099422892e-01 2.342634633302574654e-02
2.652525818456813340e+03 7.444565793090995864e-01 2.273849346310729408e-02
2.655178344275271229e+03 7.371398196105061196e-01 2.261702712687576819e-02
2.657833522619547239e+03 7.289092567431638692e-01 2.258932822874660726e-02
2.660491356142167660e+03 7.342888276808342551e-01 2.200786748718619457e-02
2.663151847498310872e+03 7.296782567431311373e-01 2.027638732627468424e-02
2.665814999345810065e+03 7.322637533180487157e-01 2.031064229061338780e-02
2.668480814345156887e+03 7.290054729441939330e-01 2.014101733593468696e-02
2.671149295159502799e+03 7.302905421688442589e-01 2.005843945227084313e-02
2.673820444454663175e+03 7.299576149657195367e-01 1.991423253970415683e-02
2.676494264899118662e+03 7.348832800312222746e-01 1.861022577522550986e-02
2.679170759164018818e+03 7.369723080362587941e-01 1.803559296643491780e-02
2.681849929923183481e+03 7.366649587089052487e-01 1.788647755449024324e-02
2.684531779853107764e+03 7.329420551063983158e-01 1.774696483290844409e-02
2.687216311632961606e+03 7.328801041766115354e-01 1.696734361279446726e-02
2.689903527944595680e+03 7.272993265591162215e-01 1.747895827796791535e-02
2.692593431472540942e+03 7.185351251442385623e-01 1.748283428682666923e-02
2.695286024904014539e+03 7.184778089811304502e-01 1.714459177072923113e-02
2.697981310928919356e+03 7.191444324537907828e-01 1.707375757891994861e-02
2.700679292239849019e+03 7.167684899672100984e-01 1.714204388613684710e-02
2.703379971532089712e+03 7.255414140188715111e-01 1.697559111275286428e-02
2.706083351503622907e+03 7.353660922529274835e-01 1.655116480509397775e-02
2.708789434855127183e+03 7.349874316119706652e-01 1.643727242674989861e-02
2.711498224289983227e+03 7.301156649018170075e-01 1.632916954244184593e-02
2.714209722514274290e+03 7.348498207208989941e-01 1.645574323173171899e-02
2.716923932236789369e+03 7.328186631822176667e-01 1.632861755584672295e-02
2.719640856169027302e+03 7.245756303121085873e-01 1.609012907670026929e-02
2.722360497025197219e+03 7.270504453222459418e-01 1.602565096733666108e-02
2.725082857522223094e+03 7.301870293455176020e-01 1.567520751397965748e-02
2.727807940379746015e+03 7.428623642202079047e-01 1.640206035375812998e-02
2.730535748320126913e+03 7.433557843385583119e-01 1.618277914877006354e-02
2.733266284068447931e+03 7.424431752741940116e-01 1.660878979480891193e-02
2.735999550352517417e+03 7.456215087435844602e-01 1.648112104467471320e-02
2.738735549902870844e+03 7.493831196667475325e-01 1.646559443956956831e-02
2.741474285452774438e+03 7.508525210978298503e-01 1.617485079648820975e-02
2.744215759738227916e+03 7.504569516438943655e-01 1.594957452560973044e-02
2.746959975497967207e+03 7.314048678289026828e-01 1.780542297397828128e-02
2.749706935473466274e+03 7.123885094462598655e-01 2.064476638356065735e-02
2.752456642408940297e+03 7.265327499612163065e-01 2.180764765523653809e-02
2.755209099051350222e+03 7.317313077207266980e-01 2.223448613215251932e-02
2.757964308150402758e+03 7.488597060463478838e-01 2.313429430573581830e-02
2.760722272458554016e+03 7.786578324859564360e-01 2.534849733326733148e-02
2.763482994731013605e+03 7.956482432096317892e-01 2.516824164955016110e-02
2.766246477725745535e+03 8.132493235527825659e-01 2.518460310360616169e-02
2.769012724203471862e+03 8.326621417699096028e-01 2.474532766290053407e-02
2.771781736927676320e+03 8.371633423321045431e-01 2.500678276409173603e-02
2.774553518664604780e+03 8.412327987532906004e-01 2.564737897163343883e-02
2.777328072183270706e+03 8.493073007144024134e-01 2.561570554018887530e-02
2.780105400255454697e+03 8.639584440165695156e-01 2.583877066353354457e-02
2.782885505655710858e+03 8.730622715653650889e-01 2.528255794086060881e-02
2.785668391161367708e+03 8.890232110510568608e-01 2.550772461100432598e-02
2.788454059552529998e+03 8.990197519937666026e-01 2.558484097534699866e-02
2.791242513612083258e+03 9.115985351086113297e-01 2.544127472197039996e-02
2.794033756125696527e+03 9.190269614211330484e-01 2.549908279388204274e-02
2.796827789881823264e+03 9.235709618818598310e-01 2.572188037293047722e-02
2.799624617671705892e+03 9.218659958496168150e-01 2.568608867596019682e-02
2.802424242289378526e+03 9.154707352338127269e-01 2.567311320204113817e-02
2.805226666531668798e+03 9.022965528867863405e-01 2.582129281287135966e-02
2.808031893198201487e+03 8.827719731242914536e-01 2.578075792631436339e-02
2.810839925091400346e+03 8.785672257069433444e-01 2.620783566780519186e-02
2.813650765016492642e+03 8.661912995270910631e-01 2.621739092267858992e-02
