# starting wavelength: 2487.923
# ending wavelength: 7564.412
# wav flux eflux
2.488162045969009341e+03 5.907701414504868964e-01 2.005427571218036054e+00
2.490650208014979398e+03 6.498754318505420846e-01 1.489551966928724491e+00
2.493140858222995121e+03 6.415761859142451451e-01 1.132132618997058415e+00
2.495633999081218917e+03 6.120819115559990031e-01 8.392444668936382968e-01
2.498129633080301119e+03 6.102132791270629131e-01 6.498602042756254082e-01
2.500627762713382253e+03 6.084172304502964979e-01 5.067981368657418217e-01
2.503128390476096229e+03 6.202635269232973370e-01 4.068779945473222082e-01
2.505631518866573060e+03 6.468897371038332400e-01 3.291238299113972143e-01
2.508137150385440691e+03 6.711129571192565590e-01 2.761720863916918289e-01
2.510645287535826810e+03 6.943445477936815990e-01 2.324204745174823505e-01
2.513155932823363401e+03 7.248947914356171918e-01 2.032167252848771088e-01
2.515669088756187648e+03 7.232846769908335416e-01 1.827194590954605014e-01
2.518184757844944670e+03 7.355094639178875182e-01 1.651893060398281488e-01
2.520702942602790699e+03 7.201911766523552139e-01 1.526574636094978898e-01
2.523223645545393993e+03 7.251759917732981675e-01 1.443707097259139538e-01
2.525746869190940288e+03 7.186678309379330720e-01 1.347317116183537056e-01
2.528272616060131895e+03 7.279760472949354799e-01 1.262769722069813638e-01
2.530800888676193154e+03 7.295040613981877975e-01 1.240531973122137033e-01
2.533331689564869976e+03 7.410531003479874368e-01 1.177496449494920827e-01
2.535865021254435760e+03 7.377552290925111222e-01 1.180159750964664828e-01
2.538400886275690937e+03 7.599318009754132408e-01 1.117705094593511167e-01
2.540939287161967513e+03 6.973399293611000083e-01 9.748468667630874607e-02
2.543480226449130441e+03 6.853512210059724552e-01 9.744931206545083546e-02
2.546023706675580343e+03 7.158941270553529357e-01 8.297732791041538547e-02
2.548569730382256694e+03 6.551410551420461248e-01 5.114279790220806893e-02
2.551118300112640100e+03 6.273605626812497338e-01 5.109322698791789880e-02
2.553669418412753203e+03 6.286828161035835638e-01 5.177395269467573169e-02
2.556223087831167049e+03 6.375116116787449272e-01 5.177885389722106796e-02
2.558779310918998817e+03 6.461811566499736648e-01 4.927937879279841588e-02
2.561338090229918635e+03 6.844373544102955176e-01 5.113294381284543000e-02
2.563899428320149582e+03 7.043857938991325840e-01 5.076456933965613899e-02
2.566463327748470419e+03 7.143336923115692905e-01 4.802905966133382692e-02
2.569029791076220135e+03 7.287865231836688773e-01 4.975393598417098689e-02
2.571598820867297036e+03 7.378836299826535550e-01 4.921050926947358878e-02
2.574170419688165111e+03 7.526616142944760890e-01 4.770134414584142196e-02
2.576744590107854037e+03 7.547776156506764700e-01 4.964197863862979815e-02
2.579321334697962811e+03 7.447713028535558610e-01 4.806917036857344394e-02
2.581900656032661573e+03 7.341018838212920450e-01 4.809957773233228262e-02
2.584482556688695240e+03 7.398680042217438135e-01 4.284625703113626588e-02
2.587067039245384876e+03 7.088296524539644539e-01 4.476443411396815314e-02
2.589654106284630871e+03 6.926913981035605072e-01 4.470325574643611161e-02
2.592243760390916577e+03 6.618241521555213724e-01 4.669502907796651420e-02
2.594836004151308316e+03 6.370997523994180733e-01 4.744616252545170998e-02
2.597430840155460373e+03 6.235746433598606808e-01 4.729322279038870869e-02
2.600028270995616822e+03 5.827077075530250339e-01 5.036423765759721893e-02
2.602628299266613340e+03 5.750437439649425109e-01 5.265511052858890678e-02
2.605230927565880847e+03 5.712196692772131268e-01 4.972022626592810524e-02
2.607836158493447329e+03 5.557892627905375305e-01 4.182990037941003436e-02
2.610443994651941921e+03 5.389260870415892857e-01 3.806691325020388622e-02
2.613054438646594463e+03 5.499007145414102071e-01 3.693376150294266219e-02
2.615667493085241858e+03 5.782182987749604486e-01 4.426589438819951428e-02
2.618283160578328079e+03 5.963488672979380123e-01 4.463375899445413963e-02
2.620901443738907346e+03 6.191388131832972208e-01 4.270709699272523530e-02
2.623522345182646859e+03 6.558627369289359299e-01 3.923672438562851583e-02
2.626145867527830433e+03 6.973455337348765104e-01 3.522935553440892376e-02
2.628772013395359409e+03 7.239936863974535397e-01 3.324276276343671871e-02
2.631400785408755382e+03 7.553508972282010347e-01 3.345594556529447872e-02
2.634032186194165206e+03 7.819172159135969746e-01 3.096481163039167123e-02
2.636666218380360078e+03 8.003176717399305140e-01 2.940548474156626235e-02
2.639302884598741457e+03 8.087612368787409078e-01 2.875007052156091508e-02
2.641942187483341058e+03 8.238068755376459773e-01 2.742124498596138979e-02
2.644584129670825405e+03 8.216933491149798208e-01 2.811414604934444131e-02
2.647228713800496735e+03 8.207278030048837936e-01 2.783161016219876105e-02
2.649875942514298458e+03 8.152950015961144548e-01 2.821888746220451230e-02
2.652525818456813340e+03 8.159562842027640039e-01 2.826820177719544316e-02
2.655178344275271229e+03 8.022443606609321876e-01 2.175375114825020204e-02
2.657833522619547239e+03 7.949726736635085445e-01 2.102930741300004791e-02
2.660491356142167660e+03 7.866908032043267163e-01 2.105203334258608228e-02
2.663151847498310872e+03 7.807764130630902022e-01 2.058686692766306670e-02
2.665814999345810065e+03 7.703217855909044731e-01 2.099985489233653288e-02
2.668480814345156887e+03 7.666356600888560857e-01 2.101222661398371647e-02
2.671149295159502799e+03 7.728106008116688574e-01 1.993309656613615616e-02
2.673820444454663175e+03 7.781341858385175669e-01 2.055238735800052341e-02
2.676494264899118662e+03 7.798860907223243988e-01 2.116854524622987024e-02
2.679170759164018818e+03 7.788071867227747136e-01 1.991840198464072884e-02
2.681849929923183481e+03 7.811191496949507762e-01 2.070174286419916229e-02
2.684531779853107764e+03 7.751803912277290820e-01 1.856833580894104094e-02
2.687216311632961606e+03 7.733846654184712843e-01 1.745476680960895977e-02
2.689903527944595680e+03 7.761136837945400435e-01 1.766943681452566237e-02
2.692593431472540942e+03 7.681915367284609664e-01 1.912522931309293753e-02
2.695286024904014539e+03 7.696042440580448396e-01 1.800378183173730745e-02
2.697981310928919356e+03 7.693739829718655443e-01 1.831066855519008357e-02
2.700679292239849019e+03 7.788157339198826801e-01 1.669628469516352964e-02
2.703379971532089712e+03 7.872916929662842067e-01 1.574592565423607940e-02
2.706083351503622907e+03 7.889421877899673863e-01 1.504326860124526218e-02
2.708789434855127183e+03 8.078220098154379469e-01 1.901735665741977749e-02
2.711498224289983227e+03 8.174556624549987882e-01 1.898716899180414794e-02
2.714209722514274290e+03 8.206926071232109043e-01 1.890591318622415057e-02
2.716923932236789369e+03 8.198051189542839845e-01 1.898944686232255374e-02
2.719640856169027302e+03 8.263225637576471216e-01 1.908728679930075597e-02
2.722360497025197219e+03 8.238791482288894130e-01 1.850324150762901881e-02
2.725082857522223094e+03 8.276322683864700824e-01 1.815750944926597388e-02
2.727807940379746015e+03 8.243695748245380983e-01 1.863024327980508307e-02
2.730535748320126913e+03 8.190965197486913540e-01 1.800919670526876515e-02
2.733266284068447931e+03 8.100883284637582227e-01 1.922465671681062443e-02
2.735999550352517417e+03 8.136332873068296001e-01 2.004433329750369627e-02
2.738735549902870844e+03 8.148106217917336913e-01 1.962533817863745464e-02
2.741474285452774438e+03 8.254904177072627247e-01 2.019985969607432374e-02
2.744215759738227916e+03 8.221566088518423854e-01 2.067915615227485654e-02
2.746959975497967207e+03 8.122262084608147248e-01 1.931344176751338335e-02
2.749706935473466274e+03 8.191254223404250689e-01 1.929605506695940623e-02
2.752456642408940297e+03 8.216634810176328685e-01 2.015618108531333844e-02
2.755209099051350222e+03 8.273898041834958361e-01 1.923071361771848398e-02
2.757964308150402758e+03 8.330060264507685996e-01 1.881955879220705702e-02
2.760722272458554016e+03 8.370326604221889344e-01 1.876321516642123766e-02
2.763482994731013605e+03 8.485180044978166691e-01 1.720136522353657785e-02
2.766246477725745535e+03 8.510920237876319350e-01 1.703078881270162631e-02
2.769012724203471862e+03 8.539400602395040840e-01 1.701732878708944741e-02
2.771781736927676320e+03 8.515814881126855251e-01 1.625222587037120775e-02
2.774553518664604780e+03 8.510565618635761442e-01 1.620192841541154630e-02
2.777328072183270706e+03 8.430996734144237115e-01 1.644529717857521126e-02
2.780105400255454697e+03 8.378352353014366649e-01 1.545679309716241692e-02
2.782885505655710858e+03 8.233679263776750856e-01 1.630646966711282037e-02
2.785668391161367708e+03 8.207949791090467517e-01 1.624861313471024499e-02
2.788454059552529998e+03 8.101052251670504134e-01 1.640358492657586695e-02
2.791242513612083258e+03 8.021125871901384485e-01 1.628161054642903935e-02
2.794033756125696527e+03 7.969724011973200462e-01 1.626310241111673938e-02
2.796827789881823264e+03 7.973331017987553837e-01 1.599015571871763297e-02
2.799624617671705892e+03 8.049150866934261517e-01 1.576432529429549687e-02
2.802424242289378526e+03 8.116271111637293201e-01 1.629309539262761841e-02
2.805226666531668798e+03 8.155063963773712121e-01 1.569614825197525668e-02
2.808031893198201487e+03 8.235297908435874614e-01 1.465337131840322056e-02
2.810839925091400346e+03 8.284597891827756300e-01 1.480017612383933284e-02
2.813650765016492642e+03 8.482087507490378986e-01 1.555578658873019333e-02
2.816464415781510070e+03 8.716009279651953934e-01 1.327013030784492294e-02
2.819280880197292845e+03 8.803792634239510084e-01 1.324709151427004225e-02
2.822100161077491066e+03 8.810106818844731791e-01 1.425794189717934438e-02
2.824922261238569263e+03 8.820996816063541024e-01 1.588363140723414099e-02
2.827747183499808671e+03 8.856816836853811381e-01 1.628761585511115037e-02
2.830574930683309503e+03 8.922671421076487919e-01 1.541268364580336038e-02
2.833405505613993682e+03 8.894322965659551272e-01 1.509679988073105855e-02
2.836238911119608929e+03 8.872380949566969210e-01 1.566739607147353899e-02
2.839075150030729219e+03 8.815349388739617265e-01 1.568589480398931146e-02
2.841914225180761150e+03 8.809307174942960783e-01 1.474833740520985377e-02
2.844756139405942577e+03 8.791583737188952696e-01 1.560110723669342128e-02
2.847600895545349431e+03 8.910180835148064915e-01 1.773784792780507685e-02
2.850448496440895724e+03 8.846061088709625819e-01 1.711830070537147946e-02
2.853298944937337637e+03 8.875517573740178134e-01 1.746523008005744157e-02
2.856152243882275798e+03 8.838522601886147356e-01 1.735688189548400748e-02
2.859008396126159369e+03 8.817608458952763684e-01 1.716011892455999305e-02
2.861867404522286051e+03 8.804127924723886833e-01 1.718754118255252927e-02
2.864729271926809361e+03 8.795628545795339814e-01 1.688672544193876857e-02
2.867594001198737260e+03 8.754852648634712242e-01 1.678524535312564403e-02
2.870461595199936710e+03 8.740803873810808478e-01 1.782358093761931411e-02
2.873332056795137760e+03 8.719297161967621834e-01 1.652991838242598086e-02
2.876205388851934003e+03 8.662329423038280796e-01 1.544165265333591330e-02
2.879081594240786671e+03 8.606815678759376365e-01 1.590041730040734833e-02
2.881960675835028724e+03 8.636798473509865737e-01 1.536204349896563154e-02
2.884842636510864395e+03 8.635496887278363287e-01 1.420921401346580439e-02
2.887727479147376471e+03 8.724052577509591178e-01 1.308596537201499148e-02
2.890615206626524468e+03 8.725792057722931983e-01 1.380565418338480441e-02
2.893505821833151913e+03 8.704662472739966850e-01 1.353514807972773688e-02
2.896399327654986337e+03 8.663766784130950693e-01 1.332939265159429308e-02
2.899295726982642009e+03 8.726164526375596031e-01 1.342266676474030904e-02
2.902195022709625846e+03 8.736291174756327660e-01 1.267531416205715765e-02
2.905097217732336503e+03 8.765264324840542631e-01 1.201539758979311423e-02
2.908002314950069831e+03 8.766961366457026728e-01 1.200668360814320310e-02
2.910910317265020694e+03 8.794817705904924843e-01 1.138828317216796296e-02
2.913821227582286610e+03 8.881028077030931334e-01 9.613556287316854868e-03
2.916735048809870023e+03 8.883922885345472142e-01 9.262290504562627202e-03
2.919651783858680574e+03 8.893593484611348465e-01 8.664201885617131560e-03
2.922571435642540564e+03 8.996538808178184965e-01 1.257681120705318213e-02
2.925494007078184040e+03 9.007246137138176234e-01 1.307554373259671616e-02
2.928419501085263164e+03 8.999498105658403357e-01 1.229381447784292161e-02
2.931347920586349119e+03 8.881437053142755556e-01 1.551761358355191467e-02
2.934279268506936660e+03 8.814812946120023085e-01 1.552283112886224635e-02
2.937213547775444567e+03 8.807785906134563136e-01 1.623610930949714870e-02
2.940150761323221104e+03 8.796903186885015602e-01 1.539033443299698059e-02
2.943090912084544925e+03 8.924709702017754598e-01 1.577440401895556510e-02
2.946034002996630534e+03 8.982116066852365854e-01 1.680829712602089840e-02
2.948980036999628283e+03 9.130598847295618992e-01 1.814262989161915737e-02
2.951929017036628920e+03 9.222478659866899520e-01 1.747996251613537569e-02
2.954880946053666321e+03 9.355977257689467308e-01 1.866106380466445169e-02
2.957835826999721121e+03 9.524014054469072121e-01 1.842688792162628167e-02
2.960793662826721629e+03 9.588399544026071641e-01 1.810904838471319445e-02
2.963754456489549284e+03 9.608722454417837344e-01 1.858112827849456306e-02
2.966718210946040017e+03 9.681082437566026488e-01 1.971935493188863714e-02
2.969684929156986982e+03 9.671374416804200402e-01 1.899138580678693192e-02
2.972654614086145102e+03 9.651418482698101986e-01 1.702785133574133414e-02
2.975627268700231980e+03 9.620678324442215601e-01 1.730655759949573103e-02
2.978602895968933353e+03 9.583886761438672464e-01 1.535488976397707955e-02
2.981581498864903097e+03 9.753107930931479430e-01 1.461813393885889878e-02
2.984563080363769132e+03 9.811235998182951112e-01 1.461290640419020057e-02
2.987547643444133882e+03 9.886468299819600736e-01 1.423284945116012890e-02
2.990535191087578823e+03 9.963368155118774716e-01 1.396003628989915188e-02
2.993525726278667662e+03 1.007734555234325535e+00 1.441388773775044603e-02
2.996519252004947248e+03 1.011690320717830494e+00 1.437500912421169931e-02
2.999515771256953030e+03 1.005865608729131333e+00 1.599811669433780920e-02
3.002515287028211333e+03 1.010936037921371877e+00 1.571407148145815072e-02
3.005517802315240260e+03 1.022804812404617403e+00 1.808663494159142016e-02
3.008523320117556523e+03 1.020700854341119346e+00 1.801120680226233131e-02
3.011531843437674979e+03 1.008360689805003041e+00 1.683763860645754590e-02
3.014543375281113640e+03 1.004850573290229532e+00 1.520192806572740959e-02
3.017557918656395941e+03 9.898677023285957777e-01 1.800787326671081379e-02
3.020575476575053472e+03 9.869401737288094889e-01 1.792207217020643645e-02
3.023596052051629158e+03 9.816651027134500884e-01 1.688580984273950134e-02
3.026619648103681811e+03 9.819083316081239632e-01 1.685002450242122779e-02
3.029646267751786581e+03 9.830657804686063761e-01 1.671891846583386382e-02
3.032675914019539505e+03 9.853203526636027387e-01 1.664425091509885019e-02
3.035708589933559779e+03 9.943483917036488595e-01 1.860628859437115160e-02
3.038744298523494763e+03 9.993314566356441553e-01 1.676386078949327479e-02
3.041783042822019070e+03 9.983526552170031154e-01 1.673533016121158193e-02
3.044824825864842296e+03 9.980527620375334585e-01 1.668077604118431770e-02
3.047869650690708113e+03 9.965801293673246519e-01 1.655056966057693452e-02
3.050917520341399722e+03 9.984677072092795758e-01 1.608164135065175138e-02
3.053968437861742132e+03 9.840061776566501051e-01 1.240030114147530095e-02
