# starting wavelength: 3309.283
# ending wavelength: 9475.709
# wav flux eflux
3.311500463913270323e+03 4.183652559434288265e-01 1.472223704521776755e-01
3.314811964377184722e+03 4.259466633766946786e-01 1.108873630193928095e-01
3.318126776341563072e+03 4.172915462425335620e-01 8.732659270132094032e-02
3.321444903117905596e+03 4.055838369851645919e-01 7.095957509308044309e-02
3.324766348021024896e+03 4.015892878032615854e-01 5.530389017322945994e-02
3.328091114369046863e+03 3.980569953471285172e-01 4.481194700005921433e-02
3.331419205483417045e+03 3.988691869651991850e-01 4.144433924309053052e-02
3.334750624688901553e+03 4.050533672846691191e-01 3.380552050834701588e-02
3.338085375313591612e+03 4.161487092233889240e-01 3.020917593246266741e-02
3.341423460688906289e+03 4.262366378777580067e-01 2.635664919118364813e-02
3.344764884149596128e+03 4.353054826841120106e-01 2.304898808612864877e-02
3.348109649033746791e+03 4.464201322328832378e-01 2.119891780736806591e-02
3.351457758682781787e+03 4.480988889361128269e-01 2.000413151804040710e-02
3.354809216441465651e+03 4.518654812169958790e-01 1.876313421396882952e-02
3.358164025657908041e+03 4.492227382440913686e-01 1.809416610061566691e-02
3.361522189683567376e+03 4.450620727104776519e-01 1.753740747944323303e-02
3.364883711873251741e+03 4.432863229874760558e-01 1.719373207149912236e-02
3.368248595585126168e+03 4.347388510960503716e-01 1.761672802356055445e-02
3.371616844180712633e+03 4.277892916838075821e-01 1.759046767550753385e-02
3.374988461024894150e+03 4.278140457410505304e-01 1.820927848427416826e-02
3.378363449485920228e+03 4.166380057004199777e-01 1.804245462538681469e-02
3.381741812935407324e+03 4.079946621146761099e-01 1.881641797785153086e-02
3.385123554748343849e+03 4.038878164187154618e-01 1.954575090717329197e-02
3.388508678303093347e+03 3.996057794369470839e-01 1.925436879645953461e-02
3.391897186981397681e+03 3.881550556926873785e-01 1.693025370986343814e-02
3.395289084168380214e+03 3.896927386073141264e-01 1.635261834591414387e-02
3.398684373252549449e+03 3.797517335600935073e-01 1.274020253040722070e-02
3.402083057625803121e+03 3.855575937146348831e-01 1.381788554657764796e-02
3.405485140683430018e+03 3.954102426905146128e-01 1.505824175702361045e-02
3.408890625824114522e+03 4.079126626583464144e-01 1.416307052899169402e-02
3.412299516449939802e+03 4.206409443059923592e-01 1.451632717257224023e-02
3.415711815966390986e+03 4.404767157892297003e-01 1.259606826616703479e-02
3.419127527782358356e+03 4.491649690188811994e-01 1.259080155485838709e-02
3.422546655310141887e+03 4.641415584224756752e-01 1.208610967284123178e-02
3.425969201965453522e+03 4.792023727646666509e-01 9.767376122682710701e-03
3.429395171167419903e+03 4.876347030827563045e-01 9.811046356966720422e-03
3.432824566338588284e+03 4.890162197097677743e-01 9.851953099068036859e-03
3.436257390904928343e+03 4.914258836092257887e-01 9.895415772228095125e-03
3.439693648295834464e+03 4.907779361499045034e-01 1.036348148722926292e-02
