# starting wavelength: 3901.620
# ending wavelength: 10028.626
# wav flux eflux
3.905238878896088409e+03 2.486913272362951677e+00 2.912741992278539485e-02
3.909144117774985716e+03 2.472361134136010996e+00 2.559440771524573374e-02
3.913053261892762293e+03 2.450766144239347355e+00 2.301883783421014226e-02
3.916966315154656058e+03 2.429088914333498384e+00 2.087532155226215838e-02
3.920883281469812118e+03 2.414158868533358149e+00 1.921595039578869249e-02
3.924804164751283224e+03 2.402255615386240439e+00 1.805744622227607038e-02
3.928728968916035683e+03 2.392017621307851005e+00 1.701606819456095293e-02
3.932657697884953450e+03 2.384212517182938473e+00 1.634828922112963046e-02
3.936590355582839493e+03 2.369913684825546429e+00 1.573307127903207647e-02
3.940526945938423523e+03 2.357892941236253037e+00 1.507726153002199310e-02
3.944467472884363360e+03 2.349302769148846171e+00 1.439900937871279284e-02
3.948411940357249023e+03 2.338164387977681002e+00 1.398099107288998909e-02
3.952360352297607733e+03 2.329478905488039153e+00 1.337955955442603380e-02
3.956312712649906643e+03 2.318666695318557736e+00 1.288239985000034192e-02
3.960269025362557841e+03 2.308405422626612857e+00 1.242137692200787763e-02
3.964229294387921527e+03 2.298027040433809010e+00 1.199633511898820157e-02
3.968193523682310570e+03 2.284748816589712739e+00 1.160450706331241089e-02
3.972161717205994591e+03 2.274264092981108210e+00 1.133254517746884633e-02
3.976133878923201792e+03 2.255942176933484866e+00 1.112231120978303227e-02
3.980110012802126221e+03 2.248506529448330848e+00 1.100563004471137064e-02
3.984090122814929600e+03 2.241642008623326632e+00 1.081823889657247857e-02
3.988074212937745870e+03 2.231185951756058383e+00 1.057475633147427450e-02
3.992062287150684824e+03 2.231502121546077522e+00 1.030020531344906336e-02
3.996054349437837118e+03 2.229666058596560418e+00 1.014736861722442818e-02
4.000050403787276082e+03 2.229576339000505669e+00 1.002937476846303688e-02
4.004050454191064546e+03 2.228207416817160169e+00 9.743046618039978568e-03
4.008054504645257111e+03 2.235190813428191259e+00 9.454141011529821476e-03
4.012062559149903791e+03 2.235544780014188326e+00 9.278907006319642159e-03
4.016074621709055009e+03 2.238359162979806527e+00 9.108828279666884506e-03
4.020090696330765240e+03 2.241335336638668796e+00 9.066902132072604537e-03
4.024110787027097558e+03 2.245858737645263226e+00 8.966993713791563542e-03
4.028134897814125907e+03 2.251223294302460154e+00 8.895262008439902557e-03
4.032163032711941469e+03 2.259051097613677950e+00 8.875591456528834217e-03
4.036195195744654484e+03 2.256878763671263055e+00 8.698198666713768262e-03
4.040231390940400615e+03 2.254417694841083453e+00 8.552692668569488593e-03
4.044271622331342314e+03 2.243512500031448198e+00 8.499062084224330571e-03
4.048315893953675186e+03 2.233280082052080839e+00 8.393411599983855928e-03
