# starting wavelength: 3265.997
# ending wavelength: 10089.055
# wav flux eflux
3.268750803698389518e+03 5.022184057786430067e+00 2.823080930115058618e-02
3.272019554502088795e+03 4.998569818826076983e+00 2.728688339017393619e-02
3.275291574056592253e+03 4.970251220937934811e+00 2.716793761464799187e-02
3.278566865630649772e+03 4.939217324766436157e+00 2.676783166731771732e-02
3.281845432496281319e+03 4.916925080813922655e+00 2.640952531229806555e-02
3.285127277928778767e+03 4.869171730486199223e+00 2.678337972457411550e-02
3.288412405206708627e+03 4.841672632396762488e+00 2.646430245099520850e-02
3.291700817611916591e+03 4.815117690944833662e+00 2.607166699488069894e-02
3.294992518429529355e+03 4.768890235369017461e+00 2.531935552599941242e-02
3.298287510947960072e+03 4.736247688293247826e+00 2.462304534914912940e-02
3.301585798458909267e+03 4.712114327055330065e+00 2.417177557546578912e-02
3.304887384257369376e+03 4.694770012099335865e+00 2.333894912100665034e-02
3.308192271641627485e+03 4.674531958166316059e+00 2.320880716666009341e-02
3.311500463913270323e+03 4.637317804839651281e+00 2.337812299266968721e-02
3.314811964377184722e+03 4.610902054703822195e+00 2.275964859176109190e-02
3.318126776341563072e+03 4.587657552379972969e+00 2.240310707840738325e-02
3.321444903117905596e+03 4.573559927590433283e+00 2.158480929776803239e-02
3.324766348021024896e+03 4.553925757521233741e+00 2.122901745530397788e-02
3.328091114369046863e+03 4.541044977345298328e+00 2.107364590853812170e-02
3.331419205483417045e+03 4.529812872528936829e+00 2.089118749192389948e-02
3.334750624688901553e+03 4.529153044971487851e+00 2.086678727773156813e-02
3.338085375313591612e+03 4.519335242347227499e+00 2.011421071391713764e-02
3.341423460688906289e+03 4.518405564234455163e+00 1.973305645150828791e-02
3.344764884149596128e+03 4.507863717326336506e+00 1.959826625648689730e-02
3.348109649033746791e+03 4.497088518659944079e+00 1.946229171308805697e-02
3.351457758682781787e+03 4.482272056441414243e+00 1.932122982473238534e-02
3.354809216441465651e+03 4.467898104247213453e+00 1.914421542767348952e-02
3.358164025657908041e+03 4.458914854629796309e+00 1.893068643522846997e-02
3.361522189683567376e+03 4.457156722426165452e+00 1.919504174542754210e-02
3.364883711873251741e+03 4.440908832817522800e+00 1.897634094824390827e-02
3.368248595585126168e+03 4.432669623941941417e+00 1.828082417697233716e-02
3.371616844180712633e+03 4.420773572568374554e+00 1.818010646035454064e-02
3.374988461024894150e+03 4.415922697800360730e+00 1.794852727064176479e-02
3.378363449485920228e+03 4.406284923291943656e+00 1.746101265338633954e-02
3.381741812935407324e+03 4.407739189993399975e+00 1.729027811763816230e-02
3.385123554748343849e+03 4.417832967667247424e+00 1.721132894289085016e-02
3.388508678303093347e+03 4.425633181151980011e+00 1.726946188627834222e-02
3.391897186981397681e+03 4.436225222334102547e+00 1.767726326421931518e-02
3.395289084168380214e+03 4.445749570150625551e+00 1.793702045248125876e-02
3.398684373252549449e+03 4.444615982573956181e+00 1.765690187797573987e-02
3.402083057625803121e+03 4.443764650374861347e+00 1.751117186365846665e-02
3.405485140683430018e+03 4.445396968802926452e+00 1.703665169035809002e-02
3.408890625824114522e+03 4.451838179944772378e+00 1.700250176410543143e-02
3.412299516449939802e+03 4.447227540213833485e+00 1.682605171876584704e-02
3.415711815966390986e+03 4.442330809436884742e+00 1.653707161968995254e-02
3.419127527782358356e+03 4.441939465153066813e+00 1.681977875708877065e-02
3.422546655310141887e+03 4.428798002050004179e+00 1.667494317419298405e-02
3.425969201965453522e+03 4.401284612990051137e+00 1.689682703564078167e-02
3.429395171167419903e+03 4.378505902642308989e+00 1.661679638054592428e-02
3.432824566338588284e+03 4.350443467647190587e+00 1.676794763800814117e-02
3.436257390904928343e+03 4.321459143348659993e+00 1.649358911201929956e-02
3.439693648295834464e+03 4.295619775354889036e+00 1.605593364655676092e-02
3.443133341944131189e+03 4.276444069902529677e+00 1.612558380564346056e-02
3.446576475286076402e+03 4.251960793531915250e+00 1.625369707489243004e-02
3.450023051761363604e+03 4.239491391722340019e+00 1.625922266942650060e-02
3.453473074813126004e+03 4.226404095728654831e+00 1.641228630242369882e-02
3.456926547887940615e+03 4.213642504179786918e+00 1.649587404251627934e-02
3.460383474435829612e+03 4.203716321047259008e+00 1.631787072445651035e-02
3.463843857910266706e+03 4.188480439800855493e+00 1.614713850335654233e-02
3.467307701768178049e+03 4.180502865809423874e+00 1.608199307423029134e-02
3.470775009469947236e+03 4.173236921336696881e+00 1.579135468223244812e-02
3.474245784479418489e+03 4.161966632491931328e+00 1.546022604608708953e-02
3.477720030263898934e+03 4.138677177203214264e+00 1.492248544794049468e-02
3.481197750294164052e+03 4.119632289647591428e+00 1.498466969997476646e-02
3.484678948044459503e+03 4.092712169841641767e+00 1.493966152417898312e-02
3.488163626992504760e+03 4.066434649842385340e+00 1.507491740769597265e-02
3.491651790619498570e+03 4.035346364837218758e+00 1.506836265734607001e-02
3.495143442410119405e+03 4.007108072119935471e+00 1.499435532985653879e-02
3.498638585852530468e+03 3.977660848561936469e+00 1.523500097277274284e-02
3.502137224438384237e+03 3.951763503270554256e+00 1.539273049902221621e-02
3.505639361662823831e+03 3.918195733067598940e+00 1.507677238320568464e-02
3.509145001024487556e+03 3.877713691542947760e+00 1.460133776069116873e-02
3.512654146025513455e+03 3.840317515106258739e+00 1.499238998755628681e-02
3.516166800171540217e+03 3.806777102579352423e+00 1.474935367495655222e-02
3.519682966971712631e+03 3.791954390094080196e+00 1.474702841029061282e-02
3.523202649938685681e+03 3.771563161659377439e+00 1.480392633714686622e-02
3.526725852588625457e+03 3.757902880430317616e+00 1.435622316256200334e-02
3.530252578441215064e+03 3.747585828613634540e+00 1.424454070448795580e-02
3.533782831019657806e+03 3.731581931255235851e+00 1.436433083035619854e-02
3.537316613850678550e+03 3.713413135660745379e+00 1.426415438775608530e-02
3.540853930464530094e+03 3.695181460001661033e+00 1.382077533252137544e-02
