# starting wavelength: 3461.148
# ending wavelength: 9011.217
# wav flux eflux
3.463843857910266706e+03 4.297851751755565886e+00 2.227339049694756490e-01
3.467307701768178049e+03 4.296299861854016022e+00 1.633932307586634380e-01
3.470775009469947236e+03 4.302322906245679590e+00 1.214178999236599776e-01
3.474245784479418489e+03 4.315165262808646318e+00 9.366741835975184172e-02
3.477720030263898934e+03 4.325552045315815164e+00 7.405397721635847974e-02
3.481197750294164052e+03 4.333140318562183069e+00 5.913694234212647782e-02
3.484678948044459503e+03 4.343092515671115983e+00 4.777825346003795187e-02
3.488163626992504760e+03 4.348216319190261636e+00 4.293425375402328686e-02
3.491651790619498570e+03 4.345673054398078605e+00 3.726490183524005378e-02
3.495143442410119405e+03 4.341028154838189934e+00 3.209067605863818312e-02
3.498638585852530468e+03 4.338182138589348646e+00 2.847249421336528474e-02
3.502137224438384237e+03 4.338629676820612957e+00 2.588989521560134885e-02
3.505639361662823831e+03 4.347199908014342640e+00 2.590022521784965392e-02
3.509145001024487556e+03 4.351651620905338191e+00 2.450702704497209616e-02
3.512654146025513455e+03 4.352418104504858221e+00 2.340794235301221424e-02
3.516166800171540217e+03 4.344833416743019150e+00 2.242530334544013543e-02
3.519682966971712631e+03 4.339158335315758563e+00 2.135525234818775459e-02
3.523202649938685681e+03 4.329481365058156506e+00 2.074258139199808629e-02
3.526725852588625457e+03 4.308642541714535312e+00 2.102847860244102043e-02
3.530252578441215064e+03 4.294017304278185065e+00 2.118077612677183447e-02
3.533782831019657806e+03 4.271545761946264896e+00 2.215239660940917371e-02
3.537316613850678550e+03 4.260823549482647188e+00 2.142157067721152039e-02
3.540853930464530094e+03 4.244070928984078783e+00 2.104904684570189574e-02
3.544394784394995895e+03 4.229283281388246607e+00 2.126700938428173829e-02
3.547939179179392340e+03 4.213166474676237172e+00 1.997379562510752382e-02
3.551487118358572843e+03 4.204942288490116198e+00 1.979543919442191408e-02
3.555038605476932389e+03 4.189540083279861271e+00 1.962132112093169234e-02
3.558593644082410719e+03 4.178541913156451848e+00 1.929618584131372050e-02
3.562152237726494150e+03 4.165842461233598470e+00 1.944450924918571591e-02
3.565714389964221937e+03 4.149195390160947738e+00 1.902027023970157688e-02
3.569280104354187188e+03 4.136188475819032817e+00 1.895655593344381176e-02
3.572849384458542772e+03 4.125756527975039667e+00 1.901826215289184260e-02
3.576422233843002232e+03 4.121284983821876580e+00 1.954081111133054022e-02
3.579998656076846601e+03 4.108085966404449785e+00 1.945079982624656548e-02
3.583578654732924406e+03 4.103162000593729708e+00 1.864783098986739010e-02
3.587162233387658489e+03 4.087559300377296978e+00 1.828799900146005353e-02
3.590749395621047370e+03 4.076118095448559409e+00 1.819357673644638254e-02
3.594340145016669794e+03 4.066418050811027030e+00 1.799419393951856919e-02
3.597934485161687462e+03 4.055474075518782584e+00 1.820400668558272081e-02
3.601532419646850485e+03 4.040991103542204144e+00 1.805237874896465505e-02
3.605133952066498296e+03 4.032050029121636570e+00 1.789723364065951353e-02
3.608739086018566013e+03 4.011067992726849774e+00 1.855274468712844391e-02
3.612347825104585809e+03 3.986565593220134485e+00 1.821563632982885206e-02
3.615960172929691907e+03 3.956945421805188712e+00 1.677613517947273286e-02
3.619576133102622407e+03 3.928271580832269017e+00 1.558372653975297756e-02
3.623195709235726554e+03 3.911261853504351294e+00 1.554302572459144785e-02
3.626818904944963379e+03 3.899541234741498386e+00 1.522051529990766858e-02
3.630445723849909427e+03 3.897246941158754030e+00 1.524639905788454861e-02
3.634076169573760581e+03 3.889158291860304484e+00 1.511416812032390609e-02
3.637710245743335690e+03 3.891740333352899484e+00 1.554723939632729479e-02
3.641347955989080219e+03 3.890553084198788092e+00 1.580402533016024916e-02
3.644989303945070333e+03 3.893704647103903849e+00 1.553970924951541578e-02
3.648634293249016537e+03 3.895711685710595784e+00 1.553855252075804667e-02
3.652282927542266862e+03 3.894881781430202139e+00 1.620163689544549743e-02
3.655935210469810499e+03 3.890045740711111311e+00 1.619776679573592393e-02
3.659591145680281443e+03 3.893977381647518055e+00 1.520350715686153570e-02
