# starting wavelength: 3459.519
# ending wavelength: 9011.909
# wav flux eflux
3.460383474435829612e+03 4.428344715442779744e+00 2.525573065322955779e-01
3.463843857910266706e+03 4.389540013945419261e+00 1.796335223387089397e-01
3.467307701768178049e+03 4.364018669951251539e+00 1.342517975283034071e-01
3.470775009469947236e+03 4.341000121926046340e+00 1.015142067970814799e-01
3.474245784479418489e+03 4.319577853218151908e+00 7.958638499743923844e-02
3.477720030263898934e+03 4.305728005369829248e+00 6.271387632211877783e-02
3.481197750294164052e+03 4.289989225396219297e+00 5.241505716816587113e-02
3.484678948044459503e+03 4.282274496739334246e+00 4.480489956830490533e-02
3.488163626992504760e+03 4.272713294813137885e+00 3.721693501983392577e-02
3.491651790619498570e+03 4.263904125412429025e+00 3.159108779374838333e-02
3.495143442410119405e+03 4.254678685897860468e+00 2.767315197286897635e-02
3.498638585852530468e+03 4.247475404265873777e+00 2.451407726184087060e-02
3.502137224438384237e+03 4.242444256026774774e+00 2.227664410293687947e-02
3.505639361662823831e+03 4.238531323639293191e+00 2.097982345822736391e-02
3.509145001024487556e+03 4.232615480601164215e+00 1.964972378616475571e-02
3.512654146025513455e+03 4.226238757563395509e+00 1.867754595202125029e-02
3.516166800171540217e+03 4.224936193884781588e+00 1.822935512286182405e-02
3.519682966971712631e+03 4.217303232412527692e+00 1.775095662243884875e-02
3.523202649938685681e+03 4.200943212066011512e+00 1.771929525297580993e-02
3.526725852588625457e+03 4.185452429898181670e+00 1.737279193113615630e-02
3.530252578441215064e+03 4.167225970616725839e+00 1.718395854404008646e-02
3.533782831019657806e+03 4.149320682761439727e+00 1.731855843808846954e-02
3.537316613850678550e+03 4.127866974001225486e+00 1.719843480816039827e-02
3.540853930464530094e+03 4.112204803183979962e+00 1.728638536215533830e-02
3.544394784394995895e+03 4.091950067874289054e+00 1.579641642602673188e-02
3.547939179179392340e+03 4.070651244338969299e+00 1.455885896985837681e-02
3.551487118358572843e+03 4.051571652446745553e+00 1.377960424525835094e-02
3.555038605476932389e+03 4.027193491024225303e+00 1.364233383648032899e-02
3.558593644082410719e+03 4.006734222846690230e+00 1.370128185553970770e-02
3.562152237726494150e+03 3.991408890192295722e+00 1.383131481338599478e-02
3.565714389964221937e+03 3.977120043625911094e+00 1.377580058504785515e-02
3.569280104354187188e+03 3.959615154445580210e+00 1.303930998008860295e-02
3.572849384458542772e+03 3.948235496391725885e+00 1.359582095606482778e-02
3.576422233843002232e+03 3.939173215666625261e+00 1.320014208952072395e-02
3.579998656076846601e+03 3.927670698824878404e+00 1.342154153771485565e-02
3.583578654732924406e+03 3.917850645780694308e+00 1.349862580261343946e-02
3.587162233387658489e+03 3.917242533181145347e+00 1.314605376673015982e-02
