# starting wavelength: 3258.750
# ending wavelength: 7899.848
# wav flux eflux
3.258964131153567905e+03 2.884426583893213270e+00 4.355080749745026680e-01
3.262223095284722604e+03 2.992937825862511669e+00 3.494845275959437836e-01
3.265485318380008266e+03 3.020430317498155492e+00 2.634751819066847855e-01
3.268750803698389518e+03 3.022564960739626549e+00 2.033179823835943867e-01
3.272019554502088795e+03 3.003521929118463607e+00 1.623894410180775350e-01
3.275291574056592253e+03 2.986110710497415610e+00 1.297354974842271635e-01
3.278566865630649772e+03 2.971824175930801726e+00 1.051412330248142346e-01
3.281845432496281319e+03 2.960016461821426859e+00 8.629317018634213854e-02
3.285127277928778767e+03 2.960014764713707169e+00 7.907120857263535973e-02
3.288412405206708627e+03 2.969160435586594815e+00 6.954866597752991375e-02
3.291700817611916591e+03 2.976952704201373479e+00 6.097526094271876751e-02
3.294992518429529355e+03 2.965069829679921831e+00 5.626632222238456965e-02
3.298287510947960072e+03 2.959810511249893139e+00 5.167735815851794146e-02
3.301585798458909267e+03 2.968703954933626932e+00 4.837254920713039696e-02
3.304887384257369376e+03 2.984960289803077149e+00 4.596904944104052843e-02
3.308192271641627485e+03 2.992969106772418897e+00 4.393348642041426666e-02
3.311500463913270323e+03 2.993237452895984418e+00 4.194700079767747780e-02
3.314811964377184722e+03 2.988615554017238107e+00 4.099563843877184616e-02
3.318126776341563072e+03 2.989582137483902446e+00 4.002551309430222443e-02
3.321444903117905596e+03 3.005519089338203109e+00 3.799666415002954378e-02
3.324766348021024896e+03 3.014627436102045088e+00 3.744542957756741286e-02
3.328091114369046863e+03 3.011252919309349352e+00 3.773708535320386553e-02
3.331419205483417045e+03 3.018477370588689812e+00 3.667170895063184138e-02
3.334750624688901553e+03 3.014406624708461102e+00 3.641520617676188842e-02
3.338085375313591612e+03 3.008896780705506924e+00 3.644083065534142046e-02
3.341423460688906289e+03 3.010813750800926503e+00 3.622567482655829341e-02
3.344764884149596128e+03 2.995556106421835008e+00 2.938491090187479379e-02
3.348109649033746791e+03 3.005586294285465865e+00 2.969105294941916037e-02
3.351457758682781787e+03 3.018153068421186802e+00 2.990209271259889473e-02
3.354809216441465651e+03 3.029803140908688963e+00 2.819564076713788198e-02
3.358164025657908041e+03 3.017591513999521080e+00 2.940626734446354085e-02
3.361522189683567376e+03 3.020300410510278866e+00 2.938553242216235956e-02
3.364883711873251741e+03 3.031939442299644849e+00 2.876403005765944959e-02
3.368248595585126168e+03 3.040777281965162615e+00 2.845542535444291893e-02
3.371616844180712633e+03 3.047624477464947912e+00 2.850740460241403540e-02
3.374988461024894150e+03 3.061532041932775172e+00 2.749495261705013974e-02
3.378363449485920228e+03 3.068896970710724315e+00 2.736107522260778843e-02
3.381741812935407324e+03 3.092386685363640364e+00 2.754938888351797857e-02
3.385123554748343849e+03 3.102326321769975692e+00 2.681645900937152868e-02
3.388508678303093347e+03 3.111910162197333740e+00 2.735197903737742256e-02
3.391897186981397681e+03 3.114000794358881219e+00 2.669397884931350509e-02
3.395289084168380214e+03 3.113473632584768058e+00 2.677258105512307987e-02
3.398684373252549449e+03 3.114667618584006092e+00 2.683013445869140631e-02
3.402083057625803121e+03 3.105033323770586051e+00 2.597006969807868354e-02
3.405485140683430018e+03 3.100715927433470132e+00 2.559579955176355046e-02
3.408890625824114522e+03 3.095262212161500770e+00 2.532394588594928664e-02
3.412299516449939802e+03 3.080957005024662188e+00 2.512457886551278108e-02
3.415711815966390986e+03 3.064701117672641306e+00 2.481235865150173414e-02
3.419127527782358356e+03 3.045211907071001978e+00 2.466342130753905112e-02
3.422546655310141887e+03 3.032798318877855781e+00 2.466935281693834886e-02
3.425969201965453522e+03 3.023156495219349704e+00 2.488166010144446036e-02
3.429395171167419903e+03 2.992663410519264655e+00 2.448141930316208650e-02
3.432824566338588284e+03 2.958561614254429095e+00 2.715420262502820162e-02
3.436257390904928343e+03 2.932552963735302498e+00 2.744722211710813251e-02
3.439693648295834464e+03 2.915833455770612925e+00 2.704194799267235078e-02
3.443133341944131189e+03 2.883053190268384025e+00 2.834735178952394949e-02
3.446576475286076402e+03 2.876636228818606256e+00 2.794820204281564871e-02
3.450023051761363604e+03 2.875434613104086878e+00 2.697037367761928595e-02
3.453473074813126004e+03 2.880498174056980165e+00 2.709288005184474699e-02
3.456926547887940615e+03 2.895410195304373602e+00 2.627742937752050589e-02
3.460383474435829612e+03 2.935111171512845729e+00 2.915999970459975596e-02
3.463843857910266706e+03 2.961778938841012732e+00 3.030236487197947651e-02
3.467307701768178049e+03 2.975265753216823850e+00 2.987566652764245961e-02
3.470775009469947236e+03 2.987283665155772816e+00 2.973843472155554557e-02
3.474245784479418489e+03 2.993830901865720762e+00 2.915503528244670420e-02
3.477720030263898934e+03 2.994986197289619234e+00 2.868784601313538463e-02
3.481197750294164052e+03 2.993449352217671056e+00 2.831232357174764611e-02
3.484678948044459503e+03 2.980933244878613220e+00 2.803127548130959074e-02
3.488163626992504760e+03 2.966860787451135018e+00 2.873210877232677124e-02
3.491651790619498570e+03 2.933047535835795472e+00 3.032439171769230751e-02
3.495143442410119405e+03 2.912041768380665197e+00 3.064311831578040227e-02
3.498638585852530468e+03 2.888859103936937789e+00 3.008091327411762869e-02
3.502137224438384237e+03 2.861783807049228745e+00 2.878641455326247725e-02
3.505639361662823831e+03 2.824845543972215545e+00 2.609477451941012369e-02
3.509145001024487556e+03 2.805275513541722443e+00 2.536168423468212682e-02
3.512654146025513455e+03 2.784829912707987187e+00 2.578466278277604176e-02
3.516166800171540217e+03 2.769641668533756373e+00 2.488389098285090362e-02
3.519682966971712631e+03 2.745441263320345548e+00 2.460587337554355492e-02
3.523202649938685681e+03 2.740645567630790591e+00 2.387448688481547121e-02
3.526725852588625457e+03 2.750534633090987224e+00 2.107962577781033811e-02
3.530252578441215064e+03 2.756905121404461756e+00 1.988978844271744803e-02
3.533782831019657806e+03 2.752915959617260988e+00 1.958825867117920672e-02
3.537316613850678550e+03 2.756283346560774561e+00 1.868485603873176401e-02
3.540853930464530094e+03 2.754686814774169878e+00 1.843138071146361093e-02
3.544394784394995895e+03 2.744314250671727518e+00 1.701355717587755764e-02
3.547939179179392340e+03 2.753890269416068293e+00 1.724201955926392762e-02
3.551487118358572843e+03 2.747498380385852812e+00 1.679950759180671646e-02
3.555038605476932389e+03 2.741454251448689483e+00 1.646970723617904170e-02
3.558593644082410719e+03 2.741020365250526947e+00 1.601419404064360549e-02
