# starting wavelength: 3739.363
# ending wavelength: 8804.275
# wav flux eflux
3.740953179076846027e+03 5.045350447750049483e+00 2.345072503315007995e-01
3.744694132255923705e+03 5.030484290479532383e+00 1.704203645741579620e-01
3.748438826388181042e+03 5.021866359373071020e+00 1.280731410487063182e-01
3.752187265214570289e+03 5.002983292933467219e+00 9.943123949190695032e-02
3.755939452479786269e+03 4.989423111564567748e+00 7.710877171610096281e-02
3.759695391932267285e+03 4.973520481738767707e+00 6.164084363748896511e-02
3.763455087324201031e+03 4.955416759000157434e+00 4.987714377907431773e-02
3.767218542411526414e+03 4.935016924084337120e+00 4.094894938042689669e-02
3.770985760953939007e+03 4.909616555849915187e+00 3.526321363589351304e-02
3.774756746714894234e+03 4.886367564634367611e+00 3.065299556362664074e-02
3.778531503461610555e+03 4.871336077823454680e+00 2.822320398927280483e-02
3.782310034965073100e+03 4.876216898884733197e+00 2.835860751443943298e-02
3.786092345000039586e+03 4.864948183079958355e+00 2.584946585080589651e-02
3.789878437345040766e+03 4.848415930269782237e+00 2.397080256290442385e-02
3.793668315782387253e+03 4.829834499800321090e+00 2.255461721193225549e-02
3.797461984098170888e+03 4.808680400249308207e+00 2.157277300833957898e-02
3.801259446082270188e+03 4.791788284554557187e+00 2.070397557408618083e-02
3.805060705528353537e+03 4.779078623444440233e+00 2.015255588634737999e-02
3.808865766233883278e+03 4.762428888399425908e+00 1.973856805295890610e-02
3.812674632000118436e+03 4.733701703972951869e+00 2.002377347215119827e-02
3.816487306632119726e+03 4.706893029024920239e+00 2.053304448433661278e-02
3.820303793938753188e+03 4.691000587471639172e+00 2.084221659025758261e-02
3.824124097732693372e+03 4.684621367617989307e+00 2.124376870076772825e-02
3.827948221830427428e+03 4.663000182076562083e+00 2.116864645354858340e-02
3.831776170052258749e+03 4.653330867055103681e+00 2.099625298752073183e-02
3.835607946222312421e+03 4.629010561558794201e+00 2.014123328442499541e-02
3.839443554168536139e+03 4.615509091878196912e+00 1.991128260738042957e-02
3.843282997722705659e+03 4.605437580673839904e+00 1.981876801034274105e-02
3.847126280720429804e+03 4.579756869257545659e+00 1.968735582709339738e-02
3.850973407001151372e+03 4.555918778099562694e+00 2.003569075263337412e-02
3.854824380408153957e+03 4.538137881535387663e+00 2.007509068804065253e-02
3.858679204788563311e+03 4.515574371848391166e+00 1.939094904043349443e-02
3.862537883993353262e+03 4.498881146088905325e+00 1.916110634297961759e-02
3.866400421877347981e+03 4.483988179613164426e+00 1.889303163080390674e-02
3.870266822299226533e+03 4.471974478021343735e+00 1.890982813456800610e-02
3.874137089121526969e+03 4.469066910371958024e+00 1.841255058814769002e-02
3.878011226210649966e+03 4.461358436679349282e+00 1.842917909251952369e-02
3.881889237436861549e+03 4.452567358365438821e+00 1.831860495855732948e-02
3.885771126674299921e+03 4.452589331271678219e+00 1.860061579363713261e-02
3.889656897800975457e+03 4.448753425412832918e+00 1.849139968126496322e-02
3.893546554698777527e+03 4.438378655079575630e+00 1.839930984282957260e-02
3.897440101253477678e+03 4.419003817005628498e+00 1.835261939864782713e-02
3.901337541354732366e+03 4.390083630041715423e+00 1.814397463410225009e-02
3.905238878896088409e+03 4.360248105043948108e+00 1.770567960863622323e-02
3.909144117774985716e+03 4.331949449581594891e+00 1.789444834999650430e-02
3.913053261892762293e+03 4.320588536892075560e+00 1.735163657564891063e-02
3.916966315154656058e+03 4.309773973483162379e+00 1.629333898531539621e-02
3.920883281469812118e+03 4.284186307735446064e+00 1.587330828691022044e-02
3.924804164751283224e+03 4.267167757119227467e+00 1.644173214784804340e-02
3.928728968916035683e+03 4.242530478253272896e+00 1.644439125029437468e-02
3.932657697884953450e+03 4.228365014127567711e+00 1.653256765048274207e-02
3.936590355582839493e+03 4.204368281120764550e+00 1.635099224022567785e-02
