# starting wavelength: 3243.259
# ending wavelength: 9281.437
# wav flux eflux
3.245960799204859995e+03 6.964326623191437804e+00 5.277356984961565356e-01
3.249206760004065927e+03 7.166783425702202948e+00 3.837187101106926401e-01
3.252455966764071036e+03 7.235429475182313830e+00 2.860486889969126589e-01
3.255708422730835991e+03 7.161752298502054082e+00 2.234189510803992751e-01
3.258964131153567905e+03 7.005921584404815050e+00 1.853695428603875095e-01
3.262223095284722604e+03 6.842897571045146066e+00 1.471980308108592206e-01
3.265485318380008266e+03 6.658737425465499626e+00 1.217290500657908503e-01
3.268750803698389518e+03 6.484410773997772992e+00 1.040318418369302611e-01
3.272019554502088795e+03 6.342043957432502488e+00 1.013184634277165125e-01
3.275291574056592253e+03 6.248510583655144224e+00 9.992713388930431206e-02
3.278566865630649772e+03 6.173709828343705297e+00 9.014779513206387651e-02
3.281845432496281319e+03 6.129898432629937055e+00 8.356073597391228125e-02
3.285127277928778767e+03 6.086206377448337257e+00 7.606327379352186002e-02
3.288412405206708627e+03 6.055474292962362171e+00 7.024447314626085237e-02
3.291700817611916591e+03 6.038157329677288132e+00 6.575112784379563702e-02
3.294992518429529355e+03 6.032109596043115474e+00 6.225784899845755033e-02
3.298287510947960072e+03 6.028877357450277863e+00 6.016925985957930628e-02
3.301585798458909267e+03 6.033690549603021758e+00 5.778350393623039871e-02
3.304887384257369376e+03 6.044019833110446882e+00 5.592956482234941185e-02
3.308192271641627485e+03 6.060103413047514209e+00 5.320334069644200997e-02
3.311500463913270323e+03 6.077724812261890541e+00 5.017288646584087269e-02
3.314811964377184722e+03 6.106032565214122521e+00 4.788192645270475389e-02
3.318126776341563072e+03 6.147771642838617545e+00 4.110574990610334906e-02
3.321444903117905596e+03 6.174670824432591409e+00 4.043565160667288161e-02
3.324766348021024896e+03 6.172683444225275373e+00 4.017495267667400838e-02
3.328091114369046863e+03 6.148817269760381343e+00 4.024780203728459821e-02
3.331419205483417045e+03 6.120195962289322722e+00 3.825007859206570882e-02
3.334750624688901553e+03 6.068882289393971341e+00 3.582039235116224463e-02
3.338085375313591612e+03 6.003326008603027120e+00 3.435081366585846646e-02
3.341423460688906289e+03 5.930457223616429907e+00 3.376974095560184019e-02
3.344764884149596128e+03 5.854182550363502102e+00 3.423122046782980932e-02
3.348109649033746791e+03 5.776902106823736283e+00 3.408722806156610358e-02
3.351457758682781787e+03 5.692222847879865988e+00 3.407546007481051381e-02
3.354809216441465651e+03 5.624564471703075164e+00 3.338876977976217714e-02
3.358164025657908041e+03 5.558381066566751016e+00 3.297452760718967008e-02
3.361522189683567376e+03 5.499421525313922920e+00 3.307976274959435747e-02
3.364883711873251741e+03 5.439378949378676609e+00 3.291970822978459998e-02
3.368248595585126168e+03 5.385747996657014092e+00 3.145733435797683220e-02
3.371616844180712633e+03 5.341468972397255932e+00 3.089020063259827198e-02
3.374988461024894150e+03 5.295088158809193146e+00 2.933279888979973410e-02
3.378363449485920228e+03 5.266843970466965175e+00 2.950789940842498890e-02
3.381741812935407324e+03 5.234980717637147229e+00 2.840262766349424539e-02
3.385123554748343849e+03 5.204418398210507668e+00 2.813873685431023813e-02
3.388508678303093347e+03 5.194118746972092637e+00 2.876607759320669311e-02
3.391897186981397681e+03 5.187640738498474846e+00 2.615676074793488876e-02
3.395289084168380214e+03 5.200982258255282709e+00 2.307697875611904384e-02
3.398684373252549449e+03 5.211187905483561700e+00 2.206213256777358675e-02
3.402083057625803121e+03 5.216439194261463186e+00 2.154374797351467710e-02
3.405485140683430018e+03 5.221847300934570058e+00 2.077458535836231371e-02
3.408890625824114522e+03 5.217455156468703059e+00 2.049485455293629382e-02
3.412299516449939802e+03 5.214668358711688434e+00 2.003813135656076425e-02
3.415711815966390986e+03 5.207539042921411010e+00 2.033578671502071777e-02
3.419127527782358356e+03 5.202676407870701070e+00 2.024694069765646878e-02
3.422546655310141887e+03 5.177224876977753354e+00 2.020723452248081309e-02
3.425969201965453522e+03 5.146785151983783280e+00 1.825991460334829009e-02
