# starting wavelength: 3503.892
# ending wavelength: 8883.873
# wav flux eflux
3.505639361662823831e+03 4.955736304530049097e+00 1.445149504378761218e+00
3.509145001024487556e+03 4.948312002051801883e+00 1.057993261527367279e+00
3.512654146025513455e+03 4.958477318990646587e+00 8.046859597035171952e-01
3.516166800171540217e+03 5.063062874830850824e+00 6.644595298621902568e-01
3.519682966971712631e+03 5.063624104796137892e+00 5.149170972125045598e-01
3.523202649938685681e+03 5.066733908330177449e+00 4.062595306190107114e-01
3.526725852588625457e+03 5.064775682832164172e+00 3.291516902192652139e-01
3.530252578441215064e+03 5.064898903240132810e+00 2.674107517623991459e-01
3.533782831019657806e+03 5.070659837053155705e+00 2.269326917133999144e-01
3.537316613850678550e+03 5.067019638599363773e+00 1.965985673994148086e-01
3.540853930464530094e+03 5.068367652042738314e+00 1.713316066054601516e-01
3.544394784394995895e+03 5.111689927645366005e+00 1.602056556806191745e-01
3.547939179179392340e+03 5.143486321466597566e+00 1.477714029502077420e-01
3.551487118358572843e+03 5.150308387001286015e+00 1.381619914663439752e-01
3.555038605476932389e+03 5.123045590044573494e+00 1.314274319020362070e-01
3.558593644082410719e+03 5.120255320392467446e+00 1.233997385696332522e-01
3.562152237726494150e+03 5.116133179857328628e+00 1.206501428279834753e-01
3.565714389964221937e+03 5.106628525473995595e+00 1.146283146040539686e-01
3.569280104354187188e+03 5.097256749117876851e+00 1.145964796856176471e-01
3.572849384458542772e+03 5.099437031616992577e+00 1.142909126679210463e-01
3.576422233843002232e+03 5.086106953989365742e+00 1.138497996084169156e-01
3.579998656076846601e+03 5.066960895064265280e+00 1.138690742504444020e-01
3.583578654732924406e+03 5.058875899711141599e+00 1.110530712554513022e-01
3.587162233387658489e+03 4.983404262103512394e+00 1.013768105031523092e-01
3.590749395621047370e+03 4.954957975596591346e+00 1.014540007762445295e-01
3.594340145016669794e+03 4.916570898983705362e+00 9.991769711879000537e-02
3.597934485161687462e+03 4.905463043349348240e+00 1.005629427351911187e-01
3.601532419646850485e+03 4.922344542857420180e+00 8.970827591925681355e-02
3.605133952066498296e+03 4.893646122573927393e+00 8.579397884811849895e-02
3.608739086018566013e+03 4.837707768259744689e+00 8.118728027033210448e-02
3.612347825104585809e+03 4.799295272936156209e+00 8.403189196418800466e-02
3.615960172929691907e+03 4.772716995704780807e+00 8.016183713141901424e-02
3.619576133102622407e+03 4.711156737553466201e+00 7.706797675599746933e-02
3.623195709235726554e+03 4.680876399084932693e+00 7.703154479884043171e-02
3.626818904944963379e+03 4.674005865110802738e+00 7.396362639063350231e-02
3.630445723849909427e+03 4.663842905130672456e+00 7.398377128557896698e-02
3.634076169573760581e+03 4.638107301436302343e+00 7.363554893897340803e-02
3.637710245743335690e+03 4.688624199042358498e+00 7.284354895811784303e-02
3.641347955989080219e+03 4.689593027523652147e+00 7.296464586381200268e-02
3.644989303945070333e+03 4.661731390850254009e+00 6.348889168277575823e-02
3.648634293249016537e+03 4.665135605228894811e+00 6.170487503972403587e-02
3.652282927542266862e+03 4.659673340625412941e+00 6.458264968266040629e-02
3.655935210469810499e+03 4.664385424199686270e+00 6.246651155972141739e-02
3.659591145680281443e+03 4.661357230561910647e+00 6.241015306163555376e-02
3.663250736825963031e+03 4.646536511967422456e+00 6.523038858694375774e-02
3.666913987562790226e+03 4.634547620976381843e+00 6.208704075672289574e-02
3.670580901550354156e+03 4.642419585069562871e+00 5.309082543618488803e-02
3.674251482451905758e+03 4.640444548556835969e+00 5.515273519822748438e-02
3.677925733934358959e+03 4.563514258664613799e+00 6.758360993215496715e-02
3.681603659668294313e+03 4.582457051678844095e+00 6.941724754912756423e-02
3.685285263327964003e+03 4.574460714783091575e+00 7.278850904186898174e-02
3.688970548591293209e+03 4.566938499381125283e+00 7.249947039019202788e-02
3.692659519139885560e+03 4.567507713094045130e+00 7.218035068515063490e-02
3.696352178659026777e+03 4.560790231798923955e+00 7.202839786110545872e-02
3.700048530837686940e+03 4.542879940621542545e+00 7.097635410322170046e-02
3.703748579368525952e+03 4.523722763476579978e+00 6.953372770990751128e-02
3.707452327947895355e+03 4.504747683353051535e+00 7.178513422080667894e-02
3.711159780275844696e+03 4.508999461096646399e+00 6.949767018341997116e-02
3.714870940056121526e+03 4.522925377618354226e+00 7.017868314925991557e-02
3.718585810996179134e+03 4.532853012116320635e+00 7.040830415513314733e-02
3.722304396807176545e+03 4.514840847863038853e+00 6.831187048381280602e-02
3.726026701203984885e+03 4.524270563144036750e+00 6.745228855104994092e-02
3.729752727905190113e+03 4.531158910071407142e+00 6.933340849967652153e-02
3.733482480633096657e+03 4.516645117489842320e+00 7.114934171590801826e-02
3.737215963113731050e+03 4.516049151247458759e+00 6.761569078071903716e-02
