# starting wavelength: 2984.495
# ending wavelength: 9743.123
# wav flux eflux
2.984563080363769132e+03 5.939058409500403535e+00 6.525971484923041854e-02
2.987547643444133882e+03 5.961545466382268010e+00 6.438074907072163788e-02
2.990535191087578823e+03 5.997159881753140631e+00 6.298932787275804412e-02
2.993525726278667662e+03 6.015366829346586286e+00 6.109164850209469061e-02
2.996519252004947248e+03 5.987612775650146268e+00 6.284509988146955162e-02
2.999515771256953030e+03 5.973513289973284124e+00 6.278074103726756505e-02
3.002515287028211333e+03 5.993060925894969415e+00 6.237412655310773518e-02
3.005517802315240260e+03 6.010436391769570008e+00 6.035722536080535133e-02
3.008523320117556523e+03 6.047021332068140076e+00 6.278940549793231296e-02
3.011531843437674979e+03 6.082617427131556731e+00 6.120722032552121383e-02
3.014543375281113640e+03 6.092866129984547463e+00 6.100634676608255452e-02
3.017557918656395941e+03 6.107839703103158158e+00 5.898714398794308728e-02
3.020575476575053472e+03 6.114647628569307436e+00 5.811040202144977102e-02
3.023596052051629158e+03 6.101639983523012845e+00 5.946177406165002732e-02
3.026619648103681811e+03 6.097246072018823071e+00 5.930847813387517264e-02
3.029646267751786581e+03 6.121155675858482859e+00 5.867739243073528954e-02
3.032675914019539505e+03 6.154474061465278645e+00 5.829779049656165502e-02
3.035708589933559779e+03 6.187971112565112897e+00 6.000800615373348690e-02
3.038744298523494763e+03 6.213282875022287932e+00 6.050541944535579864e-02
3.041783042822019070e+03 6.202508185337364033e+00 6.018728160618175282e-02
3.044824825864842296e+03 6.207639177619312498e+00 5.846182262650360950e-02
3.047869650690708113e+03 6.198979078287881528e+00 5.790821024682538121e-02
3.050917520341399722e+03 6.167924245084186907e+00 5.805313501731382275e-02
3.053968437861742132e+03 6.141016766656966830e+00 5.674512447873013982e-02
3.057022406299604881e+03 6.102460348197620732e+00 5.758957559644484192e-02
3.060079428705905229e+03 6.063359699544868420e+00 5.448810752471333618e-02
3.063139508134612242e+03 6.031689619442480499e+00 5.337351729148149398e-02
3.066202647642748161e+03 6.021171910329067956e+00 5.379035110302977929e-02
3.069268850290391583e+03 5.996842185853260787e+00 5.348803641244111867e-02
3.072338119140682920e+03 5.974528628655332518e+00 5.223001099714247308e-02
3.075410457259824852e+03 5.931948467734333263e+00 5.179671063737711217e-02
3.078485867717085512e+03 5.885367121992616468e+00 5.215929963392530039e-02
3.081564353584803939e+03 5.845921356570936034e+00 4.849557865826887443e-02
3.084645917938389630e+03 5.830023025441430029e+00 4.829388413298698474e-02
3.087730563856328899e+03 5.818935924084626343e+00 4.770766088403825822e-02
3.090818294420186248e+03 5.831118395743535743e+00 4.851063734681618222e-02
3.093909112714607545e+03 5.849156099990690194e+00 4.950325748634483436e-02
3.097003021827323209e+03 5.860770517907191390e+00 4.949795604796911747e-02
3.100100024849151396e+03 5.843654065518211205e+00 4.973416975652746735e-02
3.103200124874001631e+03 5.807914101810217389e+00 4.874360365184533112e-02
3.106303324998876633e+03 5.797461926647559771e+00 4.919819461313797160e-02
3.109409628323876859e+03 5.799859057685697650e+00 4.647256358667688908e-02
3.112519037952201415e+03 5.791895836989271018e+00 4.629973297651210351e-02
3.115631556990154877e+03 5.781820468783489986e+00 4.464323022447561073e-02
3.118747188547145925e+03 5.764073454018067366e+00 4.504168479364989430e-02
3.121865935735694165e+03 5.750111313741399499e+00 4.543740824237043480e-02
3.124987801671431043e+03 5.745362252293118033e+00 4.452355458495068502e-02
3.128112789473103476e+03 5.715876147088313708e+00 4.123471491054472166e-02
3.131240902262577492e+03 5.695496533616906554e+00 3.848830512922494368e-02
3.134372143164840963e+03 5.683385722227804138e+00 3.512103198733857595e-02
3.137506515308006783e+03 5.690726537118435679e+00 3.545007011364568333e-02
3.140644021823316052e+03 5.722570634545300017e+00 3.474296032168032455e-02
3.143784665845140353e+03 5.740069617463619878e+00 3.477864105906106063e-02
3.146928450510986750e+03 5.757259301997859069e+00 3.423772674466477733e-02
3.150075378961498700e+03 5.781461502068339087e+00 3.398763890691059580e-02
3.153225454340461056e+03 5.784382497478177676e+00 3.416902604227182311e-02
3.156378679794802792e+03 5.808966260778070989e+00 3.432619096834255840e-02
3.159535058474598372e+03 5.831589556740003566e+00 3.482048417875092949e-02
3.162694593533074112e+03 5.860904209416225363e+00 3.304998526426825012e-02
3.165857288126608182e+03 5.890607606062959078e+00 3.068684784941268576e-02
3.169023145414736064e+03 5.904540956939873020e+00 2.773981146593793023e-02
3.172192168560151458e+03 5.892259566648405666e+00 2.843620719918361212e-02
3.175364360728712654e+03 5.877333148370673221e+00 2.843915667394820643e-02
3.178539725089442527e+03 5.838460464986276577e+00 2.839620685187631971e-02
3.181718264814533086e+03 5.805616186703963955e+00 2.653638861805552099e-02
3.184899983079348658e+03 5.757734648854580861e+00 2.732094346659008979e-02
3.188084883062429071e+03 5.729641346748793218e+00 2.704255636671420299e-02
3.191272967945492383e+03 5.705237784382053867e+00 2.661786717995187623e-02
3.194464240913438971e+03 5.686595225180221647e+00 2.604652723910722695e-02
3.197658705154353811e+03 5.660649954800617500e+00 2.573864418084818168e-02
3.200856363859509202e+03 5.629994177439682446e+00 2.498668995754660740e-02
3.204057220223369768e+03 5.599031790328734992e+00 2.399868795930173992e-02
