# starting wavelength: 3262.744
# ending wavelength: 8944.051
# wav flux eflux
3.265485318380008266e+03 2.041980472953074610e+00 6.168672463553873664e-01
3.268750803698389518e+03 2.104138236826027519e+00 4.537758667263945833e-01
3.272019554502088795e+03 2.143333358970040514e+00 3.361968512570167045e-01
3.275291574056592253e+03 2.141115272669171787e+00 2.797430760615988721e-01
3.278566865630649772e+03 2.184594634762559107e+00 2.182936856483868315e-01
3.281845432496281319e+03 2.211962711274218396e+00 1.766459855209039920e-01
3.285127277928778767e+03 2.260722979375066277e+00 1.428871623894701626e-01
3.288412405206708627e+03 2.303106983286114851e+00 1.220182615209192412e-01
3.291700817611916591e+03 2.326391561107194583e+00 1.071941913412595565e-01
3.294992518429529355e+03 2.365941742113339519e+00 9.645480138774921441e-02
3.298287510947960072e+03 2.405997153975845126e+00 8.540052570051637204e-02
3.301585798458909267e+03 2.450337390295488582e+00 7.764868426456744688e-02
3.304887384257369376e+03 2.478166721677439899e+00 7.098559390557046545e-02
3.308192271641627485e+03 2.499589685852603882e+00 6.620641733554018249e-02
3.311500463913270323e+03 2.495225605031627936e+00 6.401906122471427707e-02
3.314811964377184722e+03 2.519966150018459139e+00 6.109652601609469325e-02
3.318126776341563072e+03 2.543996359048656952e+00 5.897130736620735669e-02
3.321444903117905596e+03 2.549452743923593001e+00 5.653356395150984509e-02
3.324766348021024896e+03 2.570630729410857462e+00 5.523435712703857192e-02
3.328091114369046863e+03 2.576281131080581766e+00 5.595607865900979749e-02
3.331419205483417045e+03 2.577618494114290559e+00 5.431496336578306439e-02
3.334750624688901553e+03 2.617876868085104114e+00 5.373018824781205377e-02
3.338085375313591612e+03 2.648348493757080480e+00 5.406604276119950092e-02
3.341423460688906289e+03 2.642052907030416176e+00 5.025324043509926675e-02
3.344764884149596128e+03 2.671269522540375529e+00 4.929327288975998006e-02
3.348109649033746791e+03 2.677467839783182146e+00 4.955215403370896721e-02
3.351457758682781787e+03 2.688513018783530661e+00 4.738051320017277329e-02
3.354809216441465651e+03 2.719290026689736628e+00 4.603144201376546674e-02
3.358164025657908041e+03 2.733688376972876810e+00 4.568016918845219793e-02
3.361522189683567376e+03 2.737142994142477637e+00 4.385927812799579606e-02
3.364883711873251741e+03 2.747068229760720293e+00 4.375737393698725386e-02
3.368248595585126168e+03 2.749086836920566768e+00 4.282828922039011443e-02
3.371616844180712633e+03 2.752841145548080792e+00 4.272665592334859430e-02
3.374988461024894150e+03 2.756989726386124495e+00 4.332404082844749232e-02
