# starting wavelength: 3132.383
# ending wavelength: 9788.209
# wav flux eflux
3.134372143164840963e+03 1.066341866390891013e+00 9.925999499616955379e-01
3.137506515308006783e+03 9.054952757180952938e-01 7.196218764980253368e-01
3.140644021823316052e+03 9.015436528465988753e-01 5.490168951150118382e-01
3.143784665845140353e+03 8.940265765796224784e-01 4.180040879350069849e-01
3.146928450510986750e+03 1.004611124180652570e+00 3.532130557648883729e-01
3.150075378961498700e+03 1.086905442989656523e+00 3.081867812943872575e-01
3.153225454340461056e+03 1.103644580023712463e+00 2.503500285938008441e-01
3.156378679794802792e+03 1.122733775349834096e+00 2.088168458442736519e-01
3.159535058474598372e+03 1.117944940398080123e+00 1.789046577924339188e-01
3.162694593533074112e+03 1.118727321402620101e+00 1.545679816191974643e-01
3.165857288126608182e+03 1.121989703665235316e+00 1.342194986758702968e-01
3.169023145414736064e+03 1.138071544870773444e+00 1.201878286242172855e-01
3.172192168560151458e+03 1.172884546415625007e+00 1.100595110813588351e-01
3.175364360728712654e+03 1.192067355281823282e+00 1.014824955346945862e-01
3.178539725089442527e+03 1.233001788835395907e+00 9.555556962622101247e-02
3.181718264814533086e+03 1.247480943544970522e+00 9.084763618396260454e-02
3.184899983079348658e+03 1.258996910165546934e+00 8.645820825850025759e-02
3.188084883062429071e+03 1.282292701181575012e+00 8.393941088082186586e-02
3.191272967945492383e+03 1.331086097672159685e+00 8.307867096563691101e-02
3.194464240913438971e+03 1.344011337501723968e+00 8.156687132572719434e-02
3.197658705154353811e+03 1.340332095226039133e+00 8.211441999720146823e-02
3.200856363859509202e+03 1.308230227402652712e+00 8.037619035597495798e-02
3.204057220223369768e+03 1.283203865157793500e+00 8.077154136190244083e-02
3.207261277443593826e+03 1.288446384666245503e+00 7.808596853133421833e-02
3.210468538721038840e+03 1.285884802058806287e+00 7.551098188863852867e-02
3.213679007259760965e+03 1.312506077498425627e+00 7.168254915546282136e-02
3.216892686267021418e+03 1.334610020872095459e+00 6.935890911608755260e-02
3.220109578953289656e+03 1.320757534088986329e+00 6.605337502210721634e-02
3.223329688532243836e+03 1.300993897913524489e+00 6.440987211143753277e-02
3.226553018220777176e+03 1.307617299930186716e+00 6.620407289949069296e-02
3.229779571238999324e+03 1.289488641365847288e+00 6.518243988878182071e-02
3.233009350810239084e+03 1.269525372681977959e+00 6.399137454229043842e-02
3.236242360161050783e+03 1.222575571165496644e+00 6.427983666194281298e-02
3.239478602521212906e+03 1.160143933894520085e+00 6.028016291000740795e-02
3.242718081123734919e+03 1.115714311404644610e+00 5.880948201048091795e-02
3.245960799204859995e+03 1.044268063905888999e+00 6.139613989870510574e-02
3.249206760004065927e+03 9.926246086735710517e-01 6.171122878289779512e-02
3.252455966764071036e+03 9.666866994406336788e-01 6.123768720983086694e-02
3.255708422730835991e+03 9.396486324793369427e-01 6.148995130019775657e-02
3.258964131153567905e+03 9.260882724474849281e-01 6.074296485088534481e-02
3.262223095284722604e+03 9.217035984827435247e-01 5.871316665513480471e-02
3.265485318380008266e+03 8.967101602075571165e-01 5.632340586386150316e-02
3.268750803698389518e+03 8.629092656802410666e-01 5.355635469409344290e-02
3.272019554502088795e+03 8.777560673490125698e-01 5.288920478087647675e-02
3.275291574056592253e+03 8.462017214131977161e-01 4.926076299797782498e-02
3.278566865630649772e+03 8.378047465953386563e-01 4.951661109471352379e-02
3.281845432496281319e+03 8.487114517269527258e-01 4.875237973210404946e-02
3.285127277928778767e+03 8.433381816430658429e-01 4.869372776562620742e-02
3.288412405206708627e+03 8.830258905954022630e-01 5.460389794029511801e-02
3.291700817611916591e+03 8.742164403238612547e-01 5.529167114483116846e-02
3.294992518429529355e+03 8.905169127562553300e-01 5.439953036027923156e-02
3.298287510947960072e+03 8.929610587428158386e-01 5.385734259928741385e-02
3.301585798458909267e+03 8.892898253306614764e-01 5.436453910231602016e-02
3.304887384257369376e+03 9.136574143297925277e-01 5.172675814203452072e-02
3.308192271641627485e+03 9.208932925475691311e-01 5.203127097005182111e-02
3.311500463913270323e+03 9.020270002281859378e-01 5.250285862336798171e-02
3.314811964377184722e+03 9.191169418088760423e-01 5.215873716368237684e-02
