# starting wavelength: 1924.220
# ending wavelength: 3379.390
# wav flux eflux
1.924512556303160636e+03 1.060781880258023779e-01 2.648033361340218494e+00
1.926437068859464262e+03 -1.509586164484897353e-01 1.938659274597985371e+00
1.928363505928324457e+03 -7.410213580444424686e-02 1.492979748487220037e+00
1.930291869434253385e+03 1.803246641080785695e-01 1.227736654501561997e+00
1.932222161303688381e+03 3.194483204438331447e-01 9.444210054238497687e-01
1.934154383464992634e+03 4.346862906648707447e-01 7.417789726026096098e-01
1.936088537848458373e+03 5.549526124976524866e-01 5.960776005023382673e-01
1.938024626386307318e+03 6.432412853407603048e-01 4.899257606529561770e-01
1.939962651012694323e+03 6.752739927368882622e-01 4.270238814416781326e-01
1.941902613663707598e+03 6.978464718844645809e-01 3.585166735662453363e-01
1.943844516277372122e+03 7.311773342265425191e-01 3.143011060904546961e-01
1.945788360793650099e+03 7.990513358364277341e-01 2.859005862725187419e-01
1.947734149154444367e+03 8.472203396256201557e-01 2.622200686016115112e-01
1.949681883303599307e+03 9.123802666974119013e-01 2.471554485108014843e-01
1.951631565186903572e+03 8.847562450829381531e-01 2.349059295007747961e-01
1.953583196752091226e+03 8.714174765404414380e-01 2.240007056061014690e-01
1.955536779948844014e+03 8.311272949370425156e-01 2.180383111882677749e-01
1.957492316728793412e+03 8.729732795885791763e-01 2.154962656898861129e-01
1.959449809045522898e+03 8.652052454579304275e-01 2.163698398138460544e-01
1.961409258854569089e+03 7.772997215566133100e-01 2.208466680943066140e-01
1.963370668113424244e+03 7.436914572799941947e-01 2.200460653079704954e-01
1.965334038781538311e+03 7.230250575621792741e-01 2.204680174725393016e-01
1.967299372820320514e+03 7.255173489902924100e-01 2.266222883379744035e-01
1.969266672193141403e+03 7.569490903508829804e-01 2.269929323873790539e-01
1.971235938865335356e+03 7.832113578475184967e-01 2.243790903134989523e-01
1.973207174804201259e+03 8.781413778424123073e-01 2.032718374206002043e-01
1.975180381979006143e+03 8.572039628234093822e-01 2.041212873660069316e-01
1.977155562360985869e+03 6.524649008201797162e-01 1.697417530858544021e-01
1.979132717923347400e+03 6.078803738738690621e-01 1.723967538188308501e-01
1.981111850641271531e+03 5.135708800102426475e-01 1.708754879002952476e-01
1.983092962491913340e+03 4.716966746933709542e-01 1.631032827573315469e-01
1.985076055454405832e+03 3.493423706013425445e-01 1.635190453787539744e-01
1.987061131509861070e+03 2.653669986835671679e-01 1.651357461798195758e-01
1.989048192641371543e+03 2.358926955659818303e-01 1.640493863078348880e-01
1.991037240834013573e+03 2.520273566039168411e-01 1.645068681621444651e-01
1.993028278074848231e+03 2.148344277357654708e-01 1.645757916203976767e-01
1.995021306352923602e+03 1.725247607792438354e-01 1.620522580210663199e-01
1.997016327659277295e+03 1.511224915622570164e-01 1.620200156178250028e-01
1.999013343986937116e+03 1.951522978447734202e-01 1.659447958905197196e-01
2.001012357330924715e+03 1.770027386584101803e-01 1.648648846037075177e-01
2.003013369688256489e+03 1.159989196875496897e-01 1.626085984173353538e-01
2.005016383057945404e+03 4.505528594582758339e-02 1.561740138798640709e-01
2.007021399441003950e+03 1.120108934271183132e-01 1.497881945684531868e-01
2.009028420840445506e+03 1.842231972485493252e-01 1.510120751809653772e-01
2.011037449261286611e+03 2.657774729542942138e-01 1.498443444841375538e-01
2.013048486710548559e+03 2.928492247560972039e-01 1.447167118873615155e-01
2.015061535197259900e+03 3.605103445205087298e-01 1.479248423672973045e-01
2.017076596732457801e+03 4.635129900645078571e-01 1.318618224182555587e-01
2.019093673329191006e+03 4.600602945518952325e-01 1.319681457767397648e-01
2.021112767002520741e+03 4.215442457675738774e-01 1.160654521852455129e-01
2.023133879769523901e+03 4.359279921231018484e-01 1.127393763223168560e-01
2.025157013649294186e+03 3.904946472296308979e-01 1.127989236178601751e-01
2.027182170662944145e+03 3.159395374698221737e-01 1.202721528568784504e-01
2.029209352833607682e+03 2.527919793106160884e-01 1.215813125435873804e-01
2.031238562186442095e+03 1.500033236666346304e-01 1.256872023019177109e-01
2.033269800748629223e+03 1.101221564780237722e-01 1.309904331529240518e-01
2.035303070549378390e+03 8.652213436054928541e-02 1.322932976573160946e-01
2.037338373619928461e+03 -2.257469262315131564e-02 1.204027801435152284e-01
2.039375711993548975e+03 -7.436092170560068548e-02 1.083838710054304266e-01
2.041415087705543328e+03 -7.360259667212790125e-02 1.199603833022076654e-01
2.043456502793249456e+03 -4.604161774304382782e-02 1.265138449816896049e-01
2.045499959296043471e+03 -5.027083072730309521e-04 1.292921932205734481e-01
