# starting wavelength: 3381.090
# ending wavelength: 10069.500
# wav flux eflux
3.381741812935407324e+03 -1.546344024652854254e-02 1.079070746983201018e-01
3.385123554748343849e+03 4.121959242380210386e-02 7.990636709723367148e-02
3.388508678303093347e+03 5.312779531189029680e-02 6.675228290322574032e-02
3.391897186981397681e+03 3.958825008768573905e-02 6.028330503584394817e-02
3.395289084168380214e+03 2.719436547523436387e-02 5.028385783706285084e-02
3.398684373252549449e+03 2.565083183988799143e-02 3.991222978102821478e-02
3.402083057625803121e+03 2.902756109570456267e-02 3.219423199075325398e-02
3.405485140683430018e+03 3.552943980967401827e-02 2.632775166438360709e-02
3.408890625824114522e+03 4.168262197794857238e-02 2.238908877170367809e-02
3.412299516449939802e+03 4.404906851515723309e-02 1.994071775082424669e-02
3.415711815966390986e+03 4.855082115856987346e-02 1.738393632485330659e-02
3.419127527782358356e+03 5.540475490176850759e-02 1.543130620650019075e-02
3.422546655310141887e+03 6.237722789943370150e-02 1.408614485677048278e-02
3.425969201965453522e+03 7.507557633867137370e-02 1.299371139444635732e-02
3.429395171167419903e+03 9.434385724566403397e-02 1.233473593865004776e-02
3.432824566338588284e+03 1.155801344274150488e-01 1.177742195766119659e-02
3.436257390904928343e+03 1.381405839730460994e-01 1.142369543698112423e-02
3.439693648295834464e+03 1.653993712133730309e-01 1.173981091981685966e-02
3.443133341944131189e+03 1.929610109898224624e-01 1.217807744786767767e-02
3.446576475286076402e+03 2.132215386274743940e-01 1.216513979539340928e-02
3.450023051761363604e+03 2.361530543685291250e-01 1.231389905317139578e-02
3.453473074813126004e+03 2.555581878663725770e-01 1.230369624866741764e-02
3.456926547887940615e+03 2.680046393157943241e-01 1.210187114259046563e-02
3.460383474435829612e+03 2.801029792921400086e-01 1.170585190577690463e-02
3.463843857910266706e+03 2.815725563772394358e-01 1.206301239966084578e-02
3.467307701768178049e+03 2.761031420842591788e-01 1.268242296588711730e-02
3.470775009469947236e+03 2.660669119082046397e-01 1.287894638988029521e-02
3.474245784479418489e+03 2.525455480800716801e-01 1.281226016433756505e-02
3.477720030263898934e+03 2.377789189953700977e-01 1.270190876701351133e-02
3.481197750294164052e+03 2.299519217784091740e-01 1.262708982302323743e-02
3.484678948044459503e+03 2.283776005551212129e-01 1.274491258763395772e-02
3.488163626992504760e+03 2.270365868715028268e-01 1.281661555001091697e-02
3.491651790619498570e+03 2.223160293458914805e-01 1.276986730254859627e-02
3.495143442410119405e+03 2.149311096950334288e-01 1.298682249919741460e-02
3.498638585852530468e+03 2.025253665436868855e-01 1.297962376786876947e-02
3.502137224438384237e+03 1.810679438908526229e-01 1.236387809412607328e-02
3.505639361662823831e+03 1.588027386839674371e-01 1.206123511786628098e-02
3.509145001024487556e+03 1.408100910180594967e-01 1.192389738919764214e-02
3.512654146025513455e+03 1.225634431426880500e-01 1.200088147119130963e-02
3.516166800171540217e+03 1.131962125976344602e-01 1.175368053750639429e-02
3.519682966971712631e+03 1.091550607823209007e-01 1.076848423704852495e-02
3.523202649938685681e+03 1.079983789055603272e-01 1.028744499020717643e-02
3.526725852588625457e+03 1.072606438606180518e-01 1.001062212842716848e-02
3.530252578441215064e+03 1.061043208481048383e-01 9.817772684108036496e-03
3.533782831019657806e+03 1.012708583875520651e-01 9.990344633006641856e-03
3.537316613850678550e+03 9.282196144941207150e-02 9.919640645976753393e-03
3.540853930464530094e+03 8.698560493243523428e-02 1.006520500292944036e-02
3.544394784394995895e+03 7.819536448686895125e-02 9.813620221384841344e-03
3.547939179179392340e+03 7.144554946126047135e-02 8.728081285762788813e-03
3.551487118358572843e+03 7.357533601072277496e-02 8.645922706865641003e-03
3.555038605476932389e+03 7.672694257204228097e-02 8.914950575531960242e-03
3.558593644082410719e+03 8.238517397443212431e-02 9.221665187538148623e-03
3.562152237726494150e+03 9.433917615261327994e-02 9.211604976949401558e-03
3.565714389964221937e+03 1.134759207459688779e-01 8.552563178457981904e-03
3.569280104354187188e+03 1.318658143400181504e-01 8.032066032927723948e-03
3.572849384458542772e+03 1.495630306773352014e-01 7.214349035694334750e-03
3.576422233843002232e+03 1.711955403760865302e-01 6.032125352922322603e-03
3.579998656076846601e+03 1.882624789760072026e-01 5.865468646900916933e-03
3.583578654732924406e+03 1.975383001499458058e-01 6.657259653602629057e-03
3.587162233387658489e+03 2.046002631394945870e-01 7.051538509327093078e-03
3.590749395621047370e+03 2.119585494292673400e-01 6.975037045730866914e-03
3.594340145016669794e+03 2.184294603824530334e-01 6.475115656833728937e-03
3.597934485161687462e+03 2.241048966488648764e-01 5.417663183788988014e-03
3.601532419646850485e+03 2.347671330560136826e-01 5.433129953483288935e-03
3.605133952066498296e+03 2.476952642163458007e-01 5.808502993140895153e-03
3.608739086018566013e+03 2.602767343333747263e-01 6.029017599456654684e-03
3.612347825104585809e+03 2.730413662627710347e-01 6.118536062300409563e-03
3.615960172929691907e+03 2.881325089258026662e-01 5.841466656301171415e-03
3.619576133102622407e+03 3.015202751665836400e-01 5.624883704860556000e-03
3.623195709235726554e+03 3.109205342081453605e-01 5.680709837575965981e-03
3.626818904944963379e+03 3.210888153406838974e-01 5.724973738782290072e-03
3.630445723849909427e+03 3.294309312586913840e-01 5.732641568678498514e-03
3.634076169573760581e+03 3.351817902658255077e-01 5.773157841851028239e-03
3.637710245743335690e+03 3.421964452796053546e-01 5.779327673022598491e-03
3.641347955989080219e+03 3.504130287047070302e-01 5.746958817567269021e-03
3.644989303945070333e+03 3.586706981668743577e-01 5.664610340330152559e-03
3.648634293249016537e+03 3.616238142497556485e-01 5.664705032201284955e-03
