# starting wavelength: 3990.460
# ending wavelength: 9674.380
# wav flux eflux
3.992062287150684824e+03 3.159095386321494114e+00 5.762164755253287862e-02
3.996054349437837118e+03 3.018067314567402626e+00 4.146992990573796639e-02
4.000050403787276082e+03 2.901995847500192127e+00 3.103348365054153096e-02
4.004050454191064546e+03 2.807514272490426066e+00 2.358596563228342047e-02
4.008054504645257111e+03 2.733266504593631296e+00 1.831905063121996510e-02
4.012062559149903791e+03 2.676270242449533932e+00 1.449120350709341525e-02
4.016074621709055009e+03 2.633580177254501997e+00 1.180062064986432679e-02
4.020090696330765240e+03 2.601091450005752481e+00 1.043964880554763136e-02
4.024110787027097558e+03 2.575957696271118813e+00 8.945271820828108039e-03
4.028134897814125907e+03 2.557421992205987316e+00 7.725760277101940271e-03
4.032163032711941469e+03 2.544629003875440443e+00 6.716404326568664943e-03
4.036195195744654484e+03 2.535440512439006255e+00 6.024084690873760840e-03
4.040231390940400615e+03 2.528234931227866689e+00 5.527558179025462114e-03
4.044271622331342314e+03 2.519244427519261809e+00 5.677277695224563353e-03
4.048315893953675186e+03 2.510035213137754795e+00 5.993801756475359774e-03
4.052364209847629809e+03 2.503739864758551370e+00 5.935286784711463898e-03
4.056416574057479011e+03 2.496755434116320505e+00 5.862512765250076259e-03
4.060472990631537868e+03 2.491368297616290750e+00 5.706385235393437831e-03
4.064533463622170530e+03 2.484751363185100370e+00 5.511455603369048474e-03
4.068597997085794304e+03 2.476442325859894211e+00 5.581022319618140701e-03
4.072666595082881486e+03 2.464117294836760230e+00 5.736083941101403731e-03
4.076739261677965715e+03 2.449487622444416424e+00 5.303721586402034525e-03
4.080816000939644709e+03 2.431326577869680872e+00 3.980207415541202505e-03
4.084896816940585722e+03 2.414332946925706214e+00 3.358546746924691382e-03
4.088981713757527814e+03 2.396069408194562378e+00 3.070728599668039616e-03
4.093070695471286854e+03 2.379727670908990067e+00 3.050835731635184300e-03
4.097163766166759160e+03 2.362143056240922245e+00 3.085991824918406321e-03
4.101260929932927866e+03 2.342868426028078765e+00 3.217148765766292360e-03
4.105362190862862008e+03 2.325573558391118123e+00 3.218618757389777544e-03
4.109467553053726078e+03 2.307861848337788846e+00 3.247419758157471786e-03
4.113577020606780934e+03 2.288575852259599142e+00 3.338380619136226395e-03
4.117690597627389252e+03 2.267357601271210221e+00 3.717515805215923248e-03
4.121808288225018259e+03 2.248005394366913823e+00 3.802969834852973005e-03
4.125930096513244280e+03 2.228060951475373308e+00 3.710661391067265891e-03
4.130056026609759101e+03 2.209162075476978959e+00 3.641611428794858021e-03
4.134186082636369974e+03 2.192929806831374950e+00 3.630609637947970411e-03
4.138320268719007800e+03 2.178294365595575766e+00 3.587288719540104257e-03
4.142458588987728035e+03 2.163695722892421625e+00 3.466653407006624679e-03
4.146601047576717065e+03 2.151750767557579991e+00 3.446466973337680879e-03
4.150747648624294925e+03 2.141447838518425684e+00 3.668409727123577574e-03
4.154898396272920763e+03 2.134445135421879414e+00 4.342757535682872233e-03
4.159053294669195566e+03 2.126753892826515724e+00 4.789145013433286462e-03
4.163212347963865795e+03 2.116643029028539402e+00 5.017656711939514833e-03
4.167375560311830668e+03 2.108505988284167021e+00 5.358810949489666887e-03
4.171542935872143971e+03 2.099997963559576686e+00 4.937097725593758354e-03
4.175714478808017702e+03 2.091667936412068496e+00 4.048586618288127145e-03
4.179890193286827525e+03 2.079832552959225200e+00 3.555145374903406937e-03
4.184070083480115500e+03 2.064639672333145270e+00 3.599969677845516001e-03
4.188254153563597356e+03 2.046170257270474746e+00 3.649476989537697464e-03
4.192442407717161586e+03 2.023891243895563186e+00 3.581518953201199510e-03
4.196634850124880359e+03 1.997565832259065255e+00 4.031682975156647246e-03
4.200831484975006788e+03 1.970504717429813368e+00 4.571801315987538555e-03
4.205032316459983122e+03 1.939426066556451334e+00 6.240791798352162030e-03
4.209237348776444378e+03 1.909111935436029306e+00 7.003307250510294214e-03
4.213446586125221984e+03 1.876690512941215916e+00 8.192992376296349619e-03
4.217660032711349231e+03 1.847762912070729291e+00 8.685888651577525557e-03
4.221877692744061278e+03 1.829926074371269307e+00 8.504522442847059840e-03
4.226099570436806971e+03 1.814653160043956825e+00 7.432276680195225478e-03
4.230325670007245208e+03 1.810474927844748949e+00 6.429018740685236120e-03
4.234555995677254032e+03 1.815787528132922102e+00 5.354136508746554224e-03
4.238790551672932452e+03 1.834184460513105019e+00 4.958741282333966119e-03
4.243029342224606808e+03 1.864980981640671498e+00 5.377983860643661615e-03
4.247272371566832589e+03 1.907361954991498409e+00 6.552827189784359019e-03
4.251519643938400804e+03 1.956916233122474758e+00 7.453912952938955214e-03
4.255771163582340705e+03 2.019361785632880046e+00 8.274058089769767074e-03
4.260026934745924336e+03 2.086698284004087522e+00 8.325206400897950179e-03
4.264286961680671993e+03 2.153817643230690138e+00 8.076098170952339395e-03
4.268551248642354039e+03 2.228331003946794731e+00 6.954102973995482558e-03
4.272819799890998183e+03 2.301929381006712294e+00 5.951641689151430936e-03
4.277092619690890388e+03 2.374284387235160221e+00 5.045092349594728319e-03
4.281369712310583054e+03 2.442193342606046258e+00 3.686414727295525724e-03
4.285651082022895025e+03 2.502072525755944188e+00 3.297628365068747298e-03
4.289936733104918858e+03 2.553246134435985581e+00 4.023094227421706096e-03
4.294226669838025373e+03 2.594825850337795003e+00 4.998953155205375018e-03
4.298520896507864563e+03 2.630777456591512742e+00 4.741541336262121605e-03
4.302819417404373780e+03 2.659670179138122759e+00 3.706577804933886434e-03
4.307122236821779552e+03 2.683913839729923367e+00 3.095597712663158800e-03
4.311429359058603040e+03 2.704018621848281345e+00 2.923902938121714784e-03
4.315740788417662770e+03 2.718659453977617879e+00 2.935918026554013363e-03
4.320056529206081905e+03 2.726793119138088528e+00 3.023461891358362411e-03
4.324376585735290064e+03 2.730231638330365751e+00 3.281035035116389251e-03
4.328700962321026054e+03 2.728618875973134461e+00 3.513439107395636366e-03
4.333029663283348782e+03 2.719456207392300762e+00 3.598837063683415008e-03
4.337362692946633615e+03 2.703465060966628197e+00 3.527978151946909672e-03
4.341700055639581478e+03 2.680782440453999271e+00 3.399672348590944589e-03
4.346041755695222491e+03 2.652620980265623984e+00 3.146186159335576452e-03
4.350387797450919606e+03 2.615872533627323193e+00 3.138767646637920499e-03
4.354738185248371337e+03 2.572628224414711617e+00 3.326816061059528762e-03
4.359092923433621763e+03 2.523382516300559431e+00 3.577043647198035851e-03
4.363452016357056891e+03 2.469409670754790564e+00 3.994931481397990224e-03
4.367815468373414660e+03 2.413757073514244400e+00 4.374517857696632976e-03
4.372183283841789489e+03 2.354313880371642131e+00 4.980335098953600319e-03
