# starting wavelength: 3712.720
# ending wavelength: 7525.740
# wav flux eflux
3.714870940056121526e+03 2.383010235607715188e+00 1.179430172783161035e-01
3.718585810996179134e+03 2.363633850687613780e+00 8.688085448084401086e-02
3.722304396807176545e+03 2.366136038977862288e+00 6.635246471187450368e-02
3.726026701203984885e+03 2.386558531568832020e+00 5.762317667010268679e-02
3.729752727905190113e+03 2.406199522738459606e+00 4.873568197759865772e-02
3.733482480633096657e+03 2.411717546168752335e+00 3.858139894233848788e-02
3.737215963113731050e+03 2.417092829092035711e+00 3.160606533550194830e-02
3.740953179076846027e+03 2.424799306053365466e+00 2.608514787994380482e-02
3.744694132255923705e+03 2.434032984273413192e+00 2.268975134967552570e-02
3.748438826388181042e+03 2.442253279011847855e+00 1.940981116600314429e-02
3.752187265214570289e+03 2.448289886740868226e+00 1.701531789533199807e-02
3.755939452479786269e+03 2.446238829234488321e+00 1.614750932434782030e-02
3.759695391932267285e+03 2.448640056006306853e+00 1.478493876534049678e-02
3.763455087324201031e+03 2.446802515854911153e+00 1.383550419022576070e-02
3.767218542411526414e+03 2.445678950743022106e+00 1.298996864524906356e-02
3.770985760953939007e+03 2.446196243826193051e+00 1.243384647488524411e-02
3.774756746714894234e+03 2.444965310952675885e+00 1.200347494928436995e-02
3.778531503461610555e+03 2.439899823291512782e+00 1.161699974973429833e-02
3.782310034965073100e+03 2.430478178525436128e+00 1.141217925532866592e-02
3.786092345000039586e+03 2.426149660604792757e+00 1.128495078626378344e-02
3.789878437345040766e+03 2.419193204731451718e+00 1.109574167653080631e-02
3.793668315782387253e+03 2.408720948791915450e+00 1.104301713107061315e-02
3.797461984098170888e+03 2.397018780919219605e+00 1.118329509791577553e-02
3.801259446082270188e+03 2.387445532450829244e+00 1.112167173496632355e-02
3.805060705528353537e+03 2.379226626010682466e+00 1.107913664399432126e-02
3.808865766233883278e+03 2.369639106747844615e+00 1.089921940518013069e-02
3.812674632000118436e+03 2.359547401886156415e+00 1.081397898269389514e-02
3.816487306632119726e+03 2.349625709903570669e+00 1.089612473260418921e-02
