# starting wavelength: 3712.720
# ending wavelength: 7525.740
# wav flux eflux
3.714870940056121526e+03 4.009641337988019139e-01 4.750783307517952858e-02
3.718585810996179134e+03 4.416427433974160488e-01 3.550902042820149734e-02
3.722304396807176545e+03 4.707610783703157220e-01 2.727729232991438560e-02
3.726026701203984885e+03 4.858380924644020715e-01 2.083741745989389771e-02
3.729752727905190113e+03 4.901945447783809251e-01 1.640571569986905287e-02
3.733482480633096657e+03 4.835097465777751236e-01 1.344040937450062187e-02
3.737215963113731050e+03 4.709200010222441279e-01 1.088431573202022426e-02
3.740953179076846027e+03 4.542982088240338223e-01 9.597354396932154461e-03
3.744694132255923705e+03 4.344965667044450308e-01 8.168505907723316167e-03
3.748438826388181042e+03 4.160721053392153479e-01 7.207375723219568674e-03
3.752187265214570289e+03 4.015332970645653088e-01 6.891136487401090804e-03
3.755939452479786269e+03 3.914216948260559881e-01 6.765750876201901895e-03
3.759695391932267285e+03 3.853383358498385647e-01 6.823888638285202646e-03
3.763455087324201031e+03 3.837705711762111616e-01 7.140845977487193449e-03
3.767218542411526414e+03 3.883945904487425826e-01 7.867487978596250306e-03
3.770985760953939007e+03 3.921434276637714156e-01 8.196646690206473712e-03
3.774756746714894234e+03 3.977264061488593461e-01 8.748629113583735253e-03
3.778531503461610555e+03 4.063796669186115484e-01 9.731917669251591296e-03
3.782310034965073100e+03 4.106317606007771071e-01 1.000555029647138064e-02
3.786092345000039586e+03 4.179167561093755645e-01 9.510374937675838275e-03
3.789878437345040766e+03 4.232066335600767060e-01 8.927497422818939099e-03
3.793668315782387253e+03 4.257195757923663559e-01 7.865437174790710848e-03
3.797461984098170888e+03 4.243172655313462993e-01 7.323225908219373019e-03
3.801259446082270188e+03 4.191874507720353971e-01 6.683176097213696168e-03
3.805060705528353537e+03 4.081012145187695173e-01 6.875778447138652417e-03
3.808865766233883278e+03 3.928507510972036321e-01 7.122564206152102832e-03
3.812674632000118436e+03 3.732429731858384891e-01 7.379468719628388268e-03
3.816487306632119726e+03 3.494856649891415756e-01 7.480167349859134091e-03
3.820303793938753188e+03 3.211668102126234436e-01 7.824398451440839342e-03
3.824124097732693372e+03 2.920335841058083748e-01 7.482697046096810356e-03
3.827948221830427428e+03 2.626686377106032810e-01 7.456559890497599895e-03
3.831776170052258749e+03 2.324569096351502551e-01 6.673243285261067081e-03
3.835607946222312421e+03 2.046895289172268873e-01 5.525949354685161068e-03
3.839443554168536139e+03 1.824387076996595303e-01 5.005360163011208195e-03
3.843282997722705659e+03 1.651363663655503189e-01 5.116450466922440633e-03
3.847126280720429804e+03 1.542396909892926882e-01 5.249957022630495108e-03
3.850973407001151372e+03 1.477483329907118004e-01 5.503270223414406977e-03
3.854824380408153957e+03 1.472838960969194144e-01 5.603132468474551937e-03
3.858679204788563311e+03 1.511748058964691999e-01 5.338226320402798646e-03
3.862537883993353262e+03 1.586051114531430162e-01 4.821538462943766000e-03
3.866400421877347981e+03 1.697444628380790355e-01 4.026675876486016104e-03
3.870266822299226533e+03 1.775630464962013044e-01 4.067821793021455905e-03
3.874137089121526969e+03 1.923397905105351247e-01 4.098866476221230473e-03
3.878011226210649966e+03 2.087571035879298986e-01 4.075860743349267283e-03
3.881889237436861549e+03 2.249830482740320381e-01 4.530075394092119775e-03
3.885771126674299921e+03 2.412322121385091778e-01 4.587363722881107955e-03
3.889656897800975457e+03 2.622641569338804990e-01 4.907518249238136676e-03
3.893546554698777527e+03 2.891730650633435040e-01 4.727943095219422701e-03
3.897440101253477678e+03 3.201484431233491135e-01 4.901359241632955929e-03
3.901337541354732366e+03 3.591057654744023719e-01 4.898762336622551096e-03
3.905238878896088409e+03 4.018337576471364136e-01 5.119426685962911311e-03
3.909144117774985716e+03 4.465747187149732289e-01 5.518369024799173531e-03
