# starting wavelength: 3300.950
# ending wavelength: 9911.590
# wav flux eflux
3.301585798458909267e+03 3.865959965052996328e+00 3.870550711233990415e-01
3.304887384257369376e+03 4.152138879125039317e+00 2.756111189998751154e-01
3.308192271641627485e+03 4.307979743826223284e+00 2.360423253717449377e-01
3.311500463913270323e+03 4.407140064274407187e+00 1.806904734922152589e-01
3.314811964377184722e+03 4.428280955901546356e+00 1.677118042494523675e-01
3.318126776341563072e+03 4.439867412385908096e+00 1.423634320454461033e-01
3.321444903117905596e+03 4.447869833403794715e+00 1.171175971794388704e-01
3.324766348021024896e+03 4.449746705875349484e+00 9.664059391971008273e-02
3.328091114369046863e+03 4.443650059804688190e+00 7.950999480351193804e-02
3.331419205483417045e+03 4.439601636336272250e+00 7.023168370835837504e-02
3.334750624688901553e+03 4.429040504574145665e+00 6.144286880311754934e-02
3.338085375313591612e+03 4.417760808839024556e+00 5.483422629117481323e-02
3.341423460688906289e+03 4.408504056376289171e+00 4.993509737095015721e-02
3.344764884149596128e+03 4.395153337946068994e+00 4.624487400982435492e-02
3.348109649033746791e+03 4.397169404745168819e+00 4.496445333063904537e-02
3.351457758682781787e+03 4.402481843034856901e+00 4.474838498147584026e-02
3.354809216441465651e+03 4.403543919846631738e+00 4.390504476262041544e-02
3.358164025657908041e+03 4.399391209744303310e+00 4.266032261314116336e-02
3.361522189683567376e+03 4.385137401478776731e+00 4.236186088008139783e-02
3.364883711873251741e+03 4.370961860679273947e+00 4.092083977353584701e-02
3.368248595585126168e+03 4.383057264258347629e+00 3.083586107693483264e-02
3.371616844180712633e+03 4.374139246178139651e+00 2.994821309161560183e-02
3.374988461024894150e+03 4.364601030015137439e+00 2.969996930546083339e-02
3.378363449485920228e+03 4.341112074038452562e+00 2.791052836677443069e-02
3.381741812935407324e+03 4.331088820229160419e+00 2.804882679875872822e-02
3.385123554748343849e+03 4.312598942401892010e+00 2.784483391816797854e-02
3.388508678303093347e+03 4.282268188691570110e+00 2.414400894619450622e-02
3.391897186981397681e+03 4.258156784235039183e+00 2.327499322334459358e-02
3.395289084168380214e+03 4.236546210853644467e+00 2.297119376418036915e-02
