# starting wavelength: 4198.170
# ending wavelength: 7655.680
# wav flux eflux
4.200831484975006788e+03 8.498889710983524859e-01 1.910517119341679226e-01
4.205032316459983122e+03 9.403222473794520253e-01 1.483851647231188287e-01
4.209237348776444378e+03 1.048226268972254349e+00 1.187558046547588647e-01
4.213446586125221984e+03 1.145250373729970850e+00 9.919727768348936270e-02
4.217660032711349231e+03 1.219146022226834436e+00 8.240186823217492129e-02
4.221877692744061278e+03 1.264681422014789725e+00 6.805966662154422364e-02
4.226099570436806971e+03 1.282503823442115998e+00 5.550272792416186679e-02
4.230325670007245208e+03 1.277412340698486748e+00 4.611209210435939648e-02
4.234555995677254032e+03 1.249989925696850301e+00 3.992146842602103951e-02
4.238790551672932452e+03 1.203868379575416370e+00 3.513543802711491248e-02
4.243029342224606808e+03 1.141572217212975637e+00 3.196840750911566359e-02
4.247272371566832589e+03 1.063574588052471626e+00 3.121463609972960004e-02
4.251519643938400804e+03 9.767812185523014890e-01 3.151633044132120393e-02
4.255771163582340705e+03 8.864369512127522333e-01 3.284561911784485838e-02
4.260026934745924336e+03 8.012797297862870316e-01 3.397312512596832590e-02
4.264286961680671993e+03 7.269357569838279520e-01 3.493336663397296482e-02
4.268551248642354039e+03 6.688321586031111821e-01 3.543960489243958706e-02
4.272819799890998183e+03 6.312017648043861673e-01 3.523046889366469175e-02
4.277092619690890388e+03 5.971149705206437730e-01 3.146862828783206917e-02
4.281369712310583054e+03 5.739693982006015549e-01 2.793655787883244160e-02
4.285651082022895025e+03 6.041718784274954235e-01 3.707032177761366426e-02
4.289936733104918858e+03 6.387555610319846089e-01 4.381911105945227730e-02
4.294226669838025373e+03 7.010834791189568538e-01 5.219862810540145531e-02
4.298520896507864563e+03 7.724334916007500329e-01 5.657652334445505832e-02
4.302819417404373780e+03 8.430409778429621692e-01 5.840635879296557365e-02
4.307122236821779552e+03 9.337576951187852581e-01 5.243511507009102762e-02
4.311429359058603040e+03 9.912224343940990723e-01 4.761762966767847660e-02
4.315740788417662770e+03 1.035828497512873980e+00 4.373220313375456719e-02
4.320056529206081905e+03 1.070468562947422875e+00 4.303002838431919247e-02
4.324376585735290064e+03 1.074004502235875957e+00 4.487950193022408052e-02
4.328700962321026054e+03 1.066286275844749776e+00 4.770004614050549208e-02
4.333029663283348782e+03 1.052853025764576733e+00 5.171212006702424757e-02
4.337362692946633615e+03 1.020038880072071219e+00 5.586038131708268711e-02
4.341700055639581478e+03 9.731766220540899459e-01 5.919127568661945726e-02
4.346041755695222491e+03 8.999920642546702654e-01 5.733423283869810982e-02
4.350387797450919606e+03 8.421396839430117520e-01 5.407995268096556229e-02
4.354738185248371337e+03 8.058538125357763704e-01 5.009208088039720369e-02
4.359092923433621763e+03 7.561707906740721130e-01 4.087760035302541450e-02
4.363452016357056891e+03 7.461518633094121888e-01 4.161900700432104305e-02
4.367815468373414660e+03 7.532049238368832000e-01 4.475877763163974010e-02
4.372183283841789489e+03 7.918111824111547792e-01 4.937385891489823320e-02
4.376555467125633186e+03 8.428629450152105296e-01 5.065359587967221272e-02
4.380932022592760404e+03 9.053546476313378832e-01 4.719532878325278374e-02
4.385312954615354101e+03 9.942499369227543182e-01 3.484711021758965521e-02
4.389698267569970994e+03 1.047548330826149288e+00 2.656951901828411358e-02
4.394087965837542470e+03 1.082582521852280655e+00 2.179908750870355669e-02
4.398482053803381859e+03 1.096975455506802977e+00 2.806065797112035701e-02
4.402880535857186260e+03 1.082359395664645563e+00 3.625224723125917980e-02
4.407283416393044718e+03 1.046098984356906181e+00 4.209531823326214534e-02
4.411690699809440048e+03 1.010410655725809681e+00 3.849841815182525329e-02
4.416102390509250654e+03 9.973073183088431160e-01 3.494352179207087933e-02
4.420518492899761441e+03 9.806245428487104787e-01 2.909365988391561172e-02
4.424939011392662906e+03 9.963163007915025737e-01 3.100345527290617603e-02
4.429363950404056595e+03 1.021755835489704278e+00 3.381624208402880111e-02
4.433793314354462382e+03 1.048580626795647452e+00 3.658937425706606378e-02
4.438227107668818462e+03 1.083123696740721620e+00 3.773520468817748164e-02
4.442665334776488635e+03 1.128424136709502257e+00 3.779507787583617773e-02
4.447108000111265937e+03 1.190030495245167019e+00 3.471461757522260189e-02
4.451555108111379013e+03 1.235708160384221266e+00 3.129746079876297854e-02
4.456006663219492111e+03 1.273627040163640034e+00 2.646778735266862304e-02
4.460462669882713271e+03 1.282793334798861373e+00 2.722201680015885403e-02
4.464923132552597053e+03 1.277026266146535693e+00 2.792682134528096799e-02
4.469388055685150903e+03 1.244022716222005887e+00 2.784921410973252923e-02
4.473857443740837880e+03 1.202918291576556609e+00 2.755421672420187845e-02
4.478331301184580298e+03 1.153238763895517494e+00 2.659598914897078406e-02
4.482809632485766087e+03 1.078710179459362317e+00 2.226880200454574299e-02
4.487292442118253348e+03 1.013611387089919047e+00 2.201425264941486021e-02
4.491779734560373072e+03 9.622589282629094853e-01 2.245987017473095176e-02
4.496271514294934605e+03 9.173013799947584701e-01 1.779415511887814938e-02
4.500767785809231100e+03 8.705243676135518971e-01 1.473899409930089222e-02
4.505268553595042249e+03 8.144547585127395184e-01 1.537784700888327263e-02
4.509773822148638828e+03 7.632348840677194435e-01 1.550077664001501751e-02
4.514283595970789065e+03 7.159530299787486562e-01 1.247543187354485487e-02
4.518797879566761367e+03 6.887633350932481635e-01 1.057454564152557688e-02
4.523316677446328868e+03 6.792346904400472507e-01 1.029797375889610067e-02
4.527839994123776705e+03 6.937401642402778457e-01 1.127644669457790461e-02
4.532367834117902021e+03 7.331487334612243334e-01 1.139475866261415761e-02
4.536900201952022144e+03 7.921747791986522014e-01 1.095818746210970931e-02
4.541437102153975502e+03 8.784903617182264757e-01 1.304208480084650609e-02
4.545978539256130716e+03 9.907104965148876285e-01 1.597705010233336706e-02
4.550524517795388419e+03 1.141470798186891455e+00 1.694701912595500404e-02
4.555075042313184895e+03 1.310816072720050185e+00 1.737049840318221489e-02
4.559630117355500261e+03 1.496758817545358333e+00 2.019039801580888374e-02
4.564189747472856652e+03 1.701723740751402758e+00 2.996928512673421169e-02
4.568753937220330954e+03 1.890675037111643642e+00 3.555755121051017154e-02
4.573322691157552981e+03 2.046312778660791309e+00 3.417406239805752255e-02
4.577896013848711846e+03 2.143408895643950096e+00 2.877740443427462963e-02
4.582473909862562323e+03 2.181659219428809138e+00 3.044570341697755422e-02
4.587056383772426670e+03 2.171796788313480331e+00 3.922855268512841220e-02
4.591643440156200086e+03 2.108376502611132519e+00 4.572729570537206051e-02
4.596235083596357981e+03 2.010203077669689975e+00 4.721043996508701018e-02
4.600831318679955984e+03 1.927812545723061044e+00 4.099946142832645163e-02
4.605432149998637215e+03 1.837026883295267199e+00 3.380794924797440870e-02
4.610037582148637739e+03 1.791452943467962911e+00 3.495268438143051687e-02
4.614647619730787483e+03 1.755817705418302177e+00 3.747704365813409738e-02
