# starting wavelength: 3488.570
# ending wavelength: 9195.660
# wav flux eflux
3.491651790619498570e+03 -2.621224381202247322e-02 7.169807321052337201e-01
3.495143442410119405e+03 -8.960717932896250515e-02 5.310082746734393622e-01
3.498638585852530468e+03 -7.732532208397169260e-02 4.027601803300578931e-01
3.502137224438384237e+03 -4.223820933806229916e-02 3.076217362391082122e-01
3.505639361662823831e+03 2.498021315617973692e-02 2.402693864408045055e-01
3.509145001024487556e+03 1.149502134389041030e-01 1.915131260345517006e-01
3.512654146025513455e+03 2.040456616668523404e-01 1.567010868174660287e-01
3.516166800171540217e+03 2.902186651951554897e-01 1.310203611404116564e-01
3.519682966971712631e+03 3.746275442601565420e-01 1.104761086516906354e-01
3.523202649938685681e+03 4.134791490233215017e-01 1.016052140655000352e-01
3.526725852588625457e+03 4.259744919687524778e-01 9.318346706982519323e-02
3.530252578441215064e+03 4.353749499643517762e-01 8.412800298816469624e-02
3.533782831019657806e+03 4.319165459956118003e-01 7.750931408094051400e-02
3.537316613850678550e+03 4.212784819916955970e-01 7.225605438345190923e-02
3.540853930464530094e+03 3.942802348597496120e-01 6.890518781689312922e-02
3.544394784394995895e+03 3.794070030013233508e-01 6.547729305793116572e-02
3.547939179179392340e+03 3.621227994493617652e-01 6.272807246141277882e-02
3.551487118358572843e+03 3.346855130958165114e-01 6.206544294509559745e-02
3.555038605476932389e+03 2.713066472309185739e-01 6.391937924335965027e-02
3.558593644082410719e+03 2.404367246410868686e-01 6.435427922793067468e-02
3.562152237726494150e+03 1.880165408839636343e-01 6.401668957741159238e-02
3.565714389964221937e+03 1.080327966758281022e-01 6.618621414553878257e-02
3.569280104354187188e+03 1.405738135224246510e-02 7.187223289143951366e-02
3.572849384458542772e+03 2.730345873361952891e-02 7.498321569484954485e-02
3.576422233843002232e+03 7.500592147495765971e-04 7.549484515703459853e-02
3.579998656076846601e+03 -3.789875464837111352e-03 7.496954496828464598e-02
3.583578654732924406e+03 5.677263679720323530e-04 7.473981749489644333e-02
3.587162233387658489e+03 4.699072457768355138e-02 7.655368080017825594e-02
3.590749395621047370e+03 6.905977541486599258e-02 7.773810088973821808e-02
3.594340145016669794e+03 7.468328027931203650e-02 7.755908290601254418e-02
3.597934485161687462e+03 1.249940384396210219e-01 7.894663588711439695e-02
3.601532419646850485e+03 1.903031506726324817e-01 7.333771685528062134e-02
3.605133952066498296e+03 1.824143465026678013e-01 7.451479120187906591e-02
3.608739086018566013e+03 1.613354664955185258e-01 7.381012384339769028e-02
3.612347825104585809e+03 1.881717648877921645e-01 7.290892456006220490e-02
3.615960172929691907e+03 2.567232995255572803e-01 7.465823246755055875e-02
3.619576133102622407e+03 2.910826913491567081e-01 7.446516698799311718e-02
3.623195709235726554e+03 2.960245620115899423e-01 7.417166243189109165e-02
3.626818904944963379e+03 3.219134888604766598e-01 7.472448014821306272e-02
3.630445723849909427e+03 3.589121960228695007e-01 7.611682460774216175e-02
3.634076169573760581e+03 3.472910731728099387e-01 7.727121721714526326e-02
3.637710245743335690e+03 3.417664374982118392e-01 7.788245398843891831e-02
3.641347955989080219e+03 3.825073461961979726e-01 7.889361235835788688e-02
3.644989303945070333e+03 4.121358075691615164e-01 7.933417431876663151e-02
3.648634293249016537e+03 3.543666248615523484e-01 8.163690616897939512e-02
3.652282927542266862e+03 3.158972416338740041e-01 8.097644593217676046e-02
3.655935210469810499e+03 3.177765565989339458e-01 8.169973892271729932e-02
3.659591145680281443e+03 3.162652146212876492e-01 8.376933111492652906e-02
3.663250736825963031e+03 3.095997002631386552e-01 8.414878072237154394e-02
3.666913987562790226e+03 2.982147905313921044e-01 8.394306688236359559e-02
3.670580901550354156e+03 2.937747396027581837e-01 8.409107492772524561e-02
3.674251482451905758e+03 3.012414227705159653e-01 8.457398088138362580e-02
3.677925733934358959e+03 3.121673106418133004e-01 8.461842828772173086e-02
3.681603659668294313e+03 3.151703689066189251e-01 8.305105988412379847e-02
3.685285263327964003e+03 3.364619381602739212e-01 8.083860891671490467e-02
3.688970548591293209e+03 3.018427384275091940e-01 8.089918110211292979e-02
3.692659519139885560e+03 2.401199791799381589e-01 7.811122032642948965e-02
3.696352178659026777e+03 2.674199802788624347e-01 7.495681831562128750e-02
3.700048530837686940e+03 2.436516228739860623e-01 7.236415354371078523e-02
3.703748579368525952e+03 2.528147693754495551e-01 7.229519943514434166e-02
3.707452327947895355e+03 2.919314590976584967e-01 7.161627207567908271e-02
3.711159780275844696e+03 3.472632646332164952e-01 7.244349227166292648e-02
3.714870940056121526e+03 3.865759980999431411e-01 7.464622459192578330e-02
