# starting wavelength: 3053.890
# ending wavelength: 10613.000
# wav flux eflux
3.053968437861742132e+03 3.389639958494952005e-02 1.363745779739772013e-01
3.057022406299604881e+03 3.724356305308067216e-02 9.921432040152906862e-02
3.060079428705905229e+03 3.640001192249725515e-02 7.415878124507863101e-02
3.063139508134612242e+03 3.272391931849220892e-02 5.590269995863979963e-02
3.066202647642748161e+03 2.666428567753607523e-02 4.335944115500653395e-02
3.069268850290391583e+03 2.099907594218936718e-02 3.436250356430585462e-02
3.072338119140682920e+03 1.263903708213164230e-02 2.876666752671837649e-02
3.075410457259824852e+03 1.015304999196357458e-02 2.350727010343315812e-02
3.078485867717085512e+03 9.542600364187581174e-03 1.982886257928427945e-02
3.081564353584803939e+03 1.027024519420047244e-02 1.679504573648245291e-02
3.084645917938389630e+03 1.016925607820420852e-02 1.473788770884819702e-02
3.087730563856328899e+03 1.432657169974684008e-02 1.317810457947438466e-02
3.090818294420186248e+03 1.556292009054150924e-02 1.198817401349241626e-02
3.093909112714607545e+03 1.552563023555024457e-02 1.123017240385041152e-02
3.097003021827323209e+03 2.027553189314566448e-02 1.050027823121121168e-02
3.100100024849151396e+03 2.361915030842390295e-02 9.969868788138406754e-03
3.103200124874001631e+03 2.491960650662459337e-02 9.569214523813004622e-03
3.106303324998876633e+03 2.505069428930391945e-02 9.549187091424098106e-03
3.109409628323876859e+03 3.239385861042586023e-02 9.384667708420137838e-03
3.112519037952201415e+03 3.341556095088266815e-02 9.260443266190687694e-03
3.115631556990154877e+03 3.993457681685998184e-02 9.019746667130158768e-03
3.118747188547145925e+03 4.347642909441097603e-02 9.034302390579007636e-03
3.121865935735694165e+03 4.463176778709232462e-02 8.850962266715931004e-03
3.124987801671431043e+03 4.419637920291011324e-02 8.602196369383837207e-03
3.128112789473103476e+03 5.126425031513433261e-02 8.468791724455027037e-03
3.131240902262577492e+03 5.487401825508200076e-02 8.292528951329198109e-03
3.134372143164840963e+03 5.765633598218432299e-02 8.304707438287949051e-03
