# starting wavelength: 4065.950
# ending wavelength: 10737.300
# wav flux eflux
4.068597997085794304e+03 2.265646606882646186e+00 1.050634819859576075e-01
4.072666595082881486e+03 2.288398943143282516e+00 7.887362848621169709e-02
4.076739261677965715e+03 2.294906060015464710e+00 5.942960143288066044e-02
4.080816000939644709e+03 2.292632741867485890e+00 4.542245582330306508e-02
4.084896816940585722e+03 2.286007698192082493e+00 3.535965882861052956e-02
4.088981713757527814e+03 2.276982775848522156e+00 2.832831629192838346e-02
4.093070695471286854e+03 2.260645771336522891e+00 2.306612023446144577e-02
4.097163766166759160e+03 2.238162249518012903e+00 1.909123033364680880e-02
4.101260929932927866e+03 2.212706303494639037e+00 1.599695742847715915e-02
4.105362190862862008e+03 2.183273307352222581e+00 1.387702019181815544e-02
4.109467553053726078e+03 2.148826735661273801e+00 1.249966373506393100e-02
4.113577020606780934e+03 2.113774320911868898e+00 1.126392634322636969e-02
4.117690597627389252e+03 2.077583813926525913e+00 1.039589654976397909e-02
4.121808288225018259e+03 2.043596913201845222e+00 9.694984851700630402e-03
4.125930096513244280e+03 2.011610235876839070e+00 9.146380439143073429e-03
4.130056026609759101e+03 1.985870063749433978e+00 8.721496946180254395e-03
4.134186082636369974e+03 1.964173201789985779e+00 8.340571774717255374e-03
4.138320268719007800e+03 1.945825720994305952e+00 8.082329265449777686e-03
4.142458588987728035e+03 1.932909621331725614e+00 7.841113507999710255e-03
4.146601047576717065e+03 1.930182786981712306e+00 7.522685888140562271e-03
4.150747648624294925e+03 1.928323606462163387e+00 7.650104219980384188e-03
4.154898396272920763e+03 1.922559663124431939e+00 6.621307701387780208e-03
4.159053294669195566e+03 1.928325955164832850e+00 6.360484048970578043e-03
4.163212347963865795e+03 1.932608940325465596e+00 6.310610204753775918e-03
4.167375560311830668e+03 1.942454775443394954e+00 6.230156133753947736e-03
4.171542935872143971e+03 1.957893600184042793e+00 6.393072063382745744e-03
4.175714478808017702e+03 1.976771032457750987e+00 6.457078313371016412e-03
4.179890193286827525e+03 2.000555080202007563e+00 6.104719919852611386e-03
4.184070083480115500e+03 2.027696685872656168e+00 5.401166662546823607e-03
4.188254153563597356e+03 2.054190448629541699e+00 4.848439326030894517e-03
4.192442407717161586e+03 2.079350331941195673e+00 4.657942923256135591e-03
4.196634850124880359e+03 2.103588655604798241e+00 4.488654022291965924e-03
4.200831484975006788e+03 2.124017769327386951e+00 4.534125490405619720e-03
4.205032316459983122e+03 2.144437123223744912e+00 4.493353490840980985e-03
4.209237348776444378e+03 2.159960250621470124e+00 4.075761982808906968e-03
4.213446586125221984e+03 2.175071229131987138e+00 3.975991350662512816e-03
4.217660032711349231e+03 2.188972250726624047e+00 3.961758257608412152e-03
4.221877692744061278e+03 2.202267123204730837e+00 4.009416842313954718e-03
4.226099570436806971e+03 2.214240500899685937e+00 4.184782262061177184e-03
4.230325670007245208e+03 2.221628952781954602e+00 4.207397858183539729e-03
4.234555995677254032e+03 2.225923616633814994e+00 4.335820950653242536e-03
4.238790551672932452e+03 2.226303404702053346e+00 4.391856564175054302e-03
4.243029342224606808e+03 2.227051084241741918e+00 4.379675085644282873e-03
4.247272371566832589e+03 2.229515902809453554e+00 4.059662649450719238e-03
4.251519643938400804e+03 2.226860988365506611e+00 4.190418469319617464e-03
4.255771163582340705e+03 2.221592504904295051e+00 4.217433814074731703e-03
4.260026934745924336e+03 2.216163618149106451e+00 4.088929387723533662e-03
4.264286961680671993e+03 2.208966797463735254e+00 3.955986630462317646e-03
4.268551248642354039e+03 2.201128166816879173e+00 3.768912596804712984e-03
4.272819799890998183e+03 2.193217223586788833e+00 3.619136056375993511e-03
4.277092619690890388e+03 2.185660834045890955e+00 3.672203577780663777e-03
4.281369712310583054e+03 2.177204039587334883e+00 3.630713008345008968e-03
4.285651082022895025e+03 2.171448883826703646e+00 3.623059601496662896e-03
4.289936733104918858e+03 2.167934075966345908e+00 3.430156851674514510e-03
4.294226669838025373e+03 2.166223637493835064e+00 3.151477710179091500e-03
4.298520896507864563e+03 2.162803648954323421e+00 3.157554297493316790e-03
4.302819417404373780e+03 2.160129735983004728e+00 3.085363379797916462e-03
4.307122236821779552e+03 2.158296562316388556e+00 3.008436810940586566e-03
4.311429359058603040e+03 2.157569507479242255e+00 3.010683451382456261e-03
4.315740788417662770e+03 2.159929657985058427e+00 2.988739671967854429e-03
4.320056529206081905e+03 2.160650160616212734e+00 3.005750333613498547e-03
4.324376585735290064e+03 2.162332470122022343e+00 2.868447978165436767e-03
4.328700962321026054e+03 2.162000767733581075e+00 2.875727640177438201e-03
4.333029663283348782e+03 2.162511885248696419e+00 2.864661265572893221e-03
4.337362692946633615e+03 2.162383903351672298e+00 2.859435983402418106e-03
4.341700055639581478e+03 2.161382553586995936e+00 2.842785364690363428e-03
4.346041755695222491e+03 2.159735248047184530e+00 2.897062709579496017e-03
4.350387797450919606e+03 2.158755730797793149e+00 2.894806066862079877e-03
4.354738185248371337e+03 2.158353064833744561e+00 2.921808938258301479e-03
4.359092923433621763e+03 2.157027827133269682e+00 2.922262130985587517e-03
4.363452016357056891e+03 2.157499400151058122e+00 2.659706649774384001e-03
4.367815468373414660e+03 2.155868638091932077e+00 2.625922965713032263e-03
4.372183283841789489e+03 2.151846217952697593e+00 2.477033585538974091e-03
4.376555467125633186e+03 2.146659632157139175e+00 2.710235542864598401e-03
4.380932022592760404e+03 2.142259578045315749e+00 2.856414237931559699e-03
4.385312954615354101e+03 2.138470038988200539e+00 2.734071491247462224e-03
4.389698267569970994e+03 2.135310830403451376e+00 2.600576924366959121e-03
4.394087965837542470e+03 2.135064632928697748e+00 2.587462366899727188e-03
4.398482053803381859e+03 2.135465509217145730e+00 2.651749732601829147e-03
4.402880535857186260e+03 2.136029958818076668e+00 2.663879187373989661e-03
4.407283416393044718e+03 2.136419752198537747e+00 2.615172086387766107e-03
4.411690699809440048e+03 2.135370163369771035e+00 2.552278565422414457e-03
4.416102390509250654e+03 2.134904589909039530e+00 2.427280080878654444e-03
4.420518492899761441e+03 2.133366378412163034e+00 2.419781909185183492e-03
4.424939011392662906e+03 2.130635462048757756e+00 2.421146448756525318e-03
4.429363950404056595e+03 2.128300574635200615e+00 2.471382220965043838e-03
4.433793314354462382e+03 2.124824419464902636e+00 2.462750481926119332e-03
4.438227107668818462e+03 2.120421628314169471e+00 2.606071758484932149e-03
4.442665334776488635e+03 2.115167651524191061e+00 2.706254861455299841e-03
4.447108000111265937e+03 2.111885140465708410e+00 2.676293699538209638e-03
4.451555108111379013e+03 2.106673947618381337e+00 2.679228570722687938e-03
4.456006663219492111e+03 2.101078538826657294e+00 2.642325498381713992e-03
4.460462669882713271e+03 2.093042567838907964e+00 2.595777393065675561e-03
4.464923132552597053e+03 2.086274610398773266e+00 2.622552453149292612e-03
4.469388055685150903e+03 2.081187709770468519e+00 2.669199579313264164e-03
4.473857443740837880e+03 2.074940936893337806e+00 2.568298451020880908e-03
4.478331301184580298e+03 2.070080968957449752e+00 2.551161850867695886e-03
4.482809632485766087e+03 2.066797198537125624e+00 2.679927340881147011e-03
4.487292442118253348e+03 2.064310555700942462e+00 2.553973216115043143e-03
4.491779734560373072e+03 2.061987436666321560e+00 2.221300099357890676e-03
4.496271514294934605e+03 2.057968389648674457e+00 2.195666276130567827e-03
4.500767785809231100e+03 2.052165100188514835e+00 2.043295469164098290e-03
4.505268553595042249e+03 2.048144068918028804e+00 2.127083339214841644e-03
4.509773822148638828e+03 2.043289123285629838e+00 2.198721380564874154e-03
4.514283595970789065e+03 2.036879769553347597e+00 2.207374095857777673e-03
4.518797879566761367e+03 2.030623002288515888e+00 2.187944252008527588e-03
4.523316677446328868e+03 2.023849114949445305e+00 2.175548113202006601e-03
4.527839994123776705e+03 2.016092552368708102e+00 2.199270900616087914e-03
4.532367834117902021e+03 2.008324407471516526e+00 2.212195139079567007e-03
4.536900201952022144e+03 1.999819157787145363e+00 2.235462052547230148e-03
4.541437102153975502e+03 1.990009993205866579e+00 2.488488265123725562e-03
4.545978539256130716e+03 1.982158593386915024e+00 2.586699366347658402e-03
4.550524517795388419e+03 1.975357723105763075e+00 2.560444633159440504e-03
4.555075042313184895e+03 1.969677111290045080e+00 2.438921525215690961e-03
4.559630117355500261e+03 1.965195769680427196e+00 2.549964087274400864e-03
4.564189747472856652e+03 1.961616442036751673e+00 2.461563032287286071e-03
4.568753937220330954e+03 1.958917345025914747e+00 2.519609221607794526e-03
4.573322691157552981e+03 1.954641467091667639e+00 2.534768809256435478e-03
4.577896013848711846e+03 1.949004719922007745e+00 2.524575847926096347e-03
4.582473909862562323e+03 1.943702880741328798e+00 2.354504093036611720e-03
4.587056383772426670e+03 1.937156689837734369e+00 2.206515609868583191e-03
4.591643440156200086e+03 1.928584926781025555e+00 2.303831566689394737e-03
4.596235083596357981e+03 1.918487524800508659e+00 2.163595767648066569e-03
4.600831318679955984e+03 1.904065625924246330e+00 2.087566948111882308e-03
4.605432149998637215e+03 1.884737988688345522e+00 2.312556374415155897e-03
4.610037582148637739e+03 1.863112919601041417e+00 2.413002134645017820e-03
4.614647619730787483e+03 1.841708946460547835e+00 2.423120818687352247e-03
4.619262267350520233e+03 1.819751206575653368e+00 2.410691073827469708e-03
4.623881529617872729e+03 1.796449209204426856e+00 2.224747887690235997e-03
4.628505411147491941e+03 1.774623163196704878e+00 2.283519913067539459e-03
4.633133916558640522e+03 1.753420620926728679e+00 2.288560194284961630e-03
4.637767050475200449e+03 1.734271153000871868e+00 2.287369587499788436e-03
4.642404817525677572e+03 1.715302399116671817e+00 2.234147221861449914e-03
4.647047222343205249e+03 1.695060389091635145e+00 2.259692777374096729e-03
4.651694269565549803e+03 1.677243816905259921e+00 2.240429176078887526e-03
4.656345963835116891e+03 1.663235469804272615e+00 2.242705919186190489e-03
4.661002309798953320e+03 1.653427736207618404e+00 2.171887362645372015e-03
4.665663312108753416e+03 1.645764612580756792e+00 2.392385467237679014e-03
4.670328975420864481e+03 1.642492393688697039e+00 2.505588739654645691e-03
4.674999304396286789e+03 1.646486541643922719e+00 2.384967067832549029e-03
4.679674303700684504e+03 1.656260975104465683e+00 2.221245010046501989e-03
4.684353978004386590e+03 1.671011984567879027e+00 2.111378564608992932e-03
4.689038331982392265e+03 1.691941521425447847e+00 2.054946588993714681e-03
4.693727370314376458e+03 1.721654778145863096e+00 1.957536882506152962e-03
4.698421097684692540e+03 1.759086030546644031e+00 1.963167351072292802e-03
4.703119518782378691e+03 1.798904389945753746e+00 2.094801638452089242e-03
4.707822638301162442e+03 1.838944679408247573e+00 2.168261242374019179e-03
4.712530460939465229e+03 1.879224653276188706e+00 2.037736562457964813e-03
4.717242991400406027e+03 1.918718455798022582e+00 2.005501173979096132e-03
4.721960234391808626e+03 1.955940070649651696e+00 2.002082787165712901e-03
4.726682194626201635e+03 1.989851544303051778e+00 1.995358720619678106e-03
4.731408876820829391e+03 2.020129275854939177e+00 1.993116896606804064e-03
4.736140285697651962e+03 2.047436086576029268e+00 2.018952964124337297e-03
4.740876425983350600e+03 2.068972785143316617e+00 2.007006964097857952e-03
4.745617302409335934e+03 2.088207047793454230e+00 2.036015670423723008e-03
4.750362919711747054e+03 2.106308669413105239e+00 1.995974185653442458e-03
4.755113282631459697e+03 2.122233861632258911e+00 1.917546928153059625e-03
4.759868395914093526e+03 2.136195033627879436e+00 1.918357434731559870e-03
