# starting wavelength: 3061.440
# ending wavelength: 9548.620
# wav flux eflux
3.063139508134612242e+03 2.607941049187893490e-01 8.831276819730671246e-01
3.066202647642748161e+03 2.494031238735673339e-01 6.648163299865010867e-01
3.069268850290391583e+03 3.374121049795023586e-01 5.053156602174230239e-01
3.072338119140682920e+03 3.846810463334833230e-01 3.851211346121286017e-01
3.075410457259824852e+03 4.151347555363452124e-01 3.029797569781776945e-01
3.078485867717085512e+03 4.771385451702014890e-01 2.403189260530472215e-01
3.081564353584803939e+03 5.300553177085065570e-01 1.956278628896726823e-01
3.084645917938389630e+03 5.790147862516151767e-01 1.623465612699685201e-01
3.087730563856328899e+03 6.370252629864722183e-01 1.379898808034146218e-01
3.090818294420186248e+03 6.861889358072663647e-01 1.179317951351391003e-01
3.093909112714607545e+03 7.287143036437091492e-01 1.043383135604431938e-01
3.097003021827323209e+03 7.573727143432511522e-01 9.334613898948572464e-02
3.100100024849151396e+03 7.733347492701596604e-01 8.512930078426442226e-02
3.103200124874001631e+03 7.863646886447125395e-01 7.872226033910406651e-02
3.106303324998876633e+03 7.877680795244155210e-01 7.388262357604157005e-02
3.109409628323876859e+03 8.029383741644491312e-01 7.026194283969261489e-02
3.112519037952201415e+03 8.133131219643997545e-01 6.730296743463209941e-02
3.115631556990154877e+03 8.005792602644175027e-01 6.520412201271576225e-02
3.118747188547145925e+03 7.808943280433027212e-01 6.314515696654428301e-02
3.121865935735694165e+03 7.439756736476887955e-01 6.353884571034465467e-02
3.124987801671431043e+03 7.301832559760943475e-01 6.370873880222718832e-02
3.128112789473103476e+03 7.112598599362087715e-01 6.324976834632918543e-02
3.131240902262577492e+03 6.858427364480278454e-01 6.124509893841292851e-02
3.134372143164840963e+03 6.393672815962881950e-01 6.119091848550769347e-02
3.137506515308006783e+03 6.171053808608831792e-01 6.026088438843137801e-02
3.140644021823316052e+03 6.218668622653692468e-01 6.054085529687369682e-02
3.143784665845140353e+03 6.608831751672159527e-01 5.783095427422079576e-02
3.146928450510986750e+03 6.614179042155061694e-01 5.543208306870092694e-02
3.150075378961498700e+03 6.839719329864527575e-01 5.105506889028384176e-02
3.153225454340461056e+03 6.765408198216440461e-01 5.093731778749497480e-02
3.156378679794802792e+03 6.627566764264789523e-01 5.030263800158865650e-02
3.159535058474598372e+03 6.503825471382487233e-01 4.996650980732981334e-02
3.162694593533074112e+03 6.460234607815645846e-01 4.995546770193760866e-02
3.165857288126608182e+03 6.342650590548910561e-01 4.985784104805258965e-02
3.169023145414736064e+03 6.690842086678912004e-01 4.516182652981735185e-02
3.172192168560151458e+03 6.868024892460384834e-01 4.450610813754583839e-02
3.175364360728712654e+03 6.696855763520817018e-01 4.466435708007870237e-02
3.178539725089442527e+03 6.520211809874996156e-01 4.524882479809531899e-02
3.181718264814533086e+03 6.378651153884368208e-01 4.404204488081837898e-02
3.184899983079348658e+03 6.007377253667181005e-01 4.096935421891909762e-02
3.188084883062429071e+03 5.996757724543391177e-01 4.095268067968135806e-02
3.191272967945492383e+03 5.856240143833786327e-01 4.019111479878691856e-02
3.194464240913438971e+03 5.547935606480234316e-01 3.920419457114265177e-02
3.197658705154353811e+03 5.652891342300906397e-01 3.909408683040965782e-02
3.200856363859509202e+03 5.740483894825607614e-01 3.874483355736427215e-02
3.204057220223369768e+03 5.865200508426082759e-01 3.782094630801560026e-02
3.207261277443593826e+03 5.936491604261633359e-01 3.799781771133679126e-02
3.210468538721038840e+03 5.921968831285191470e-01 3.752077402181797777e-02
3.213679007259760965e+03 6.086521330140176600e-01 3.767183146401539146e-02
3.216892686267021418e+03 6.159966842052809755e-01 3.737829288508549147e-02
3.220109578953289656e+03 6.399948107809291242e-01 3.646587220363196186e-02
3.223329688532243836e+03 6.629175706166986481e-01 3.486413227958753275e-02
3.226553018220777176e+03 6.550881885955059936e-01 3.580450935297589676e-02
3.229779571238999324e+03 6.420543436809147408e-01 3.666727375597089722e-02
3.233009350810239084e+03 6.504527096009377063e-01 3.709457342000724300e-02
3.236242360161050783e+03 6.417868276425289231e-01 3.637868400301538102e-02
3.239478602521212906e+03 6.413532120967557759e-01 3.635626061700902856e-02
3.242718081123734919e+03 6.467702339363813335e-01 3.630430919416735569e-02
3.245960799204859995e+03 6.454708101827386635e-01 3.584400430316225794e-02
3.249206760004065927e+03 6.567491837035873692e-01 3.185360637072645607e-02
3.252455966764071036e+03 6.459213382333478526e-01 3.074534396737597236e-02
3.255708422730835991e+03 6.485352502340832048e-01 3.073670206398208815e-02
3.258964131153567905e+03 6.495275622391336601e-01 3.046898317185414706e-02
3.262223095284722604e+03 6.434409272000944924e-01 3.037428566566148860e-02
3.265485318380008266e+03 6.647664632408306629e-01 3.013346804031468915e-02
3.268750803698389518e+03 6.829391604009273919e-01 2.989209760659770898e-02
