# starting wavelength: 3115.970
# ending wavelength: 9592.360
# wav flux eflux
3.118747188547145925e+03 1.746060129153888241e+01 5.755816293004760098e+01
3.121865935735694165e+03 1.377609563001744775e+01 4.291943903137545391e+01
3.124987801671431043e+03 1.174331160216652137e+01 3.216619682477927711e+01
3.128112789473103476e+03 8.686066369880233395e+00 2.536457499461366893e+01
3.131240902262577492e+03 1.034618448215746511e+01 2.048923452543413148e+01
3.134372143164840963e+03 1.023623087684285515e+01 1.637123316998046363e+01
3.137506515308006783e+03 1.072842719243967480e+01 1.334299900648534809e+01
3.140644021823316052e+03 1.067673055039823637e+01 1.113588136557844521e+01
3.143784665845140353e+03 9.328809089929738008e+00 9.786769728434691729e+00
3.146928450510986750e+03 7.961626843521433905e+00 8.457986424396031211e+00
3.150075378961498700e+03 6.543724047988058956e+00 7.470334734972643886e+00
3.153225454340461056e+03 4.032962975499063241e+00 6.810623195395239193e+00
3.156378679794802792e+03 2.674662921491544498e+00 6.231035361428331143e+00
3.159535058474598372e+03 1.790058766225961939e+00 5.807048030923120940e+00
3.162694593533074112e+03 -9.967150153365658127e-01 5.652883744519147768e+00
3.165857288126608182e+03 -5.518548578300177532e-01 5.506550938499267467e+00
3.169023145414736064e+03 -3.950729828502472785e-01 5.355822852255743172e+00
3.172192168560151458e+03 -1.216424461988355965e+00 5.193448961250100027e+00
3.175364360728712654e+03 -1.409519144721447237e+00 5.074822294867291639e+00
3.178539725089442527e+03 -2.860827600665362347e+00 4.806604586251475020e+00
3.181718264814533086e+03 -1.632156412251124955e+00 4.738361407637733613e+00
3.184899983079348658e+03 -2.435991169984444316e+00 4.701612373284585367e+00
3.188084883062429071e+03 -2.963505926700834348e+00 4.685993923898854163e+00
3.191272967945492383e+03 -3.463503981399957077e+00 4.643136119621582125e+00
3.194464240913438971e+03 -2.496659306254890964e+00 4.485734337921480908e+00
3.197658705154353811e+03 -1.938213374585254112e+00 4.447055498579167931e+00
3.200856363859509202e+03 -1.212916807548085396e+00 4.295645817386357201e+00
3.204057220223369768e+03 -1.508614776048389672e+00 4.135635847169778501e+00
3.207261277443593826e+03 1.519447238180804405e-01 3.795635496083397342e+00
3.210468538721038840e+03 -4.403598263713306982e-02 3.977216609024406324e+00
3.213679007259760965e+03 2.099248856528030061e+00 3.840205774403418815e+00
3.216892686267021418e+03 1.769540572012747504e+00 3.768889231984027255e+00
3.220109578953289656e+03 1.234609060396622437e+00 3.625036334467556909e+00
3.223329688532243836e+03 1.083400471690579847e+00 3.453761417619461316e+00
3.226553018220777176e+03 6.344297513081051942e-01 3.379880679102736263e+00
3.229779571238999324e+03 1.570209250227720066e+00 3.184608452781573451e+00
3.233009350810239084e+03 1.575434275188221322e+00 3.177566984047195398e+00
3.236242360161050783e+03 3.591616179924619345e-01 3.092627508925990920e+00
3.239478602521212906e+03 4.653576310671285188e-01 3.115284201622961380e+00
3.242718081123734919e+03 6.436105476740716647e-01 2.957689367968259209e+00
3.245960799204859995e+03 1.339469749480939775e+00 2.824603839889837431e+00
3.249206760004065927e+03 1.578837732117885473e+00 2.561570669724361426e+00
3.252455966764071036e+03 2.373468041730376843e+00 2.506411002909141761e+00
3.255708422730835991e+03 2.027637863333835000e+00 2.510247929843047565e+00
3.258964131153567905e+03 1.781109785627000619e+00 2.482046823361222287e+00
3.262223095284722604e+03 2.027453654155300544e+00 2.439276469616970200e+00
3.265485318380008266e+03 1.782919850603934986e+00 2.365492517934833838e+00
3.268750803698389518e+03 1.346382850178284629e+00 2.304377180341248721e+00
3.272019554502088795e+03 1.175624339222197001e+00 2.351944938270556840e+00
3.275291574056592253e+03 6.855863926311260848e-01 2.333122561597199329e+00
3.278566865630649772e+03 3.840198275668904593e-02 2.213874140379922029e+00
3.281845432496281319e+03 1.487987973452668644e+00 1.673115419190936759e+00
3.285127277928778767e+03 1.116145481867883316e+00 1.666408856813106798e+00
3.288412405206708627e+03 1.910113905026198600e+00 1.595204768855189803e+00
3.291700817611916591e+03 1.866603777785292628e+00 1.604646810107941857e+00
3.294992518429529355e+03 2.145637465271460709e+00 1.604208690530559256e+00
3.298287510947960072e+03 2.216420366602416703e+00 1.540726471402003472e+00
3.301585798458909267e+03 2.070692771487306238e+00 1.560538061698654388e+00
3.304887384257369376e+03 2.257409723805162471e+00 1.556739008183962492e+00
3.308192271641627485e+03 2.424043491350604373e+00 1.504202253868463623e+00
