# starting wavelength: 3141.850
# ending wavelength: 9470.140
# wav flux eflux
3.143784665845140353e+03 5.284410679504635056e+00 9.302766667387335486e-01
3.146928450510986750e+03 5.077226545585298290e+00 6.840178979654892855e-01
3.150075378961498700e+03 4.942648859360956770e+00 5.111914383254652083e-01
3.153225454340461056e+03 4.857210987103887767e+00 3.942649469556814279e-01
3.156378679794802792e+03 4.763389843050627626e+00 3.239034492726886594e-01
3.159535058474598372e+03 4.729049751488752840e+00 2.670860670797760572e-01
3.162694593533074112e+03 4.753137476845507692e+00 2.159082899589904736e-01
3.165857288126608182e+03 4.802891769561731472e+00 1.775989592306825016e-01
3.169023145414736064e+03 4.862165646890015402e+00 1.493801447412480832e-01
3.172192168560151458e+03 4.916541528820707718e+00 1.314230003398942359e-01
3.175364360728712654e+03 4.981662115102517774e+00 1.150286418569632096e-01
3.178539725089442527e+03 5.023304546184619745e+00 1.046291013037019130e-01
3.181718264814533086e+03 5.052988976631183959e+00 9.708661692877958160e-02
3.184899983079348658e+03 5.085872560424608224e+00 9.015476655632481684e-02
3.188084883062429071e+03 5.096855599636008094e+00 8.603473973811655295e-02
3.191272967945492383e+03 5.071621661022200911e+00 8.485038133799481519e-02
3.194464240913438971e+03 5.080396359635610537e+00 8.130550201589595294e-02
3.197658705154353811e+03 5.076084611945526959e+00 7.870804228332639596e-02
3.200856363859509202e+03 5.056560900291130700e+00 7.762651857796733224e-02
3.204057220223369768e+03 5.038037781319188113e+00 7.866479068656541396e-02
3.207261277443593826e+03 4.984278436085315178e+00 7.535577461365458585e-02
3.210468538721038840e+03 4.928532258424927370e+00 6.635072900092732484e-02
3.213679007259760965e+03 4.876295424429384795e+00 6.518690733322063391e-02
3.216892686267021418e+03 4.842870333464648347e+00 6.504089669837763432e-02
3.220109578953289656e+03 4.820988509064294547e+00 6.311806837108027701e-02
3.223329688532243836e+03 4.770745391931125567e+00 6.291481134925730467e-02
3.226553018220777176e+03 4.749199316466116372e+00 6.175469624772659399e-02
3.229779571238999324e+03 4.711768066425716661e+00 6.158966023642040155e-02
3.233009350810239084e+03 4.657504601986109272e+00 5.873335148570427849e-02
3.236242360161050783e+03 4.622259750641246612e+00 5.612596664590353140e-02
3.239478602521212906e+03 4.590799315863774765e+00 5.578117763841834720e-02
3.242718081123734919e+03 4.557277672622005227e+00 5.572406964719736622e-02
3.245960799204859995e+03 4.546752941830196626e+00 5.276981916653875060e-02
3.249206760004065927e+03 4.533675594371964657e+00 4.854304551472242435e-02
3.252455966764071036e+03 4.500899662144022706e+00 4.845421196323384389e-02
3.255708422730835991e+03 4.485594897668123693e+00 4.427547120891456300e-02
3.258964131153567905e+03 4.450416535905449500e+00 4.364385777406760980e-02
