# starting wavelength: 3475.820
# ending wavelength: 9075.720
# wav flux eflux
3.477720030263898934e+03 2.785992315100104477e+00 1.243339188176439514e+00
3.481197750294164052e+03 2.041908701638180279e+00 9.522388223207822744e-01
3.484678948044459503e+03 1.630732458372825544e+00 7.550027520276390014e-01
3.488163626992504760e+03 1.455097306457734829e+00 6.988316323890891857e-01
3.491651790619498570e+03 1.266317603369514488e+00 5.425828400928215389e-01
3.495143442410119405e+03 1.166427609596728754e+00 4.318259939641063694e-01
3.498638585852530468e+03 1.114389057909702663e+00 3.514700123278658994e-01
3.502137224438384237e+03 1.098613558080452357e+00 2.884224005521184298e-01
3.505639361662823831e+03 1.154381418641995172e+00 2.543074912926677200e-01
3.509145001024487556e+03 1.256019100893530638e+00 2.218460890642918182e-01
3.512654146025513455e+03 1.362804464757507494e+00 1.939404880513213580e-01
3.516166800171540217e+03 1.453251856743916104e+00 1.742807268624185224e-01
3.519682966971712631e+03 1.508375671885868963e+00 1.639715883235315919e-01
3.523202649938685681e+03 1.576951337126084374e+00 1.527612480460233957e-01
3.526725852588625457e+03 1.623516267154840431e+00 1.443202687111296567e-01
3.530252578441215064e+03 1.617167553549845316e+00 1.451524559563162342e-01
3.533782831019657806e+03 1.624595122171550443e+00 1.414761767381827462e-01
3.537316613850678550e+03 1.609883042595248837e+00 1.413877907179813265e-01
3.540853930464530094e+03 1.609387830391913798e+00 1.386063119376160224e-01
3.544394784394995895e+03 1.588879253680127501e+00 1.345866498161835123e-01
3.547939179179392340e+03 1.493472188155227753e+00 1.316386486603340344e-01
3.551487118358572843e+03 1.430042549457619439e+00 1.311567409056343114e-01
3.555038605476932389e+03 1.411636721756384327e+00 1.309972115833049344e-01
3.558593644082410719e+03 1.370317009029624833e+00 1.308447490587548723e-01
3.562152237726494150e+03 1.264709916655478050e+00 1.243952383665505590e-01
3.565714389964221937e+03 1.251537920350433319e+00 1.209468423166147610e-01
3.569280104354187188e+03 1.256544253964706259e+00 1.192159464300210359e-01
3.572849384458542772e+03 1.258480556759555391e+00 1.249437562583589484e-01
3.576422233843002232e+03 1.240682362058940003e+00 1.240929936460442307e-01
3.579998656076846601e+03 1.267089643122552678e+00 1.255103595063618294e-01
3.583578654732924406e+03 1.306008854815058129e+00 1.292541882340302595e-01
3.587162233387658489e+03 1.311236241903642963e+00 1.316312938674165933e-01
3.590749395621047370e+03 1.350414452301696322e+00 1.318345581392171006e-01
3.594340145016669794e+03 1.395273462745165283e+00 1.354430340474607752e-01
3.597934485161687462e+03 1.394954865169875102e+00 1.373342645250575922e-01
3.601532419646850485e+03 1.430244307243333290e+00 1.345341731336601454e-01
3.605133952066498296e+03 1.472910479977969533e+00 1.228677371049795852e-01
3.608739086018566013e+03 1.513061394386817859e+00 1.184132189322236045e-01
3.612347825104585809e+03 1.485176080603741955e+00 1.153842345502497785e-01
3.615960172929691907e+03 1.439689296929926643e+00 1.157040064613617386e-01
3.619576133102622407e+03 1.296032435647486825e+00 1.118962920077467837e-01
3.623195709235726554e+03 1.180731584943626844e+00 1.116198495084918113e-01
3.626818904944963379e+03 1.093213055279996349e+00 1.092027318846704176e-01
3.630445723849909427e+03 1.059135252620131862e+00 1.114272431575185074e-01
3.634076169573760581e+03 1.061635424299723462e+00 1.160591623577752057e-01
3.637710245743335690e+03 1.004487640246017888e+00 1.151048838682924291e-01
3.641347955989080219e+03 9.412063402339465590e-01 1.144056717181645422e-01
3.644989303945070333e+03 9.241624018205655267e-01 1.129354617073632522e-01
3.648634293249016537e+03 9.760740925498038179e-01 1.174630076682070812e-01
3.652282927542266862e+03 1.011629028890488780e+00 1.236680006837702211e-01
3.655935210469810499e+03 1.033127949787048694e+00 1.204820740471951451e-01
3.659591145680281443e+03 1.098310535008301558e+00 1.236705052160132351e-01
3.663250736825963031e+03 1.145967581915499744e+00 1.219641350779129413e-01
3.666913987562790226e+03 1.200926850227797216e+00 1.186950876463706284e-01
3.670580901550354156e+03 1.230605136324842031e+00 1.187110963355247073e-01
3.674251482451905758e+03 1.276227905136588126e+00 1.150093439025593883e-01
3.677925733934358959e+03 1.309258869910145062e+00 1.144144884302120552e-01
3.681603659668294313e+03 1.327921731591841237e+00 1.134478720045256073e-01
3.685285263327964003e+03 1.350147127105605804e+00 1.158236682793566397e-01
3.688970548591293209e+03 1.314721751599147614e+00 1.160646908950078160e-01
3.692659519139885560e+03 1.299285864974380811e+00 1.166145672853484416e-01
3.696352178659026777e+03 1.274796527618805575e+00 1.135316022968515387e-01
3.700048530837686940e+03 1.263109234150985971e+00 1.136340176124584489e-01
3.703748579368525952e+03 1.251785791020093574e+00 1.130790986784619284e-01
3.707452327947895355e+03 1.202443729858025501e+00 1.029237760202302010e-01
3.711159780275844696e+03 1.205938300492547910e+00 1.024667755417497939e-01
3.714870940056121526e+03 1.205144262978258052e+00 1.023733798686152219e-01
3.718585810996179134e+03 1.203882525892721267e+00 9.762888133431549265e-02
3.722304396807176545e+03 1.204144495900764111e+00 9.468978406396048875e-02
3.726026701203984885e+03 1.227167106132171392e+00 9.210684343119231177e-02
3.729752727905190113e+03 1.302383480596247756e+00 8.928402374602883995e-02
3.733482480633096657e+03 1.307143434772906732e+00 8.926867736783362928e-02
3.737215963113731050e+03 1.293394313564881992e+00 9.151995275401389462e-02
3.740953179076846027e+03 1.320161873672748287e+00 8.889932622329765888e-02
