# starting wavelength: 4828.161
# ending wavelength: 9900.657
# wav flux eflux
4.831768380286057436e+03 3.839129785334242762e+00 8.969173232459523026e-01
4.836600148666345376e+03 4.231442342559629033e+00 6.597302111133348523e-01
4.841436748815013743e+03 4.594532307394221249e+00 4.919652760457796092e-01
4.846278185563829538e+03 4.846268221526470299e+00 3.709036572674632160e-01
4.851124463749395545e+03 4.986249542238325283e+00 2.861637038752652407e-01
4.855975588213146693e+03 5.044571087948032329e+00 2.243298999843423014e-01
4.860831563801360971e+03 5.020021907509239156e+00 1.790975332724391578e-01
4.865692395365163975e+03 4.942431547038208528e+00 1.463619842121538506e-01
4.870558087760530725e+03 4.836819819329441827e+00 1.227106657666503231e-01
4.875428645848292945e+03 4.719321506519018605e+00 1.045693797293521382e-01
4.880304074494142696e+03 4.593010630484419821e+00 9.089566756993565366e-02
4.885184378568638749e+03 4.456545525151953235e+00 8.034934906469612392e-02
4.890069562947209306e+03 4.319689022687639657e+00 7.217311420357273855e-02
4.894959632510157462e+03 4.198483839177931998e+00 6.665023911233984577e-02
4.899854592142669389e+03 4.077500659943093630e+00 6.193588862595277716e-02
4.904754446734813428e+03 3.965854459673655352e+00 5.820249535140888109e-02
4.909659201181550088e+03 3.867421409676558675e+00 5.560810225565401138e-02
4.914568860382732964e+03 3.771425000982925990e+00 5.320977750766857362e-02
4.919483429243117826e+03 3.692685133540971165e+00 5.198735197360220689e-02
4.924402912672362618e+03 3.649262136309552318e+00 5.389365520416245642e-02
4.929327315585036558e+03 3.568653854503384792e+00 5.240264682970743881e-02
4.934256642900622865e+03 3.510327454457184970e+00 4.991959882352998285e-02
4.939190899543525120e+03 3.452661072497639427e+00 4.648854925937059845e-02
4.944130090443070912e+03 3.438092101307116177e+00 4.216394084038111584e-02
4.949074220533515472e+03 3.424996195027492085e+00 3.704814586868702270e-02
4.954023294754050767e+03 3.398280560072706180e+00 2.776098282801528483e-02
4.958977318048806410e+03 3.363203156794221549e+00 2.271619933464291349e-02
4.963936295366856939e+03 3.347755832881754934e+00 2.218685892868351578e-02
4.968900231662225451e+03 3.394496921627702335e+00 4.797880789287085890e-02
4.973869131893889062e+03 3.323013928828454144e+00 5.142184795461798852e-02
4.978843001025784361e+03 3.281139928842978559e+00 5.116081499947378042e-02
4.983821844026811959e+03 3.255434795044289675e+00 4.941850422271031745e-02
4.988805665870840130e+03 3.245829979631375650e+00 4.838327551292752327e-02
4.993794471536712990e+03 3.242304651415312655e+00 4.742676634039623418e-02
4.998788266008251412e+03 3.254656644693437961e+00 4.670826222887789619e-02
5.003787054274261209e+03 3.265096903423331920e+00 4.612433969537650669e-02
5.008790841328536771e+03 3.276871173154922268e+00 4.558244053450962591e-02
5.013799632169867436e+03 3.290206604087196229e+00 4.493438870787627021e-02
5.018813431802038394e+03 3.296416964154508911e+00 4.367375731250405096e-02
5.023832245233842514e+03 3.290498969390306616e+00 4.305729624741220368e-02
5.028856077479077612e+03 3.282176561556496175e+00 4.244314371144459336e-02
5.033884933556558281e+03 3.273882034404326458e+00 4.162633851999273521e-02
5.038918818490116792e+03 3.259715942741657990e+00 4.114924934890045599e-02
5.043957737308608557e+03 3.237080808300862422e+00 4.122991445114994324e-02
5.049001695045918495e+03 3.231909076688448401e+00 4.076231234904768852e-02
5.054050696740966487e+03 3.213616786777446777e+00 3.985549047223140018e-02
5.059104747437709193e+03 3.192816408595910982e+00 3.956820618866926237e-02
5.064163852185148244e+03 3.169312305614455205e+00 3.931657107223412995e-02
5.069228016037335692e+03 3.148653222368907656e+00 3.896046139658083940e-02
5.074297244053374015e+03 3.127051091504100100e+00 3.874903756172769220e-02
5.079371541297429758e+03 3.109056099656286154e+00 3.864393903102218697e-02
5.084450912838728073e+03 3.088264825199491970e+00 3.808390320510342264e-02
5.089535363751569093e+03 3.059095290764458408e+00 3.698375008162554933e-02
5.094624899115322478e+03 3.026338085304438597e+00 3.684729249318224181e-02
5.099719524014439230e+03 2.998670027698164375e+00 3.693669918243729783e-02
5.104819243538455339e+03 2.978923631091487056e+00 3.709980498416876049e-02
5.109924062781995417e+03 2.964559740119147246e+00 3.672613636374726792e-02
5.115033986844779065e+03 2.954071624021409992e+00 3.644880195714638588e-02
5.120149020831625421e+03 2.961743972063479724e+00 3.453665017980432628e-02
5.125269169852458617e+03 2.931280621788524776e+00 1.721098900181491226e-02
5.130394439022313236e+03 2.917187571709432881e+00 1.692460314950324646e-02
5.135524833461337039e+03 2.902864884988184624e+00 1.636546845381655138e-02
5.140660358294800062e+03 2.894323368553470388e+00 1.636748086614490255e-02
5.145801018653096435e+03 2.888549654754519302e+00 1.703107197776524209e-02
5.150946819671751655e+03 2.889136744454672723e+00 1.654502517509840939e-02
5.156097766491425318e+03 2.885644848160784370e+00 1.630227183208029021e-02
5.161253864257918394e+03 2.888110077743632598e+00 1.599162582661150037e-02
5.166415118122177773e+03 2.891751431523509996e+00 1.598698418617830116e-02
5.171581533240301724e+03 2.888331846751329479e+00 1.622545307628650568e-02
5.176753114773543530e+03 2.885677750097866312e+00 1.619269533387049723e-02
5.181929867888318768e+03 2.871964515956660247e+00 1.582154496257162993e-02
5.187111797756208944e+03 2.862654686161146600e+00 1.555180635071855451e-02
5.192298909553966951e+03 2.864923408107163283e+00 1.502331438427436522e-02
5.197491208463522526e+03 2.847344405288702696e+00 1.464344536509115148e-02
5.202688699671987706e+03 2.830281477448342464e+00 1.465270842430654689e-02
5.207891388371661378e+03 2.816167276515946671e+00 1.450202247854058719e-02
5.213099279760034733e+03 2.799713441278782078e+00 1.454695726523970098e-02
5.218312379039796724e+03 2.790989951458116014e+00 1.516040979016068831e-02
5.223530691418837705e+03 2.791604044793895678e+00 1.604353807576564678e-02
5.228754222110258524e+03 2.776165651492861208e+00 1.596612424389622434e-02
5.233982976332370527e+03 2.766328646060198349e+00 1.652790237200274168e-02
5.239216959308704645e+03 2.759947780381709848e+00 1.613758973054067736e-02
5.244456176268015042e+03 2.746156943893198310e+00 1.633639258838666050e-02
5.249700632444284565e+03 2.726313613161436500e+00 1.606306780360951605e-02
5.254950333076731113e+03 2.715292273157988934e+00 1.642322400131753998e-02
5.260205283409809454e+03 2.709992049099614331e+00 1.684454647906658345e-02
5.265465488693221232e+03 2.712106525299437632e+00 1.710046505692360691e-02
5.270730954181915877e+03 2.717534770503890140e+00 1.666346612648390499e-02
5.276001685136099695e+03 2.709241830897733738e+00 1.659493026103014274e-02
5.281277686821237694e+03 2.692089854581875663e+00 1.662630669330571187e-02
5.286558964508059944e+03 2.686574285347977487e+00 1.673034432023595697e-02
5.291845523472569766e+03 2.667812293309014482e+00 1.673763262810105956e-02
5.297137368996044643e+03 2.656350790861763400e+00 1.727092839909182345e-02
5.302434506365042580e+03 2.654223197616261132e+00 1.808970742199983786e-02
5.307736940871409388e+03 2.648152330830111367e+00 1.830457335320076484e-02
5.313044677812282316e+03 2.655995719897677798e+00 1.908458366802922440e-02
5.318357722490096421e+03 2.659197737081531177e+00 1.930058530643953205e-02
5.323676080212588204e+03 2.646409232720368099e+00 1.956168686491546738e-02
5.328999756292802886e+03 2.630715831670369820e+00 1.986307602848394471e-02
5.334328756049097137e+03 2.643456371788164283e+00 1.793859121928871939e-02
5.339663084805148173e+03 2.636266676363868466e+00 1.783156056237675605e-02
5.345002747889954662e+03 2.630879590758318010e+00 1.787511520357027567e-02
5.350347750637846730e+03 2.623175512458988390e+00 1.757875453525002338e-02
5.355698098388485960e+03 2.634452914535053925e+00 1.823816344792592026e-02
5.361053796486876308e+03 2.636673087777946289e+00 1.921649623103490606e-02
5.366414850283365013e+03 2.637952544736805738e+00 2.916904745289682077e-02
5.371781265133649867e+03 2.606408191855783318e+00 3.317783192426305983e-02
5.377153046398785591e+03 2.611377696683977678e+00 3.475924995872949758e-02
5.382530199445186554e+03 2.640196854749664368e+00 3.465595422251609159e-02
5.387912729644633146e+03 2.679006544694000791e+00 3.515359840050723272e-02
5.393300642374279960e+03 2.755991682905144735e+00 3.960039018772861658e-02
5.398693943016655794e+03 2.794724641906841001e+00 4.022745170598696074e-02
5.404092636959673655e+03 2.824543894481699180e+00 3.983248524346012787e-02
5.409496729596635305e+03 2.850613796089866536e+00 3.886249429304328151e-02
5.414906226326233991e+03 2.857402054764266897e+00 3.862149991978244823e-02
5.420321132552561721e+03 2.846858999251614009e+00 3.875171129171343237e-02
5.425741453685116539e+03 2.822520576356096544e+00 3.903822770963029376e-02
5.431167195138803436e+03 2.763310249600185564e+00 4.070038802374566916e-02
5.436598362333943442e+03 2.689797130142549175e+00 4.100946485559921889e-02
5.442034960696279086e+03 2.614261147334605795e+00 4.003561296042892209e-02
5.447476995656978033e+03 2.545855590115215783e+00 3.843864133055836796e-02
5.452924472652636723e+03 2.482775824457269298e+00 3.704098646315697602e-02
5.458377397125291282e+03 2.449958760971667537e+00 3.542940593159998180e-02
5.463835774522417523e+03 2.443999974331354075e+00 3.224750951918378683e-02
5.469299610296941864e+03 2.449650714681231634e+00 2.797010548298850541e-02
5.474768909907241323e+03 2.407210868368319989e+00 2.201712616522898819e-02
5.480243678817149885e+03 2.366481600923049378e+00 2.220870694966946626e-02
5.485723922495968509e+03 2.353944452701628443e+00 2.266766071962530646e-02
5.491209646418466946e+03 2.336285859100124096e+00 2.231532742291920599e-02
5.496700856064887375e+03 2.345681613577054847e+00 2.087109073750555849e-02
5.502197556920953502e+03 2.333239331123506677e+00 1.835739196052700931e-02
5.507699754477876013e+03 2.329328132270762186e+00 1.831504073083152495e-02
5.513207454232356213e+03 2.326282165194846208e+00 1.845459229557511877e-02
5.518720661686590574e+03 2.329487025965993663e+00 1.818137801910257173e-02
5.524239382348278923e+03 2.320596733635571507e+00 1.877285732953535777e-02
5.529763621730628984e+03 2.311152153068367632e+00 1.839209139078898034e-02
5.535293385352360929e+03 2.295559361708493284e+00 1.745844864134160276e-02
5.540828678737715563e+03 2.278197255378449082e+00 1.699671440432375807e-02
5.546369507416455235e+03 2.267070207271698390e+00 1.639752221288174119e-02
5.551915876923872929e+03 2.261400606210020481e+00 1.640854994393510513e-02
5.557467792800798634e+03 2.252588196461056125e+00 1.634355526284488047e-02
5.563025260593602070e+03 2.253771814929512285e+00 1.554454906992366187e-02
5.568588285854197238e+03 2.261764808227756163e+00 1.608986714774982354e-02
5.574156874140053333e+03 2.268003548523562340e+00 1.620984275546886663e-02
5.579731031014194741e+03 2.280475344961147677e+00 1.560446216830902767e-02
5.585310762045211050e+03 2.265921426920306736e+00 1.476843716221240901e-02
5.590896072807257951e+03 2.257986644191975589e+00 1.515254601543370404e-02
5.596486968880067252e+03 2.244834122946541388e+00 1.417074728550611964e-02
5.602083455848949598e+03 2.218422021353746221e+00 1.425008428994596621e-02
5.607685539304799931e+03 2.203231539540498218e+00 1.379476760257498762e-02
5.613293224844106589e+03 2.183040873618618871e+00 1.304184865578383173e-02
5.618906518068952209e+03 2.168954890637249111e+00 1.233155838385583541e-02
5.624525424587023736e+03 2.162528478883992022e+00 1.258116049215323058e-02
5.630149950011612418e+03 2.154558952343066824e+00 1.252642407024092547e-02
5.635780099961625638e+03 2.147062463453182968e+00 1.258220562716115022e-02
5.641415880061589633e+03 2.149009412363116045e+00 1.256749426217372047e-02
5.647057295941652228e+03 2.155481037415085233e+00 1.267329746501213300e-02
5.652704353237596479e+03 2.145113793791356915e+00 1.249716486113090254e-02
5.658357057590835211e+03 2.132714113457851113e+00 1.209225194731916933e-02
5.664015414648428305e+03 2.125501999994764191e+00 1.188330903219234069e-02
5.669679430063079053e+03 2.103785520502022610e+00 1.260265610377140147e-02
5.675349109493143260e+03 2.088129681235009638e+00 1.250690041276116340e-02
5.681024458602638333e+03 2.071609130370450025e+00 1.270863964137606411e-02
5.686705483061243285e+03 2.063304194952811699e+00 1.300970433271284553e-02
5.692392188544306009e+03 2.049803991124694136e+00 1.441159362795872527e-02
5.698084580732852373e+03 2.045279234440683602e+00 1.496303471333323108e-02
5.703782665313587131e+03 2.046342970011510776e+00 1.504655968119266406e-02
5.709486447978903016e+03 2.042216471798186550e+00 1.559313680629640167e-02
5.715195934426883468e+03 2.035207012396245130e+00 1.564328335552383348e-02
5.720911130361312644e+03 2.034675399092853887e+00 1.575698980116659390e-02
5.726632041491675409e+03 2.025671951383002156e+00 1.571465279499113452e-02
5.732358673533169167e+03 2.021320114671343759e+00 1.560166373420568409e-02
5.738091032206703858e+03 2.000506188519276307e+00 1.580438617757237013e-02
5.743829123238912871e+03 1.983961919476987967e+00 1.609976807715592095e-02
5.749572952362153046e+03 1.981690436896453855e+00 1.623403714365926481e-02
5.755322525314517407e+03 1.963696923167381758e+00 1.631285738395654369e-02
5.761077847839834249e+03 1.956921804154736044e+00 1.581642801975238072e-02
5.766838925687675328e+03 1.958185696028510225e+00 1.588443055129300230e-02
5.772605764613364954e+03 1.973344983146402720e+00 1.605520484898041028e-02
5.778378370377980900e+03 1.983533212424297698e+00 1.570877576013605600e-02
5.784156748748360769e+03 2.002696864964820023e+00 1.582569242373655510e-02
5.789940905497111089e+03 2.016307813646619262e+00 1.571999733492356055e-02
5.795730846402610041e+03 2.030522761836952572e+00 1.534794707910490386e-02
5.801526577249013826e+03 2.025745130422166529e+00 1.520595117106245640e-02
5.807328103826264851e+03 2.028067614525422613e+00 1.473208231495464274e-02
5.813135431930093546e+03 2.019139153549787125e+00 1.440049794905342781e-02
5.818948567362025642e+03 2.010577223321248219e+00 1.418960455480118739e-02
