# starting wavelength: 4135.637
# ending wavelength: 10436.632
# wav flux eflux
4.138320268719007800e+03 4.822636281844977724e+00 1.958766445291268699e-01
4.142458588987728035e+03 4.791755544143873280e+00 1.470903258078515019e-01
4.146601047576717065e+03 4.752377490609996258e+00 1.193037071924267362e-01
4.150747648624294925e+03 4.728018683233780273e+00 9.268587861840940634e-02
4.154898396272920763e+03 4.724177840232839820e+00 7.134381433971015429e-02
4.159053294669195566e+03 4.732562952915609245e+00 5.632507697704150496e-02
4.163212347963865795e+03 4.747232657650686249e+00 5.114385476674193631e-02
4.167375560311830668e+03 4.754422178670248300e+00 4.327076254375559344e-02
4.171542935872143971e+03 4.757771600482163521e+00 3.711750794782073953e-02
4.175714478808017702e+03 4.756543769676859768e+00 3.316207373682814735e-02
4.179890193286827525e+03 4.768485092525909685e+00 3.166551270125848860e-02
4.184070083480115500e+03 4.771301081785252585e+00 2.828276396572626181e-02
4.188254153563597356e+03 4.766745010063918819e+00 2.692400397021888284e-02
4.192442407717161586e+03 4.765890784851423589e+00 2.482731910895390887e-02
4.196634850124880359e+03 4.758212821340483956e+00 2.418108513508042054e-02
4.200831484975006788e+03 4.758569390889549666e+00 2.278488344841210489e-02
4.205032316459983122e+03 4.768072213547162264e+00 2.286701752766786069e-02
4.209237348776444378e+03 4.767322551797722241e+00 2.192452949497933692e-02
4.213446586125221984e+03 4.767076453633425359e+00 2.117515341419160674e-02
4.217660032711349231e+03 4.767442998046590219e+00 2.112108176600503706e-02
4.221877692744061278e+03 4.759236475173726610e+00 2.054074772713417388e-02
4.226099570436806971e+03 4.756110587003061774e+00 2.022371852521691327e-02
4.230325670007245208e+03 4.747268822540982036e+00 2.009941677138374003e-02
4.234555995677254032e+03 4.734834915177368764e+00 1.962362955469681980e-02
4.238790551672932452e+03 4.730139793542391224e+00 1.946649195807200958e-02
4.243029342224606808e+03 4.723471021609645604e+00 1.909769087212754776e-02
4.247272371566832589e+03 4.713733848866812792e+00 1.894092204769683499e-02
4.251519643938400804e+03 4.704053578933212520e+00 1.900362406565786477e-02
4.255771163582340705e+03 4.689777188618453607e+00 1.921945570314322060e-02
4.260026934745924336e+03 4.683723126256885472e+00 1.909034001661980007e-02
4.264286961680671993e+03 4.680525200801319841e+00 1.909582484596322391e-02
4.268551248642354039e+03 4.679444739596656966e+00 1.929014412369299547e-02
4.272819799890998183e+03 4.679343079895851965e+00 1.949838057751176676e-02
4.277092619690890388e+03 4.669635477493821796e+00 1.940933577266373486e-02
4.281369712310583054e+03 4.651949239621940180e+00 1.948744460712225485e-02
4.285651082022895025e+03 4.634167114841145185e+00 1.878928519696710514e-02
4.289936733104918858e+03 4.626109269366621035e+00 1.877753470064359720e-02
4.294226669838025373e+03 4.621363301297999548e+00 1.843996534229177739e-02
4.298520896507864563e+03 4.617585034294919843e+00 1.763869392446336740e-02
4.302819417404373780e+03 4.608664876420597523e+00 1.806238240212395749e-02
4.307122236821779552e+03 4.604286454487495739e+00 1.736252560605166390e-02
4.311429359058603040e+03 4.597319056805230453e+00 1.732295899930674093e-02
4.315740788417662770e+03 4.592550221814581946e+00 1.725285110589667298e-02
4.320056529206081905e+03 4.585087411218935927e+00 1.711108861406171466e-02
4.324376585735290064e+03 4.581265460318767246e+00 1.708869428622454556e-02
4.328700962321026054e+03 4.583058258100496829e+00 1.579579791856668136e-02
4.333029663283348782e+03 4.576908510648961759e+00 1.572403212605779851e-02
4.337362692946633615e+03 4.563201423111284072e+00 1.446069131086545612e-02
4.341700055639581478e+03 4.557632504842844767e+00 1.479470082445975831e-02
4.346041755695222491e+03 4.542332583361960552e+00 1.468738223210222169e-02
4.350387797450919606e+03 4.533736296795529697e+00 1.438544201563483199e-02
4.354738185248371337e+03 4.528983930636984567e+00 1.380298887547284047e-02
4.359092923433621763e+03 4.521618778504006286e+00 1.383783294603184791e-02
4.363452016357056891e+03 4.517997775609130962e+00 1.374938996169970153e-02
