# starting wavelength: 3668.433
# ending wavelength: 8018.191
# wav flux eflux
3.670580901550354156e+03 3.366666543616074758e+00 7.937706555341728087e-02
3.674251482451905758e+03 3.330597691903355528e+00 8.176370727134334160e-02
3.677925733934358959e+03 3.336937059107874415e+00 8.240718300091849635e-02
3.681603659668294313e+03 3.318284658925284791e+00 7.613161285034944492e-02
3.685285263327964003e+03 3.241040793627822936e+00 8.588178420329192764e-02
3.688970548591293209e+03 3.213896599534162846e+00 8.582374006099090236e-02
3.692659519139885560e+03 3.190575961877656574e+00 8.415435898400398795e-02
3.696352178659026777e+03 3.202651467804504826e+00 8.087570373007861579e-02
3.700048530837686940e+03 3.154264315119669870e+00 7.817292254387593620e-02
3.703748579368525952e+03 3.088303623627139949e+00 6.590340065796239377e-02
3.707452327947895355e+03 3.037635970252666961e+00 6.445087044821888600e-02
3.711159780275844696e+03 3.010956861130694051e+00 6.150677686028856173e-02
3.714870940056121526e+03 2.987399994688377802e+00 6.391952046689811096e-02
3.718585810996179134e+03 2.992517592794381898e+00 6.096064187327446954e-02
3.722304396807176545e+03 2.981853790516487468e+00 6.034066296880206265e-02
3.726026701203984885e+03 2.980909094000773418e+00 6.138605037008264265e-02
3.729752727905190113e+03 2.981428145538628893e+00 6.182885056816769115e-02
3.733482480633096657e+03 2.960875323310586005e+00 6.142125907113529792e-02
3.737215963113731050e+03 2.955688537537916272e+00 5.839239252379237188e-02
3.740953179076846027e+03 2.963749306772569980e+00 5.619775683961530932e-02
3.744694132255923705e+03 2.978693324491971772e+00 5.720165840686234487e-02
3.748438826388181042e+03 2.990514313893968712e+00 5.641423171201555981e-02
3.752187265214570289e+03 2.995354281875842073e+00 5.593438779888851992e-02
3.755939452479786269e+03 3.009252735508860965e+00 5.610071092576609381e-02
3.759695391932267285e+03 3.009172474818043064e+00 5.608119986455822881e-02
3.763455087324201031e+03 3.004847879008291311e+00 5.522029541404338548e-02
3.767218542411526414e+03 2.984811961556072646e+00 5.516467141625539666e-02
3.770985760953939007e+03 2.974567855987646059e+00 5.458275436745071985e-02
3.774756746714894234e+03 2.963499399814208068e+00 5.647710933368398772e-02
3.778531503461610555e+03 2.940184757921854075e+00 5.437350266557026968e-02
3.782310034965073100e+03 2.934274544674806862e+00 5.343685536208512415e-02
3.786092345000039586e+03 2.943985455948906260e+00 5.221647440552230901e-02
3.789878437345040766e+03 2.947964408987282514e+00 5.356787132060721046e-02
3.793668315782387253e+03 2.959173061712113473e+00 5.014022750064408424e-02
3.797461984098170888e+03 2.948747851256237507e+00 4.762538463134954880e-02
3.801259446082270188e+03 2.919348702028938813e+00 4.311312615461783404e-02
3.805060705528353537e+03 2.928724154279714664e+00 4.333444363889211309e-02
3.808865766233883278e+03 2.930485649047132046e+00 3.651675547690542978e-02
3.812674632000118436e+03 2.889000502446896324e+00 4.378876694786200396e-02
3.816487306632119726e+03 2.879948429886515004e+00 4.137980067856979888e-02
3.820303793938753188e+03 2.864337052061683320e+00 4.150829472908261486e-02
3.824124097732693372e+03 2.856801672624579069e+00 4.092123557787448462e-02
3.827948221830427428e+03 2.858447686677159982e+00 4.040817639747289886e-02
3.831776170052258749e+03 2.863988828310795487e+00 3.978428977395110505e-02
3.835607946222312421e+03 2.874836223421453063e+00 4.125287412406738324e-02
3.839443554168536139e+03 2.874433986338038594e+00 3.818791045028390591e-02
3.843282997722705659e+03 2.892913614697159908e+00 3.803148331336934224e-02
3.847126280720429804e+03 2.910351626919661872e+00 4.041656052387683495e-02
3.850973407001151372e+03 2.908732363862172043e+00 4.233897326907525710e-02
3.854824380408153957e+03 2.914042609339843271e+00 4.143351812426817465e-02
3.858679204788563311e+03 2.904873805141551912e+00 4.123602636647100833e-02
3.862537883993353262e+03 2.927749133209659682e+00 3.328370764624030004e-02
3.866400421877347981e+03 2.928586471900546773e+00 3.222895632834020530e-02
3.870266822299226533e+03 2.903507833138138761e+00 3.280496424522617860e-02
3.874137089121526969e+03 2.846558531130815695e+00 4.367774077487874412e-02
3.878011226210649966e+03 2.815350981199456371e+00 4.211981692565446717e-02
3.881889237436861549e+03 2.780344159525306225e+00 4.091527392760888754e-02
3.885771126674299921e+03 2.744861834095897901e+00 3.597219443446998677e-02
3.889656897800975457e+03 2.718262066853785353e+00 3.524501047512632046e-02
3.893546554698777527e+03 2.706940315134133801e+00 3.436854968446051428e-02
3.897440101253477678e+03 2.703097574495799904e+00 3.588521524966198362e-02
