# starting wavelength: 3847.430
# ending wavelength: 7578.860
# wav flux eflux
3.850973407001151372e+03 2.022583549081137910e+00 1.023753563001880348e-02
3.854824380408153957e+03 2.065625998154741794e+00 1.043117733825298446e-02
3.858679204788563311e+03 2.105830350056071332e+00 1.127601016441160883e-02
3.862537883993353262e+03 2.140003008745186452e+00 1.156842025608833223e-02
3.866400421877347981e+03 2.151408095237015150e+00 1.112121472497211265e-02
3.870266822299226533e+03 2.136290566721981143e+00 1.158987555345155837e-02
3.874137089121526969e+03 2.111405927766347723e+00 1.241941882718147760e-02
3.878011226210649966e+03 2.079491431125448653e+00 1.332605615561673930e-02
3.881889237436861549e+03 2.057869817755457298e+00 1.338905889315729347e-02
3.885771126674299921e+03 2.045740505866267878e+00 1.334575521609691721e-02
3.889656897800975457e+03 2.030167003209959020e+00 1.275674323229224194e-02
3.893546554698777527e+03 2.020583709595456412e+00 1.242359051316483005e-02
3.897440101253477678e+03 2.021012459559072383e+00 1.307905511617604710e-02
3.901337541354732366e+03 2.022066088636345516e+00 1.323752134050339493e-02
3.905238878896088409e+03 2.022245848183354067e+00 1.196193517305660717e-02
3.909144117774985716e+03 2.013434539675988066e+00 1.121235109339268829e-02
3.913053261892762293e+03 1.997675154529494179e+00 9.577655085480491631e-03
3.916966315154656058e+03 1.965038156404265823e+00 9.870393571196159690e-03
3.920883281469812118e+03 1.910022588004683719e+00 9.802435837583053230e-03
3.924804164751283224e+03 1.844009342547072938e+00 9.935636926494928814e-03
3.928728968916035683e+03 1.785131099884934791e+00 6.132084378098340283e-03
3.932657697884953450e+03 1.755819914262298331e+00 6.894505932748117884e-03
3.936590355582839493e+03 1.743314966938827482e+00 1.015876374145062433e-02
3.940526945938423523e+03 1.737678596492496563e+00 1.183149429793606267e-02
3.944467472884363360e+03 1.723772454226317086e+00 1.136007848032170517e-02
3.948411940357249023e+03 1.703391466917546060e+00 1.020511041564815813e-02
3.952360352297607733e+03 1.671570432790552285e+00 1.063519136221103417e-02
3.956312712649906643e+03 1.636673884097503695e+00 1.191268429022341105e-02
3.960269025362557841e+03 1.605609380727547109e+00 1.235442908933574030e-02
3.964229294387921527e+03 1.574830086662343476e+00 1.178041305255238952e-02
3.968193523682310570e+03 1.553130891542140457e+00 1.094827480587011806e-02
3.972161717205994591e+03 1.545242247554413861e+00 1.031260911430529129e-02
3.976133878923201792e+03 1.549274747470384295e+00 9.772507897640373212e-03
3.980110012802126221e+03 1.569065941337856263e+00 9.786504437952227992e-03
3.984090122814929600e+03 1.611844947687526508e+00 1.027948739321291050e-02
3.988074212937745870e+03 1.670055912833437572e+00 1.010124537656623828e-02
3.992062287150684824e+03 1.730921649666302020e+00 7.972681975627926229e-03
3.996054349437837118e+03 1.776488943132942477e+00 6.598933559964975833e-03
4.000050403787276082e+03 1.800881134740627720e+00 7.463670499805664243e-03
4.004050454191064546e+03 1.814485009837037088e+00 6.857903872443802361e-03
4.008054504645257111e+03 1.823107097871933702e+00 6.457853505561909555e-03
4.012062559149903791e+03 1.834253683973341875e+00 6.538299366558649774e-03
4.016074621709055009e+03 1.843568625244000225e+00 6.659344163298899777e-03
4.020090696330765240e+03 1.840687809579950152e+00 6.803119748607242868e-03
4.024110787027097558e+03 1.833756189033180384e+00 6.911172276671912959e-03
4.028134897814125907e+03 1.828284318067939562e+00 6.768651153403864792e-03
4.032163032711941469e+03 1.824468792135429895e+00 6.666964082643771217e-03
4.036195195744654484e+03 1.823009821709092870e+00 6.594257596016828843e-03
4.040231390940400615e+03 1.822464769667868634e+00 6.291376952669481062e-03
4.044271622331342314e+03 1.819436924917199994e+00 6.102034101843152071e-03
4.048315893953675186e+03 1.816276060755953603e+00 6.023439023535389139e-03
4.052364209847629809e+03 1.805384322663483809e+00 5.908597241155109578e-03
4.056416574057479011e+03 1.782729191778917865e+00 7.211607799251492333e-03
4.060472990631537868e+03 1.753227384111827547e+00 1.005649021612354220e-02
4.064533463622170530e+03 1.749890948553685543e+00 1.046412667658760780e-02
4.068597997085794304e+03 1.764445692558762380e+00 1.257290372531465021e-02
4.072666595082881486e+03 1.777893958018751830e+00 1.475013356451989124e-02
4.076739261677965715e+03 1.771963220946203954e+00 1.494310032602688687e-02
4.080816000939644709e+03 1.752250372021018521e+00 1.470129552845662532e-02
4.084896816940585722e+03 1.716659444241986687e+00 1.544598313588586673e-02
4.088981713757527814e+03 1.678687016294418743e+00 1.668456450515996836e-02
4.093070695471286854e+03 1.646237108595214327e+00 1.755733169070833669e-02
4.097163766166759160e+03 1.618055019774572001e+00 1.724717016194431130e-02
4.101260929932927866e+03 1.601109720577372997e+00 1.647570535777886924e-02
4.105362190862862008e+03 1.593005245264199843e+00 1.596240023527882579e-02
4.109467553053726078e+03 1.600327332992583562e+00 1.588264742154612760e-02
4.113577020606780934e+03 1.619861822094779136e+00 1.636558416171874850e-02
4.117690597627389252e+03 1.648870639784000725e+00 1.669912247280795625e-02
4.121808288225018259e+03 1.685029828253653772e+00 1.573438968844155517e-02
4.125930096513244280e+03 1.726798767016994862e+00 1.341369932720279726e-02
4.130056026609759101e+03 1.762638918435109892e+00 1.162988626679340755e-02
4.134186082636369974e+03 1.772204747856947593e+00 1.274217609750179919e-02
4.138320268719007800e+03 1.766801381702501450e+00 8.626894980137888788e-03
4.142458588987728035e+03 1.761843157459668685e+00 4.855822611287981261e-03
4.146601047576717065e+03 1.766364884479303843e+00 5.161610667327468961e-03
4.150747648624294925e+03 1.774309015026483749e+00 5.438365680533177246e-03
4.154898396272920763e+03 1.783739779327278230e+00 5.647090906674694100e-03
4.159053294669195566e+03 1.789395164897018775e+00 4.780843034072638706e-03
4.163212347963865795e+03 1.782594363813512439e+00 4.340167259996650755e-03
