# starting wavelength: 3560.400
# ending wavelength: 7850.890
# wav flux eflux
3.562152237726494150e+03 4.322713107058224202e-01 4.988923921377244608e-02
3.565714389964221937e+03 4.684429312840893700e-01 3.633984691125201338e-02
3.569280104354187188e+03 4.849708697688901449e-01 3.097240824026707001e-02
3.572849384458542772e+03 4.899836146668377634e-01 2.605384505877120921e-02
3.576422233843002232e+03 4.924639042927107524e-01 2.141119534361357948e-02
3.579998656076846601e+03 4.979055487131486823e-01 1.724266882137692053e-02
3.583578654732924406e+03 5.053151294583919650e-01 1.386376938905007489e-02
3.587162233387658489e+03 5.132436532308032318e-01 1.141422110743980055e-02
3.590749395621047370e+03 5.211077545024497271e-01 9.548707818198165498e-03
3.594340145016669794e+03 5.298624672460076068e-01 8.212297238924453485e-03
3.597934485161687462e+03 5.403966757054851078e-01 7.248940780770320516e-03
3.601532419646850485e+03 5.523789511544366926e-01 6.541685879300969918e-03
3.605133952066498296e+03 5.641780728209682128e-01 5.965636993586397908e-03
3.608739086018566013e+03 5.756236443853023355e-01 5.524953155224651691e-03
3.612347825104585809e+03 5.866428521951947417e-01 5.226431632004467122e-03
3.615960172929691907e+03 5.983843707856503213e-01 4.970745052744042144e-03
3.619576133102622407e+03 6.137040176129876512e-01 4.892187990807199405e-03
3.623195709235726554e+03 6.285838073972532802e-01 4.807116332606759142e-03
3.626818904944963379e+03 6.452428966029573054e-01 4.993555550160638616e-03
3.630445723849909427e+03 6.613316146157980358e-01 4.975609543970395399e-03
3.634076169573760581e+03 6.761084013870014564e-01 4.951971455860274332e-03
3.637710245743335690e+03 6.883139274378143879e-01 4.916977476366196816e-03
3.641347955989080219e+03 6.983348882985414008e-01 4.944002751411184435e-03
3.644989303945070333e+03 7.060815651814773553e-01 5.152421103551910013e-03
3.648634293249016537e+03 7.148905940266141457e-01 5.313726169582769221e-03
3.652282927542266862e+03 7.234112548734842330e-01 5.284293361430973494e-03
3.655935210469810499e+03 7.279790261957488351e-01 5.128730018034579653e-03
3.659591145680281443e+03 7.314996330958607462e-01 4.909161470641135866e-03
3.663250736825963031e+03 7.373009608283512817e-01 4.824440910487564835e-03
3.666913987562790226e+03 7.442761023759834060e-01 4.768951735215909427e-03
3.670580901550354156e+03 7.547650785845223531e-01 4.716198318588526658e-03
3.674251482451905758e+03 7.656525034446486355e-01 4.634110635772490522e-03
3.677925733934358959e+03 7.796315870255076108e-01 4.709443036832804824e-03
3.681603659668294313e+03 7.904340731784544882e-01 4.683832674624874813e-03
3.685285263327964003e+03 7.989674595148921199e-01 4.686377178532667200e-03
3.688970548591293209e+03 8.073983046328091495e-01 4.565884969238670314e-03
3.692659519139885560e+03 8.136135591741961992e-01 4.316309161717285341e-03
3.696352178659026777e+03 8.232265727412800826e-01 4.235816520022033134e-03
3.700048530837686940e+03 8.370573773682279395e-01 3.971196355589102188e-03
3.703748579368525952e+03 8.500133077019047523e-01 3.855426053794546414e-03
3.707452327947895355e+03 8.634426765681649796e-01 3.805395235047007076e-03
3.711159780275844696e+03 8.761764019323708963e-01 3.948063838361274419e-03
3.714870940056121526e+03 8.877850584120622335e-01 4.030678761003862569e-03
3.718585810996179134e+03 8.976982040831920084e-01 4.059054781610006192e-03
3.722304396807176545e+03 9.068144888977952567e-01 3.874505898259148363e-03
3.726026701203984885e+03 9.107543845202308308e-01 4.013651813913895507e-03
3.729752727905190113e+03 9.121123160966719823e-01 3.972165346480559245e-03
3.733482480633096657e+03 9.107606057549949563e-01 3.811232062310546814e-03
3.737215963113731050e+03 9.073303019996151741e-01 3.638981671280275623e-03
3.740953179076846027e+03 9.024400989972107823e-01 3.664431478863862304e-03
3.744694132255923705e+03 8.982141739644816658e-01 3.513547375119297714e-03
3.748438826388181042e+03 8.941888257700432163e-01 3.311282202335676886e-03
3.752187265214570289e+03 8.880253488566038911e-01 3.169404677743128344e-03
3.755939452479786269e+03 8.778483172560498371e-01 3.159856556174967142e-03
3.759695391932267285e+03 8.620051483417473515e-01 3.454537619994829927e-03
3.763455087324201031e+03 8.447322056003995216e-01 3.440007972424920669e-03
3.767218542411526414e+03 8.280175548027377541e-01 3.404173702017918111e-03
3.770985760953939007e+03 8.114319869800687979e-01 3.400017684747757164e-03
3.774756746714894234e+03 7.914314757934264311e-01 3.277696958247218635e-03
3.778531503461610555e+03 7.710793176280043015e-01 3.123308620752123736e-03
3.782310034965073100e+03 7.528202523331102292e-01 3.172442634075256420e-03
3.786092345000039586e+03 7.355544232303951047e-01 3.174936904022463823e-03
3.789878437345040766e+03 7.183173220492294897e-01 3.193075169870814543e-03
3.793668315782387253e+03 7.058873780364043338e-01 2.694203308405098383e-03
3.797461984098170888e+03 6.902368309158426474e-01 2.718837966168203158e-03
3.801259446082270188e+03 6.727899395795672310e-01 2.831123050171106045e-03
3.805060705528353537e+03 6.581031130948044039e-01 2.863042709627432007e-03
3.808865766233883278e+03 6.468808750134088514e-01 3.377302274927516945e-03
3.812674632000118436e+03 6.342517491563961496e-01 3.402980188620989381e-03
3.816487306632119726e+03 6.216777541454592271e-01 3.408167079898810365e-03
3.820303793938753188e+03 6.117137105665226837e-01 3.470073795716611259e-03
3.824124097732693372e+03 6.075835896341841291e-01 3.585204247063850103e-03
3.827948221830427428e+03 6.010799630871356269e-01 3.629546645126890264e-03
3.831776170052258749e+03 5.964245280140829664e-01 3.746601797988081007e-03
3.835607946222312421e+03 5.902743095618996350e-01 3.812997004824279258e-03
3.839443554168536139e+03 5.881089338294676061e-01 4.231457938593401018e-03
3.843282997722705659e+03 5.885096844356378920e-01 4.572195589389329261e-03
3.847126280720429804e+03 5.938579977818960742e-01 4.610877521689872929e-03
3.850973407001151372e+03 6.078282601987724520e-01 4.601105582392004713e-03
3.854824380408153957e+03 6.277856328738375957e-01 4.605810905070551603e-03
3.858679204788563311e+03 6.517849540942451947e-01 4.634047860890862583e-03
3.862537883993353262e+03 6.779358354421317623e-01 4.417946799278277964e-03
3.866400421877347981e+03 7.148214061311917167e-01 4.932211825164034905e-03
3.870266822299226533e+03 7.560750521177259653e-01 4.956587698261656974e-03
3.874137089121526969e+03 8.003464479574968760e-01 5.098382260564740184e-03
3.878011226210649966e+03 8.452290927655728980e-01 5.082150347132388495e-03
3.881889237436861549e+03 8.918487575483250440e-01 4.987743891689442113e-03
3.885771126674299921e+03 9.385650974067998309e-01 4.986036564934973915e-03
3.889656897800975457e+03 9.847604616048586390e-01 5.030492986482388088e-03
3.893546554698777527e+03 1.031025863839130974e+00 5.043652060922098126e-03
3.897440101253477678e+03 1.075247556432923801e+00 5.227413116818029407e-03
3.901337541354732366e+03 1.114892013866934706e+00 5.409255860329137758e-03
3.905238878896088409e+03 1.152013149411490689e+00 5.322271573047641403e-03
3.909144117774985716e+03 1.181332923637106846e+00 5.180604572398482890e-03
3.913053261892762293e+03 1.206095673060122442e+00 5.119287466882337621e-03
3.916966315154656058e+03 1.224931621877840549e+00 5.617610738405371881e-03
3.920883281469812118e+03 1.250089859820818772e+00 5.455288127157631624e-03
3.924804164751283224e+03 1.272319829580743189e+00 5.704846836575555753e-03
3.928728968916035683e+03 1.290342525422875530e+00 5.554610457444972282e-03
3.932657697884953450e+03 1.298159102842939117e+00 5.478323030074195091e-03
3.936590355582839493e+03 1.303439552014522773e+00 5.445678887224757875e-03
3.940526945938423523e+03 1.306526174515971972e+00 5.462970022319355717e-03
3.944467472884363360e+03 1.304584448611573411e+00 5.286193823940066143e-03
3.948411940357249023e+03 1.301441998596481131e+00 5.506987508934196515e-03
3.952360352297607733e+03 1.292047385728158915e+00 5.573842932668575043e-03
3.956312712649906643e+03 1.284037359220778995e+00 5.120749436836501828e-03
3.960269025362557841e+03 1.267638597010591006e+00 5.480959838804064059e-03
3.964229294387921527e+03 1.253175943823181537e+00 5.649702775336509775e-03
3.968193523682310570e+03 1.233394534859109104e+00 5.555302412402401101e-03
3.972161717205994591e+03 1.215315564064309184e+00 4.823763061345812120e-03
3.976133878923201792e+03 1.201539412233567194e+00 4.497475986309008335e-03
3.980110012802126221e+03 1.196774732468830038e+00 4.688077664012383836e-03
3.984090122814929600e+03 1.203552061474231660e+00 4.429663915895640930e-03
3.988074212937745870e+03 1.211441667758785146e+00 4.415814585028298919e-03
3.992062287150684824e+03 1.224846286093646652e+00 4.357185533485136673e-03
3.996054349437837118e+03 1.240194123782952795e+00 4.470097694520617365e-03
4.000050403787276082e+03 1.258163030839540397e+00 3.674518741505257684e-03
4.004050454191064546e+03 1.287215879949281438e+00 3.613008011484558548e-03
4.008054504645257111e+03 1.322830536484456809e+00 3.370345225554052283e-03
4.012062559149903791e+03 1.355998214655081746e+00 3.576288031495743029e-03
4.016074621709055009e+03 1.387212292132664615e+00 3.717270669235349812e-03
4.020090696330765240e+03 1.411792531663702333e+00 3.856878520888912514e-03
4.024110787027097558e+03 1.434337143281321891e+00 3.907446318366718588e-03
4.028134897814125907e+03 1.455958317958456982e+00 3.625906893855238879e-03
4.032163032711941469e+03 1.469046510623275292e+00 3.237144192272393278e-03
4.036195195744654484e+03 1.469404935012495583e+00 3.107092011501071897e-03
4.040231390940400615e+03 1.455647608917832514e+00 3.209124938724993402e-03
4.044271622331342314e+03 1.434211242725925706e+00 3.335895042470806999e-03
4.048315893953675186e+03 1.399813116981338590e+00 3.937151204921413017e-03
4.052364209847629809e+03 1.359387781156015773e+00 5.397777160810725283e-03
4.056416574057479011e+03 1.321889579029123851e+00 5.042979661323478136e-03
4.060472990631537868e+03 1.294929426339923362e+00 5.022550656754673840e-03
4.064533463622170530e+03 1.268409302247038406e+00 4.816706199916867374e-03
4.068597997085794304e+03 1.250941430984977343e+00 4.806850768271518984e-03
4.072666595082881486e+03 1.240894449637661046e+00 4.856520024329303784e-03
4.076739261677965715e+03 1.241047804183443848e+00 5.374265091951754836e-03
4.080816000939644709e+03 1.245646773131371843e+00 5.520514506098850999e-03
4.084896816940585722e+03 1.254421222527923652e+00 5.120855243022511515e-03
4.088981713757527814e+03 1.262829521679333933e+00 4.102549606225604044e-03
4.093070695471286854e+03 1.265547123736567192e+00 3.632048618960112031e-03
4.097163766166759160e+03 1.260103812223485775e+00 3.522419320547664524e-03
4.101260929932927866e+03 1.244032610643719616e+00 3.673336772891292335e-03
4.105362190862862008e+03 1.222408656372962588e+00 4.215752276873141295e-03
4.109467553053726078e+03 1.196152906183689746e+00 4.685060724746047470e-03
4.113577020606780934e+03 1.174077014302570054e+00 4.446263171373948664e-03
4.117690597627389252e+03 1.157155760526594079e+00 4.250746790055466920e-03
4.121808288225018259e+03 1.149738508981613228e+00 4.492339870699978838e-03
4.125930096513244280e+03 1.140593512325606573e+00 4.648791778833891684e-03
4.130056026609759101e+03 1.132215768693298541e+00 4.562374592536480936e-03
4.134186082636369974e+03 1.130592525516036062e+00 4.500879960219327826e-03
4.138320268719007800e+03 1.133565535445320238e+00 3.560331594251544586e-03
4.142458588987728035e+03 1.130776968379111347e+00 3.295902871835012030e-03
4.146601047576717065e+03 1.121282094484768344e+00 3.236090192967523531e-03
4.150747648624294925e+03 1.105996427135509164e+00 3.581555808458364212e-03
4.154898396272920763e+03 1.087096080170834478e+00 3.637565084881008628e-03
4.159053294669195566e+03 1.063602641709792351e+00 3.490480525857831470e-03
4.163212347963865795e+03 1.034850986577657395e+00 3.244538647991644219e-03
4.167375560311830668e+03 1.003183985468658834e+00 3.033236801994111231e-03
4.171542935872143971e+03 9.726877372558474510e-01 2.992354604796315046e-03
4.175714478808017702e+03 9.464254278190215031e-01 2.913549887791034351e-03
4.179890193286827525e+03 9.231648870172858290e-01 3.538949214717325951e-03
4.184070083480115500e+03 8.878802508770776702e-01 6.267878408620656573e-03
4.188254153563597356e+03 8.556052575615715750e-01 8.025661281983155482e-03
4.192442407717161586e+03 8.389449430117449369e-01 7.866463997735861566e-03
4.196634850124880359e+03 8.396343647201414129e-01 9.073207279315315468e-03
4.200831484975006788e+03 8.431336029637487295e-01 9.607789714126893296e-03
4.205032316459983122e+03 8.441958059764844702e-01 9.556780948042563686e-03
4.209237348776444378e+03 8.445622505443374228e-01 9.504725736940999870e-03
4.213446586125221984e+03 8.431948912425240028e-01 9.475227812980532849e-03
4.217660032711349231e+03 8.477866379377050343e-01 9.509437864852263514e-03
4.221877692744061278e+03 8.520383225418068918e-01 9.611041072733724280e-03
4.226099570436806971e+03 8.586312275308257691e-01 9.601186472364811597e-03
4.230325670007245208e+03 8.616666979448331931e-01 9.253592642438829285e-03
4.234555995677254032e+03 8.689826047084662219e-01 9.158552059631081682e-03
4.238790551672932452e+03 8.793469744276303235e-01 9.034003724327872506e-03
4.243029342224606808e+03 8.948681162482746698e-01 9.057850676648054530e-03
4.247272371566832589e+03 9.203252990880440576e-01 9.496568123971368264e-03
4.251519643938400804e+03 9.461676668189947792e-01 9.456055016946164626e-03
4.255771163582340705e+03 9.750426408330440387e-01 8.923154619037745525e-03
4.260026934745924336e+03 1.010242199593541557e+00 7.229625914710399379e-03
4.264286961680671993e+03 1.032585113172219238e+00 6.666867383628758900e-03
4.268551248642354039e+03 1.042868213444147374e+00 3.973005105154356516e-03
4.272819799890998183e+03 1.057132782690453521e+00 3.904930078053726709e-03
4.277092619690890388e+03 1.073867602605997007e+00 3.604416962695094692e-03
4.281369712310583054e+03 1.088642546058177007e+00 3.610765913446784513e-03
4.285651082022895025e+03 1.101200862425344207e+00 3.589907637116125736e-03
4.289936733104918858e+03 1.114430233664554848e+00 3.615622306217596612e-03
4.294226669838025373e+03 1.127355591000821056e+00 3.945043575920291132e-03
4.298520896507864563e+03 1.138760258629701427e+00 3.999772620543409589e-03
4.302819417404373780e+03 1.146267555943640826e+00 4.087644282609998424e-03
4.307122236821779552e+03 1.155714521217995117e+00 4.233529977171374831e-03
4.311429359058603040e+03 1.164078299612798295e+00 4.371775007755953485e-03
4.315740788417662770e+03 1.172309343993642505e+00 4.938799668706622854e-03
4.320056529206081905e+03 1.185418827110595430e+00 4.571885215260603971e-03
4.324376585735290064e+03 1.206528002878954231e+00 4.640287103986832050e-03
4.328700962321026054e+03 1.236256613171621721e+00 5.350407009866428587e-03
4.333029663283348782e+03 1.264344276461836003e+00 6.021787728156462009e-03
4.337362692946633615e+03 1.285672611754831607e+00 6.450314452659118916e-03
4.341700055639581478e+03 1.300207670057048626e+00 6.444516221506002736e-03
4.346041755695222491e+03 1.306037381024524269e+00 5.460071180860997554e-03
4.350387797450919606e+03 1.298117841145773887e+00 5.128966823557593209e-03
4.354738185248371337e+03 1.276788280592968894e+00 5.375152619361841556e-03
4.359092923433621763e+03 1.240071471106499734e+00 5.655990892488406592e-03
4.363452016357056891e+03 1.194713696795063562e+00 5.557119832366385140e-03
4.367815468373414660e+03 1.141795166485837898e+00 4.970960597056249888e-03
4.372183283841789489e+03 1.089316891200853732e+00 3.444644621188591629e-03
4.376555467125633186e+03 1.046600954454556254e+00 3.400045001460672706e-03
4.380932022592760404e+03 1.008960316101337185e+00 3.406123370335972008e-03
4.385312954615354101e+03 9.790704000694239184e-01 3.315855008575245479e-03
4.389698267569970994e+03 9.554599888559933696e-01 3.133092454351865241e-03
4.394087965837542470e+03 9.406766819002043700e-01 2.408380894093574680e-03
4.398482053803381859e+03 9.286024343595397079e-01 2.684292928879612565e-03
4.402880535857186260e+03 9.163500865850915389e-01 2.618048814148755780e-03
4.407283416393044718e+03 9.023416132265774658e-01 2.584465806981949346e-03
4.411690699809440048e+03 8.943344778647001059e-01 2.522521879718628464e-03
4.416102390509250654e+03 8.866063806183468454e-01 2.492678935796218201e-03
4.420518492899761441e+03 8.808098527038005221e-01 2.445354568048835244e-03
4.424939011392662906e+03 8.749346049342392462e-01 2.573718873975397274e-03
4.429363950404056595e+03 8.699552082726172975e-01 2.518741050046917687e-03
4.433793314354462382e+03 8.680580453253089468e-01 2.391489291797575800e-03
4.438227107668818462e+03 8.702867128748332792e-01 2.424914399581131873e-03
4.442665334776488635e+03 8.768600157990638078e-01 2.477151079402809333e-03
4.447108000111265937e+03 8.849959869352790331e-01 2.479787408068863646e-03
4.451555108111379013e+03 8.956039852810291357e-01 2.493412914061936356e-03
4.456006663219492111e+03 9.093222270952597830e-01 2.477005241557304113e-03
4.460462669882713271e+03 9.272021816277615791e-01 2.291074950143522169e-03
4.464923132552597053e+03 9.441913335145317721e-01 2.461577458951216824e-03
4.469388055685150903e+03 9.625283993185386189e-01 2.463939913833958217e-03
4.473857443740837880e+03 9.836624640588476076e-01 2.388115500729304057e-03
4.478331301184580298e+03 1.006140671836653233e+00 2.396194492635905521e-03
4.482809632485766087e+03 1.031491938872269198e+00 2.148423040008733739e-03
4.487292442118253348e+03 1.056894957760195597e+00 2.391618403860920269e-03
4.491779734560373072e+03 1.079382018934125886e+00 2.509278568580922564e-03
4.496271514294934605e+03 1.100066633444681807e+00 2.515762597581809069e-03
4.500767785809231100e+03 1.120399213376736203e+00 2.447587277399576166e-03
4.505268553595042249e+03 1.138749543058382940e+00 2.591316704879532105e-03
4.509773822148638828e+03 1.156374138579580491e+00 2.692443149296076463e-03
4.514283595970789065e+03 1.174195259186927798e+00 2.659613588923989344e-03
4.518797879566761367e+03 1.191066340570817728e+00 2.611723581018253297e-03
4.523316677446328868e+03 1.208276996103392564e+00 2.593524765095060920e-03
4.527839994123776705e+03 1.225144437995306035e+00 2.689083763434177085e-03
4.532367834117902021e+03 1.239878863329290315e+00 2.707336162442277802e-03
4.536900201952022144e+03 1.256096629450408120e+00 2.749549306644489318e-03
4.541437102153975502e+03 1.272823791729962073e+00 2.755009340037674337e-03
4.545978539256130716e+03 1.292259197765795564e+00 2.775028058664563788e-03
4.550524517795388419e+03 1.309949259821455270e+00 2.706208323154981818e-03
4.555075042313184895e+03 1.326477822474053436e+00 2.665272881584018674e-03
4.559630117355500261e+03 1.342855547719561615e+00 2.665228710810664189e-03
4.564189747472856652e+03 1.357798958378455989e+00 2.657939441745961213e-03
4.568753937220330954e+03 1.370530347210944022e+00 2.672993713396945494e-03
4.573322691157552981e+03 1.382291058460224820e+00 2.513223955987765271e-03
4.577896013848711846e+03 1.392144556696164326e+00 1.966625958150280094e-03
4.582473909862562323e+03 1.395624968181273573e+00 1.981235591698828850e-03
4.587056383772426670e+03 1.393060832289377382e+00 2.126007313788398981e-03
4.591643440156200086e+03 1.385956565446978539e+00 2.015558324294037997e-03
