# starting wavelength: 3890.440
# ending wavelength: 7309.830
# wav flux eflux
3.893546554698777527e+03 1.429931814816204350e-02 6.282675099350931713e-02
3.897440101253477678e+03 8.951032676062714577e-02 4.792538460390099314e-02
3.901337541354732366e+03 1.350747144316368220e-01 3.698386400444792638e-02
3.905238878896088409e+03 1.633946486070998183e-01 2.872737609405009995e-02
3.909144117774985716e+03 1.797661069267309508e-01 2.333616539125748374e-02
3.913053261892762293e+03 1.895940726271894694e-01 1.976905194477104194e-02
3.916966315154656058e+03 1.990408692560727832e-01 1.659859584172908992e-02
3.920883281469812118e+03 2.075896312602552585e-01 1.431775450023069912e-02
3.924804164751283224e+03 2.149211665944285587e-01 1.218085602455861935e-02
3.928728968916035683e+03 2.191834366564638648e-01 1.052235216016190154e-02
3.932657697884953450e+03 2.189564731568184042e-01 9.272230653417617985e-03
3.936590355582839493e+03 2.148593027106263098e-01 8.357840316796004421e-03
3.940526945938423523e+03 2.069411022694407354e-01 7.736472363964600092e-03
3.944467472884363360e+03 1.973974759099466625e-01 7.275970957045128570e-03
3.948411940357249023e+03 1.874961467599807752e-01 6.871993081739566356e-03
3.952360352297607733e+03 1.770669558709072056e-01 6.588720283048073861e-03
3.956312712649906643e+03 1.679196210242305531e-01 6.326387004916150109e-03
3.960269025362557841e+03 1.599388338758193917e-01 6.207280384200825583e-03
3.964229294387921527e+03 1.547849961397958496e-01 5.581149850790226991e-03
3.968193523682310570e+03 1.469669829696593766e-01 5.502236462074649136e-03
3.972161717205994591e+03 1.391055078160822189e-01 5.681363543873759435e-03
3.976133878923201792e+03 1.293007817910822310e-01 5.346840422596729585e-03
3.980110012802126221e+03 1.236526409856685965e-01 5.243972681133708853e-03
3.984090122814929600e+03 1.174684793593738785e-01 4.831237568741282747e-03
3.988074212937745870e+03 1.112369672851505481e-01 4.163043564157043082e-03
3.992062287150684824e+03 1.106235006900457563e-01 3.955438789431325354e-03
3.996054349437837118e+03 1.165255044848110128e-01 3.950836501401991212e-03
4.000050403787276082e+03 1.305848312448481541e-01 3.771063791006100310e-03
4.004050454191064546e+03 1.485959073582325818e-01 3.836410984147336709e-03
4.008054504645257111e+03 1.668895853855758282e-01 3.993888739529279953e-03
4.012062559149903791e+03 1.871267043198355795e-01 4.242440455047812899e-03
4.016074621709055009e+03 2.092606185420071152e-01 4.120129636559968084e-03
4.020090696330765240e+03 2.281143772380984092e-01 3.997052564317595327e-03
4.024110787027097558e+03 2.450857613030878457e-01 4.018537960082050296e-03
4.028134897814125907e+03 2.634167253640836703e-01 3.989784341421709173e-03
4.032163032711941469e+03 2.835073792718366126e-01 4.646399667988499425e-03
4.036195195744654484e+03 2.981098206715051546e-01 4.792750706658043848e-03
4.040231390940400615e+03 3.077391058242824329e-01 4.826597162091087259e-03
4.044271622331342314e+03 3.127354851233219435e-01 4.963366271144084053e-03
4.048315893953675186e+03 3.157575674762920781e-01 5.164755391236649021e-03
4.052364209847629809e+03 3.178042672181330963e-01 5.477576193955106809e-03
4.056416574057479011e+03 3.177837186573006512e-01 5.629550747415039240e-03
4.060472990631537868e+03 3.158265063784340687e-01 5.565110582777954215e-03
4.064533463622170530e+03 3.137168733428958856e-01 5.442914432084909604e-03
4.068597997085794304e+03 3.100395254297355074e-01 5.313476465053869682e-03
4.072666595082881486e+03 3.035199100989079968e-01 5.237954328168961150e-03
4.076739261677965715e+03 2.980589745146393632e-01 5.255955557093211494e-03
4.080816000939644709e+03 2.913070234724961516e-01 5.270923428236251422e-03
4.084896816940585722e+03 2.874740143946010740e-01 5.205629342805443566e-03
4.088981713757527814e+03 2.833274880650815120e-01 5.154747145639320370e-03
4.093070695471286854e+03 2.783026483245661931e-01 5.185510373998213421e-03
4.097163766166759160e+03 2.750834341232702984e-01 5.184762106053164392e-03
4.101260929932927866e+03 2.719522979210046709e-01 5.158473161538884057e-03
4.105362190862862008e+03 2.682996429683234263e-01 5.174723028855109271e-03
4.109467553053726078e+03 2.605334579095847647e-01 5.318965423423126573e-03
4.113577020606780934e+03 2.567519770560675041e-01 5.254973439676578588e-03
4.117690597627389252e+03 2.564116979957232201e-01 5.346292412815867312e-03
4.121808288225018259e+03 2.580291328022890074e-01 5.394250309203271233e-03
4.125930096513244280e+03 2.602736685581199527e-01 5.589122506946103339e-03
4.130056026609759101e+03 2.602354358709831339e-01 5.571664746301352791e-03
4.134186082636369974e+03 2.576677747346113878e-01 5.527114429515866956e-03
4.138320268719007800e+03 2.569549697189961734e-01 5.528695538354445362e-03
4.142458588987728035e+03 2.608444236491997970e-01 5.088986799877151697e-03
4.146601047576717065e+03 2.654309239291214317e-01 3.487730423050146647e-03
4.150747648624294925e+03 2.627404207736134811e-01 3.377668706250995957e-03
4.154898396272920763e+03 2.512094718796996640e-01 3.935609110960566759e-03
4.159053294669195566e+03 2.374928131928674968e-01 4.070881850655730903e-03
4.163212347963865795e+03 2.234102523167485754e-01 3.795211834230202003e-03
4.167375560311830668e+03 2.127690136040253088e-01 3.628147448010490220e-03
4.171542935872143971e+03 2.080495016955204723e-01 4.059936636154006309e-03
4.175714478808017702e+03 2.015690790699476154e-01 4.221642002696283577e-03
4.179890193286827525e+03 1.955347083693973476e-01 4.369973349881477176e-03
4.184070083480115500e+03 1.869514956501958924e-01 4.346364987065938663e-03
4.188254153563597356e+03 1.794543460630680654e-01 4.332846495067418924e-03
4.192442407717161586e+03 1.746523047566034548e-01 4.316801175609183763e-03
4.196634850124880359e+03 1.704111379521754954e-01 4.183933966037388895e-03
4.200831484975006788e+03 1.656690340879247991e-01 4.190804696502893785e-03
4.205032316459983122e+03 1.583174705684849137e-01 4.126503472924274510e-03
4.209237348776444378e+03 1.510705983253611273e-01 3.834697561261295878e-03
4.213446586125221984e+03 1.455409395250866766e-01 3.870250308922042887e-03
4.217660032711349231e+03 1.400697646088198967e-01 3.852709298347068573e-03
4.221877692744061278e+03 1.325450914196177887e-01 3.637699190584487742e-03
4.226099570436806971e+03 1.274249123211878831e-01 3.638664389294174809e-03
4.230325670007245208e+03 1.264195789537985171e-01 3.574310327625969137e-03
4.234555995677254032e+03 1.287142287351863978e-01 3.352898015900676165e-03
4.238790551672932452e+03 1.328685046020876281e-01 3.237060895658594537e-03
4.243029342224606808e+03 1.378088375546942246e-01 3.320724522606711103e-03
4.247272371566832589e+03 1.397661572182380962e-01 3.149732162828458321e-03
4.251519643938400804e+03 1.395386732505500826e-01 2.838487318000295582e-03
4.255771163582340705e+03 1.451972265561368713e-01 2.923128288948677583e-03
4.260026934745924336e+03 1.589662673786473579e-01 2.839772719395479775e-03
4.264286961680671993e+03 1.760355959486154531e-01 2.824736302330727727e-03
4.268551248642354039e+03 1.959815969615791853e-01 2.834635499778591188e-03
4.272819799890998183e+03 2.174049887738038755e-01 2.944979533883496352e-03
4.277092619690890388e+03 2.394864623047333885e-01 3.383568674047370429e-03
4.281369712310583054e+03 2.606305407617907077e-01 3.486848382114036884e-03
4.285651082022895025e+03 2.758382297151110718e-01 3.392914666722540371e-03
4.289936733104918858e+03 2.860317836987225082e-01 3.352461092723238965e-03
4.294226669838025373e+03 2.922150063588740965e-01 3.318646025106086229e-03
4.298520896507864563e+03 2.933811142977887365e-01 3.429942096713387359e-03
4.302819417404373780e+03 2.892100565126022316e-01 3.492609840818127181e-03
4.307122236821779552e+03 2.803225020028113357e-01 3.466131922305035196e-03
4.311429359058603040e+03 2.694627168352971003e-01 3.202114065398665478e-03
4.315740788417662770e+03 2.595649847871607241e-01 2.733152927142208036e-03
4.320056529206081905e+03 2.544013432727778579e-01 2.855636503303731529e-03
4.324376585735290064e+03 2.525325636821125208e-01 2.727785984890179760e-03
4.328700962321026054e+03 2.535877863709231628e-01 2.219439610530434502e-03
4.333029663283348782e+03 2.550840000579943645e-01 2.245928344374117664e-03
4.337362692946633615e+03 2.573309913336553345e-01 2.279836348825564282e-03
4.341700055639581478e+03 2.591285897740928101e-01 2.389745023665197383e-03
4.346041755695222491e+03 2.605993381119210417e-01 2.435150687328367473e-03
4.350387797450919606e+03 2.634914259977035877e-01 2.683957422103013836e-03
4.354738185248371337e+03 2.641044656016272585e-01 2.898246476802064132e-03
4.359092923433621763e+03 2.635865093333502607e-01 2.849418426294890276e-03
4.363452016357056891e+03 2.583201553798627481e-01 2.710479091886420361e-03
4.367815468373414660e+03 2.490770621002462437e-01 2.737477243043170971e-03
4.372183283841789489e+03 2.349429137140623958e-01 2.907867348067730198e-03
4.376555467125633186e+03 2.210299102172650632e-01 3.003874850704347371e-03
4.380932022592760404e+03 2.065012871709783204e-01 3.073288175981717454e-03
4.385312954615354101e+03 1.940988575088429535e-01 2.955119067122892289e-03
4.389698267569970994e+03 1.831741281905410190e-01 2.769206821629333331e-03
