# starting wavelength: 3690.150
# ending wavelength: 7529.840
# wav flux eflux
3.692659519139885560e+03 7.289401186611436101e-01 6.163599783560810286e-01
3.696352178659026777e+03 9.290559434920244719e-01 4.702444922977579989e-01
3.700048530837686940e+03 1.044272343603644071e+00 3.543840202005049123e-01
3.703748579368525952e+03 1.031080510088161484e+00 2.798383001885393351e-01
3.707452327947895355e+03 9.757693803711102731e-01 2.196306899284674319e-01
3.711159780275844696e+03 9.136988505744507716e-01 1.751487416609454895e-01
3.714870940056121526e+03 8.087939403475413735e-01 1.452735210077825412e-01
3.718585810996179134e+03 7.103006421626960609e-01 1.258900077943081175e-01
3.722304396807176545e+03 6.233943211247215954e-01 1.067034649519017220e-01
3.726026701203984885e+03 5.453826735095186340e-01 9.230221357653278780e-02
3.729752727905190113e+03 4.626308045538958247e-01 8.124004040382368230e-02
3.733482480633096657e+03 3.830521889655791323e-01 7.314475342479097308e-02
3.737215963113731050e+03 3.502853167683054325e-01 7.050060988827480668e-02
3.740953179076846027e+03 2.940121417918554192e-01 6.595795916203819886e-02
3.744694132255923705e+03 2.300181241134711674e-01 6.303127129229076087e-02
3.748438826388181042e+03 1.706453839260555494e-01 6.243324033588619482e-02
3.752187265214570289e+03 1.761920958642764212e-01 6.169876786761133852e-02
3.755939452479786269e+03 1.828222279342866519e-01 6.039551254510269751e-02
3.759695391932267285e+03 2.053799231518859680e-01 6.012735156944250259e-02
3.763455087324201031e+03 2.250395326858464218e-01 5.962509744374178827e-02
3.767218542411526414e+03 2.959266046893432311e-01 5.512432517346044919e-02
3.770985760953939007e+03 3.654285746857047767e-01 5.326256125569116262e-02
3.774756746714894234e+03 4.095810946635086713e-01 5.298951522517275636e-02
3.778531503461610555e+03 4.640904332783548081e-01 5.342414406159363971e-02
3.782310034965073100e+03 4.995170357431730768e-01 5.174997877917530270e-02
3.786092345000039586e+03 5.270790343264408762e-01 5.234741253083584345e-02
3.789878437345040766e+03 5.478717879192018803e-01 5.256485149667333018e-02
3.793668315782387253e+03 5.870768264390042734e-01 5.233231455406609639e-02
3.797461984098170888e+03 6.112300329314107605e-01 5.272369846930555909e-02
3.801259446082270188e+03 6.385535310490957350e-01 5.276878412233461380e-02
3.805060705528353537e+03 6.722391879599092235e-01 5.338426641566909603e-02
3.808865766233883278e+03 6.776696491967424407e-01 5.383628155574042562e-02
3.812674632000118436e+03 6.902389022649717543e-01 5.276212689303985681e-02
3.816487306632119726e+03 7.020234320238958325e-01 5.211389794594302460e-02
3.820303793938753188e+03 7.107060989025285602e-01 5.163901399892335126e-02
3.824124097732693372e+03 6.989497857414470605e-01 4.908188675721222166e-02
3.827948221830427428e+03 6.751355025999982162e-01 4.796958389633099867e-02
3.831776170052258749e+03 6.993370724461669408e-01 4.768958671136629829e-02
3.835607946222312421e+03 7.060516074977908341e-01 4.746001223883491299e-02
3.839443554168536139e+03 7.116377157229982764e-01 4.727784235828727533e-02
3.843282997722705659e+03 7.338796120608238605e-01 4.929580699643985875e-02
3.847126280720429804e+03 7.717409203557519248e-01 4.689567292550685107e-02
3.850973407001151372e+03 8.082080255904255939e-01 4.667431228597069409e-02
3.854824380408153957e+03 8.318162949532685868e-01 4.609779268351526377e-02
3.858679204788563311e+03 8.432990637651975874e-01 4.512854822989977727e-02
