# starting wavelength: 3690.150
# ending wavelength: 7535.700
# wav flux eflux
3.692659519139885560e+03 4.726340847572430698e-02 2.833729421103499124e-01
3.696352178659026777e+03 1.033511311763319201e-01 2.070552804499385946e-01
3.700048530837686940e+03 1.517080624102727093e-01 1.596619324047778010e-01
3.703748579368525952e+03 1.779987794545970781e-01 1.243209386056935151e-01
3.707452327947895355e+03 1.580020480099721125e-01 9.893359374482305069e-02
3.711159780275844696e+03 1.381487413734744096e-01 7.874062983572074903e-02
3.714870940056121526e+03 1.138738072028316617e-01 6.436616837014144665e-02
3.718585810996179134e+03 9.587729094749336545e-02 6.509516195093356661e-02
3.722304396807176545e+03 9.530181130685413948e-02 5.846644448269722183e-02
3.726026701203984885e+03 9.365175951078447136e-02 5.022944465161204020e-02
3.729752727905190113e+03 9.093717743431507794e-02 4.460750032843401741e-02
3.733482480633096657e+03 8.953056393248988443e-02 4.009689345012451556e-02
3.737215963113731050e+03 9.934368031857879200e-02 3.735813956237851730e-02
3.740953179076846027e+03 9.940331930292260754e-02 3.499438820616458667e-02
3.744694132255923705e+03 8.542992220435001449e-02 3.399731226668453732e-02
3.748438826388181042e+03 7.303091319316160068e-02 3.282938661120273632e-02
3.752187265214570289e+03 8.784376380972970522e-02 3.227650499632630371e-02
3.755939452479786269e+03 9.760106807044142962e-02 3.152045888728156886e-02
3.759695391932267285e+03 1.198842025629356933e-01 3.206799325104368881e-02
3.763455087324201031e+03 1.360795885657781756e-01 3.124212021236560943e-02
3.767218542411526414e+03 1.345870683476940444e-01 3.138227704938043733e-02
3.770985760953939007e+03 1.244840108396917250e-01 3.157713963713196931e-02
3.774756746714894234e+03 1.193649005726230422e-01 3.181800860003341364e-02
3.778531503461610555e+03 1.156352363124757698e-01 3.227666915089327793e-02
3.782310034965073100e+03 1.121193780485877922e-01 3.138479145349785948e-02
3.786092345000039586e+03 1.129146770363478186e-01 3.141348081243554996e-02
3.789878437345040766e+03 1.121060283406361407e-01 3.096312619803476621e-02
3.793668315782387253e+03 1.059657963731625852e-01 3.081094644153732631e-02
3.797461984098170888e+03 9.953928594995256618e-02 3.070164910156566659e-02
3.801259446082270188e+03 9.339060094256795841e-02 3.052761397250833286e-02
3.805060705528353537e+03 9.083856818840004010e-02 3.071275028594170481e-02
3.808865766233883278e+03 9.484675129198526233e-02 3.099733783158808639e-02
3.812674632000118436e+03 1.053916881663312932e-01 3.033382464785553193e-02
3.816487306632119726e+03 1.208239435043862858e-01 2.975142963461394757e-02
3.820303793938753188e+03 1.305109200299073013e-01 2.859663858290417346e-02
3.824124097732693372e+03 1.311649259295607495e-01 2.753865706617217649e-02
3.827948221830427428e+03 1.279189721799844359e-01 2.784416276841330737e-02
3.831776170052258749e+03 1.065799998065841969e-01 2.776030959741969395e-02
3.835607946222312421e+03 9.850042395817799890e-02 2.749297679254837992e-02
3.839443554168536139e+03 1.009145295948760401e-01 2.751636412634969608e-02
3.843282997722705659e+03 9.244274991499080996e-02 2.767914240475779358e-02
3.847126280720429804e+03 9.652257118219816079e-02 2.723669710293434923e-02
3.850973407001151372e+03 9.368859901701312443e-02 2.446887698696776497e-02
3.854824380408153957e+03 7.844127227363865973e-02 2.339995062771379683e-02
3.858679204788563311e+03 6.673876527299855976e-02 2.328549295440237449e-02
3.862537883993353262e+03 5.816702629229901500e-02 2.319301216188129899e-02
3.866400421877347981e+03 4.519700930734275174e-02 2.228936715792822001e-02
3.870266822299226533e+03 2.456908723171507408e-02 1.901270379214238179e-02
3.874137089121526969e+03 1.485717770832450935e-02 1.892587247639631112e-02
3.878011226210649966e+03 2.366947584462385235e-02 1.707678518991736366e-02
3.881889237436861549e+03 3.973564679585696313e-02 1.628995805095663149e-02
3.885771126674299921e+03 5.626272705576680633e-02 1.522262991729017231e-02
3.889656897800975457e+03 6.583599313809766762e-02 1.503527428541504875e-02
3.893546554698777527e+03 7.071851796649614164e-02 1.479063676214218727e-02
3.897440101253477678e+03 7.706880722693304486e-02 1.447536708428144407e-02
3.901337541354732366e+03 8.972564819721809415e-02 1.430610013609906472e-02
3.905238878896088409e+03 1.051996705658333753e-01 1.357895405611090137e-02
3.909144117774985716e+03 1.193648521082127101e-01 1.353488098528784177e-02
3.913053261892762293e+03 1.241572119468676849e-01 1.369887752211126040e-02
3.916966315154656058e+03 1.302546203455252349e-01 1.340863695754822109e-02
3.920883281469812118e+03 1.325891099886657154e-01 1.322858788617600583e-02
3.924804164751283224e+03 1.423392837699073432e-01 1.309757108808618647e-02
3.928728968916035683e+03 1.519247746579633906e-01 1.312377623539805020e-02
3.932657697884953450e+03 1.561011280676108115e-01 1.291622190377274618e-02
3.936590355582839493e+03 1.508578841615655919e-01 1.251521567770342257e-02
3.940526945938423523e+03 1.363584146519046802e-01 1.128600880650134676e-02
3.944467472884363360e+03 1.282718156776503915e-01 1.003121056590073820e-02
3.948411940357249023e+03 1.301585095555367610e-01 9.082236217543112472e-03
3.952360352297607733e+03 1.320726081144000252e-01 9.104688007625613352e-03
3.956312712649906643e+03 1.344984392365261572e-01 9.115816766261003110e-03
3.960269025362557841e+03 1.328310226121020288e-01 8.884190606413822078e-03
3.964229294387921527e+03 1.416763564975581924e-01 8.937000627527402069e-03
3.968193523682310570e+03 1.478491897396434496e-01 8.798647546329729438e-03
3.972161717205994591e+03 1.607710116922429489e-01 8.949026938082667651e-03
3.976133878923201792e+03 1.791697149213575813e-01 8.662866522833738078e-03
3.980110012802126221e+03 1.876532478328079012e-01 8.094262690386655468e-03
3.984090122814929600e+03 1.990229572624467591e-01 8.156414824137810798e-03
3.988074212937745870e+03 2.197602221025131974e-01 8.182903279732789067e-03
3.992062287150684824e+03 2.365126697981348725e-01 8.046642343429668068e-03
3.996054349437837118e+03 2.568587387923570442e-01 7.933017648162527663e-03
4.000050403787276082e+03 2.746359053912647008e-01 7.955855610516161455e-03
4.004050454191064546e+03 2.877312694107170832e-01 7.829519529046244375e-03
4.008054504645257111e+03 3.033846115964806134e-01 7.707734451021152657e-03
4.012062559149903791e+03 3.107664380395120385e-01 7.302133230433123685e-03
4.016074621709055009e+03 3.169805782538883676e-01 7.188572228778883702e-03
4.020090696330765240e+03 3.162117975446533946e-01 7.067038701186629038e-03
4.024110787027097558e+03 3.234511555693265206e-01 6.660302078242275395e-03
4.028134897814125907e+03 3.274197988391906455e-01 6.633267142958615414e-03
4.032163032711941469e+03 3.286492128011770930e-01 6.704482475893294713e-03
4.036195195744654484e+03 3.267182801664519354e-01 6.590884497022703355e-03
4.040231390940400615e+03 3.273784608989950828e-01 6.906889268236308423e-03
4.044271622331342314e+03 3.180023073801324096e-01 7.446705268715204246e-03
4.048315893953675186e+03 3.089445413383579697e-01 8.033386839431425411e-03
4.052364209847629809e+03 3.021686070167530769e-01 7.819273670271362567e-03
4.056416574057479011e+03 2.972194150439179117e-01 8.156956920697981325e-03
4.060472990631537868e+03 2.856862392926731165e-01 8.371266922275796135e-03
4.064533463622170530e+03 2.857729708001000013e-01 8.690117242554404320e-03
4.068597997085794304e+03 2.817837811583792651e-01 8.534857349538701662e-03
4.072666595082881486e+03 2.777631055647795111e-01 8.336429669749494814e-03
4.076739261677965715e+03 2.806209038464178018e-01 8.267629830275732145e-03
4.080816000939644709e+03 2.775440184298808566e-01 8.244076640835864764e-03
4.084896816940585722e+03 2.830003756673123982e-01 8.419816790495873726e-03
4.088981713757527814e+03 2.854196638801574926e-01 8.831943881292363824e-03
4.093070695471286854e+03 2.954573065601246995e-01 8.639964220946070445e-03
4.097163766166759160e+03 3.072621270339704891e-01 8.475001141385343773e-03
4.101260929932927866e+03 3.174885012584594546e-01 8.334133699635861911e-03
4.105362190862862008e+03 3.286180134073142245e-01 8.154757714805250038e-03
4.109467553053726078e+03 3.467962284126122618e-01 8.387049008873903935e-03
4.113577020606780934e+03 3.625141472528713438e-01 8.474392519942943597e-03
4.117690597627389252e+03 3.816302293626698816e-01 8.374506649882698314e-03
4.121808288225018259e+03 4.005229763360587114e-01 7.755321332841408864e-03
4.125930096513244280e+03 4.064976982136314088e-01 7.404379192581304198e-03
4.130056026609759101e+03 4.114212370081928860e-01 7.125398892199281270e-03
4.134186082636369974e+03 4.176333426736309473e-01 7.089356849008746769e-03
4.138320268719007800e+03 4.232007942998738392e-01 7.135443807209363581e-03
4.142458588987728035e+03 4.285306778533167216e-01 6.413335008635340749e-03
4.146601047576717065e+03 4.328625617498469413e-01 6.088841917819747505e-03
4.150747648624294925e+03 4.381500391613274981e-01 6.207225700739146639e-03
4.154898396272920763e+03 4.445728383697943320e-01 6.183159963815359692e-03
4.159053294669195566e+03 4.457679665978637740e-01 6.149571113926569944e-03
4.163212347963865795e+03 4.504752767007698111e-01 5.465398282536375156e-03
4.167375560311830668e+03 4.482885941668984242e-01 5.573167442106939130e-03
4.171542935872143971e+03 4.462683930089703099e-01 5.503598545432537847e-03
4.175714478808017702e+03 4.405811894947538887e-01 5.382751676915148789e-03
4.179890193286827525e+03 4.241627057829512326e-01 5.903802515363837204e-03
4.184070083480115500e+03 4.124230834990847971e-01 5.855995571651865725e-03
4.188254153563597356e+03 3.971411813625371212e-01 6.658729901872492869e-03
4.192442407717161586e+03 3.832281110271088531e-01 6.091787192929159177e-03
4.196634850124880359e+03 3.806339466408906191e-01 6.288281539601143881e-03
4.200831484975006788e+03 3.815055031596652491e-01 6.356979810721811314e-03
4.205032316459983122e+03 3.887506343880133275e-01 6.327133220178556353e-03
4.209237348776444378e+03 4.040769181940308541e-01 7.329436433381410557e-03
4.213446586125221984e+03 4.193900680914679491e-01 7.727713782005709089e-03
4.217660032711349231e+03 4.340692564455890246e-01 7.572748973430848754e-03
4.221877692744061278e+03 4.530945990901625309e-01 7.175745854718987293e-03
4.226099570436806971e+03 4.694830233122111451e-01 7.202600411324514354e-03
4.230325670007245208e+03 4.882034471676766629e-01 7.388004675372004948e-03
4.234555995677254032e+03 5.014308369210396243e-01 7.205978332926802482e-03
4.238790551672932452e+03 5.023315248453656956e-01 7.309389188283310287e-03
4.243029342224606808e+03 5.029754465309286271e-01 7.459361420546789523e-03
4.247272371566832589e+03 5.045373794797395339e-01 7.566482882431188259e-03
4.251519643938400804e+03 5.013487807357162040e-01 7.673634720632990271e-03
4.255771163582340705e+03 4.981760684794356298e-01 7.353674459220765729e-03
4.260026934745924336e+03 4.972842648079819350e-01 7.234624660387911285e-03
4.264286961680671993e+03 5.010106968251946125e-01 7.174211845137303672e-03
4.268551248642354039e+03 4.968666615681224807e-01 6.934451050681390838e-03
4.272819799890998183e+03 4.926595301959282303e-01 6.991144551235198464e-03
4.277092619690890388e+03 4.880510398203641298e-01 7.009638599442004174e-03
4.281369712310583054e+03 4.892113921297798762e-01 7.321393230769030445e-03
4.285651082022895025e+03 4.841627068761403252e-01 7.180554019158478206e-03
4.289936733104918858e+03 4.760375988069443509e-01 7.119715225691419097e-03
4.294226669838025373e+03 4.685466677378604672e-01 6.429818305221364147e-03
4.298520896507864563e+03 4.514557102024425728e-01 6.199544282321154710e-03
4.302819417404373780e+03 4.337306145670410396e-01 6.052229876961976243e-03
4.307122236821779552e+03 4.159527610698364186e-01 5.638935317078786272e-03
4.311429359058603040e+03 4.068421233337987664e-01 5.706656479497348999e-03
4.315740788417662770e+03 4.012133148982597319e-01 5.726569780422421062e-03
4.320056529206081905e+03 3.883710619239097994e-01 6.021104953751494661e-03
4.324376585735290064e+03 3.852553211828008140e-01 5.997098479147658368e-03
4.328700962321026054e+03 3.900714889660683027e-01 6.157875426076327152e-03
4.333029663283348782e+03 3.883336701408774405e-01 5.999981938802927475e-03
4.337362692946633615e+03 3.943707185198642162e-01 6.295192940245232169e-03
4.341700055639581478e+03 4.040281025008908289e-01 6.396193719545031735e-03
4.346041755695222491e+03 4.125241089962264907e-01 6.033057741269509840e-03
4.350387797450919606e+03 4.143940171756707036e-01 5.793540990506458772e-03
4.354738185248371337e+03 4.058823711984055338e-01 5.766761650682791090e-03
4.359092923433621763e+03 3.968715385107604576e-01 5.783061962892817494e-03
4.363452016357056891e+03 3.839749331203691218e-01 5.599328992865527412e-03
4.367815468373414660e+03 3.666469689855715308e-01 5.613320597955886830e-03
4.372183283841789489e+03 3.501521079055350816e-01 5.565381454515021427e-03
4.376555467125633186e+03 3.342135499184749614e-01 5.505779770656148847e-03
4.380932022592760404e+03 3.154259640832155487e-01 5.825769621980734884e-03
4.385312954615354101e+03 3.025509202255344809e-01 5.699728242876391134e-03
4.389698267569970994e+03 2.934434451634323482e-01 5.446415860961921138e-03
4.394087965837542470e+03 2.940153990178384635e-01 5.435257474640932222e-03
4.398482053803381859e+03 3.041875789686261378e-01 5.366155043242836452e-03
4.402880535857186260e+03 3.166645712275305558e-01 5.242845031296875999e-03
4.407283416393044718e+03 3.391432166655867220e-01 5.433251657292486117e-03
4.411690699809440048e+03 3.621859118246207321e-01 5.294449496246299812e-03
4.416102390509250654e+03 3.849165873227243795e-01 4.840224905629954451e-03
4.420518492899761441e+03 4.173342812010176206e-01 5.353067997675009862e-03
4.424939011392662906e+03 4.492333746936121863e-01 5.065057159478026684e-03
