# starting wavelength: 3629.680
# ending wavelength: 7357.420
# wav flux eflux
3.630445723849909427e+03 1.040263910739724462e+00 1.346718324040129477e+00
3.634076169573760581e+03 1.101824104162642204e+00 9.786640798419238285e-01
3.637710245743335690e+03 1.088534641968060379e+00 7.344235569344734760e-01
3.641347955989080219e+03 1.075617494592378431e+00 5.540375735832534509e-01
3.644989303945070333e+03 1.113270732102772609e+00 4.337769323513375186e-01
3.648634293249016537e+03 1.095505416299231261e+00 3.411225096356593767e-01
3.652282927542266862e+03 1.041162694129572408e+00 2.747904891081783818e-01
3.655935210469810499e+03 1.001084436572486025e+00 2.249502931725540500e-01
3.659591145680281443e+03 9.566862987443125466e-01 1.866692550023512920e-01
3.663250736825963031e+03 9.066622762076406161e-01 1.605300070955508196e-01
3.666913987562790226e+03 8.619784350943135998e-01 1.404700415770520350e-01
3.670580901550354156e+03 8.478946638857449702e-01 1.256374645706933302e-01
3.674251482451905758e+03 8.644927707904233039e-01 1.169533225051106323e-01
3.677925733934358959e+03 8.959083052489198451e-01 1.124429352824267286e-01
3.681603659668294313e+03 8.631777744427754362e-01 1.105976479443371852e-01
3.685285263327964003e+03 8.721474001189231107e-01 1.058937319667849070e-01
3.688970548591293209e+03 8.409283480956569745e-01 1.023946250099389554e-01
3.692659519139885560e+03 8.638992838224838211e-01 1.009754161104156750e-01
3.696352178659026777e+03 8.201012707752782793e-01 9.979785277823277623e-02
3.700048530837686940e+03 8.243429341897079432e-01 9.683188744143222948e-02
3.703748579368525952e+03 8.247603704340485953e-01 9.628311823994896435e-02
3.707452327947895355e+03 8.206341841318907093e-01 9.616633382687136966e-02
3.711159780275844696e+03 7.687697573074140367e-01 9.685152400033092412e-02
3.714870940056121526e+03 7.315813541501278161e-01 9.471009386773329708e-02
3.718585810996179134e+03 7.115619362326015551e-01 9.331709087840917016e-02
3.722304396807176545e+03 7.197791448206548592e-01 8.861088968370851859e-02
3.726026701203984885e+03 6.511748982394811591e-01 8.616770081915471613e-02
3.729752727905190113e+03 5.825611367838327004e-01 8.120670087304100726e-02
3.733482480633096657e+03 5.370599576474439640e-01 7.883491200057558823e-02
3.737215963113731050e+03 4.778981801729632606e-01 7.633859786287446048e-02
3.740953179076846027e+03 4.485822535424199842e-01 7.680872819142739449e-02
3.744694132255923705e+03 4.185723351303213824e-01 7.774060535267961203e-02
3.748438826388181042e+03 3.797006648037896115e-01 7.609615863724128459e-02
3.752187265214570289e+03 3.871924642055583066e-01 7.844701300327004689e-02
3.755939452479786269e+03 3.866814478757044649e-01 7.848155840067505551e-02
3.759695391932267285e+03 3.886134777464325119e-01 7.801546334181735931e-02
3.763455087324201031e+03 4.468094852309900111e-01 7.864370260374478616e-02
3.767218542411526414e+03 4.556757115715717732e-01 7.971914636890434225e-02
3.770985760953939007e+03 4.893702601051036494e-01 7.879824806630733591e-02
3.774756746714894234e+03 5.142832814536515418e-01 7.899954901464534274e-02
3.778531503461610555e+03 5.501783271354724336e-01 7.885985109212559352e-02
3.782310034965073100e+03 5.819386435205745611e-01 7.822555658557016345e-02
3.786092345000039586e+03 6.200315411519422559e-01 7.774590648590444519e-02
3.789878437345040766e+03 6.408084643297193850e-01 7.624650531716321844e-02
3.793668315782387253e+03 6.891644238859943039e-01 7.621645998574740066e-02
3.797461984098170888e+03 7.760511607801250378e-01 7.449018492091742660e-02
3.801259446082270188e+03 8.580740653845897459e-01 7.311586163696238982e-02
3.805060705528353537e+03 8.562789713003713388e-01 6.805734287052257747e-02
3.808865766233883278e+03 9.414466701714349073e-01 6.820570963163898048e-02
3.812674632000118436e+03 9.730910193745866410e-01 6.852117537933159752e-02
3.816487306632119726e+03 9.480149382933257263e-01 6.632297610368899365e-02
3.820303793938753188e+03 9.205261544759860692e-01 6.860721466942970581e-02
3.824124097732693372e+03 9.744154808506397814e-01 6.773302786220532223e-02
3.827948221830427428e+03 1.007459538132166266e+00 6.833721685842059079e-02
3.831776170052258749e+03 1.036794003625230109e+00 6.808223186735926080e-02
3.835607946222312421e+03 1.075271613798433279e+00 6.853223223148678656e-02
3.839443554168536139e+03 1.119099054691386597e+00 6.989069584457630047e-02
3.843282997722705659e+03 1.141739313416439527e+00 6.988659900756213905e-02
3.847126280720429804e+03 1.159153474208939549e+00 7.066957318672889565e-02
3.850973407001151372e+03 1.194990575738594796e+00 7.291740527631127011e-02
3.854824380408153957e+03 1.215138053728242351e+00 7.402510936170389466e-02
3.858679204788563311e+03 1.218399556054292399e+00 7.371366750130990686e-02
3.862537883993353262e+03 1.257383280951126725e+00 7.243050660028536869e-02
3.866400421877347981e+03 1.318124875507535876e+00 6.884422223502514870e-02
3.870266822299226533e+03 1.319501911443217157e+00 6.902006703454452441e-02
3.874137089121526969e+03 1.362787543080530295e+00 6.935978922292472537e-02
3.878011226210649966e+03 1.338321495391094018e+00 6.672368653511330516e-02
3.881889237436861549e+03 1.359978086459031621e+00 6.704130346338277313e-02
3.885771126674299921e+03 1.329455589140077221e+00 6.803923138245675239e-02
3.889656897800975457e+03 1.330027209919335762e+00 6.759851300961601528e-02
3.893546554698777527e+03 1.311674274921137417e+00 6.788718769539979492e-02
3.897440101253477678e+03 1.308764366863067075e+00 6.727741801917513920e-02
3.901337541354732366e+03 1.323742035334618983e+00 6.909650022298272076e-02
3.905238878896088409e+03 1.351460334377692307e+00 6.973349606618524377e-02
3.909144117774985716e+03 1.385967175069115376e+00 6.944639720786428827e-02
3.913053261892762293e+03 1.432673483751109256e+00 6.134782122486964751e-02
3.916966315154656058e+03 1.391358118806212296e+00 6.136170006132776050e-02
3.920883281469812118e+03 1.322277141325896022e+00 6.030326008397202814e-02
3.924804164751283224e+03 1.294627612105232251e+00 6.147255940660176915e-02
3.928728968916035683e+03 1.296551348442529950e+00 6.293573040162733778e-02
3.932657697884953450e+03 1.326247527463998654e+00 6.896519443849377651e-02
3.936590355582839493e+03 1.316816696798140729e+00 7.081766499074650112e-02
3.940526945938423523e+03 1.294162054723880795e+00 6.960699153857739796e-02
3.944467472884363360e+03 1.230173754247914530e+00 6.847764909956746693e-02
3.948411940357249023e+03 1.227222639000372872e+00 6.518103858919455096e-02
3.952360352297607733e+03 1.147580326279031615e+00 6.920323599741369514e-02
3.956312712649906643e+03 1.105564736101956713e+00 7.064071578514687089e-02
3.960269025362557841e+03 1.118042348463851310e+00 7.317708857560671631e-02
3.964229294387921527e+03 1.114343289125295566e+00 7.307911283953386072e-02
3.968193523682310570e+03 1.110101428174815830e+00 7.347942053012092301e-02
3.972161717205994591e+03 1.125680195656443727e+00 7.355067087002511994e-02
3.976133878923201792e+03 1.119829797333465882e+00 7.408041171663712343e-02
3.980110012802126221e+03 1.125773390914514005e+00 7.348274857221105683e-02
3.984090122814929600e+03 1.112894243398348637e+00 7.389419407438559129e-02
3.988074212937745870e+03 1.134799653224038307e+00 7.465507985136525526e-02
3.992062287150684824e+03 1.175812754540360938e+00 7.367233098551814741e-02
3.996054349437837118e+03 1.215558338906364222e+00 7.248009236412972234e-02
4.000050403787276082e+03 1.191966187483856299e+00 7.375500556219177772e-02
4.004050454191064546e+03 1.143970250041007608e+00 7.313903969320337262e-02
4.008054504645257111e+03 1.098341332345783572e+00 6.845590990952077348e-02
4.012062559149903791e+03 1.090661259168933084e+00 6.715435271856794175e-02
4.016074621709055009e+03 1.148758953335141220e+00 5.949764214481882696e-02
4.020090696330765240e+03 1.163103273422723793e+00 5.884867644483362387e-02
4.024110787027097558e+03 1.167554448219247254e+00 5.879813730072881717e-02
4.028134897814125907e+03 1.150388527536776895e+00 5.907240321430597824e-02
4.032163032711941469e+03 1.106818796544424721e+00 6.233711991561610710e-02
4.036195195744654484e+03 1.063835453176747325e+00 5.434840098215891480e-02
4.040231390940400615e+03 1.099066017645847104e+00 5.341044041882051646e-02
4.044271622331342314e+03 1.100456594580472069e+00 5.367783741337958658e-02
4.048315893953675186e+03 1.118031779679654170e+00 5.454497611740375534e-02
4.052364209847629809e+03 1.180268114190096362e+00 5.542724342465640830e-02
4.056416574057479011e+03 1.155874534011070098e+00 5.768848480163158571e-02
4.060472990631537868e+03 1.129835814447849307e+00 5.880601204505974539e-02
4.064533463622170530e+03 1.123069924676690645e+00 5.953959583006118716e-02
4.068597997085794304e+03 1.149174483438895278e+00 5.691951632850358184e-02
4.072666595082881486e+03 1.158588391573819543e+00 5.522714784437227076e-02
4.076739261677965715e+03 1.190108849262879520e+00 5.449881429080059153e-02
4.080816000939644709e+03 1.177722684422754629e+00 5.240070085913048348e-02
4.084896816940585722e+03 1.191225093539257873e+00 5.484930495293768166e-02
4.088981713757527814e+03 1.219976506081557277e+00 5.949186911569647601e-02
4.093070695471286854e+03 1.179875049902297635e+00 6.085594436679563762e-02
4.097163766166759160e+03 1.160391010550151591e+00 6.160489307212977522e-02
4.101260929932927866e+03 1.143917383692818701e+00 6.314233965143233041e-02
4.105362190862862008e+03 1.132747494573304037e+00 6.061475014104355380e-02
4.109467553053726078e+03 1.108743644688157337e+00 5.751386337026243717e-02
4.113577020606780934e+03 1.137556509253607739e+00 6.301627610821323999e-02
4.117690597627389252e+03 1.123898526499455874e+00 6.241580580609941420e-02
4.121808288225018259e+03 1.115295741392687168e+00 6.256944349592957755e-02
4.125930096513244280e+03 1.130255629234355741e+00 5.993992501236976300e-02
4.130056026609759101e+03 1.158828953855932431e+00 5.191282355222121697e-02
4.134186082636369974e+03 1.145960586746888499e+00 5.187701761346509566e-02
4.138320268719007800e+03 1.114704673066345686e+00 5.082940479662865357e-02
