# starting wavelength: 4998.030
# ending wavelength: 8639.180
# wav flux eflux
4.998788266008251412e+03 9.806522019869842177e-01 2.043917105184205885e-01
5.003787054274261209e+03 1.056646109580080095e+00 1.487685590963589155e-01
5.008790841328536771e+03 1.086227421480765010e+00 1.100236630006631577e-01
5.013799632169867436e+03 1.082407239523739184e+00 8.483234133946716826e-02
5.018813431802038394e+03 1.061174294683505881e+00 6.711118955558446897e-02
5.023832245233842514e+03 1.030628241047803817e+00 5.305359767655468822e-02
5.028856077479077612e+03 9.966095955507198179e-01 4.285184582549637217e-02
5.033884933556558281e+03 9.594746277879806495e-01 3.503171425244727688e-02
5.038918818490116792e+03 9.191707667305529794e-01 2.904649592812173081e-02
5.043957737308608557e+03 8.797357145093087638e-01 2.463473075094133047e-02
5.049001695045918495e+03 8.474550796866984204e-01 2.226469176446215295e-02
5.054050696740966487e+03 8.168568203871248157e-01 1.983269376313585505e-02
5.059104747437709193e+03 7.875171574844812561e-01 1.813336293773679803e-02
5.064163852185148244e+03 7.746588063747847919e-01 1.777334277124896500e-02
5.069228016037335692e+03 7.592111232345726268e-01 1.685991464936803519e-02
5.074297244053374015e+03 7.436759210499723771e-01 1.606953173046565125e-02
5.079371541297429758e+03 7.343156818579195111e-01 1.551842670936254623e-02
5.084450912838728073e+03 7.308222689216680168e-01 1.522467114589861129e-02
5.089535363751569093e+03 7.350977054311137460e-01 1.521728545665880505e-02
5.094624899115322478e+03 7.449446383419427997e-01 1.454518460765989035e-02
5.099719524014439230e+03 7.545918133209231771e-01 1.417885280817343142e-02
5.104819243538455339e+03 7.647215602968189252e-01 1.405573186087571980e-02
5.109924062781995417e+03 7.660924960114969817e-01 1.235804190582886174e-02
5.115033986844779065e+03 7.775040552914195269e-01 1.218356341965866861e-02
5.120149020831625421e+03 7.954737789222665612e-01 1.255930142633795814e-02
5.125269169852458617e+03 8.053165023852126847e-01 1.276590059154937389e-02
5.130394439022313236e+03 8.202853389368771619e-01 1.260780109320657968e-02
5.135524833461337039e+03 8.305346583770661928e-01 1.257391351106400268e-02
5.140660358294800062e+03 8.427100321021059326e-01 1.258810440626285769e-02
5.145801018653096435e+03 8.505015666630482141e-01 1.266757390143481536e-02
5.150946819671751655e+03 8.594649310602381354e-01 1.265917444143281091e-02
5.156097766491425318e+03 8.665376613921823568e-01 1.244356435168688171e-02
5.161253864257918394e+03 8.726444258370719131e-01 1.268334109977859066e-02
5.166415118122177773e+03 8.692427962574990064e-01 1.286319980039754216e-02
5.171581533240301724e+03 8.667126907606702568e-01 1.266877023288625996e-02
5.176753114773543530e+03 8.698938570330672082e-01 1.307402821622458480e-02
5.181929867888318768e+03 8.666548817090429235e-01 1.315871474498371378e-02
5.187111797756208944e+03 8.600343360161840645e-01 1.344588007614351197e-02
5.192298909553966951e+03 8.566947505852403610e-01 1.330796054298319896e-02
5.197491208463522526e+03 8.465846550361745271e-01 1.322024504489996248e-02
5.202688699671987706e+03 8.315778959873225684e-01 1.326371962180158785e-02
5.207891388371661378e+03 8.280726091511024789e-01 1.334963189506993726e-02
5.213099279760034733e+03 8.239998217988961926e-01 1.361367629585838457e-02
5.218312379039796724e+03 8.258067915289872829e-01 1.357936801139689870e-02
5.223530691418837705e+03 8.379724838575556278e-01 1.374497581536282542e-02
5.228754222110258524e+03 8.408139494889157461e-01 1.382899738875556679e-02
5.233982976332370527e+03 8.469028977548764825e-01 1.372681649928466502e-02
5.239216959308704645e+03 8.582504252974483272e-01 1.381817517194375809e-02
5.244456176268015042e+03 8.766172006334549405e-01 1.384139374323189314e-02
5.249700632444284565e+03 8.911236868276403156e-01 1.398132658283641680e-02
5.254950333076731113e+03 9.078532895687866366e-01 1.473754964142975042e-02
5.260205283409809454e+03 9.256251895393817763e-01 1.458447821357872036e-02
5.265465488693221232e+03 9.440393461734953862e-01 1.446827565269813778e-02
5.270730954181915877e+03 9.637327534578050692e-01 1.409705203372219572e-02
5.276001685136099695e+03 9.698926948027456474e-01 1.410026563464199072e-02
5.281277686821237694e+03 9.740819701964655852e-01 1.406247995313399980e-02
5.286558964508059944e+03 9.870132818255250573e-01 1.406638610065208926e-02
5.291845523472569766e+03 9.935917841936202644e-01 1.443917560484365113e-02
5.297137368996044643e+03 9.989566856365091896e-01 1.386343297809545724e-02
5.302434506365042580e+03 1.009677333061365978e+00 1.366576050862399611e-02
5.307736940871409388e+03 1.024487244246336637e+00 1.369334657800079860e-02
5.313044677812282316e+03 1.047050670262569705e+00 1.308714029869254870e-02
5.318357722490096421e+03 1.055273257754514749e+00 1.320305131842604979e-02
5.323676080212588204e+03 1.069899532647361928e+00 1.306384652434842975e-02
5.328999756292802886e+03 1.080103972568168702e+00 1.311278601595932888e-02
5.334328756049097137e+03 1.086140820799403883e+00 1.325130146828764829e-02
5.339663084805148173e+03 1.091871617937114181e+00 1.313114627473179960e-02
5.345002747889954662e+03 1.103303881621408689e+00 1.283476501513619410e-02
5.350347750637846730e+03 1.106367158757457947e+00 1.206147168188196825e-02
5.355698098388485960e+03 1.112475447947839813e+00 1.227024550875083046e-02
5.361053796486876308e+03 1.105867296484220885e+00 1.233146011731729545e-02
5.366414850283365013e+03 1.104946260384079615e+00 1.209050460644799443e-02
5.371781265133649867e+03 1.110235739679724221e+00 1.117592913883194185e-02
5.377153046398785591e+03 1.113802737334867343e+00 1.072025869158777477e-02
5.382530199445186554e+03 1.124357159421324415e+00 1.027903762066471362e-02
5.387912729644633146e+03 1.140092127676140654e+00 1.027776508952793141e-02
5.393300642374279960e+03 1.148136390506475646e+00 1.094471534036989095e-02
5.398693943016655794e+03 1.150933438692379740e+00 1.112855512709801618e-02
5.404092636959673655e+03 1.142346011343382983e+00 1.094400325138041898e-02
5.409496729596635305e+03 1.133624028998434508e+00 1.081878412218702755e-02
5.414906226326233991e+03 1.119146564799748944e+00 1.060072311921479368e-02
5.420321132552561721e+03 1.100209474904732643e+00 1.123361449131458391e-02
5.425741453685116539e+03 1.088263568512544577e+00 1.116161475849166036e-02
5.431167195138803436e+03 1.065901982036166151e+00 1.144052878835660758e-02
5.436598362333943442e+03 1.056615478324804069e+00 1.134058885877500117e-02
5.442034960696279086e+03 1.053553573910481322e+00 1.088171316812108422e-02
5.447476995656978033e+03 1.060569229394610069e+00 1.116091732354741739e-02
5.452924472652636723e+03 1.073220665225067760e+00 1.154845807478195423e-02
5.458377397125291282e+03 1.093559734724605770e+00 1.074899624739884645e-02
5.463835774522417523e+03 1.120438400763660525e+00 1.007321241259595719e-02
5.469299610296941864e+03 1.138331571100470008e+00 1.001886169780636347e-02
5.474768909907241323e+03 1.151911849345958139e+00 1.065099385935413395e-02
5.480243678817149885e+03 1.171497098026943906e+00 1.038503808086660603e-02
5.485723922495968509e+03 1.185197490247501095e+00 9.844081849300292605e-03
5.491209646418466946e+03 1.198995666444928387e+00 9.899233266120280664e-03
5.496700856064887375e+03 1.214188324137770447e+00 1.026064861135311812e-02
5.502197556920953502e+03 1.222587140329728594e+00 9.576614974173029357e-03
5.507699754477876013e+03 1.225519690874372403e+00 9.651984287845487634e-03
5.513207454232356213e+03 1.233654816286271494e+00 9.634957053398411977e-03
5.518720661686590574e+03 1.242585612981668586e+00 9.843872316047809490e-03
5.524239382348278923e+03 1.248137798698676137e+00 1.009523289269742899e-02
5.529763621730628984e+03 1.253140011714373170e+00 9.694276273099581079e-03
5.535293385352360929e+03 1.246199741878478706e+00 9.128913764007118639e-03
5.540828678737715563e+03 1.232155003540881033e+00 9.010468743190211405e-03
5.546369507416455235e+03 1.220049385048310286e+00 9.016416997286173102e-03
5.551915876923872929e+03 1.206182185831317533e+00 9.594641832155494793e-03
5.557467792800798634e+03 1.193583684498560116e+00 9.674714144814695882e-03
5.563025260593602070e+03 1.173473875431491953e+00 1.004998626425955034e-02
