# starting wavelength: 3672.300
# ending wavelength: 7424.560
# wav flux eflux
3.674251482451905758e+03 1.338176997774267685e+00 2.809965130692599899e-01
3.677925733934358959e+03 1.359404808329851999e+00 2.052647044379921348e-01
3.681603659668294313e+03 1.360467263492549872e+00 1.532750783766378688e-01
3.685285263327964003e+03 1.343584057067104265e+00 1.164447234895749222e-01
3.688970548591293209e+03 1.312131202383456374e+00 9.001387427033442912e-02
3.692659519139885560e+03 1.261001458697057265e+00 7.549099773662663881e-02
3.696352178659026777e+03 1.223005775163093389e+00 6.112990238678353561e-02
3.700048530837686940e+03 1.179775613763512698e+00 5.019555552866328957e-02
3.703748579368525952e+03 1.133746584732716833e+00 4.234554284422459985e-02
3.707452327947895355e+03 1.090779880934530377e+00 3.676083398293704396e-02
3.711159780275844696e+03 1.036546452118546124e+00 3.289985801075266669e-02
3.714870940056121526e+03 9.924096310603718329e-01 2.995241281562401395e-02
3.718585810996179134e+03 9.364936219749113722e-01 2.775849352516223181e-02
3.722304396807176545e+03 8.793006256009376909e-01 2.635654297812578192e-02
3.726026701203984885e+03 8.323078102382133192e-01 2.474636674128459501e-02
3.729752727905190113e+03 7.921736797388208018e-01 2.360496006657345630e-02
3.733482480633096657e+03 7.584745279880487079e-01 2.285630633869725065e-02
3.737215963113731050e+03 7.259452916350825902e-01 2.220111502013437724e-02
3.740953179076846027e+03 6.941018594016423737e-01 2.167247460214395682e-02
3.744694132255923705e+03 6.749333940197336235e-01 2.270565454646444534e-02
3.748438826388181042e+03 6.519677473304649196e-01 2.273471765595505220e-02
3.752187265214570289e+03 6.396305943532455407e-01 2.105982056359122917e-02
3.755939452479786269e+03 6.250183698746106797e-01 2.075195960786626465e-02
3.759695391932267285e+03 6.229665280272058681e-01 1.865915627965502102e-02
3.763455087324201031e+03 6.146257298257450374e-01 1.856548431936660276e-02
3.767218542411526414e+03 6.019962807663599147e-01 1.815208317506761260e-02
3.770985760953939007e+03 5.962677390891826246e-01 1.832229845511869001e-02
3.774756746714894234e+03 5.929778032790832265e-01 1.817493850773947012e-02
3.778531503461610555e+03 5.947812332886704967e-01 1.824907288087544710e-02
3.782310034965073100e+03 5.973404953602909906e-01 1.826146549298870297e-02
3.786092345000039586e+03 6.128497445101497298e-01 1.810419889379773911e-02
3.789878437345040766e+03 6.227921199449423240e-01 1.819656245690287957e-02
