# starting wavelength: 3672.300
# ending wavelength: 7443.810
# wav flux eflux
3.674251482451905758e+03 8.941711525887015011e-01 3.155354532337574236e-01
3.677925733934358959e+03 8.896831532642541784e-01 2.356789293127659612e-01
3.681603659668294313e+03 9.020017999373315387e-01 1.780302801100809296e-01
3.685285263327964003e+03 9.292952081440173373e-01 1.429827825278448539e-01
3.688970548591293209e+03 9.310951091850682149e-01 1.111260891799617512e-01
3.692659519139885560e+03 9.227299715127450508e-01 8.812691242142371706e-02
3.696352178659026777e+03 9.022399382273054158e-01 7.120490398721580905e-02
3.700048530837686940e+03 8.683484570603027253e-01 6.001904582571310209e-02
3.703748579368525952e+03 8.248764400196011426e-01 5.060234570828026079e-02
3.707452327947895355e+03 7.758586715622877161e-01 4.329366441575104030e-02
3.711159780275844696e+03 7.290621234808349893e-01 3.786411326385242387e-02
3.714870940056121526e+03 6.863551055613916763e-01 3.422056193492232362e-02
3.718585810996179134e+03 6.461244561443707513e-01 3.135284501164732618e-02
3.722304396807176545e+03 6.106715275578860069e-01 2.944025421357011202e-02
3.726026701203984885e+03 5.830058900670703759e-01 2.822822335491202705e-02
3.729752727905190113e+03 5.499732754842017179e-01 2.696450257779471268e-02
3.733482480633096657e+03 5.059918490021707571e-01 2.658996524140400108e-02
3.737215963113731050e+03 4.816901201350354267e-01 2.619517124705252401e-02
3.740953179076846027e+03 4.461180617207890498e-01 2.474541430886935400e-02
3.744694132255923705e+03 4.296771081402598891e-01 2.493606100632818345e-02
3.748438826388181042e+03 4.142809854982917317e-01 2.484533030467568279e-02
3.752187265214570289e+03 3.979752393877782346e-01 2.496944577141650690e-02
3.755939452479786269e+03 4.010654773355144531e-01 2.327371410717930800e-02
3.759695391932267285e+03 3.971702410360982705e-01 2.272106787253526730e-02
3.763455087324201031e+03 3.972527832183444518e-01 2.176510356355758000e-02
3.767218542411526414e+03 3.879138591367575772e-01 2.103947646471942406e-02
3.770985760953939007e+03 3.887384321808675658e-01 2.122729968776902731e-02
3.774756746714894234e+03 3.926874784656133044e-01 2.078673860936805506e-02
3.778531503461610555e+03 3.953409599875846170e-01 2.049365817527591324e-02
3.782310034965073100e+03 3.948496721260122411e-01 2.013764244464407924e-02
3.786092345000039586e+03 3.930073213113244313e-01 1.986513137283759528e-02
3.789878437345040766e+03 3.891082152871814803e-01 2.074700300855862253e-02
3.793668315782387253e+03 3.841406789371820119e-01 2.050661844954238672e-02
3.797461984098170888e+03 3.804060773326229383e-01 1.952257968585892692e-02
3.801259446082270188e+03 4.001619691887071117e-01 1.959115764252637379e-02
3.805060705528353537e+03 4.233800867985321181e-01 1.933500976240281125e-02
3.808865766233883278e+03 4.351796057751667890e-01 1.996980158760055385e-02
3.812674632000118436e+03 4.568379272230637111e-01 1.900658966456986523e-02
3.816487306632119726e+03 4.706782170230991436e-01 1.904183293658730236e-02
3.820303793938753188e+03 4.938793346063638512e-01 1.864597146064532474e-02
3.824124097732693372e+03 5.165690477838460470e-01 1.873079581100259641e-02
3.827948221830427428e+03 5.304989713857279909e-01 1.879103110757537193e-02
3.831776170052258749e+03 5.623144597567178993e-01 1.927590079145347080e-02
3.835607946222312421e+03 5.912800408996909951e-01 1.981936789236042953e-02
3.839443554168536139e+03 6.183444766917646218e-01 2.001111723619948546e-02
3.843282997722705659e+03 6.576327826615104843e-01 2.013535674474687537e-02
3.847126280720429804e+03 6.877681410411399243e-01 2.041521120628581043e-02
3.850973407001151372e+03 7.202599725677467646e-01 2.012932777927961894e-02
3.854824380408153957e+03 7.497459058242154084e-01 2.015656466486924828e-02
3.858679204788563311e+03 7.675168409102490763e-01 2.055956085318350057e-02
3.862537883993353262e+03 7.966780391173673426e-01 2.013143383453331811e-02
3.866400421877347981e+03 8.415683678556920011e-01 2.044468408048777386e-02
3.870266822299226533e+03 8.912394126319050924e-01 2.097057637977736699e-02
3.874137089121526969e+03 9.273277338917685908e-01 2.063859105329912680e-02
3.878011226210649966e+03 9.639806579875785930e-01 2.026884565851804973e-02
3.881889237436861549e+03 1.005077388862599008e+00 2.047948481171034396e-02
3.885771126674299921e+03 1.062025496278282022e+00 2.204071829894944934e-02
3.889656897800975457e+03 1.113265263857677878e+00 2.228358031651070381e-02
3.893546554698777527e+03 1.148034099495147453e+00 2.334183693429641923e-02
3.897440101253477678e+03 1.190371904109178480e+00 2.359182008922779822e-02
3.901337541354732366e+03 1.223593474986109486e+00 2.386655500273240568e-02
3.905238878896088409e+03 1.252338845492178221e+00 2.310468074920047840e-02
3.909144117774985716e+03 1.296633189028511213e+00 2.340211714023386277e-02
3.913053261892762293e+03 1.347221488849746462e+00 2.403081584424300240e-02
3.916966315154656058e+03 1.378696553322750873e+00 2.451307465627046087e-02
3.920883281469812118e+03 1.410099517175293693e+00 2.462147324198364629e-02
3.924804164751283224e+03 1.433344503843565265e+00 2.451919200596590701e-02
3.928728968916035683e+03 1.453022020222492161e+00 2.398520380178937456e-02
3.932657697884953450e+03 1.466125671223699634e+00 2.400924095249376902e-02
3.936590355582839493e+03 1.477975176562655646e+00 2.339132770095465538e-02
3.940526945938423523e+03 1.508365004935581677e+00 2.253333262513816659e-02
3.944467472884363360e+03 1.524724874767387828e+00 2.276357211291387544e-02
3.948411940357249023e+03 1.537066417153216014e+00 2.267201194282819632e-02
3.952360352297607733e+03 1.553789899776211847e+00 2.279243411610889711e-02
3.956312712649906643e+03 1.566252362649951158e+00 2.260694288712056590e-02
3.960269025362557841e+03 1.562806452232490706e+00 2.188477227213728171e-02
3.964229294387921527e+03 1.564703681102759480e+00 2.160991028765108304e-02
3.968193523682310570e+03 1.589274810909007796e+00 2.288233654527628558e-02
3.972161717205994591e+03 1.591582796781369602e+00 2.285210911319218025e-02
3.976133878923201792e+03 1.594135893934310877e+00 2.302895281558729051e-02
3.980110012802126221e+03 1.579853286405230817e+00 2.366436462423821691e-02
3.984090122814929600e+03 1.577350726888980370e+00 2.151183663569491630e-02
3.988074212937745870e+03 1.565357557062944549e+00 2.111521490583406074e-02
3.992062287150684824e+03 1.540529240579395553e+00 1.915700974045062011e-02
3.996054349437837118e+03 1.509982494312622547e+00 1.940213651373687981e-02
4.000050403787276082e+03 1.469975976407132512e+00 1.853029545744471276e-02
4.004050454191064546e+03 1.441306319681249670e+00 1.854628542774980349e-02
4.008054504645257111e+03 1.415133156520386182e+00 1.866633953201272955e-02
4.012062559149903791e+03 1.392123242722326681e+00 1.779288995997076878e-02
4.016074621709055009e+03 1.368902420980905532e+00 1.761314038571647894e-02
4.020090696330765240e+03 1.348019623900438502e+00 1.754866088068368982e-02
4.024110787027097558e+03 1.328114860646935069e+00 1.792609683401846787e-02
4.028134897814125907e+03 1.309710282984998475e+00 1.813954557573441845e-02
4.032163032711941469e+03 1.297972244963813804e+00 1.824977792998512191e-02
4.036195195744654484e+03 1.271791087292389211e+00 1.847121006257052347e-02
4.040231390940400615e+03 1.262570160921399953e+00 1.873705910309191036e-02
4.044271622331342314e+03 1.236862365769704208e+00 1.899254015670474166e-02
4.048315893953675186e+03 1.204935730575015462e+00 1.949386705133289086e-02
4.052364209847629809e+03 1.175765398112874172e+00 1.812971379544180139e-02
4.056416574057479011e+03 1.130288364762786824e+00 1.958820085407396785e-02
4.060472990631537868e+03 1.102933890985897891e+00 1.914387211518443765e-02
4.064533463622170530e+03 1.058052802097428247e+00 1.782557971334554694e-02
4.068597997085794304e+03 1.038269604550791980e+00 1.876183760353081556e-02
4.072666595082881486e+03 1.013977250782535311e+00 1.874917573484079572e-02
4.076739261677965715e+03 1.002085032760527517e+00 1.853323264422238048e-02
4.080816000939644709e+03 9.867191935687059656e-01 1.841461903735537586e-02
4.084896816940585722e+03 9.794229490178627540e-01 1.865718002566458741e-02
4.088981713757527814e+03 9.676034076840559495e-01 1.829706145890195451e-02
4.093070695471286854e+03 9.699061010281218032e-01 1.687763773370824436e-02
4.097163766166759160e+03 9.636141553195145537e-01 1.671080864714732245e-02
4.101260929932927866e+03 9.489451219698884499e-01 1.655060093206408081e-02
4.105362190862862008e+03 9.403215971433273035e-01 1.640805863370818629e-02
