# starting wavelength: 3666.500
# ending wavelength: 8902.120
# wav flux eflux
3.666913987562790226e+03 2.810397435434346836e+00 6.584490356556805812e-01
3.670580901550354156e+03 2.521575612461993909e+00 4.710181927904655841e-01
3.674251482451905758e+03 2.296826944837191853e+00 3.454440914206776125e-01
3.677925733934358959e+03 2.110880355838377298e+00 2.593307080388566055e-01
3.681603659668294313e+03 1.957675652132149446e+00 1.993259802657091628e-01
3.685285263327964003e+03 1.831757801705105493e+00 1.565717645926286983e-01
3.688970548591293209e+03 1.729656377556424651e+00 1.256371963264739655e-01
3.692659519139885560e+03 1.642995605850410046e+00 1.079712902979555328e-01
3.696352178659026777e+03 1.575570330110392714e+00 8.857257414676283913e-02
3.700048530837686940e+03 1.517434216559576665e+00 7.569171220975723369e-02
3.703748579368525952e+03 1.445773211149004034e+00 6.938628606472049820e-02
3.707452327947895355e+03 1.359203137982701870e+00 6.825709907292100420e-02
3.711159780275844696e+03 1.273888879056924051e+00 6.465722249760195994e-02
3.714870940056121526e+03 1.202980917085781476e+00 5.962710358426328433e-02
3.718585810996179134e+03 1.125659284775855751e+00 5.627170161867207920e-02
3.722304396807176545e+03 1.030079074336220035e+00 5.837697059488991536e-02
3.726026701203984885e+03 9.528724433157529372e-01 5.667958358734351276e-02
3.729752727905190113e+03 9.010918205365555655e-01 5.490320445233060759e-02
3.733482480633096657e+03 8.428106406048501142e-01 5.457272999960585680e-02
3.737215963113731050e+03 7.887588928973392477e-01 5.438460137491100271e-02
3.740953179076846027e+03 7.210846429207351527e-01 5.303000400357531230e-02
3.744694132255923705e+03 6.490076441012453401e-01 4.925621997555551523e-02
3.748438826388181042e+03 5.776444853494961951e-01 4.088228709031758307e-02
3.752187265214570289e+03 5.285045003892883120e-01 3.936344197259432354e-02
3.755939452479786269e+03 5.106393573657574958e-01 3.772800770452922753e-02
3.759695391932267285e+03 4.981092641293131118e-01 3.550947806726371947e-02
3.763455087324201031e+03 4.785701461076974361e-01 3.539380718607277460e-02
3.767218542411526414e+03 4.843070014767106857e-01 3.626442247288061416e-02
3.770985760953939007e+03 4.955127940825924115e-01 3.882945599302044248e-02
3.774756746714894234e+03 4.950160502900846082e-01 3.993542247804027917e-02
3.778531503461610555e+03 4.956481095056429198e-01 4.010698376117892427e-02
3.782310034965073100e+03 4.980962783978918340e-01 4.118784119588968923e-02
3.786092345000039586e+03 5.048680672944766412e-01 4.323091073440658155e-02
3.789878437345040766e+03 5.347481017921530411e-01 4.274143308415642717e-02
3.793668315782387253e+03 5.725587492082666596e-01 4.348450394121074897e-02
3.797461984098170888e+03 6.016947354805721737e-01 4.346927623787892603e-02
3.801259446082270188e+03 6.256803245006740122e-01 4.382261295083066110e-02
3.805060705528353537e+03 6.424947036922388222e-01 4.289045983275666801e-02
3.808865766233883278e+03 6.734340795659128354e-01 4.240178051347304189e-02
3.812674632000118436e+03 7.094657632263885461e-01 4.268381218131156452e-02
3.816487306632119726e+03 7.369920538692531498e-01 4.260550719642414857e-02
3.820303793938753188e+03 7.749331880494934044e-01 4.399594456437259243e-02
