# starting wavelength: 3694.080
# ending wavelength: 7349.990
# wav flux eflux
3.696352178659026777e+03 5.433549579238685645e-01 4.172286298834841922e-01
3.700048530837686940e+03 5.952303190073919836e-01 3.059721172545742940e-01
3.703748579368525952e+03 6.599901415182853892e-01 2.302640492230386693e-01
3.707452327947895355e+03 7.379854981362024002e-01 1.819175758794144282e-01
3.711159780275844696e+03 7.733981471742861213e-01 1.413913476384616730e-01
3.714870940056121526e+03 7.911628366682412761e-01 1.121528081260243087e-01
3.718585810996179134e+03 7.910881732533981969e-01 9.062104445988192203e-02
3.722304396807176545e+03 7.791601409851325322e-01 7.455255579628924933e-02
3.726026701203984885e+03 7.537229110707139856e-01 6.293200840684114172e-02
3.729752727905190113e+03 7.225381740836791522e-01 5.427930608353382508e-02
3.733482480633096657e+03 6.886332896361473388e-01 4.747556918584087959e-02
3.737215963113731050e+03 6.666033719805911639e-01 4.317420326227688204e-02
3.740953179076846027e+03 6.562463611851109269e-01 4.057265728025490070e-02
3.744694132255923705e+03 6.477128086138825847e-01 3.885207849551509246e-02
3.748438826388181042e+03 6.295072086438424641e-01 3.672092740639792963e-02
3.752187265214570289e+03 6.184776456274923007e-01 3.510286532575477431e-02
3.755939452479786269e+03 6.061391180874701190e-01 3.411221875607251680e-02
3.759695391932267285e+03 5.900305537696647340e-01 3.299382939002059451e-02
3.763455087324201031e+03 5.719415284525216636e-01 3.240467531305986360e-02
3.767218542411526414e+03 5.513116358433476361e-01 3.183794830300440415e-02
3.770985760953939007e+03 5.404053560833820269e-01 3.114391983150705326e-02
3.774756746714894234e+03 5.488293530069741077e-01 2.903986439105772643e-02
3.778531503461610555e+03 5.453915817599074289e-01 2.955969768140885925e-02
3.782310034965073100e+03 5.384343162893013846e-01 2.876072663544350719e-02
3.786092345000039586e+03 5.392206542583490858e-01 2.643844262354459740e-02
3.789878437345040766e+03 5.269684888294066116e-01 2.830979841094819274e-02
3.793668315782387253e+03 5.009388922568208669e-01 2.770370664433562807e-02
3.797461984098170888e+03 4.817010960648216988e-01 2.686413956078820622e-02
3.801259446082270188e+03 4.763770477066411324e-01 2.666811272163056162e-02
3.805060705528353537e+03 4.522875250300706362e-01 2.645165394900138647e-02
3.808865766233883278e+03 4.381229992569903309e-01 2.512068442916579394e-02
3.812674632000118436e+03 4.358329173888366714e-01 2.442984851279805456e-02
3.816487306632119726e+03 4.455342085967229360e-01 2.483662569758659719e-02
3.820303793938753188e+03 4.523571904817990097e-01 2.504095309771767544e-02
3.824124097732693372e+03 4.732864465987364211e-01 2.513538413333032615e-02
3.827948221830427428e+03 4.916600685167840101e-01 2.549677607737359589e-02
3.831776170052258749e+03 5.069566277858175152e-01 2.480038005875187523e-02
3.835607946222312421e+03 5.307279455708733273e-01 2.426732922854621041e-02
3.839443554168536139e+03 5.514113355140352057e-01 2.419921840233837940e-02
3.843282997722705659e+03 5.835329415299657096e-01 2.361868449354189575e-02
3.847126280720429804e+03 6.003387848772913093e-01 2.426775908812962151e-02
3.850973407001151372e+03 6.123642569486528187e-01 2.413998240290862393e-02
3.854824380408153957e+03 6.235180717767954128e-01 2.412696376653768182e-02
3.858679204788563311e+03 6.261504237704133002e-01 2.366870745286746985e-02
3.862537883993353262e+03 6.321407357910217018e-01 2.397720865908241697e-02
3.866400421877347981e+03 6.419819971795266422e-01 2.393808632955865198e-02
3.870266822299226533e+03 6.640084822434845213e-01 2.555592425206342638e-02
3.874137089121526969e+03 6.537921256533664183e-01 2.614718363197596554e-02
3.878011226210649966e+03 6.511435198333502816e-01 2.652735344640640494e-02
3.881889237436861549e+03 6.515476697089153113e-01 2.673035602957163359e-02
3.885771126674299921e+03 6.448279775034126970e-01 2.677549482004343284e-02
3.889656897800975457e+03 6.367836443145674652e-01 2.653797286255367080e-02
3.893546554698777527e+03 6.346429704987878173e-01 2.667956183049920854e-02
3.897440101253477678e+03 6.395366798482799986e-01 2.575028626465036136e-02
3.901337541354732366e+03 6.418217437014506199e-01 2.559503034083680101e-02
3.905238878896088409e+03 6.324991388505722956e-01 2.552779439475822906e-02
3.909144117774985716e+03 6.263592691716448613e-01 2.423005047666304881e-02
3.913053261892762293e+03 6.431893165685569347e-01 2.445813512250384972e-02
3.916966315154656058e+03 6.639920221406904188e-01 2.485760034416014883e-02
3.920883281469812118e+03 6.754946116765558894e-01 2.489826510452437802e-02
3.924804164751283224e+03 7.087412576104158424e-01 2.457759420142366716e-02
3.928728968916035683e+03 7.284623403116322615e-01 2.433416089519735773e-02
3.932657697884953450e+03 7.312437773938733621e-01 2.400044900534408637e-02
3.936590355582839493e+03 7.564642605503275608e-01 2.242952104924495968e-02
3.940526945938423523e+03 7.489561459585188929e-01 2.544126119166413222e-02
3.944467472884363360e+03 7.506665978605941980e-01 2.548185559187821428e-02
3.948411940357249023e+03 7.554728915447977977e-01 2.613957188606267842e-02
3.952360352297607733e+03 7.726304994672376081e-01 2.679331113800531572e-02
3.956312712649906643e+03 7.602213287224649507e-01 2.666423223669130149e-02
3.960269025362557841e+03 7.688746684837776124e-01 2.716412008998944638e-02
3.964229294387921527e+03 7.791217978410555078e-01 2.785878102915742907e-02
3.968193523682310570e+03 7.760421232084131482e-01 2.782057409159750111e-02
3.972161717205994591e+03 7.993011351928424046e-01 2.841676710199341968e-02
3.976133878923201792e+03 8.196214257207737885e-01 2.692911964539529412e-02
3.980110012802126221e+03 8.325926073671265915e-01 2.637009411017514349e-02
3.984090122814929600e+03 8.675390262727263879e-01 2.466089285255108204e-02
3.988074212937745870e+03 8.946925830372104427e-01 2.367438260859993163e-02
3.992062287150684824e+03 8.978402622772234665e-01 2.420424974290068948e-02
3.996054349437837118e+03 9.032354950242391656e-01 2.424834250388591475e-02
4.000050403787276082e+03 9.000736605579611194e-01 2.454802303059116717e-02
4.004050454191064546e+03 8.798597556112141005e-01 2.382344089975993798e-02
4.008054504645257111e+03 8.614924697014453292e-01 2.411449767154983520e-02
4.012062559149903791e+03 8.512675713266207866e-01 2.406947879846703039e-02
4.016074621709055009e+03 8.449035759340745022e-01 2.440223820149566708e-02
4.020090696330765240e+03 8.441378276963056315e-01 2.414198241355967195e-02
4.024110787027097558e+03 8.375234642343525326e-01 2.437458509017432703e-02
4.028134897814125907e+03 8.407222834321991245e-01 2.474990302447378429e-02
4.032163032711941469e+03 8.074478226032446582e-01 2.367137607952555026e-02
4.036195195744654484e+03 8.020737644969451186e-01 2.402074892339055301e-02
4.040231390940400615e+03 7.874640017950290671e-01 2.474879213677376108e-02
4.044271622331342314e+03 7.838463539466983265e-01 2.311062890958028720e-02
4.048315893953675186e+03 7.623204634391008705e-01 2.225252355372730681e-02
4.052364209847629809e+03 7.615168935715249665e-01 2.110564315839025262e-02
4.056416574057479011e+03 7.284138814169158760e-01 1.929213416203062054e-02
4.060472990631537868e+03 7.136051543313662870e-01 1.892740046028697914e-02
4.064533463622170530e+03 6.949359828200868394e-01 1.848853767618404559e-02
4.068597997085794304e+03 6.855433374046373540e-01 1.868062945690175669e-02
4.072666595082881486e+03 6.825681200076522126e-01 1.980948030633037857e-02
4.076739261677965715e+03 6.586512723701944960e-01 1.956549312872595328e-02
4.080816000939644709e+03 6.432097111599623940e-01 1.939847626412578852e-02
4.084896816940585722e+03 6.189416026669072313e-01 1.988448049178275293e-02
4.088981713757527814e+03 5.998952195164048984e-01 1.907028925197827920e-02
4.093070695471286854e+03 5.909283872421153827e-01 1.805751286052091620e-02
4.097163766166759160e+03 5.729351447380728324e-01 1.760920270896781589e-02
4.101260929932927866e+03 5.739625946071804652e-01 1.798110625742624022e-02
4.105362190862862008e+03 5.785509412480295266e-01 1.774021075044693654e-02
4.109467553053726078e+03 5.876039243560915448e-01 1.701062083494361832e-02
4.113577020606780934e+03 5.907117527480444386e-01 1.663706251325109894e-02
4.117690597627389252e+03 5.970750436398937211e-01 1.598813032048610611e-02
4.121808288225018259e+03 5.843703584933482853e-01 1.598827950117272245e-02
4.125930096513244280e+03 5.828695491052613420e-01 1.499523983815820652e-02
4.130056026609759101e+03 5.729297560810967527e-01 1.492216963534553215e-02
4.134186082636369974e+03 5.577932919021963976e-01 1.571023521374054904e-02
4.138320268719007800e+03 5.361736898565131471e-01 1.415728659951221921e-02
4.142458588987728035e+03 5.147933266873145897e-01 1.336525631050380220e-02
4.146601047576717065e+03 4.985110864839479849e-01 1.356615828371420321e-02
4.150747648624294925e+03 5.039187894376908616e-01 1.306916329169808925e-02
4.154898396272920763e+03 4.987751725094758948e-01 1.281328264953452561e-02
4.159053294669195566e+03 5.033901873450699060e-01 1.284646985110430260e-02
4.163212347963865795e+03 5.096570898338698141e-01 1.253752369109978684e-02
4.167375560311830668e+03 5.121301351696081472e-01 1.219251722982608518e-02
4.171542935872143971e+03 5.150412215762504298e-01 1.184753218747072040e-02
4.175714478808017702e+03 5.015413173058446139e-01 1.309790696385226133e-02
4.179890193286827525e+03 5.024560404785812784e-01 1.289549744520196613e-02
4.184070083480115500e+03 5.083216252433099269e-01 1.256515494028238519e-02
4.188254153563597356e+03 5.247608723937935427e-01 1.417770965897931223e-02
4.192442407717161586e+03 5.412691503299889018e-01 1.416317252854879145e-02
4.196634850124880359e+03 5.496257327643245816e-01 1.468443053023956238e-02
