# starting wavelength: 3646.340
# ending wavelength: 7341.590
# wav flux eflux
3.648634293249016537e+03 2.144044479143220050e-02 5.836084250539018692e-01
3.652282927542266862e+03 1.901733079782180758e-01 4.298191103980422145e-01
3.655935210469810499e+03 2.640958322166298000e-01 3.255513983135799871e-01
3.659591145680281443e+03 3.211808154350632161e-01 2.495772490772784902e-01
3.663250736825963031e+03 3.424424515139547487e-01 1.980791101216228534e-01
3.666913987562790226e+03 3.475310578305040310e-01 1.609960102426396533e-01
3.670580901550354156e+03 3.521574282443272752e-01 1.340089567408186133e-01
3.674251482451905758e+03 3.582660747602546270e-01 1.103587284261262208e-01
3.677925733934358959e+03 3.564477647185566589e-01 9.540477354665799492e-02
3.681603659668294313e+03 3.524098805338858331e-01 8.153576044800409095e-02
3.685285263327964003e+03 3.514244832994810053e-01 7.181116151091414268e-02
3.688970548591293209e+03 3.784728354147969265e-01 6.888538894318363415e-02
3.692659519139885560e+03 3.872281747794667495e-01 6.334323553228554671e-02
3.696352178659026777e+03 3.563288492491538673e-01 6.079196571281835632e-02
3.700048530837686940e+03 3.428486607703682965e-01 5.733499382437948211e-02
3.703748579368525952e+03 3.130447046497218944e-01 5.492261337740449167e-02
3.707452327947895355e+03 3.008208953570860600e-01 5.294019326862386965e-02
3.711159780275844696e+03 2.771076580532115807e-01 5.160619578837440102e-02
3.714870940056121526e+03 2.528681951925004223e-01 5.053467627917231086e-02
3.718585810996179134e+03 2.176980264950453270e-01 5.037409975145023394e-02
3.722304396807176545e+03 2.232727294419805941e-01 4.996776137957643221e-02
3.726026701203984885e+03 2.244475955721756399e-01 4.910551417613320119e-02
3.729752727905190113e+03 2.321218087944943442e-01 4.732235367065670828e-02
3.733482480633096657e+03 2.317811512398662011e-01 4.734695621970750473e-02
3.737215963113731050e+03 2.194969625845838990e-01 4.722368457227675564e-02
3.740953179076846027e+03 1.874707979743083508e-01 4.635792245629397068e-02
3.744694132255923705e+03 1.773181001937889911e-01 4.701031963553262139e-02
3.748438826388181042e+03 1.673291253134100431e-01 4.562026177858314463e-02
3.752187265214570289e+03 1.509194264756281711e-01 4.540270660874190511e-02
3.755939452479786269e+03 1.486901273554390723e-01 4.497287983067690953e-02
3.759695391932267285e+03 1.817025405264736937e-01 4.550780780326824787e-02
3.763455087324201031e+03 1.930570353007959039e-01 4.547247192566764712e-02
3.767218542411526414e+03 2.003789038867282712e-01 4.512861248150611820e-02
3.770985760953939007e+03 2.115426820040840206e-01 4.494498625683993748e-02
3.774756746714894234e+03 2.103080634219166023e-01 4.475566742704397555e-02
3.778531503461610555e+03 2.144887573514669410e-01 4.380303632553816245e-02
3.782310034965073100e+03 2.271856596524050864e-01 4.338793524586169459e-02
3.786092345000039586e+03 2.183358712364477927e-01 4.324196726560092935e-02
3.789878437345040766e+03 2.058831797253042051e-01 4.326799540987241038e-02
3.793668315782387253e+03 2.127588603413077262e-01 4.302203043893173401e-02
3.797461984098170888e+03 2.087532532259305240e-01 4.211354322081128226e-02
3.801259446082270188e+03 1.879662389007621948e-01 3.990262529778998424e-02
3.805060705528353537e+03 1.834891636157836015e-01 4.006321753082282139e-02
3.808865766233883278e+03 1.971835544399847540e-01 3.973548115901123085e-02
3.812674632000118436e+03 2.167782811140915866e-01 3.667022626698727278e-02
3.816487306632119726e+03 2.024276864292551270e-01 3.552006618512818653e-02
3.820303793938753188e+03 1.629756824977130480e-01 3.664943750833198066e-02
3.824124097732693372e+03 1.462844590709886650e-01 3.715548174910009854e-02
3.827948221830427428e+03 1.225912950116739009e-01 3.667759184209267581e-02
3.831776170052258749e+03 1.081579904944023895e-01 3.601318319762195769e-02
3.835607946222312421e+03 7.351533604194071536e-02 3.491341403472759258e-02
3.839443554168536139e+03 5.821169260042227678e-02 3.469213790741689646e-02
3.843282997722705659e+03 6.012024313539857112e-02 3.493182550652171314e-02
3.847126280720429804e+03 4.672975074992111177e-02 3.506490967728382452e-02
3.850973407001151372e+03 8.024034455389342235e-02 3.557774980368987733e-02
3.854824380408153957e+03 9.422075674590538186e-02 3.570799562431944268e-02
3.858679204788563311e+03 1.137188194635861682e-01 3.479769163213786848e-02
3.862537883993353262e+03 1.525403358334156412e-01 3.489173547037261597e-02
3.866400421877347981e+03 1.935032601950364417e-01 3.232438967993592899e-02
3.870266822299226533e+03 2.171378658271797268e-01 3.249799204901099303e-02
3.874137089121526969e+03 2.701012989068625192e-01 3.019248348437244406e-02
3.878011226210649966e+03 3.054265093173771373e-01 2.947536912433080039e-02
3.881889237436861549e+03 3.474939822553805291e-01 2.917413417092020941e-02
3.885771126674299921e+03 3.664831342944477877e-01 3.039227963951111888e-02
3.889656897800975457e+03 3.874850416208937554e-01 3.115849012153139308e-02
3.893546554698777527e+03 3.864062688221165387e-01 3.407214180197772752e-02
3.897440101253477678e+03 3.828837454200860746e-01 3.169701287595637351e-02
3.901337541354732366e+03 3.887699121532858793e-01 3.091421690233930875e-02
3.905238878896088409e+03 3.858525117649539982e-01 3.053665565487080971e-02
3.909144117774985716e+03 3.950432085348453692e-01 3.079408088804194699e-02
3.913053261892762293e+03 4.236588458508354083e-01 3.108674684698032806e-02
3.916966315154656058e+03 4.306239847795029219e-01 3.263542940313587937e-02
3.920883281469812118e+03 4.406978290966391820e-01 3.213488381565878654e-02
3.924804164751283224e+03 4.528298184548269489e-01 3.348467341883962917e-02
3.928728968916035683e+03 4.671943977024496930e-01 3.238422095321452643e-02
3.932657697884953450e+03 4.726263152797202105e-01 3.242479989640996429e-02
3.936590355582839493e+03 4.584420067594570103e-01 3.325235824977842286e-02
3.940526945938423523e+03 4.779406387035318726e-01 3.395022618780335621e-02
3.944467472884363360e+03 4.706920027830954756e-01 3.449592638245103232e-02
3.948411940357249023e+03 4.593093668731303425e-01 3.375193353579040989e-02
3.952360352297607733e+03 4.277474637109927591e-01 3.559096943824898579e-02
