# starting wavelength: 3417.300
# ending wavelength: 7288.920
# wav flux eflux
3.419127527782358356e+03 9.907657195580997778e-01 6.680952591665018092e-01
3.422546655310141887e+03 1.179118072575398468e+00 5.120558644388273351e-01
3.425969201965453522e+03 1.267940629800950125e+00 3.885625011059657408e-01
3.429395171167419903e+03 1.303737110576726810e+00 3.082571489859246006e-01
3.432824566338588284e+03 1.311665547909237173e+00 2.483922046372303849e-01
3.436257390904928343e+03 1.354581828958392853e+00 2.001941529367735062e-01
3.439693648295834464e+03 1.372489773823751147e+00 1.712007372998354260e-01
3.443133341944131189e+03 1.344875648266801171e+00 1.430845645594721882e-01
3.446576475286076402e+03 1.297488430771409185e+00 1.208606821284539529e-01
3.450023051761363604e+03 1.251921021761410735e+00 1.037127217132788048e-01
3.453473074813126004e+03 1.220996245860374252e+00 9.174220072357885947e-02
3.456926547887940615e+03 1.186594205702245830e+00 8.204814647380480330e-02
3.460383474435829612e+03 1.184927065227423970e+00 7.703420974550312383e-02
3.463843857910266706e+03 1.182653778820449197e+00 7.231354971177504642e-02
3.467307701768178049e+03 1.184991780105179249e+00 6.882701136098842709e-02
3.470775009469947236e+03 1.176294078560938150e+00 6.663533125258697121e-02
3.474245784479418489e+03 1.188169449313369208e+00 6.462352933117675169e-02
3.477720030263898934e+03 1.198122502299448833e+00 6.214388548284873609e-02
3.481197750294164052e+03 1.207389904928100277e+00 6.113189074969399561e-02
3.484678948044459503e+03 1.238649624866796861e+00 6.151583614703321629e-02
3.488163626992504760e+03 1.258223575503834013e+00 6.246107716612506883e-02
3.491651790619498570e+03 1.268456260218195464e+00 6.164285224748460024e-02
3.495143442410119405e+03 1.291276656887904828e+00 6.142127550053046170e-02
3.498638585852530468e+03 1.303288196931395415e+00 6.110672076120542834e-02
3.502137224438384237e+03 1.352762341069636998e+00 5.684509453706761140e-02
3.505639361662823831e+03 1.342972380262463350e+00 5.526565808785193629e-02
3.509145001024487556e+03 1.347828637915443828e+00 5.532180072308736513e-02
3.512654146025513455e+03 1.313574789391706688e+00 5.576912582106605815e-02
3.516166800171540217e+03 1.309241362554060206e+00 5.533773072316518216e-02
3.519682966971712631e+03 1.286912641357477183e+00 5.565973753010205333e-02
3.523202649938685681e+03 1.247461162203901130e+00 5.685037060958057081e-02
3.526725852588625457e+03 1.221017914509777036e+00 5.588598650579437721e-02
3.530252578441215064e+03 1.227389925173908436e+00 5.577513046375731642e-02
3.533782831019657806e+03 1.199530327477215996e+00 5.555674890167534158e-02
3.537316613850678550e+03 1.169188486314218789e+00 5.431519812791611029e-02
3.540853930464530094e+03 1.126338983519889814e+00 5.276683430769203015e-02
3.544394784394995895e+03 1.093254183092570830e+00 5.264169788849861614e-02
3.547939179179392340e+03 1.087280646910561810e+00 4.861394926156585583e-02
3.551487118358572843e+03 1.093020615649173743e+00 4.899844643403003519e-02
3.555038605476932389e+03 1.108907071589292803e+00 4.393172426848356710e-02
3.558593644082410719e+03 1.078602066611431765e+00 4.172096314705758813e-02
3.562152237726494150e+03 1.054285107480573913e+00 3.894432400205338068e-02
3.565714389964221937e+03 1.059044319285165292e+00 3.955144682707745912e-02
3.569280104354187188e+03 1.059764172524586989e+00 4.026765140685961003e-02
3.572849384458542772e+03 1.059007213556452998e+00 3.992090845979762159e-02
3.576422233843002232e+03 1.051411072732671315e+00 3.966563358761061170e-02
3.579998656076846601e+03 1.060036283721537798e+00 3.923872955474905916e-02
3.583578654732924406e+03 1.067228888686875266e+00 3.878577102853118103e-02
3.587162233387658489e+03 1.077048324618878450e+00 3.850521312308186062e-02
3.590749395621047370e+03 1.092513364986538837e+00 3.687029088567897461e-02
3.594340145016669794e+03 1.091899770895047306e+00 3.763260555348826863e-02
3.597934485161687462e+03 1.115260925567747918e+00 3.760774222486753388e-02
3.601532419646850485e+03 1.143298247442806392e+00 3.692710034218501386e-02
3.605133952066498296e+03 1.137503837719003430e+00 3.601932495373796200e-02
3.608739086018566013e+03 1.141986596471681548e+00 3.520690347961900196e-02
3.612347825104585809e+03 1.133371436031844315e+00 3.587667455065408906e-02
3.615960172929691907e+03 1.141075814193008187e+00 3.597964702675271464e-02
3.619576133102622407e+03 1.135024983674067345e+00 3.569014232877673609e-02
3.623195709235726554e+03 1.135701540522919384e+00 3.482268665255666695e-02
3.626818904944963379e+03 1.121328258946177270e+00 3.308352791686270528e-02
3.630445723849909427e+03 1.102783698510623633e+00 3.248242084040432742e-02
3.634076169573760581e+03 1.090029552350414654e+00 3.198259914336399473e-02
3.637710245743335690e+03 1.101734525482946703e+00 2.838943112698093241e-02
3.641347955989080219e+03 1.085942762521382443e+00 2.781331463998056724e-02
3.644989303945070333e+03 1.085816068646904275e+00 2.772052735535386614e-02
3.648634293249016537e+03 1.103494105573834316e+00 2.763185842867923667e-02
3.652282927542266862e+03 1.087942514885815948e+00 2.612410234406793361e-02
3.655935210469810499e+03 1.095730134841357950e+00 2.667730862665849967e-02
3.659591145680281443e+03 1.101775709054994445e+00 2.632166889003372673e-02
3.663250736825963031e+03 1.102797016563133559e+00 2.823511071439289977e-02
3.666913987562790226e+03 1.109176277839394764e+00 2.620843338974030573e-02
3.670580901550354156e+03 1.100277230733759604e+00 2.559715222109651064e-02
3.674251482451905758e+03 1.082347749331173281e+00 2.546285569751576688e-02
3.677925733934358959e+03 1.056322336098719283e+00 2.563518488023112940e-02
3.681603659668294313e+03 1.018439328815102352e+00 2.592140966386737022e-02
3.685285263327964003e+03 9.747712771789454056e-01 2.694626917446176981e-02
3.688970548591293209e+03 9.250317587652048257e-01 2.734536908236949795e-02
3.692659519139885560e+03 8.706782115249543930e-01 2.607447777833151945e-02
3.696352178659026777e+03 8.265336806945017267e-01 2.532366416603719014e-02
3.700048530837686940e+03 7.788481372128356339e-01 2.522022366071715455e-02
3.703748579368525952e+03 7.345300492475499432e-01 2.529541023553059584e-02
3.707452327947895355e+03 6.871841796130869762e-01 2.446126456403600186e-02
3.711159780275844696e+03 6.565014910875837106e-01 2.492135510969585924e-02
3.714870940056121526e+03 6.240379655764395350e-01 2.539209116742446523e-02
3.718585810996179134e+03 6.162528381353626905e-01 2.684194640063093662e-02
3.722304396807176545e+03 5.942677270649159293e-01 2.621333934674198451e-02
3.726026701203984885e+03 5.708607255907803824e-01 2.687688818135394037e-02
3.729752727905190113e+03 5.553281319603340371e-01 2.689291483675885011e-02
3.733482480633096657e+03 5.412195819859167978e-01 2.682284774455689219e-02
3.737215963113731050e+03 5.283427066591921406e-01 2.666996387580678612e-02
3.740953179076846027e+03 5.116788859960746949e-01 2.625135210066067287e-02
3.744694132255923705e+03 4.882938216926867026e-01 2.659295979307867153e-02
3.748438826388181042e+03 4.720964027788465689e-01 2.651809916487857591e-02
3.752187265214570289e+03 4.666960147813654092e-01 2.641168567991184976e-02
3.755939452479786269e+03 4.399605497911561192e-01 2.563057385988770989e-02
3.759695391932267285e+03 4.247103140188380754e-01 2.557999991969799394e-02
3.763455087324201031e+03 4.286481269161576679e-01 2.537852749750141995e-02
3.767218542411526414e+03 4.259561322508622072e-01 2.476254219075455995e-02
3.770985760953939007e+03 4.166680221511991355e-01 2.456033919677703264e-02
3.774756746714894234e+03 4.074507898227475167e-01 2.447042620616413089e-02
3.778531503461610555e+03 4.155832147159846945e-01 2.429753910208363663e-02
3.782310034965073100e+03 4.128118252601494231e-01 2.444000570446635406e-02
3.786092345000039586e+03 4.298974320845946884e-01 2.495014685032978172e-02
3.789878437345040766e+03 4.567300645562937800e-01 2.537325961099643618e-02
3.793668315782387253e+03 4.866038952357612524e-01 2.549602323400526269e-02
3.797461984098170888e+03 5.267844360282378791e-01 2.522809463622414233e-02
3.801259446082270188e+03 5.698185776670947611e-01 2.376753631094987926e-02
3.805060705528353537e+03 6.200006037869750797e-01 2.540411746180688823e-02
3.808865766233883278e+03 6.615914864392016259e-01 2.700593243768607474e-02
3.812674632000118436e+03 7.061273132648189232e-01 2.655853855456933449e-02
3.816487306632119726e+03 7.288396593930221989e-01 2.572674828866830521e-02
3.820303793938753188e+03 7.295576499336420273e-01 2.716018129693879152e-02
3.824124097732693372e+03 7.278306305033450663e-01 2.777756318052420834e-02
3.827948221830427428e+03 7.514949323535036196e-01 2.730590396487297955e-02
3.831776170052258749e+03 7.661781532182013743e-01 2.606115478765520105e-02
3.835607946222312421e+03 7.717940085228116587e-01 2.364404075435082297e-02
3.839443554168536139e+03 8.157768809117094122e-01 2.355385058400588649e-02
3.843282997722705659e+03 8.588489469044522373e-01 2.455383604029849967e-02
3.847126280720429804e+03 9.103849388700483436e-01 2.445332893387144879e-02
3.850973407001151372e+03 9.766541265256102333e-01 2.608933127755440687e-02
3.854824380408153957e+03 1.050568486202027474e+00 2.633595470884083842e-02
3.858679204788563311e+03 1.105605988600262934e+00 2.804068450338720320e-02
3.862537883993353262e+03 1.169523583536383526e+00 2.768424617915390962e-02
3.866400421877347981e+03 1.207055052191660094e+00 2.657953246214921073e-02
3.870266822299226533e+03 1.252631320638952106e+00 2.644820336903093427e-02
3.874137089121526969e+03 1.290252870718439970e+00 2.804423107989189104e-02
3.878011226210649966e+03 1.316714265847350740e+00 2.785073929270065127e-02
3.881889237436861549e+03 1.336904633664025566e+00 2.843548118343637229e-02
3.885771126674299921e+03 1.379431357055685536e+00 2.812779051703400909e-02
3.889656897800975457e+03 1.390166496031058685e+00 2.862122617510280687e-02
3.893546554698777527e+03 1.406120261530809490e+00 2.865313380587400718e-02
3.897440101253477678e+03 1.418411013013323618e+00 2.854751296324481089e-02
3.901337541354732366e+03 1.440069216214057590e+00 2.902175979175811507e-02
3.905238878896088409e+03 1.447212770926120884e+00 2.828355378765144007e-02
3.909144117774985716e+03 1.425119490592316573e+00 2.932446872026828188e-02
3.913053261892762293e+03 1.408059437810120551e+00 2.960387755485535677e-02
3.916966315154656058e+03 1.412273933253615166e+00 3.060440347699040081e-02
3.920883281469812118e+03 1.389473563727986027e+00 2.912521305667392646e-02
3.924804164751283224e+03 1.397917343890312747e+00 2.919040551389893295e-02
3.928728968916035683e+03 1.383248674972747505e+00 2.860629700369888076e-02
3.932657697884953450e+03 1.397576864921956874e+00 2.836899315287503068e-02
3.936590355582839493e+03 1.404386702563652056e+00 2.685694218959567420e-02
3.940526945938423523e+03 1.422299871625611223e+00 2.683116183348182443e-02
3.944467472884363360e+03 1.441423262248208159e+00 2.657458000054632383e-02
3.948411940357249023e+03 1.462863064217768239e+00 2.357315216924883022e-02
3.952360352297607733e+03 1.456450922326856023e+00 2.328012032095369901e-02
3.956312712649906643e+03 1.443520510654429101e+00 2.275319868488181671e-02
3.960269025362557841e+03 1.422296419539701873e+00 2.420324674629552308e-02
3.964229294387921527e+03 1.407868418987062720e+00 2.171531779740183341e-02
3.968193523682310570e+03 1.392259036256900950e+00 2.002186942858557445e-02
3.972161717205994591e+03 1.383134307270061703e+00 1.983094939434832532e-02
3.976133878923201792e+03 1.399663647463537108e+00 1.925109493226847060e-02
3.980110012802126221e+03 1.412183045937197345e+00 1.945014652228762089e-02
3.984090122814929600e+03 1.422605820127781362e+00 1.963842601077564129e-02
3.988074212937745870e+03 1.442684524407704005e+00 2.112384421251740918e-02
3.992062287150684824e+03 1.460305708005563030e+00 1.739924429188478491e-02
3.996054349437837118e+03 1.449346843722473466e+00 1.869326846573604942e-02
4.000050403787276082e+03 1.444469463808220056e+00 1.883786010230402083e-02
4.004050454191064546e+03 1.418611546997066819e+00 1.672582863555667140e-02
4.008054504645257111e+03 1.378858921191801423e+00 1.760121164135047475e-02
4.012062559149903791e+03 1.346483429126645426e+00 1.782121025373169243e-02
4.016074621709055009e+03 1.314768580554559030e+00 1.799071206735289655e-02
4.020090696330765240e+03 1.294394514463784951e+00 1.881923604114407386e-02
4.024110787027097558e+03 1.267944915765089053e+00 1.835673880614651504e-02
4.028134897814125907e+03 1.264286471175992022e+00 1.835302640818483114e-02
4.032163032711941469e+03 1.273584963854146990e+00 1.943523569905772699e-02
4.036195195744654484e+03 1.273413054470541317e+00 1.915064850281811976e-02
4.040231390940400615e+03 1.277040019691299433e+00 1.757169120360908832e-02
4.044271622331342314e+03 1.283690670474636697e+00 1.699706776267671804e-02
4.048315893953675186e+03 1.283854889464873805e+00 1.794875934369624323e-02
4.052364209847629809e+03 1.278716964399194023e+00 1.820297406991368966e-02
4.056416574057479011e+03 1.260514958493646587e+00 1.920951626468929418e-02
4.060472990631537868e+03 1.229606337630036794e+00 2.092051260445952632e-02
4.064533463622170530e+03 1.222523615310602718e+00 2.122049124001037373e-02
4.068597997085794304e+03 1.209526854102420224e+00 2.094285165668315074e-02
4.072666595082881486e+03 1.196078577572113444e+00 2.129120059392776779e-02
4.076739261677965715e+03 1.181162819162563382e+00 2.122842560705787487e-02
4.080816000939644709e+03 1.178519791669479400e+00 2.099436065910448984e-02
4.084896816940585722e+03 1.166814093734763524e+00 2.092928864502691458e-02
4.088981713757527814e+03 1.150114430367211726e+00 2.115618466926106819e-02
4.093070695471286854e+03 1.142915977662789739e+00 2.120366861717029247e-02
4.097163766166759160e+03 1.135595968294151215e+00 2.125448979788095716e-02
4.101260929932927866e+03 1.128109403411611034e+00 2.058892680457581961e-02
4.105362190862862008e+03 1.126137031377861364e+00 2.089476488849834057e-02
4.109467553053726078e+03 1.124489404818684868e+00 2.198748916382606278e-02
4.113577020606780934e+03 1.122289507317401513e+00 2.116371222498924023e-02
4.117690597627389252e+03 1.118787013685053067e+00 2.043714524307408548e-02
4.121808288225018259e+03 1.143746083491158361e+00 2.094118568108673320e-02
4.125930096513244280e+03 1.170489969277085818e+00 2.108618353076545382e-02
4.130056026609759101e+03 1.177531413089529799e+00 2.113675250683512072e-02
4.134186082636369974e+03 1.204634448587435402e+00 2.142558150395697941e-02
4.138320268719007800e+03 1.197341097827343548e+00 2.111797569370630137e-02
4.142458588987728035e+03 1.177295521007734491e+00 2.090677796887322262e-02
4.146601047576717065e+03 1.178979495758761153e+00 2.145807645163260238e-02
4.150747648624294925e+03 1.165728015799442296e+00 2.088375146210071434e-02
4.154898396272920763e+03 1.125111995819616961e+00 2.109316276783533908e-02
4.159053294669195566e+03 1.084566787943178845e+00 2.297302715930734165e-02
4.163212347963865795e+03 1.060019406923622620e+00 2.274076853992664307e-02
4.167375560311830668e+03 1.050291644384797829e+00 2.352218904528620771e-02
4.171542935872143971e+03 1.039415552631941075e+00 2.351426975133041886e-02
4.175714478808017702e+03 1.037101252862218104e+00 2.336330481431034625e-02
4.179890193286827525e+03 1.045375756982591886e+00 2.213959501627259241e-02
4.184070083480115500e+03 1.044910270396226082e+00 2.216234300648137895e-02
4.188254153563597356e+03 1.038511379084394504e+00 2.182238462807709056e-02
4.192442407717161586e+03 1.051175749424883676e+00 2.136002083803159243e-02
4.196634850124880359e+03 1.067085899589520714e+00 2.134974438914725645e-02
4.200831484975006788e+03 1.088683257527461645e+00 2.124963927815209930e-02
4.205032316459983122e+03 1.115660695243250622e+00 2.076898404883641136e-02
4.209237348776444378e+03 1.122461510618336211e+00 2.019346837716736592e-02
4.213446586125221984e+03 1.132199771722942394e+00 1.958350892194188342e-02
4.217660032711349231e+03 1.144151677987114146e+00 1.879243749765652574e-02
4.221877692744061278e+03 1.143398234900039778e+00 1.878181684233894838e-02
4.226099570436806971e+03 1.154874428839084866e+00 1.728035715107460735e-02
4.230325670007245208e+03 1.156565418213502117e+00 1.750245079929285338e-02
4.234555995677254032e+03 1.155491575805805748e+00 1.696642800826522399e-02
4.238790551672932452e+03 1.139675529116867203e+00 1.440668082958973702e-02
4.243029342224606808e+03 1.139743045169400837e+00 1.368574876225204205e-02
4.247272371566832589e+03 1.148518518253305754e+00 1.341342099960807742e-02
4.251519643938400804e+03 1.152845311798206707e+00 1.394813177904338786e-02
4.255771163582340705e+03 1.151065603676100224e+00 1.418514518568109693e-02
4.260026934745924336e+03 1.160593770820249171e+00 1.396783874692489845e-02
4.264286961680671993e+03 1.158510494190385431e+00 1.458978411957992556e-02
4.268551248642354039e+03 1.165886795399318165e+00 1.455846772527398351e-02
4.272819799890998183e+03 1.171192929730936694e+00 1.483735801195682456e-02
4.277092619690890388e+03 1.177834707723514063e+00 1.505226115065686626e-02
4.281369712310583054e+03 1.179436580962441639e+00 1.522837558844562962e-02
4.285651082022895025e+03 1.188224619573241325e+00 1.523555490218384510e-02
4.289936733104918858e+03 1.192611136031717534e+00 1.568505329228869066e-02
4.294226669838025373e+03 1.183155825008733064e+00 1.581914805615154684e-02
