# starting wavelength: 3419.260
# ending wavelength: 7289.440
# wav flux eflux
3.422546655310141887e+03 8.386523592706524033e-01 9.646171046173991348e-01
3.425969201965453522e+03 9.125055134141225599e-01 7.089926965126398528e-01
3.429395171167419903e+03 8.927036321560395393e-01 5.444407635262584755e-01
3.432824566338588284e+03 9.324880016089971413e-01 4.640402302261369405e-01
3.436257390904928343e+03 8.599869484404957243e-01 3.826542907194248611e-01
3.439693648295834464e+03 8.468638640456928046e-01 3.075184624780908371e-01
3.443133341944131189e+03 8.579715606464088928e-01 2.508250412305946253e-01
3.446576475286076402e+03 8.958600995588595906e-01 2.137551847700423502e-01
3.450023051761363604e+03 9.648008563741017340e-01 1.992213820337183916e-01
3.453473074813126004e+03 1.023100430068788036e+00 1.732738620912004091e-01
3.456926547887940615e+03 9.830481896181273438e-01 1.670520389625036461e-01
3.460383474435829612e+03 9.250398861928600391e-01 1.568863878739717443e-01
3.463843857910266706e+03 8.296798474126020340e-01 1.500327220871691403e-01
3.467307701768178049e+03 7.679306834078926114e-01 1.417944548191720777e-01
3.470775009469947236e+03 7.478801321532613233e-01 1.339736937308106945e-01
3.474245784479418489e+03 7.516236006054528573e-01 1.282370871728522599e-01
3.477720030263898934e+03 7.564100298885456652e-01 1.238689475063022155e-01
3.481197750294164052e+03 7.915255796776914377e-01 1.202289822695337546e-01
3.484678948044459503e+03 7.906779132679324640e-01 1.172352545151813669e-01
3.488163626992504760e+03 7.933265846475121563e-01 1.160031589019452636e-01
3.491651790619498570e+03 8.151569664274748162e-01 1.153495383463929852e-01
3.495143442410119405e+03 8.490061689915827658e-01 1.149996973240970111e-01
3.498638585852530468e+03 8.884266764470534206e-01 1.140188639195211795e-01
3.502137224438384237e+03 8.976781124269853640e-01 1.149769104008219744e-01
3.505639361662823831e+03 8.883559931882576421e-01 1.150068406758504858e-01
3.509145001024487556e+03 8.882887690604178710e-01 1.142837257824405317e-01
3.512654146025513455e+03 8.843447623910507538e-01 1.138331917990154790e-01
3.516166800171540217e+03 8.938688811019662728e-01 1.144650534666853542e-01
3.519682966971712631e+03 8.704127660406032474e-01 1.157120314842537273e-01
3.523202649938685681e+03 8.238527451415540437e-01 1.186040543723855811e-01
3.526725852588625457e+03 8.294185282065935638e-01 1.209554096382247645e-01
3.530252578441215064e+03 8.527385904867752497e-01 1.198768359912899817e-01
3.533782831019657806e+03 8.566441980071358708e-01 1.197730542491832195e-01
3.537316613850678550e+03 8.925959532823130038e-01 1.197934056634801653e-01
3.540853930464530094e+03 8.855164660864998094e-01 1.183442389384822269e-01
3.544394784394995895e+03 8.538823322396942306e-01 1.162302050990553365e-01
3.547939179179392340e+03 8.214312199354133481e-01 1.170069183727338452e-01
3.551487118358572843e+03 7.480558420370696515e-01 1.156764934407803341e-01
3.555038605476932389e+03 6.673292416806678728e-01 1.166845335198237466e-01
3.558593644082410719e+03 6.492982578306113473e-01 1.084901988211215557e-01
3.562152237726494150e+03 6.334273264733946140e-01 1.084203700963404793e-01
3.565714389964221937e+03 7.154389681016910529e-01 1.062983072613492425e-01
3.569280104354187188e+03 7.562908018610722261e-01 1.009681218862623769e-01
3.572849384458542772e+03 7.831045533958577165e-01 9.964637786812774456e-02
3.576422233843002232e+03 8.045362444081182174e-01 9.368568745125090136e-02
3.579998656076846601e+03 8.214781335894724146e-01 9.357029636932481798e-02
3.583578654732924406e+03 7.732888494328364892e-01 9.447580091951485182e-02
3.587162233387658489e+03 7.611947025744704165e-01 9.376776594370693496e-02
3.590749395621047370e+03 7.628632550463686490e-01 9.413948595032659017e-02
3.594340145016669794e+03 7.840837487513407922e-01 9.692745632802057809e-02
3.597934485161687462e+03 7.897176542223568463e-01 9.779231302368709966e-02
3.601532419646850485e+03 7.412287541783216804e-01 9.747966838846809645e-02
3.605133952066498296e+03 7.553238456653673660e-01 9.683791726279665502e-02
3.608739086018566013e+03 7.933872707167012317e-01 9.690594901779200909e-02
3.612347825104585809e+03 8.263637484085761820e-01 9.634641898394545600e-02
3.615960172929691907e+03 8.511381183320826382e-01 9.488228999515276041e-02
3.619576133102622407e+03 8.637249340694473920e-01 9.586974943203951938e-02
3.623195709235726554e+03 9.135262134898056718e-01 9.559022747624167093e-02
3.626818904944963379e+03 9.071205167777939282e-01 9.529950875250858822e-02
3.630445723849909427e+03 8.362248354290781061e-01 9.104407276038412045e-02
3.634076169573760581e+03 7.685232082405742959e-01 8.965033995259963362e-02
3.637710245743335690e+03 7.263061960438529363e-01 8.863838341109091246e-02
3.641347955989080219e+03 6.814220251180799215e-01 8.682529681898931706e-02
3.644989303945070333e+03 6.923553947917142626e-01 8.503789922361763842e-02
3.648634293249016537e+03 6.982781154259434242e-01 8.472106604408462249e-02
3.652282927542266862e+03 7.308762026363643249e-01 8.494356156190195628e-02
3.655935210469810499e+03 7.281243593294844940e-01 8.773426818946558625e-02
3.659591145680281443e+03 7.212826917967931628e-01 8.460428676409895155e-02
3.663250736825963031e+03 7.262301290447551461e-01 8.473931554489655404e-02
3.666913987562790226e+03 7.643115876683443943e-01 8.783128815668411749e-02
3.670580901550354156e+03 7.983464092851563221e-01 8.401488553968451678e-02
3.674251482451905758e+03 7.683393268567201284e-01 8.115082827590572312e-02
3.677925733934358959e+03 8.311523868530822368e-01 7.235324772996268305e-02
3.681603659668294313e+03 8.160146486367608754e-01 7.214494398439041944e-02
3.685285263327964003e+03 8.039539615971661446e-01 7.193393933700772958e-02
3.688970548591293209e+03 7.995335365261300176e-01 7.451707079539725276e-02
3.692659519139885560e+03 8.311124786826291633e-01 7.503947751528657062e-02
3.696352178659026777e+03 8.444295948548437014e-01 7.509330442695538732e-02
3.700048530837686940e+03 8.151654525777969340e-01 7.137575889601684154e-02
3.703748579368525952e+03 8.230841305202813984e-01 7.085194410697932821e-02
3.707452327947895355e+03 8.452836182061782555e-01 7.312810263188364301e-02
3.711159780275844696e+03 8.673905278735584146e-01 7.365048149776659558e-02
3.714870940056121526e+03 8.656103459511066411e-01 7.189193605094769401e-02
3.718585810996179134e+03 9.219143384441517153e-01 6.653588739314142408e-02
3.722304396807176545e+03 9.602823362194947698e-01 6.540419074298559066e-02
3.726026701203984885e+03 1.001084354460558989e+00 6.395389069743143140e-02
3.729752727905190113e+03 9.713862932549673923e-01 6.371103607394090762e-02
3.733482480633096657e+03 9.686295673122851113e-01 6.365841690863308089e-02
3.737215963113731050e+03 9.496240211789228614e-01 6.472399266848774535e-02
3.740953179076846027e+03 8.997710636461654365e-01 6.495855984252288384e-02
3.744694132255923705e+03 8.466964673159825816e-01 6.403278823655543517e-02
3.748438826388181042e+03 7.373166547459640841e-01 6.693413696174345395e-02
3.752187265214570289e+03 6.814150065446384907e-01 6.232186804686821319e-02
3.755939452479786269e+03 6.840236469023257548e-01 6.122514143840362966e-02
3.759695391932267285e+03 6.526440650228801932e-01 6.103655403015113834e-02
3.763455087324201031e+03 6.537040393451031273e-01 6.251335044195725776e-02
3.767218542411526414e+03 6.940456474503282625e-01 6.581833869090915334e-02
3.770985760953939007e+03 7.092543021446366946e-01 6.554537257024628527e-02
3.774756746714894234e+03 7.139498689876527804e-01 6.338291853598738979e-02
3.778531503461610555e+03 7.708817801964418237e-01 6.014926328258539401e-02
3.782310034965073100e+03 7.706754021034443181e-01 5.894859154028943282e-02
3.786092345000039586e+03 8.259778505962377393e-01 5.828553311544794335e-02
3.789878437345040766e+03 8.908706650101194668e-01 5.647717352784402400e-02
3.793668315782387253e+03 9.368838123713911781e-01 5.493735242347032310e-02
3.797461984098170888e+03 9.497170183269532107e-01 5.556794996573079237e-02
3.801259446082270188e+03 9.732721249613283110e-01 5.683963007108951832e-02
3.805060705528353537e+03 9.903320407490697752e-01 5.735699905589693171e-02
3.808865766233883278e+03 9.746049272752437265e-01 5.774030398502869726e-02
3.812674632000118436e+03 9.735075168390951994e-01 5.483339726992081387e-02
3.816487306632119726e+03 9.271899002096303244e-01 5.759042650181107892e-02
3.820303793938753188e+03 9.150341920087521341e-01 5.837019952091638403e-02
3.824124097732693372e+03 8.900620614184334700e-01 5.794652644503314048e-02
3.827948221830427428e+03 7.886199091820852436e-01 5.654108346173431637e-02
3.831776170052258749e+03 7.818562990326596296e-01 5.425880852011632366e-02
3.835607946222312421e+03 7.289468573746999969e-01 5.694796254044259126e-02
3.839443554168536139e+03 7.567143377982176178e-01 5.706783678646849822e-02
3.843282997722705659e+03 8.547422517205184311e-01 6.114919837279222947e-02
3.847126280720429804e+03 9.449444023534794290e-01 6.424880649953651490e-02
3.850973407001151372e+03 1.024310703351270391e+00 6.261843054350912929e-02
3.854824380408153957e+03 1.032636603959683930e+00 6.245355460672537273e-02
3.858679204788563311e+03 1.045423261238251911e+00 6.264292465765408657e-02
3.862537883993353262e+03 1.040692263923122196e+00 6.207948490983170725e-02
3.866400421877347981e+03 9.835843865510269790e-01 6.260492472548020992e-02
3.870266822299226533e+03 9.149040179030845099e-01 6.303895414379373507e-02
3.874137089121526969e+03 8.661276200887138010e-01 6.035152233202229627e-02
3.878011226210649966e+03 7.992870291727638410e-01 5.985475051598553725e-02
3.881889237436861549e+03 7.555582021493996159e-01 6.197550588961205781e-02
3.885771126674299921e+03 7.750028747759557524e-01 6.360263450786587947e-02
3.889656897800975457e+03 7.702156169437318622e-01 6.196753350678736727e-02
3.893546554698777527e+03 8.404247047633790491e-01 5.711709369613897358e-02
3.897440101253477678e+03 9.074525359193467144e-01 5.383905949409346914e-02
3.901337541354732366e+03 9.801102884234678125e-01 5.558887100681328408e-02
3.905238878896088409e+03 1.012506778015620057e+00 5.510003242792795020e-02
3.909144117774985716e+03 9.860736542613927069e-01 5.670567089210189898e-02
3.913053261892762293e+03 9.468323989931265450e-01 4.955143720829915943e-02
3.916966315154656058e+03 9.500041721243782655e-01 4.884438143334082771e-02
3.920883281469812118e+03 9.451713593473404229e-01 4.834265598162320460e-02
3.924804164751283224e+03 9.462725906429211298e-01 4.832646773316460337e-02
3.928728968916035683e+03 9.499975796751638502e-01 4.555584641566413212e-02
3.932657697884953450e+03 9.718987912172512011e-01 4.455838398354156071e-02
3.936590355582839493e+03 9.891643471001320131e-01 4.390271098933901800e-02
3.940526945938423523e+03 1.000457626626662266e+00 4.453495522786111993e-02
3.944467472884363360e+03 1.017563266231925612e+00 4.368695153683082449e-02
3.948411940357249023e+03 1.046526019456528456e+00 4.099289902045282624e-02
3.952360352297607733e+03 1.031885175626053419e+00 4.098572982926663999e-02
3.956312712649906643e+03 9.806598636037064942e-01 4.405967177514676092e-02
3.960269025362557841e+03 9.767430276971278413e-01 4.295285677802484353e-02
3.964229294387921527e+03 9.664119609849229908e-01 3.948545911681788229e-02
3.968193523682310570e+03 9.490069994098588868e-01 3.464785052841452828e-02
3.972161717205994591e+03 9.800145270021562993e-01 3.724941022864450280e-02
3.976133878923201792e+03 1.024864945162496044e+00 3.412348328825084987e-02
3.980110012802126221e+03 1.088099987897402032e+00 3.292929615425548712e-02
3.984090122814929600e+03 1.124375156977805768e+00 3.520517606266693189e-02
3.988074212937745870e+03 1.188109580328732040e+00 3.508094772265207828e-02
3.992062287150684824e+03 1.229240186068420115e+00 3.569789806187634307e-02
3.996054349437837118e+03 1.219764388785125941e+00 3.697093530997211386e-02
4.000050403787276082e+03 1.196933448083530971e+00 3.805083713436428067e-02
4.004050454191064546e+03 1.186310714262555743e+00 3.703467499205422703e-02
4.008054504645257111e+03 1.146963957317994831e+00 3.737627724928334338e-02
4.012062559149903791e+03 1.106265523146488849e+00 3.656683111813100601e-02
4.016074621709055009e+03 1.092397289352990519e+00 3.662162619603891861e-02
4.020090696330765240e+03 1.083672148943746860e+00 3.665959205862175108e-02
4.024110787027097558e+03 1.102237733924496421e+00 3.649311857249548652e-02
4.028134897814125907e+03 1.115147868435094392e+00 3.774647136583143131e-02
4.032163032711941469e+03 1.112293913173942883e+00 3.587425397992637793e-02
4.036195195744654484e+03 1.109974904005354368e+00 3.527755357813922715e-02
4.040231390940400615e+03 1.102217619195279497e+00 3.678555978139472216e-02
4.044271622331342314e+03 1.114032270398490398e+00 3.680429645451346182e-02
4.048315893953675186e+03 1.112669843275274850e+00 4.257265007717064148e-02
4.052364209847629809e+03 1.087403696875537396e+00 4.262571669309461742e-02
4.056416574057479011e+03 1.122786262547101011e+00 4.310739730701609873e-02
4.060472990631537868e+03 1.151655589294787285e+00 4.366165972006551266e-02
4.064533463622170530e+03 1.219418478990483168e+00 4.332411897919603155e-02
4.068597997085794304e+03 1.274034574014856647e+00 4.117931102296368967e-02
4.072666595082881486e+03 1.299236513580660057e+00 4.104071024026739040e-02
4.076739261677965715e+03 1.316274037875760250e+00 4.001821722886736432e-02
4.080816000939644709e+03 1.285994802159732497e+00 4.139861880078713613e-02
4.084896816940585722e+03 1.241789682362696379e+00 4.336396223583935394e-02
4.088981713757527814e+03 1.179746392210414774e+00 4.322661572772834582e-02
4.093070695471286854e+03 1.112565679899873983e+00 4.253099489520501680e-02
4.097163766166759160e+03 1.044516973727646292e+00 4.191723203853792157e-02
4.101260929932927866e+03 9.785668332330105246e-01 3.900801987785267738e-02
4.105362190862862008e+03 9.657808914832159974e-01 3.955532126011603034e-02
4.109467553053726078e+03 9.491001355271848627e-01 4.011308115361539306e-02
4.113577020606780934e+03 9.467984724473377245e-01 4.018087417145461970e-02
4.117690597627389252e+03 9.632932131200695469e-01 4.005285223609717643e-02
4.121808288225018259e+03 1.024064299829813285e+00 3.697301906311848546e-02
4.125930096513244280e+03 1.064152569742188303e+00 3.576910883433121607e-02
4.130056026609759101e+03 1.066123113612494455e+00 3.171181356081980568e-02
4.134186082636369974e+03 1.077866395615155071e+00 3.173323013143174165e-02
4.138320268719007800e+03 1.090447509918870184e+00 3.100125589866138676e-02
4.142458588987728035e+03 1.061788317512035285e+00 3.027645082111972072e-02
4.146601047576717065e+03 1.025366620766931636e+00 3.262189524036884086e-02
4.150747648624294925e+03 9.941109617630773387e-01 3.412190668734863680e-02
4.154898396272920763e+03 1.000783725211913833e+00 3.443141948939250352e-02
4.159053294669195566e+03 9.806085251075669085e-01 3.300058809423623424e-02
4.163212347963865795e+03 9.790571053882327623e-01 3.403241273160650948e-02
4.167375560311830668e+03 9.736975149124861284e-01 3.349527916342965456e-02
4.171542935872143971e+03 9.645482206022665261e-01 3.296991687763024814e-02
4.175714478808017702e+03 9.607370335200984268e-01 3.233689094126295654e-02
4.179890193286827525e+03 9.713014422009174087e-01 3.089629638014525226e-02
4.184070083480115500e+03 9.850731188295008822e-01 2.919779531800093322e-02
4.188254153563597356e+03 1.006253596447785004e+00 3.030184128032137325e-02
4.192442407717161586e+03 9.802326898132787125e-01 3.058162510058513861e-02
4.196634850124880359e+03 9.855420749180336948e-01 3.120101100839392516e-02
4.200831484975006788e+03 9.709421298064214723e-01 3.177854214758327883e-02
4.205032316459983122e+03 9.673000373078876057e-01 3.108686564462595503e-02
4.209237348776444378e+03 9.648178634057967828e-01 3.145654084698056019e-02
4.213446586125221984e+03 9.909314706475971235e-01 3.191637237988841080e-02
4.217660032711349231e+03 1.018904994152062926e+00 3.180120532675612816e-02
4.221877692744061278e+03 1.065659597488245014e+00 3.159925787179636986e-02
4.226099570436806971e+03 1.089043986938668995e+00 3.090539455005964983e-02
4.230325670007245208e+03 1.118778940276422995e+00 3.040485331207328293e-02
4.234555995677254032e+03 1.136024595440711105e+00 2.931646560120436396e-02
4.238790551672932452e+03 1.151978970675332281e+00 2.851351339624133216e-02
4.243029342224606808e+03 1.169233320931239328e+00 2.887893728862946444e-02
4.247272371566832589e+03 1.172026718171507165e+00 2.735564676070665474e-02
4.251519643938400804e+03 1.150527898776053659e+00 2.956080965719803944e-02
4.255771163582340705e+03 1.140521571965767533e+00 2.867845128143269376e-02
4.260026934745924336e+03 1.133092615106600753e+00 3.187502758518869633e-02
4.264286961680671993e+03 1.097279516539917177e+00 3.167574587804244252e-02
4.268551248642354039e+03 1.090271010640071481e+00 3.145912589549178240e-02
4.272819799890998183e+03 1.066935005443254036e+00 3.087586192422797984e-02
4.277092619690890388e+03 1.069782458193446528e+00 3.133336667551397947e-02
4.281369712310583054e+03 1.068963028151643568e+00 3.124792922859232283e-02
4.285651082022895025e+03 1.045512458442745318e+00 3.166256565157712227e-02
4.289936733104918858e+03 1.019592669257532114e+00 3.152415330755450884e-02
4.294226669838025373e+03 9.944561607020232508e-01 3.197299252494536365e-02
4.298520896507864563e+03 9.943786858342366086e-01 3.200954186085145509e-02
4.302819417404373780e+03 9.917116926932423304e-01 3.151621586344711956e-02
4.307122236821779552e+03 9.938282930755024669e-01 3.222508500040743851e-02
4.311429359058603040e+03 1.008805585232388946e+00 3.238452758375675450e-02
4.315740788417662770e+03 1.007552130521505607e+00 3.248249265182405476e-02
4.320056529206081905e+03 1.006508288154713382e+00 3.278939724347661872e-02
4.324376585735290064e+03 9.887860228535967355e-01 3.264258976013013208e-02
4.328700962321026054e+03 9.611619906332901087e-01 3.286694724920639216e-02
4.333029663283348782e+03 9.283401272605901200e-01 3.241213280159205984e-02
4.337362692946633615e+03 8.978474564504771438e-01 3.398516053988111241e-02
4.341700055639581478e+03 8.611865232359677824e-01 3.607207654333098590e-02
4.346041755695222491e+03 8.075666421431475506e-01 3.236303884227288707e-02
4.350387797450919606e+03 8.230851777339396325e-01 3.394321858573125933e-02
4.354738185248371337e+03 8.416625545418328080e-01 3.448290958996217542e-02
4.359092923433621763e+03 8.914025712759798825e-01 3.275206673814816394e-02
4.363452016357056891e+03 9.496786376008882202e-01 3.292572779427489077e-02
4.367815468373414660e+03 1.001083056958236295e+00 3.350945339263146361e-02
4.372183283841789489e+03 1.032824509058259954e+00 3.297049465084624098e-02
4.376555467125633186e+03 1.038274621515610452e+00 3.386291569761491066e-02
4.380932022592760404e+03 1.050533306091217645e+00 3.357580823522571950e-02
4.385312954615354101e+03 1.029997379973772720e+00 3.271047344713722688e-02
4.389698267569970994e+03 1.011470395880525786e+00 3.393954012431028844e-02
4.394087965837542470e+03 9.932615486053163467e-01 3.198733327673020793e-02
4.398482053803381859e+03 9.828771929352922987e-01 3.091137472794062632e-02
4.402880535857186260e+03 9.921992861879586068e-01 3.189728200867672503e-02
4.407283416393044718e+03 9.769331179348799132e-01 3.127190499895292353e-02
4.411690699809440048e+03 9.667415275041740808e-01 3.155173964977857348e-02
4.416102390509250654e+03 1.010755093313369546e+00 2.876034139379515450e-02
4.420518492899761441e+03 1.027942767089264020e+00 2.759444859006564277e-02
4.424939011392662906e+03 1.006373155402445541e+00 2.773497558431993817e-02
4.429363950404056595e+03 9.944626483421327157e-01 2.775703029593030308e-02
