# starting wavelength: 3469.710
# ending wavelength: 7402.510
# wav flux eflux
3.470775009469947236e+03 7.318812404319763321e-01 5.555100882150413311e-01
3.474245784479418489e+03 9.216601903947009289e-01 4.118810000107083757e-01
3.477720030263898934e+03 1.047262865927537145e+00 3.105879209067669566e-01
3.481197750294164052e+03 1.096285438459922768e+00 2.432271779978055493e-01
3.484678948044459503e+03 1.125284957788901030e+00 1.888899376199056901e-01
3.488163626992504760e+03 1.116028946634925800e+00 1.543681939066454678e-01
3.491651790619498570e+03 1.111055138993518154e+00 1.237030986784643100e-01
3.495143442410119405e+03 1.094723890282357059e+00 1.018303165527279230e-01
3.498638585852530468e+03 1.066707348059335647e+00 8.520018444578995875e-02
3.502137224438384237e+03 1.033336674982613612e+00 7.278950882725387928e-02
3.505639361662823831e+03 9.944381511224372749e-01 6.365941743434647138e-02
3.509145001024487556e+03 9.521416946117160496e-01 5.658599391802687090e-02
3.512654146025513455e+03 9.114759917541250811e-01 5.157582691501248068e-02
3.516166800171540217e+03 8.811144088900478843e-01 4.790502134143014012e-02
3.519682966971712631e+03 8.678252324620613356e-01 4.590180811549072343e-02
3.523202649938685681e+03 8.560113289437686346e-01 4.483297420589558990e-02
3.526725852588625457e+03 8.272306026567676218e-01 4.375367347250590927e-02
3.530252578441215064e+03 8.031391681732791277e-01 4.229156131767058263e-02
3.533782831019657806e+03 8.018018651762046645e-01 4.326638706173983884e-02
3.537316613850678550e+03 7.946780349107510633e-01 4.367446677334512611e-02
3.540853930464530094e+03 7.801657231625754862e-01 4.389509934200509778e-02
3.544394784394995895e+03 7.876010818168849292e-01 4.422807984317012747e-02
3.547939179179392340e+03 7.781524824952698038e-01 4.318365640244192089e-02
3.551487118358572843e+03 7.899949787821320957e-01 4.260371622838470679e-02
3.555038605476932389e+03 7.731983108310958031e-01 4.256127167398360278e-02
3.558593644082410719e+03 7.460002088567864176e-01 4.341870625296256198e-02
3.562152237726494150e+03 7.403199031317952983e-01 4.359932181199818041e-02
3.565714389964221937e+03 7.041957485848181486e-01 4.411097646151582174e-02
3.569280104354187188e+03 6.907078651731115571e-01 4.395098783157053851e-02
3.572849384458542772e+03 6.962737166194526983e-01 4.343344399121139982e-02
3.576422233843002232e+03 6.698559273954525217e-01 4.407160966613598435e-02
3.579998656076846601e+03 6.741043594953215479e-01 4.376271044452682141e-02
3.583578654732924406e+03 6.994936946024397084e-01 4.263794481806884584e-02
3.587162233387658489e+03 7.125382533883508618e-01 4.238931549789767828e-02
3.590749395621047370e+03 7.270441287208744274e-01 4.264339341759394025e-02
3.594340145016669794e+03 7.548308610221611259e-01 4.220365971617209833e-02
3.597934485161687462e+03 7.628868933543774267e-01 4.201054979775215026e-02
3.601532419646850485e+03 7.803977330733586903e-01 4.207446206755652285e-02
3.605133952066498296e+03 8.087551413167421988e-01 4.094151820988210094e-02
3.608739086018566013e+03 8.264090631672539322e-01 4.038591800414252642e-02
3.612347825104585809e+03 8.475961662149624765e-01 3.864210876283063339e-02
3.615960172929691907e+03 8.609704847965731211e-01 3.837992704090366358e-02
3.619576133102622407e+03 8.633489448923931109e-01 3.799963884368318112e-02
3.623195709235726554e+03 8.541488953467063494e-01 3.800481063842037904e-02
3.626818904944963379e+03 8.450255109555525612e-01 3.821654581402098710e-02
3.630445723849909427e+03 8.112238778119271743e-01 3.896768391788001801e-02
3.634076169573760581e+03 7.780388224673351338e-01 3.891003120624606654e-02
3.637710245743335690e+03 7.599765177094567337e-01 3.917749005202888352e-02
3.641347955989080219e+03 7.228151850498729658e-01 3.945609949336831290e-02
3.644989303945070333e+03 7.058186242525841259e-01 3.935288255262568702e-02
3.648634293249016537e+03 6.760473838631931853e-01 3.686676955726667093e-02
3.652282927542266862e+03 6.899371803934309932e-01 3.792281174556090539e-02
3.655935210469810499e+03 6.762193675584915464e-01 3.663229669400612509e-02
3.659591145680281443e+03 6.888193061464307210e-01 3.390981220461521811e-02
3.663250736825963031e+03 6.880482334916877551e-01 3.260519889701831570e-02
3.666913987562790226e+03 7.182359119094665623e-01 3.085729691451355450e-02
3.670580901550354156e+03 7.421644787578016711e-01 2.887650748518958560e-02
3.674251482451905758e+03 7.633860061931496688e-01 2.766461206062642564e-02
3.677925733934358959e+03 7.771947383963581091e-01 2.670799637261715015e-02
3.681603659668294313e+03 7.965839840261845772e-01 2.610275835214128509e-02
3.685285263327964003e+03 8.186376176673696436e-01 2.518131993663344503e-02
3.688970548591293209e+03 8.043295631370208643e-01 2.403216415941017425e-02
3.692659519139885560e+03 8.148673778411275048e-01 2.250608904907619792e-02
3.696352178659026777e+03 8.092590256975923380e-01 2.310226474074814768e-02
3.700048530837686940e+03 7.950543259879186975e-01 2.317976205048985494e-02
3.703748579368525952e+03 7.497486424603473365e-01 2.637317070581647258e-02
3.707452327947895355e+03 7.209822793672844288e-01 2.698366976289696961e-02
3.711159780275844696e+03 6.896802773561283573e-01 2.714915455333150734e-02
3.714870940056121526e+03 6.387843819448889571e-01 2.607089787290126776e-02
3.718585810996179134e+03 6.143614594915897120e-01 2.610428250169944883e-02
3.722304396807176545e+03 6.001321807323765078e-01 2.624335471034277070e-02
3.726026701203984885e+03 6.055794221409164235e-01 2.696578480182337464e-02
3.729752727905190113e+03 6.192138072037216556e-01 2.733173033487506023e-02
3.733482480633096657e+03 6.496508978403918722e-01 3.037563681390286971e-02
3.737215963113731050e+03 6.662971412579827835e-01 3.070855806537923019e-02
3.740953179076846027e+03 7.037029271822743404e-01 3.043954038171627768e-02
3.744694132255923705e+03 7.294823388143036880e-01 3.093663137424770837e-02
3.748438826388181042e+03 7.627965126040158195e-01 2.864918048701872028e-02
