# starting wavelength: 4191.910
# ending wavelength: 10344.200
# wav flux eflux
4.192442407717161586e+03 -1.205394763880556080e-01 1.576430374166543080e+00
4.196634850124880359e+03 -2.659302439544113383e-01 1.140602080930621653e+00
4.200831484975006788e+03 -3.349928624755944551e-01 8.523931736964148742e-01
4.205032316459983122e+03 -3.093193011172611362e-01 6.473311589208796679e-01
4.209237348776444378e+03 -2.411953668373868209e-01 5.030746987870176046e-01
4.213446586125221984e+03 -1.326958773244332201e-01 4.093656569343008811e-01
4.217660032711349231e+03 -5.401243365985930467e-02 3.288725580613917621e-01
4.221877692744061278e+03 2.437716399108189047e-02 2.724639906186612226e-01
4.226099570436806971e+03 1.035781048449092578e-01 2.266299680159736818e-01
4.230325670007245208e+03 1.451975616777699818e-01 2.012368611287073117e-01
4.234555995677254032e+03 1.929268109081392901e-01 1.747176142884711292e-01
4.238790551672932452e+03 2.399839820482445596e-01 1.565445940564152982e-01
4.243029342224606808e+03 2.746397718070927030e-01 1.419886558117775255e-01
4.247272371566832589e+03 3.095100614017463614e-01 1.316536122196018121e-01
4.251519643938400804e+03 3.501323705900976635e-01 1.239050558229578963e-01
4.255771163582340705e+03 3.933528162219923630e-01 1.181645878732994759e-01
4.260026934745924336e+03 3.977339050929071251e-01 1.143898032142481730e-01
4.264286961680671993e+03 3.580614078783333487e-01 1.167971996639182580e-01
4.268551248642354039e+03 3.643514446332799528e-01 1.153416435201313622e-01
4.272819799890998183e+03 4.021636478897219202e-01 1.161049698499698191e-01
4.277092619690890388e+03 4.713374256462959933e-01 1.184553875087183544e-01
4.281369712310583054e+03 4.738013088093497860e-01 1.177152180820295185e-01
4.285651082022895025e+03 3.785881996460708221e-01 1.099128947743757551e-01
4.289936733104918858e+03 3.192306923302697386e-01 1.095596490637673198e-01
4.294226669838025373e+03 2.985892387813738891e-01 1.101947333431495674e-01
4.298520896507864563e+03 2.863284278922201831e-01 1.115445324294573187e-01
4.302819417404373780e+03 3.117666726362597895e-01 1.146999644145317715e-01
4.307122236821779552e+03 3.711912801457771249e-01 1.146580577703345677e-01
4.311429359058603040e+03 4.687511823280535728e-01 1.082355495497977632e-01
4.315740788417662770e+03 5.270588585516917668e-01 1.061940621043376831e-01
4.320056529206081905e+03 5.280091268317521624e-01 1.083772690974737357e-01
4.324376585735290064e+03 5.327123621955055510e-01 1.098613315555534847e-01
4.328700962321026054e+03 4.769429904031976530e-01 1.050235122728937764e-01
4.333029663283348782e+03 3.915602073254793591e-01 9.249878149903215108e-02
4.337362692946633615e+03 3.826758557442100361e-01 9.157000116484068086e-02
4.341700055639581478e+03 4.173162566581927191e-01 9.081096636140349732e-02
4.346041755695222491e+03 4.590678620334294191e-01 9.005275832982280459e-02
4.350387797450919606e+03 4.803168586134297646e-01 9.041673454073981264e-02
4.354738185248371337e+03 4.779768683478889391e-01 9.357591081957425394e-02
4.359092923433621763e+03 4.771096382621252685e-01 9.847520724742464537e-02
4.363452016357056891e+03 4.826168146922361624e-01 9.937896357331064967e-02
4.367815468373414660e+03 5.136822082540560830e-01 9.927703206149662840e-02
4.372183283841789489e+03 5.901337114304732179e-01 1.023923718533469446e-01
4.376555467125633186e+03 6.780685804336450406e-01 1.070941207210906743e-01
4.380932022592760404e+03 6.827301526610879412e-01 1.087335961877228252e-01
4.385312954615354101e+03 7.096831967364378713e-01 1.076129972128403722e-01
4.389698267569970994e+03 7.477962872191095123e-01 1.089177805434301677e-01
4.394087965837542470e+03 7.517649144636944225e-01 1.114306804964043107e-01
4.398482053803381859e+03 7.797335702210526076e-01 1.113790173143801576e-01
4.402880535857186260e+03 8.319806279381350977e-01 1.100991678502705323e-01
4.407283416393044718e+03 8.255259670036020347e-01 1.114880445297416756e-01
4.411690699809440048e+03 7.631608022775800970e-01 1.042120292061638753e-01
4.416102390509250654e+03 7.546250792994468881e-01 1.031326237772525745e-01
4.420518492899761441e+03 8.142268908243102121e-01 9.200184797334848286e-02
4.424939011392662906e+03 8.462028859495893673e-01 8.573855939772651036e-02
4.429363950404056595e+03 7.846063333723328759e-01 8.388336541994780016e-02
4.433793314354462382e+03 7.116612743922977602e-01 7.873520541730408273e-02
4.438227107668818462e+03 6.158066784615109368e-01 7.617480203208321088e-02
4.442665334776488635e+03 5.471656711993639899e-01 7.729073305710022768e-02
4.447108000111265937e+03 5.081412190259471107e-01 7.610862812440914726e-02
4.451555108111379013e+03 4.484919995203421328e-01 7.720685598989986131e-02
4.456006663219492111e+03 3.783032139382485060e-01 8.239444913680890603e-02
4.460462669882713271e+03 3.345732648120360864e-01 8.421543088136250466e-02
4.464923132552597053e+03 3.242937290783985960e-01 9.073666794774010169e-02
4.469388055685150903e+03 3.402229705595934961e-01 9.809196886383743375e-02
4.473857443740837880e+03 3.488086501175434728e-01 9.733426909280676331e-02
4.478331301184580298e+03 3.259566472144020954e-01 1.012165261575481007e-01
4.482809632485766087e+03 3.208283423469773243e-01 1.093328387274212637e-01
4.487292442118253348e+03 2.854769275366697556e-01 1.310975743950512917e-01
4.491779734560373072e+03 3.172158470475028302e-01 1.373799556948255840e-01
4.496271514294934605e+03 3.081316544557692882e-01 1.244861315145059516e-01
4.500767785809231100e+03 4.397862505461347382e-01 1.185895663308377673e-01
4.505268553595042249e+03 7.127927320669602551e-01 1.192054368190797603e-01
4.509773822148638828e+03 1.138440650705595525e+00 1.325020410891039335e-01
4.514283595970789065e+03 1.583275617412590375e+00 1.398952664357379638e-01
