# starting wavelength: 3456.890
# ending wavelength: 7378.550
# wav flux eflux
3.456926547887940615e+03 9.517971173415584740e-01 4.655228879397547148e-01
3.460383474435829612e+03 1.199671907239695079e+00 3.491677426016559505e-01
3.463843857910266706e+03 1.326309365881715552e+00 2.635523654803121896e-01
3.467307701768178049e+03 1.383524769799989507e+00 2.015684686729512232e-01
3.470775009469947236e+03 1.401617735097666850e+00 1.605979367033519289e-01
3.474245784479418489e+03 1.417450193514353973e+00 1.256917060329166280e-01
3.477720030263898934e+03 1.411320494017700877e+00 1.002055046189431475e-01
3.481197750294164052e+03 1.395715410092128073e+00 8.165505907093337234e-02
3.484678948044459503e+03 1.379864305679486369e+00 6.954955192589939994e-02
3.488163626992504760e+03 1.369463721097645248e+00 6.020874282452285536e-02
3.491651790619498570e+03 1.350843298465055797e+00 5.214354890358261635e-02
3.495143442410119405e+03 1.335438358095825784e+00 4.666326786353643813e-02
3.498638585852530468e+03 1.336446973866018295e+00 4.442323783310662272e-02
3.502137224438384237e+03 1.314682968585070055e+00 4.125068638262512077e-02
3.505639361662823831e+03 1.297978796353863151e+00 3.856019437094964503e-02
3.509145001024487556e+03 1.275872668717892067e+00 3.688766493662676282e-02
3.512654146025513455e+03 1.262614683363986190e+00 3.548327295832126582e-02
3.516166800171540217e+03 1.237627991088724677e+00 3.513477606358681588e-02
3.519682966971712631e+03 1.225995127277398344e+00 3.513871885727096189e-02
3.523202649938685681e+03 1.212251008624865012e+00 3.463022955818492732e-02
3.526725852588625457e+03 1.193115153181687482e+00 3.476664938147082384e-02
3.530252578441215064e+03 1.183100542067342609e+00 3.507470587135728957e-02
3.533782831019657806e+03 1.163196361608519469e+00 3.466184822823384359e-02
3.537316613850678550e+03 1.155446669963189121e+00 3.471254692782767270e-02
3.540853930464530094e+03 1.152881152170868395e+00 3.468480683519279545e-02
3.544394784394995895e+03 1.145173977503644025e+00 3.424913678796100147e-02
3.547939179179392340e+03 1.115097817828210713e+00 3.189465167577981014e-02
3.551487118358572843e+03 1.102480974010239922e+00 3.073665761428822848e-02
3.555038605476932389e+03 1.098023258054186879e+00 3.086750100575342756e-02
3.558593644082410719e+03 1.109200265542058972e+00 3.261452533170710461e-02
3.562152237726494150e+03 1.136414014989397536e+00 3.476318005281186369e-02
3.565714389964221937e+03 1.144625989525321019e+00 3.499380994413471557e-02
3.569280104354187188e+03 1.181778176835479810e+00 3.202675695173885784e-02
3.572849384458542772e+03 1.217037129243852434e+00 3.253386798250836043e-02
3.576422233843002232e+03 1.234296919155106309e+00 3.249727760956600681e-02
3.579998656076846601e+03 1.235614291795543052e+00 3.232071142554093779e-02
3.583578654732924406e+03 1.236442134710974861e+00 3.288551506432357135e-02
3.587162233387658489e+03 1.239123562792277200e+00 3.102003997628830639e-02
3.590749395621047370e+03 1.230171887858751534e+00 3.053028364151345528e-02
3.594340145016669794e+03 1.211460327212967591e+00 3.138523106300999954e-02
3.597934485161687462e+03 1.162755289359032052e+00 3.359158961250736930e-02
3.601532419646850485e+03 1.129373742095701738e+00 3.397017581271248587e-02
3.605133952066498296e+03 1.096676991161271708e+00 3.509798984750815698e-02
3.608739086018566013e+03 1.069367269548075816e+00 3.483058801484480160e-02
3.612347825104585809e+03 1.047748613921014593e+00 3.404370952595229399e-02
3.615960172929691907e+03 1.031251250448943946e+00 3.345142405055239604e-02
3.619576133102622407e+03 1.035784152815353965e+00 3.333074462295712581e-02
3.623195709235726554e+03 1.025725322578011411e+00 3.113076488301098552e-02
3.626818904944963379e+03 1.040584314397168919e+00 3.162154770701029738e-02
3.630445723849909427e+03 1.076990748446575052e+00 3.248758773659209120e-02
3.634076169573760581e+03 1.114797604027688793e+00 3.378972042671922471e-02
3.637710245743335690e+03 1.162289145583358607e+00 3.211752253817084374e-02
3.641347955989080219e+03 1.209988850021822993e+00 3.062822198480616084e-02
3.644989303945070333e+03 1.264937014964551798e+00 2.935170152247988662e-02
3.648634293249016537e+03 1.314954618448913592e+00 2.902639156861116024e-02
3.652282927542266862e+03 1.370147449320402888e+00 2.783563815444078590e-02
3.655935210469810499e+03 1.409139523320847687e+00 2.767410370716430132e-02
3.659591145680281443e+03 1.435917973198131747e+00 2.762336939969453620e-02
3.663250736825963031e+03 1.437757838257382570e+00 2.926408919590141669e-02
3.666913987562790226e+03 1.452967005519166799e+00 2.903415426707255456e-02
3.670580901550354156e+03 1.448795406876547620e+00 2.926015346956958169e-02
3.674251482451905758e+03 1.436995534763977123e+00 2.600303956347622264e-02
3.677925733934358959e+03 1.430901446188844517e+00 2.479413160582384298e-02
