# starting wavelength: 3456.890
# ending wavelength: 7380.010
# wav flux eflux
3.456926547887940615e+03 1.096532769705785615e+00 9.565766610159119887e-01
3.460383474435829612e+03 8.755508852218711890e-01 6.952278328792926843e-01
3.463843857910266706e+03 7.644714649561881181e-01 5.234953755995443991e-01
3.467307701768178049e+03 7.285254832339664866e-01 3.950908518127746460e-01
3.470775009469947236e+03 7.412154973283591186e-01 3.091175798178166234e-01
3.474245784479418489e+03 7.424008087130984368e-01 2.473235265911521152e-01
3.477720030263898934e+03 7.796285472268636996e-01 1.974468389513936439e-01
3.481197750294164052e+03 8.208832328685554680e-01 1.699817151409748206e-01
3.484678948044459503e+03 8.337873459080838989e-01 1.431420350152451948e-01
3.488163626992504760e+03 8.455422635295362088e-01 1.236232303782709568e-01
3.491651790619498570e+03 8.573187041245909912e-01 1.076461467266657396e-01
3.495143442410119405e+03 8.237574991711293926e-01 1.001288645648407694e-01
3.498638585852530468e+03 7.950820041850538145e-01 9.213640804938263984e-02
3.502137224438384237e+03 7.549495979598592754e-01 8.597864020021867004e-02
3.505639361662823831e+03 7.680398061731587012e-01 8.279766449227551894e-02
3.509145001024487556e+03 7.613018385718505199e-01 7.878918249848554378e-02
3.512654146025513455e+03 7.595800660480780397e-01 7.583887078496756584e-02
3.516166800171540217e+03 7.305956185813655690e-01 7.348724798640651756e-02
3.519682966971712631e+03 6.884406588982306952e-01 7.245853187062263612e-02
3.523202649938685681e+03 6.574295097618719774e-01 7.291049902064049293e-02
3.526725852588625457e+03 6.281140526127515500e-01 7.092833769467990490e-02
3.530252578441215064e+03 6.142554791379861712e-01 7.095694017144373034e-02
3.533782831019657806e+03 6.209748239100865153e-01 7.064816858756253759e-02
3.537316613850678550e+03 6.059878209414277794e-01 7.094514798563805735e-02
3.540853930464530094e+03 5.961716878361110750e-01 6.909711896679902876e-02
3.544394784394995895e+03 5.766398169379253202e-01 6.909753170608515238e-02
3.547939179179392340e+03 6.042523870986133971e-01 6.954675076206191797e-02
3.551487118358572843e+03 6.136255401897757755e-01 6.895900425774706410e-02
3.555038605476932389e+03 6.550518314571123213e-01 6.889583453484821041e-02
3.558593644082410719e+03 6.638300039776324768e-01 7.042773611354090357e-02
3.562152237726494150e+03 6.621100361349298025e-01 6.772458041561257858e-02
3.565714389964221937e+03 6.424254990709508117e-01 6.774137149349082621e-02
3.569280104354187188e+03 6.595161149922175170e-01 6.821684203612843334e-02
3.572849384458542772e+03 6.401694523531873404e-01 6.476102661770555269e-02
3.576422233843002232e+03 6.799558631921271967e-01 6.559533232785470791e-02
3.579998656076846601e+03 6.860192100365518630e-01 6.424636051010428062e-02
3.583578654732924406e+03 6.536997001427257148e-01 6.414124613910136830e-02
3.587162233387658489e+03 6.419312205404927862e-01 6.490070917089930946e-02
3.590749395621047370e+03 6.163182404547329352e-01 6.347077999632988465e-02
3.594340145016669794e+03 5.976926209125783540e-01 6.516358037218134003e-02
3.597934485161687462e+03 6.007042495986736341e-01 6.477219034483819304e-02
3.601532419646850485e+03 5.912133417866788365e-01 6.224160988434140201e-02
3.605133952066498296e+03 5.698041901588862812e-01 6.184188011358033449e-02
3.608739086018566013e+03 5.757627746995861440e-01 6.141608665281132751e-02
3.612347825104585809e+03 5.775058975808650130e-01 6.100509174784096711e-02
3.615960172929691907e+03 5.219129577346603988e-01 5.717121631781981600e-02
3.619576133102622407e+03 5.003659799587557577e-01 5.676925585661968254e-02
3.623195709235726554e+03 4.797289942208977642e-01 5.678263394293504851e-02
3.626818904944963379e+03 4.720890164836444858e-01 5.413171819861858219e-02
3.630445723849909427e+03 4.499304248463801836e-01 5.351948080812179293e-02
3.634076169573760581e+03 4.345253653492185397e-01 5.253115381501365089e-02
3.637710245743335690e+03 4.109248491918062185e-01 5.142134931860602859e-02
3.641347955989080219e+03 4.129178238797746037e-01 5.054291330414392713e-02
3.644989303945070333e+03 4.204947934902005247e-01 5.082492126138355576e-02
3.648634293249016537e+03 4.444282463125642790e-01 5.235072300035442661e-02
3.652282927542266862e+03 4.427531639570820854e-01 5.187909127582310959e-02
3.655935210469810499e+03 4.324194950085688549e-01 5.242316221586519609e-02
3.659591145680281443e+03 4.470008209779405828e-01 5.280048675480679410e-02
3.663250736825963031e+03 4.611784420406047635e-01 5.324371517529292996e-02
3.666913987562790226e+03 4.834975840746483233e-01 5.292034474359059298e-02
3.670580901550354156e+03 4.734679114802536892e-01 5.185875506225787884e-02
3.674251482451905758e+03 4.975509907481578953e-01 5.059356730039174521e-02
