# starting wavelength: 3620.350
# ending wavelength: 9347.360
# wav flux eflux
3.623195709235726554e+03 1.278040247310682442e+00 2.400852221019679433e+00
3.626818904944963379e+03 1.454587380477329495e+00 1.933274496034626866e+00
3.630445723849909427e+03 1.590856723865535116e+00 1.461101858088565519e+00
3.634076169573760581e+03 1.620002635664162804e+00 1.114529916366100659e+00
3.637710245743335690e+03 1.527092878627249295e+00 8.734103157083795699e-01
3.641347955989080219e+03 1.422698703665099540e+00 6.985539809741841966e-01
3.644989303945070333e+03 1.331292878378655287e+00 5.720580909421170146e-01
3.648634293249016537e+03 1.277355689469419575e+00 4.723814232891229703e-01
3.652282927542266862e+03 1.263770016389430761e+00 4.022717404591596990e-01
3.655935210469810499e+03 1.316015062126960622e+00 3.558237119223194300e-01
3.659591145680281443e+03 1.363605318611930350e+00 3.141489260359743851e-01
3.663250736825963031e+03 1.414532596675979415e+00 2.816076516038197308e-01
3.666913987562790226e+03 1.465216135925563989e+00 2.582717290813500988e-01
3.670580901550354156e+03 1.513042942490892884e+00 2.402020658800408659e-01
3.674251482451905758e+03 1.571088731427991991e+00 2.262821658089834154e-01
3.677925733934358959e+03 1.601009909164650136e+00 2.149429124587758921e-01
3.681603659668294313e+03 1.624203063515561762e+00 2.080150066484594273e-01
3.685285263327964003e+03 1.650605180286564222e+00 2.006886685917604607e-01
3.688970548591293209e+03 1.662842331666267714e+00 1.946242391765989344e-01
3.692659519139885560e+03 1.686635392730172933e+00 1.936601637750526850e-01
3.696352178659026777e+03 1.665120008822296604e+00 1.898844114170386566e-01
3.700048530837686940e+03 1.670951279689190105e+00 1.924049432856871356e-01
3.703748579368525952e+03 1.659521295025890186e+00 1.928073380843225715e-01
3.707452327947895355e+03 1.619395053690033892e+00 1.937884545597734209e-01
3.711159780275844696e+03 1.619565894493687708e+00 1.933800505721052498e-01
3.714870940056121526e+03 1.576845339106397459e+00 1.918537133913935655e-01
3.718585810996179134e+03 1.507377871810904324e+00 1.917400560412307886e-01
3.722304396807176545e+03 1.444651104644454342e+00 1.899356969903344960e-01
3.726026701203984885e+03 1.401260650978403355e+00 1.892697606691783885e-01
3.729752727905190113e+03 1.360490415969052291e+00 1.886384013099584867e-01
3.733482480633096657e+03 1.330189185881116121e+00 1.882150430880962788e-01
3.737215963113731050e+03 1.312386168445628609e+00 1.881132311714290017e-01
3.740953179076846027e+03 1.289825349469079452e+00 1.904849712884153778e-01
3.744694132255923705e+03 1.330874144143196380e+00 1.903265495628534143e-01
3.748438826388181042e+03 1.404804105015355686e+00 1.868259030866417925e-01
3.752187265214570289e+03 1.525702460065221144e+00 1.742757037451917734e-01
3.755939452479786269e+03 1.662216561150646088e+00 1.545131388145419005e-01
3.759695391932267285e+03 1.518738689054011104e+00 5.034599588253271113e-02
3.763455087324201031e+03 1.565544455718557382e+00 4.224965500208579389e-02
3.767218542411526414e+03 1.572729991190304544e+00 4.228294396017968915e-02
